#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                            cmpfile
 2010-04-10T14:38:56.13 55296.610372      g      -     -      -      -      -      -      -      -    -      0x1613 -19553.75 9191.99  32.9141  -9199.20 4323.60 32.095 0x00000011  ut100410d_templd/83/md08s027.g.100410d.81641_83_g.100513d.108016_83.diff.cut.dcmp
 2010-04-16T14:05:28.90 55302.587140      g      -     -      -      -      -      -      -      -    -      0x1613  -9999.29 2974.71  32.9141  -5298.70 1575.56 32.225 0x00000011  ut100416d_templd/83/md08s027.g.100416d.93498_83_g.100510d.106850_83.diff.cut.dcmp
 2010-04-16T14:05:28.90 55302.587140      g      -     -      -      -      -      -      -      -    -      0x1613  -4440.15 3402.88  32.9141  -2088.90 1600.79 32.095 0x00000011  ut100416d_templd/83/md08s027.g.100416d.93498_83_g.100513d.108016_83.diff.cut.dcmp
 2010-04-16T14:05:29.00 55302.587141      g      -     -      -      -      -      -      -      -    -      0x1613  -6712.80 2683.04  32.9141  -6983.99 2790.68 32.957 0x00000011  ut100416d_templd/83/md08s027.g.100416d.93498_83_g.100203d.127000_83.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g      -     -      -      -      -      -      -      -    -      0x1613  -4305.27 2433.33  32.9141  -4377.24 2473.68 32.932 0x00000011  ut100419d_templd/83/md08s027.g.100419d.94918_83_g.100203d.127000_83.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -      -      -      -      -      -      -    -      0x1613  -4614.48 2899.57  32.9141  -2396.42 1505.66 32.203 0x00000011  ut100419d_templd/83/md08s027.g.100419d.94918_83_g.100510d.106850_83.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -      -      -      -      -      -      -    -      0x1613  -1839.86 3529.84  32.9141   -876.97 1682.48 32.110 0x00000011  ut100419d_templd/83/md08s027.g.100419d.94918_83_g.100513d.108016_83.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g      -     -      -      -      -      -      -      -    -      0x1613  -4285.64 2787.78  32.9141  -2016.21 1311.40 32.095 0x00000011 ut100510d_templd/83/md08s027.g.100510d.106850_83_g.100513d.108016_83.diff.cut.dcmp
 2010-05-10T13:07:33.24 55326.546913      g      -     -      -      -      -      -      -      -    -      0x1613   1152.66 1259.31  32.9141   1152.66 1259.26 32.914 0x00000011 ut100510d_templd/83/md08s027.g.100510d.106850_83_g.100203d.127000_83.diff.cut.dcmp
 2010-05-13T12:44:34.08 55329.530950      g      -     -      -      -      -      -      -      -    -      0x1613   2490.21 2806.94  32.9141   1262.98 1423.57 32.177 0x00000011 ut100513d_templd/83/md08s027.g.100513d.108016_83_g.100510d.106850_83.diff.cut.dcmp
 2010-05-13T12:44:34.37 55329.530953      g      -     -      -      -      -      -      -      -    -      0x1613   1940.71 2390.08  32.9141   1927.00 2373.12 32.906 0x00000011 ut100513d_templd/83/md08s027.g.100513d.108016_83_g.100203d.127000_83.diff.cut.dcmp
 2010-05-16T10:14:07.01 55332.426470      g      -     -      -      -      -      -      -      -    -      0x1613  -3473.18 2153.68  32.9141  -1722.69 1068.10 32.153 0x00000011 ut100516d_templd/83/md08s027.g.100516d.108971_83_g.100510d.106850_83.diff.cut.dcmp
 2010-05-16T10:14:07.01 55332.426470      g      -     -      -      -      -      -      -      -    -      0x1613  -3157.04 3166.57  32.9141  -1485.25 1489.67 32.095 0x00000011 ut100516d_templd/83/md08s027.g.100516d.108971_83_g.100513d.108016_83.diff.cut.dcmp
 2010-05-16T10:14:07.19 55332.426472      g      -     -      -      -      -      -      -      -    -      0x1613   -897.39 1696.01  32.9141   -897.39 1695.99 32.914 0x00000011 ut100516d_templd/83/md08s027.g.100516d.108971_83_g.100203d.127000_83.diff.cut.dcmp
 2010-05-19T10:23:03.55 55335.432680      g      -     -      -      -      -      -      -      -    -      0x1613   1377.64 3853.25  32.9141    607.54 1699.28 32.025 0x00000011 ut100519d_templd/83/md08s027.g.100519d.111745_83_g.100510d.106850_83.diff.cut.dcmp
 2010-05-19T10:23:03.55 55335.432680      g      -     -      -      -      -      -      -      -    -      0x1613   2851.50 3496.89  32.9141   1341.51 1645.09 32.095 0x00000011 ut100519d_templd/83/md08s027.g.100519d.111745_83_g.100513d.108016_83.diff.cut.dcmp
 2010-05-19T10:23:03.92 55335.432684      g 22.803 0.343  0.610  0.406      -      -      -      -    1      0x1613  11073.01 3497.27  32.9141   9643.30 3044.41 32.764 0x00000011 ut100519d_templd/83/md08s027.g.100519d.111745_83_g.100203d.127000_83.diff.cut.dcmp
 2010-05-22T10:20:35.81 55338.430970      g 21.292 0.131 -0.948  0.134      -      -      -      -    2      0x1613  44566.55 5389.36  32.9141  20536.62 2476.18 32.073 0x00000011 ut100522d_templd/83/md08s027.g.100522d.112615_83_g.100510d.106850_83.diff.cut.dcmp
 2010-05-22T10:20:35.81 55338.430970      g 21.070 0.113 -1.170  0.117      -      -      -      -    2      0x1613  54677.66 5730.74  32.9141  23180.88 2420.09 31.982 0x00000011 ut100522d_templd/83/md08s027.g.100522d.112615_83_g.100513d.108016_83.diff.cut.dcmp
 2010-05-22T10:20:36.19 55338.430974      g      -     -      -      -      -      -      -      -    -      0x1613   5127.30 5112.06  32.9141   4576.03 4562.23 32.791 0x00000011 ut100522d_templd/83/md08s027.g.100522d.112615_83_g.100203d.127000_83.diff.cut.dcmp
 2010-05-31T10:42:33.06 55347.446216      g      -     -      -      -      -      -      -      -    -      0x1613   2257.04 3067.13  32.9141   2257.04 3067.06 32.914 0x00000011 ut100531d_templd/83/md08s027.g.100531d.113970_83_g.100203d.127000_83.diff.cut.dcmp
 2010-05-31T10:42:33.06 55347.446216      g      -     -      -      -      -      -      -      -    -      0x1613   1714.10 3217.29  32.9141    850.19 1595.75 32.153 0x00000011 ut100531d_templd/83/md08s027.g.100531d.113970_83_g.100510d.106850_83.diff.cut.dcmp
 2010-05-31T10:42:33.41 55347.446220      g      -     -      -      -      -      -      -      -    -      0x1613   5955.29 4600.30  32.9141   2801.71 2164.09 32.095 0x00000011 ut100531d_templd/83/md08s027.g.100531d.113970_83_g.100513d.108016_83.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g      -     -      -      -      -      -      -      -    -      0x1613    510.88 1882.50  32.9141    510.88 1882.49 32.914 0x00000011 ut100603d_templd/83/md08s027.g.100603d.114921_83_g.100203d.127000_83.diff.cut.dcmp
 2010-06-03T12:18:35.42 55350.512910      g      -     -      -      -      -      -      -      -    -      0x1613   1332.27 2047.58  32.9141    697.32 1071.70 32.211 0x00000011 ut100603d_templd/83/md08s027.g.100603d.114921_83_g.100510d.106850_83.diff.cut.dcmp
 2010-06-03T12:18:35.42 55350.512910      g      -     -      -      -      -      -      -      -    -      0x1613   -895.21 3245.88  32.9141   -421.16 1527.04 32.095 0x00000011 ut100603d_templd/83/md08s027.g.100603d.114921_83_g.100513d.108016_83.diff.cut.dcmp
 2010-06-06T10:09:43.49 55353.423420      g      -     -      -      -      -      -      -      -    -      0x1613   -570.60 1873.91  32.9141   -291.24  956.46 32.184 0x00000011 ut100606d_templd/83/md08s027.g.100606d.116241_83_g.100510d.106850_83.diff.cut.dcmp
 2010-06-06T10:09:43.49 55353.423420      g      -     -      -      -      -      -      -      -    -      0x1613  -1250.63 2895.14  32.9141   -588.37 1362.03 32.095 0x00000011 ut100606d_templd/83/md08s027.g.100606d.116241_83_g.100513d.108016_83.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g      -     -      -      -      -      -      -      -    -      0x1613    127.42 1291.55  32.9141    127.42 1291.55 32.914 0x00000011 ut100606d_templd/83/md08s027.g.100606d.116241_83_g.100203d.127000_83.diff.cut.dcmp
