#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                            cmpfile
 2010-04-10T14:38:55.97 55296.610370      g 21.220 0.318  -      -      -      -      -      -    -      0x1613  42363.80 12408.47  32.7870  21611.00  6326.76 32.056 0x00000011   ut100410i_templi/84/md08s073.g.100410i.81677_84_g.100419i.94954_84.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -  -      -      -      -      -      -    -      0x1613   3302.77  2990.42  32.7870   1684.84  1525.42 32.056 0x00000011   ut100416i_templi/84/md08s073.g.100416i.93532_84_g.100419i.94954_84.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -  -      -      -      -      -      -    -      0x1613   5546.01  2834.40  32.7870   2938.06  1501.31 32.097 0x00000011  ut100416i_templi/84/md08s073.g.100416i.93532_84_g.100513i.108051_84.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g      -     -  -      -      -      -      -      -    -      0x1613   3194.03  2168.18  32.7870   3410.19  2314.70 32.858 0x00000011  ut100416i_templi/84/md08s073.g.100416i.93532_84_g.100128i.127037_84.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g      -     -  -      -      -      -      -      -    -      0x1613  -1731.56  2152.12  32.7870  -1744.69  2168.38 32.795 0x00000011  ut100419i_templi/84/md08s073.g.100419i.94954_84_g.100128i.127037_84.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -  -      -      -      -      -      -    -      0x1613   1271.90  3038.61  32.7870    620.20  1481.67 32.007 0x00000011  ut100419i_templi/84/md08s073.g.100419i.94954_84_g.100513i.108051_84.diff.cut.dcmp
 2010-05-10T13:08:15.96 55326.547407      g      -     -  -      -      -      -      -      -    -      0x1613  -2498.32  1630.82  32.7870  -2483.64  1621.07 32.781 0x00000011 ut100510i_templi/84/md08s073.g.100510i.106885_84_g.100128i.127037_84.diff.cut.dcmp
 2010-05-10T13:08:16.22 55326.547410      g      -     -  -      -      -      -      -      -    -      0x1613   -411.21  2827.09  32.7870   -209.77  1442.18 32.056 0x00000011  ut100510i_templi/84/md08s073.g.100510i.106885_84_g.100419i.94954_84.diff.cut.dcmp
 2010-05-10T13:08:16.22 55326.547410      g      -     -  -      -      -      -      -      -    -      0x1613   -391.21  2361.15  32.7870   -182.56  1101.85 31.959 0x00000011 ut100510i_templi/84/md08s073.g.100510i.106885_84_g.100513i.108051_84.diff.cut.dcmp
 2010-05-13T12:44:43.58 55329.531060      g      -     -  -      -      -      -      -      -    -      0x1613  -1354.68  3027.95  32.7870   -691.06  1544.63 32.056 0x00000011  ut100513i_templi/84/md08s073.g.100513i.108051_84_g.100419i.94954_84.diff.cut.dcmp
 2010-05-13T12:44:43.77 55329.531062      g      -     -  -      -      -      -      -      -    -      0x1613   -447.48  1619.35  32.7870   -447.48  1619.34 32.787 0x00000011 ut100513i_templi/84/md08s073.g.100513i.108051_84_g.100128i.127037_84.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -  -      -      -      -      -      -    -      0x1613  -3783.09  1299.59  32.7870  -3783.09  1299.12 32.787 0x00000011 ut100516i_templi/84/md08s073.g.100516i.109005_84_g.100128i.127037_84.diff.cut.dcmp
 2010-05-16T10:13:02.21 55332.425720      g      -     -  -      -      -      -      -      -    -      0x1613   1362.15  2736.93  32.7870    694.87  1396.17 32.056 0x00000011  ut100516i_templi/84/md08s073.g.100516i.109005_84_g.100419i.94954_84.diff.cut.dcmp
