#               DATEOBS        MJDim filter      m    dm     gr gr_err    ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T14:16:31.69 55173.594811      g      -     -      -      -     -      -  -      -    -      0x1613   1356.30  1563.12  32.5303   1356.30 1563.07 32.530 0x00000011  ut091208i_templi/52/md05s073.g.091208i.37831_52_g.100110i.42362_52.diff.cut.dcmp
 2009-12-08T14:16:31.69 55173.594811      g      -     -      -      -     -      -  -      -    -      0x1613   2791.70  1929.75  32.5303   3113.36 2151.90 32.649 0x00000011  ut091208i_templi/52/md05s073.g.091208i.37831_52_g.100119i.52414_52.diff.cut.dcmp
 2009-12-17T14:14:50.50 55182.593640      g      -     -      -      -     -      -  -      -    -      0x1613   -540.87   762.77  32.5303   -567.98  800.99 32.583 0x00000011  ut091217i_templi/52/md05s073.g.091217i.39828_52_g.100110i.42362_52.diff.cut.dcmp
 2009-12-17T14:14:50.50 55182.593640      g      -     -      -      -     -      -  -      -    -      0x1613   1045.36  1141.32  32.5303   1195.38 1305.06 32.676 0x00000011  ut091217i_templi/52/md05s073.g.091217i.39828_52_g.100119i.52414_52.diff.cut.dcmp
 2009-12-23T15:31:03.31 55188.646566      g      -     -      -      -     -      -  -      -    -      0x1613   -437.36  1167.37  32.5303   -434.99 1161.04 32.524 0x00000011  ut091223i_templi/52/md05s073.g.091223i.45517_52_g.100110i.42362_52.diff.cut.dcmp
 2009-12-23T15:31:03.31 55188.646566      g      -     -      -      -     -      -  -      -    -      0x1613   1907.17  1886.63  32.5303   2037.37 2015.34 32.602 0x00000011  ut091223i_templi/52/md05s073.g.091223i.45517_52_g.100119i.52414_52.diff.cut.dcmp
 2009-12-26T13:19:57.55 55191.555527      g      -     -      -      -     -      -  -      -    -      0x1613    460.91   855.84  32.5303    460.91  855.83 32.530 0x00000011  ut091226i_templi/52/md05s073.g.091226i.41371_52_g.100110i.42362_52.diff.cut.dcmp
 2009-12-26T13:19:57.55 55191.555527      g      -     -      -      -     -      -  -      -    -      0x1613   1522.08  1338.49  32.5303   1740.99 1530.92 32.676 0x00000011  ut091226i_templi/52/md05s073.g.091226i.41371_52_g.100119i.52414_52.diff.cut.dcmp
 2010-01-07T13:13:56.03 55203.551343      g      -     -      -      -     -      -  -      -    -      0x1613   -277.80  1189.94  32.5303   -277.80 1189.94 32.530 0x00000011  ut100107i_templi/52/md05s073.g.100107i.36444_52_g.100110i.42362_52.diff.cut.dcmp
 2010-01-07T13:13:56.03 55203.551343      g      -     -      -      -     -      -  -      -    -      0x1613   1380.79  1571.53  32.5303   1651.84 1879.96 32.725 0x00000011  ut100107i_templi/52/md05s073.g.100107i.36444_52_g.100119i.52414_52.diff.cut.dcmp
 2010-01-10T14:58:19.19 55206.623833      g      -     -      -      -     -      -  -      -    -      0x1613   1672.61  1443.36  32.5303   1786.96 1541.95 32.602 0x00000011  ut100110i_templi/52/md05s073.g.100110i.42362_52_g.100119i.52414_52.diff.cut.dcmp
 2010-01-13T14:02:38.79 55209.585171      g      -     -      -      -     -      -  -      -    -      0x1613   -605.42  1311.84  32.5303   -650.03 1408.50 32.608 0x00000011  ut100113i_templi/52/md05s073.g.100113i.43422_52_g.100110i.42362_52.diff.cut.dcmp
 2010-01-13T14:02:38.79 55209.585171      g      -     -      -      -     -      -  -      -    -      0x1613   2066.56  2310.77  32.5303   2349.46 2627.01 32.670 0x00000011  ut100113i_templi/52/md05s073.g.100113i.43422_52_g.100119i.52414_52.diff.cut.dcmp
 2010-01-16T13:52:02.50 55212.577807      g      -     -      -      -     -      -  -      -    -      0x1613   -123.04  1091.31  32.5303   -123.04 1091.31 32.530 0x00000011  ut100116i_templi/52/md05s073.g.100116i.46136_52_g.100110i.42362_52.diff.cut.dcmp
 2010-01-16T13:52:02.50 55212.577807      g      -     -      -      -     -      -  -      -    -      0x1613   1520.83  1715.44  32.5303   1595.00 1799.04 32.582 0x00000011  ut100116i_templi/52/md05s073.g.100116i.46136_52_g.100119i.52414_52.diff.cut.dcmp
 2010-01-19T11:44:53.42 55215.489507      g      -     -      -      -     -      -  -      -    -      0x1613  -1693.75  1500.61  32.5303  -1693.75 1500.53 32.530 0x00000011  ut100119i_templi/52/md05s073.g.100119i.52414_52_g.100110i.42362_52.diff.cut.dcmp
 2010-01-25T12:37:21.69 55221.525945      g      -     -      -      -     -      -  -      -    -      0x1613   -560.72   917.06  32.5303   -560.72  917.05 32.530 0x00000011  ut100125i_templi/52/md05s073.g.100125i.96950_52_g.100110i.42362_52.diff.cut.dcmp
 2010-01-25T12:37:21.69 55221.525945      g      -     -      -      -     -      -  -      -    -      0x1613   1217.05  1429.00  32.5303   1348.31 1583.07 32.642 0x00000011  ut100125i_templi/52/md05s073.g.100125i.96950_52_g.100119i.52414_52.diff.cut.dcmp
 2010-02-03T12:04:35.65 55230.503190      g      -     -      -      -     -      -  -      -    -      0x1613  -2951.64  2577.74  32.5303  -2951.64 2577.60 32.530 0x00000011  ut100203i_templi/52/md05s073.g.100203i.99537_52_g.100110i.42362_52.diff.cut.dcmp
