#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-07T14:40:43.97 55203.611620      g      -     -     -      -      -      -  -      -    -      0x1613    138.85  1276.86  32.6327    138.85  1276.86 32.633 0x00000011  ut100107m_templm/64/md06s111.g.100107m.36650_64_g.100116m.46390_64.diff.cut.dcmp
 2010-01-07T14:40:43.97 55203.611620      g      -     -     -      -      -      -  -      -    -      0x1613   -972.53  1269.48  32.6327  -1093.21  1426.97 32.760 0x00000011  ut100107m_templm/64/md06s111.g.100107m.36650_64_g.100119m.52637_64.diff.cut.dcmp
 2010-01-13T15:14:06.72 55209.634800      g      -     -     -      -      -      -  -      -    -      0x1613   -476.08  1311.68  32.6327   -493.22  1358.89 32.671 0x00000011  ut100113m_templm/64/md06s111.g.100113m.43641_64_g.100116m.46390_64.diff.cut.dcmp
 2010-01-13T15:14:06.72 55209.634800      g      -     -     -      -      -      -  -      -    -      0x1613  -1621.54  1169.88  32.6327  -1664.05  1200.45 32.661 0x00000011  ut100113m_templm/64/md06s111.g.100113m.43641_64_g.100119m.52637_64.diff.cut.dcmp
 2010-01-16T15:09:27.65 55212.631570      g      -     -     -      -      -      -  -      -    -      0x1613  -2624.16  1051.25  32.6327  -2651.86  1062.06 32.644 0x00000011  ut100116m_templm/64/md06s111.g.100116m.46390_64_g.100119m.52637_64.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g      -     -     -      -      -      -  -      -    -      0x1613   2342.30  1050.88  32.6327   2342.30  1050.66 32.633 0x00000011  ut100119m_templm/64/md06s111.g.100119m.52637_64_g.100116m.46390_64.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -     -      -      -      -  -      -    -      0x1613   -277.79  1343.91  32.6327   -289.68  1401.42 32.678 0x00000011  ut100125m_templm/64/md06s111.g.100125m.97137_64_g.100116m.46390_64.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -     -      -      -      -  -      -    -      0x1613  -4323.93  1207.04  32.6327  -4491.57  1253.15 32.674 0x00000011  ut100125m_templm/64/md06s111.g.100125m.97137_64_g.100119m.52637_64.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -     -      -      -      -  -      -    -      0x1613 -20745.23  2439.96  32.6327 -22709.01  2662.65 32.731 0x00000011  ut100203m_templm/64/md06s111.g.100203m.99727_64_g.100119m.52637_64.diff.cut.dcmp
 2010-02-03T14:27:18.16 55230.602294      g      -     -     -      -      -      -  -      -    -      0x1613 -12499.47  2799.46  32.6327 -12499.47  2797.07 32.633 0x00000011  ut100203m_templm/64/md06s111.g.100203m.99727_64_g.100116m.46390_64.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -     -      -      -      -  -      -    -      0x1613   1024.74  2366.69  32.6327   1036.89  2394.74 32.645 0x00000011 ut100206m_templm/64/md06s111.g.100206m.101133_64_g.100116m.46390_64.diff.cut.dcmp
