#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-25T15:18:45.45 55221.638026      g      -     -  -      -  -      -      -      -    -      0x1613   -156.65   430.61  31.7158   -156.65   430.61 31.716 0x00000011  ut100125g_templg/72/md07s056.g.100125g.97253_72_g.100212g.59648_72.diff.cut.dcmp
 2010-01-25T15:18:45.45 55221.638026      g      -     -  -      -  -      -      -      -    -      0x1613    279.78   534.77  31.7158    310.01   592.55 31.827 0x00000011  ut100125g_templg/72/md07s056.g.100125g.97253_72_g.100215g.61399_72.diff.cut.dcmp
 2010-02-03T15:39:02.86 55230.652116      g      -     -  -      -  -      -      -      -    -      0x1613    575.81   783.68  31.7158    573.53   780.56 31.712 0x00000011  ut100203g_templg/72/md07s056.g.100203g.99846_72_g.100212g.59648_72.diff.cut.dcmp
 2010-02-03T15:39:02.86 55230.652116      g      -     -  -      -  -      -      -      -    -      0x1613   1214.88   967.58  31.7158   1346.15  1072.06 31.827 0x00000011  ut100203g_templg/72/md07s056.g.100203g.99846_72_g.100215g.61399_72.diff.cut.dcmp
 2010-02-06T13:32:25.22 55233.564181      g      -     -  -      -  -      -      -      -    -      0x1613   -313.04   831.99  31.7158   -299.89   797.03 31.669 0x00000011 ut100206g_templg/72/md07s056.g.100206g.101245_72_g.100212g.59648_72.diff.cut.dcmp
 2010-02-06T13:32:25.22 55233.564181      g      -     -  -      -  -      -      -      -    -      0x1613     -0.42   784.49  31.7158     -0.47   869.26 31.827 0x00000011 ut100206g_templg/72/md07s056.g.100206g.101245_72_g.100215g.61399_72.diff.cut.dcmp
 2010-02-09T15:02:07.41 55236.626475      g      -     -  -      -  -      -      -      -    -      0x1613    438.74   431.38  31.7158    439.95   432.55 31.719 0x00000011 ut100209g_templg/72/md07s056.g.100209g.102792_72_g.100212g.59648_72.diff.cut.dcmp
 2010-02-09T15:02:07.41 55236.626475      g      -     -  -      -  -      -      -      -    -      0x1613    584.55   615.07  31.7158    647.71   681.50 31.827 0x00000011 ut100209g_templg/72/md07s056.g.100209g.102792_72_g.100215g.61399_72.diff.cut.dcmp
 2010-02-12T14:40:31.86 55239.611480      g      -     -  -      -  -      -      -      -    -      0x1613    905.27   586.79  31.7158   1003.09   650.13 31.827 0x00000011  ut100212g_templg/72/md07s056.g.100212g.59648_72_g.100215g.61399_72.diff.cut.dcmp
 2010-02-15T15:13:01.26 55242.634042      g      -     -  -      -  -      -      -      -    -      0x1613   -944.40   587.73  31.7158   -927.50   577.15 31.696 0x00000011  ut100215g_templg/72/md07s056.g.100215g.61399_72_g.100212g.59648_72.diff.cut.dcmp
 2010-03-11T13:40:14.73 55266.569615      g      -     -  -      -  -      -      -      -    -      0x1613  -1118.14   706.71  31.7158  -1137.04   718.58 31.734 0x00000011  ut100311g_templg/72/md07s056.g.100311g.80596_72_g.100212g.59648_72.diff.cut.dcmp
 2010-03-11T13:40:14.73 55266.569615      g      -     -  -      -  -      -      -      -    -      0x1613   -373.46   757.31  31.7158   -427.84   867.58 31.863 0x00000011  ut100311g_templg/72/md07s056.g.100311g.80596_72_g.100215g.61399_72.diff.cut.dcmp
 2010-03-17T14:22:49.33 55272.599182      g      -     -  -      -  -      -      -      -    -      0x1613   -443.61   614.62  31.7158   -473.11   655.48 31.786 0x00000011  ut100317g_templg/72/md07s056.g.100317g.73633_72_g.100212g.59648_72.diff.cut.dcmp
 2010-03-17T14:22:49.33 55272.599182      g      -     -  -      -  -      -      -      -    -      0x1613    696.24   715.80  31.7158    771.47   793.11 31.827 0x00000011  ut100317g_templg/72/md07s056.g.100317g.73633_72_g.100215g.61399_72.diff.cut.dcmp
