#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                           cmpfile
 2010-02-03T15:39:03.17 55230.652120      g      -     -  -      -  -      -  -      -    -      0x1613   125.63  489.54  31.1199   227.96  888.28 31.767 0x00000011  ut100203e_temple/73/md07s040.g.100203e.99833_73_g.100215e.61385_73.diff.cut.dcmp
 2010-02-06T13:31:15.17 55233.563370      g      -     -  -      -  -      -  -      -    -      0x1613   344.25  384.34  31.1199   624.65  697.36 31.767 0x00000011 ut100206e_temple/73/md07s040.g.100206e.101232_73_g.100215e.61385_73.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -  -      -  -      -  -      -    -      0x1613  -265.07  300.62  31.1199  -255.51  289.76 31.080 0x00000011 ut100209e_temple/73/md07s040.g.100209e.102779_73_g.100212e.59634_73.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -  -      -  -      -  -      -    -      0x1613  -126.00  271.14  31.1199  -228.63  491.99 31.767 0x00000011 ut100209e_temple/73/md07s040.g.100209e.102779_73_g.100215e.61385_73.diff.cut.dcmp
 2010-03-17T14:22:49.15 55272.599180      g      -     -  -      -  -      -  -      -    -      0x1613    45.95  318.82  31.1199    83.38  578.50 31.767 0x00000011  ut100317e_temple/73/md07s040.g.100317e.73619_73_g.100215e.61385_73.diff.cut.dcmp
 2010-03-26T10:29:43.58 55281.437310      g      -     -  -      -  -      -  -      -    -      0x1613 -1142.75  684.03  31.1199 -1142.75  683.95 31.120 0x00000011  ut100326e_temple/73/md07s040.g.100326e.79321_73_g.100212e.59634_73.diff.cut.dcmp
 2010-03-26T10:29:43.58 55281.437310      g      -     -  -      -  -      -  -      -    -      0x1613 -1280.62  577.10  31.1199 -2323.71 1046.94 31.767 0x00000011  ut100326e_temple/73/md07s040.g.100326e.79321_73_g.100215e.61385_73.diff.cut.dcmp
 2010-05-10T12:27:11.23 55326.518880      g      -     -  -      -  -      -  -      -    -      0x1613  -168.17  354.24  31.1199  -305.01  642.47 31.766 0x00000011 ut100510e_temple/73/md07s040.g.100510e.106714_73_g.100215e.61385_73.diff.cut.dcmp
 2010-05-16T08:09:48.10 55332.340140      g      -     -  -      -  -      -  -      -    -      0x1613  -212.55  323.16  31.1199  -212.55  323.15 31.120 0x00000011 ut100516e_temple/73/md07s040.g.100516e.108832_73_g.100212e.59634_73.diff.cut.dcmp
 2010-05-16T08:09:48.10 55332.340140      g      -     -  -      -  -      -  -      -    -      0x1613    84.29  281.42  31.1199   152.95  510.63 31.767 0x00000011 ut100516e_temple/73/md07s040.g.100516e.108832_73_g.100215e.61385_73.diff.cut.dcmp
