#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                            cmpfile
 2010-07-12T11:53:33.79 55389.495530      g      -     -      -      -      -      -      -      -    -      0x1613  1035.51  785.32  32.3767  1035.51  785.26 32.377 0x00000011  ut100712l_templl/92/md09s105.g.100712l.128854_92_g.090826l.30694_92.diff.cut.dcmp
 2010-07-12T11:53:33.79 55389.495530      g      -     -      -      -      -      -      -      -    -      0x1613  1135.35  772.68  32.3767  1584.34 1078.15 32.739 0x00000011 ut100712l_templl/92/md09s105.g.100712l.128854_92_g.090903l.127906_92.diff.cut.dcmp
 2010-07-21T11:16:01.34 55398.469460      g      -     -      -      -      -      -      -      -    -      0x1613   721.38 2284.32  32.3767   714.90 2263.78 32.367 0x00000011  ut100721l_templl/92/md09s105.g.100721l.130581_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-02T12:30:42.91 55410.521330      g      -     -      -      -      -      -      -      -    -      0x1613  4173.44 1560.49  32.3767  4275.37 1598.11 32.403 0x00000011  ut100802l_templl/92/md09s105.g.100802l.134132_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-02T12:30:42.91 55410.521330      g      -     -      -      -      -      -      -      -    -      0x1613  3934.22 1485.75  32.3767  5573.63 2104.24 32.755 0x00000011 ut100802l_templl/92/md09s105.g.100802l.134132_92_g.090903l.127906_92.diff.cut.dcmp
 2010-08-05T10:50:24.29 55413.451670      g 22.667 0.144  0.323  0.180      -      -      -      -    1      0x1613  7657.31 1021.39  32.3767  7637.59 1016.31 32.374 0x00000011  ut100805l_templl/92/md09s105.g.100805l.135606_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-05T10:50:24.29 55413.451670      g 22.786 0.139  0.443  0.176      -      -      -      -    1      0x1613  6856.66  881.57  32.3767  9626.59 1234.50 32.745 0x00000011 ut100805l_templl/92/md09s105.g.100805l.135606_92_g.090903l.127906_92.diff.cut.dcmp
 2010-08-08T12:11:22.35 55416.507898      g 22.363 0.094 -0.090  0.192      -      -      -      -    1      0x1613 10128.16  877.78  32.3767 10128.16  872.76 32.377 0x00000011  ut100808l_templl/92/md09s105.g.100808l.137013_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-08T12:11:22.35 55416.507898      g 22.479 0.105  0.026  0.198      -      -      -      -    1      0x1613  9101.44  882.80  32.3767 12700.77 1226.30 32.739 0x00000011 ut100808l_templl/92/md09s105.g.100808l.137013_92_g.090903l.127906_92.diff.cut.dcmp
 2010-08-14T12:33:56.06 55422.523566      g 22.038 0.114 -0.175  0.181      -      -      -      -    1      0x1613 13661.64 1434.95  32.3767 13546.37 1417.31 32.367 0x00000011  ut100814l_templl/92/md09s105.g.100814l.138996_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-14T12:33:56.06 55422.523566      g 22.130 0.115 -0.084  0.181      -      -      -      -    1      0x1613 12556.45 1332.59  32.3767 17194.39 1817.85 32.718 0x00000011 ut100814l_templl/92/md09s105.g.100814l.138996_92_g.090903l.127906_92.diff.cut.dcmp
 2010-08-17T09:37:02.62 55425.400725      g 21.963 0.080 -0.028  0.129      -      -      -      -    1      0x1613 14634.31 1091.98  32.3767 15356.50 1137.02 32.429 0x00000011  ut100817l_templl/92/md09s105.g.100817l.140493_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-17T09:37:02.62 55425.400725      g 22.027 0.078  0.036  0.127      -      -      -      -    1      0x1613 13806.24 1002.63  32.3767 20300.90 1462.27 32.795 0x00000011 ut100817l_templl/92/md09s105.g.100817l.140493_92_g.090903l.127906_92.diff.cut.dcmp
 2010-08-20T12:48:23.36 55428.533604      g 22.096 0.101  0.261  0.139      -      -      -      -    1      0x1613 12950.77 1213.66  32.3767 12787.20 1192.48 32.363 0x00000011  ut100820l_templl/92/md09s105.g.100820l.142386_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-20T12:48:23.36 55428.533604      g 22.146 0.088  0.311  0.130      -      -      -      -    1      0x1613 12364.70 1011.13  32.3767 17254.55 1401.94 32.739 0x00000011 ut100820l_templl/92/md09s105.g.100820l.142386_92_g.090903l.127906_92.diff.cut.dcmp
 2010-08-29T12:13:08.73 55437.509129      g      -     -      -      -      -      -      -      -    -      0x1613  6769.49 2761.38  32.3767  6210.92 2532.88 32.283 0x00000011  ut100829l_templl/92/md09s105.g.100829l.145935_92_g.090826l.30694_92.diff.cut.dcmp
 2010-08-29T12:13:08.73 55437.509129      g      -     -      -      -      -      -      -      -    -      0x1613  6780.31 2663.46  32.3767  8668.21 3404.13 32.643 0x00000011 ut100829l_templl/92/md09s105.g.100829l.145935_92_g.090903l.127906_92.diff.cut.dcmp
 2010-09-01T12:14:19.46 55440.509948      g 22.204 0.076  0.173  0.129      -      -      -      -    1      0x1613 11718.83  825.63  32.3767 11804.41  824.46 32.385 0x00000011  ut100901l_templl/92/md09s105.g.100901l.147155_92_g.090826l.30694_92.diff.cut.dcmp
 2010-09-01T12:14:19.46 55440.509948      g 22.294 0.093  0.263  0.140      -      -      -      -    1      0x1613 10792.86  925.90  32.3767 15061.09 1284.52 32.739 0x00000011 ut100901l_templl/92/md09s105.g.100901l.147155_92_g.090903l.127906_92.diff.cut.dcmp
 2010-09-04T11:26:22.05 55443.476644      g 22.148 0.099  0.203  0.140      -      -      -      -    1      0x1613 12345.15 1128.07  32.3767 12018.67 1092.59 32.348 0x00000011  ut100904l_templl/92/md09s105.g.100904l.148852_92_g.090826l.30694_92.diff.cut.dcmp
 2010-09-04T11:26:22.05 55443.476644      g 22.238 0.094  0.293  0.137      -      -      -      -    1      0x1613 11359.33  993.35  32.3767 15851.58 1378.40 32.739 0x00000011 ut100904l_templl/92/md09s105.g.100904l.148852_92_g.090903l.127906_92.diff.cut.dcmp
 2010-09-07T11:51:51.12 55446.494342      g 21.935 0.096  0.256  0.147      -      -      -      -    1      0x1613 15025.21 1337.36  32.3767 14782.25 1308.61 32.359 0x00000011  ut100907l_templl/92/md09s105.g.100907l.150843_92_g.090826l.30694_92.diff.cut.dcmp
 2010-09-07T11:51:51.12 55446.494342      g 22.006 0.091  0.327  0.144      -      -      -      -    1      0x1613 14066.58 1192.46  32.3767 19108.58 1610.21 32.709 0x00000011 ut100907l_templl/92/md09s105.g.100907l.150843_92_g.090903l.127906_92.diff.cut.dcmp
 2010-09-10T10:06:47.79 55449.421386      g 21.919 0.074 -0.030  0.126      -      -      -      -    1      0x1613 15246.88 1050.54  32.3767 15246.88 1041.02 32.377 0x00000011  ut100910l_templl/92/md09s105.g.100910l.152634_92_g.090826l.30694_92.diff.cut.dcmp
