#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err    iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                            cmpfile
 2010-07-21T11:35:41.57 55398.483120      r      -     -  -      -      -      -     -      -    -      0x1614   670.42 2616.31  32.5490   670.42 2616.30 32.549 0x00000011  ut100721l_templl/92/md09s100.r.100721l.130652_92_r.090827l.30765_92.diff.cut.dcmp
 2010-07-21T11:35:41.57 55398.483120      r      -     -  -      -      -      -     -      -    -      0x1614 -2797.19 2708.07  32.5490 -3104.57 3005.52 32.662 0x00000011 ut100721l_templl/92/md09s100.r.100721l.130652_92_r.090911l.127980_92.diff.cut.dcmp
 2010-08-08T12:30:08.35 55416.520930      r      -     -  -      -      -      -     -      -    -      0x1614  1172.83 1022.67  32.5490  1172.83 1022.61 32.549 0x00000011  ut100808l_templl/92/md09s100.r.100808l.137086_92_r.090827l.30765_92.diff.cut.dcmp
 2010-08-08T12:30:08.35 55416.520930      r      -     -  -      -      -      -     -      -    -      0x1614 -1923.81 1028.20  32.5490 -2135.22 1141.02 32.662 0x00000011 ut100808l_templl/92/md09s100.r.100808l.137086_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-01T11:48:56.45 55440.492320      r 23.618 0.332  -      -  0.764  0.356     -      -    1      0x1614  3735.73 1141.49  32.5490  3735.73 1140.97 32.549 0x00000011  ut100901l_templl/92/md09s100.r.100901l.147227_92_r.090827l.30765_92.diff.cut.dcmp
 2010-09-01T11:48:56.45 55440.492320      r      -     -  -      -      -      -     -      -    -      0x1614   772.48 1148.59  32.5490   857.37 1274.78 32.662 0x00000011 ut100901l_templl/92/md09s100.r.100901l.147227_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-04T11:44:58.85 55443.489570      r 23.403 0.254  -      - -0.311  0.397     -      -    1      0x1614  4555.07 1066.31  32.5490  4555.07 1065.48 32.549 0x00000011  ut100904l_templl/92/md09s100.r.100904l.148924_92_r.090827l.30765_92.diff.cut.dcmp
 2010-09-04T11:44:58.85 55443.489570      r      -     -  -      -      -      -     -      -    -      0x1614  1458.54 1059.33  32.5490  1618.82 1175.65 32.662 0x00000011 ut100904l_templl/92/md09s100.r.100904l.148924_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-10T10:45:37.67 55449.448353      r 23.660 0.324  -      -  0.625  0.443     -      -    1      0x1614  3593.60 1072.01  32.5490  3593.60 1071.49 32.549 0x00000011  ut100910l_templl/92/md09s100.r.100910l.152709_92_r.090827l.30765_92.diff.cut.dcmp
 2010-09-10T10:45:37.67 55449.448353      r      -     -  -      -      -      -     -      -    -      0x1614   330.72 1059.04  32.5490   367.06 1175.41 32.662 0x00000011 ut100910l_templl/92/md09s100.r.100910l.152709_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-13T09:54:47.69 55452.413052      r      -     -  -      -      -      -     -      -    -      0x1614  1227.63 1121.81  32.5490  1227.63 1121.75 32.549 0x00000011  ut100913l_templl/92/md09s100.r.100913l.154337_92_r.090827l.30765_92.diff.cut.dcmp
 2010-09-13T09:54:47.69 55452.413052      r      -     -  -      -      -      -     -      -    -      0x1614 -2030.66 1144.82  32.5490 -2253.81 1270.45 32.662 0x00000011 ut100913l_templl/92/md09s100.r.100913l.154337_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-16T09:28:39.15 55455.394898      r      -     -  -      -      -      -     -      -    -      0x1614   825.87 1242.66  32.5490   825.87 1242.64 32.549 0x00000011  ut100916l_templl/92/md09s100.r.100916l.155862_92_r.090827l.30765_92.diff.cut.dcmp
 2010-09-16T09:28:39.15 55455.394898      r      -     -  -      -      -      -     -      -    -      0x1614 -2605.00 1274.59  32.5490 -2891.26 1414.40 32.662 0x00000011 ut100916l_templl/92/md09s100.r.100916l.155862_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-19T07:01:07.13 55458.292444      r      -     -  -      -      -      -     -      -    -      0x1614 -1811.47 2745.94  32.5490 -2010.53 3047.63 32.662 0x00000011 ut100919l_templl/92/md09s100.r.100919l.157318_92_r.090911l.127980_92.diff.cut.dcmp
 2010-09-28T08:27:44.51 55467.352599      r      -     -  -      -      -      -     -      -    -      0x1614   568.79 1455.99  32.5490   568.79 1455.98 32.549 0x00000011  ut100928l_templl/92/md09s100.r.100928l.163391_92_r.090827l.30765_92.diff.cut.dcmp
 2010-09-28T08:27:44.51 55467.352599      r      -     -  -      -      -      -     -      -    -      0x1614 -2658.14 1472.84  32.5490 -2950.24 1634.46 32.662 0x00000011 ut100928l_templl/92/md09s100.r.100928l.163391_92_r.090911l.127980_92.diff.cut.dcmp
 2010-10-31T05:51:26.28 55500.244054      r      -     -  -      -      -      -     -      -    -      0x1614  1394.50 1403.52  32.5490  1394.50 1403.46 32.549 0x00000011  ut101031l_templl/92/md09s100.r.101031l.176488_92_r.090827l.30765_92.diff.cut.dcmp
 2010-10-31T05:51:26.28 55500.244054      r      -     -  -      -      -      -     -      -    -      0x1614 -1812.40 1417.49  32.5490 -2011.56 1573.15 32.662 0x00000011 ut101031l_templl/92/md09s100.r.101031l.176488_92_r.090911l.127980_92.diff.cut.dcmp
 2010-11-03T07:48:05.70 55503.325066      r      -     -  -      -      -      -     -      -    -      0x1614  -450.88 1444.01  32.5490  -450.88 1444.00 32.549 0x00000011  ut101103l_templl/92/md09s100.r.101103l.178349_92_r.090827l.30765_92.diff.cut.dcmp
