#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err    iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T12:01:47.14 55173.501240      g      -     -      -      -      -      -     -      -    -      0x1613    227.27 3769.63  32.5346    229.33 3803.81 32.544 0x00000011  ut091208d_templd/32/md03s032.g.091208d.37594_32_g.100110d.41892_32.diff.cut.dcmp
 2009-12-08T12:01:47.14 55173.501240      g      -     -      -      -      -      -     -      -    -      0x1613   1454.36 3679.92  32.5346   1348.69 3412.52 32.453 0x00000011  ut091208d_templd/32/md03s032.g.091208d.37594_32_g.100119d.51815_32.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -      -      -      -      -     -      -    -      0x1613   2629.58 1319.93  32.5346   2645.61 1327.75 32.541 0x00000011  ut091214d_templd/32/md03s032.g.091214d.38411_32_g.100110d.41892_32.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g 23.609 0.344      -      -      -      -     -      -    -      0x1613   3717.22 1176.93  32.5346   3467.51 1097.40 32.459 0x00000011  ut091214d_templd/32/md03s032.g.091214d.38411_32_g.100119d.51815_32.diff.cut.dcmp
 2009-12-17T11:50:44.45 55182.493570      g      -     -      -      -      -      -     -      -    -      0x1613   1619.22 1783.65  32.5346   1594.36 1756.20 32.518 0x00000011  ut091217d_templd/32/md03s032.g.091217d.39578_32_g.100110d.41892_32.diff.cut.dcmp
 2009-12-17T11:50:44.45 55182.493570      g      -     -      -      -      -      -     -      -    -      0x1613   2233.63 1630.60  32.5346   2030.54 1482.22 32.431 0x00000011  ut091217d_templd/32/md03s032.g.091217d.39578_32_g.100119d.51815_32.diff.cut.dcmp
 2009-12-23T13:11:40.99 55188.549780      g      -     -      -      -      -      -     -      -    -      0x1613   1388.13 2518.52  32.5346   1490.56 2704.33 32.612 0x00000011  ut091223d_templd/32/md03s032.g.091223d.45066_32_g.100110d.41892_32.diff.cut.dcmp
 2009-12-23T13:11:40.99 55188.549780      g      -     -      -      -      -      -     -      -    -      0x1613   1464.20 2540.65  32.5346   1433.38 2487.13 32.511 0x00000011  ut091223d_templd/32/md03s032.g.091223d.45066_32_g.100119d.51815_32.diff.cut.dcmp
 2010-01-07T10:37:26.69 55203.442670      g      -     -      -      -      -      -     -      -    -      0x1613   2231.46 1539.34  32.5346   2279.02 1572.01 32.557 0x00000011  ut100107d_templd/32/md03s032.g.100107d.36237_32_g.100110d.41892_32.diff.cut.dcmp
 2010-01-07T10:37:26.69 55203.442670      g      -     -      -      -      -      -     -      -    -      0x1613   3508.04 1399.74  32.5346   3264.56 1302.24 32.456 0x00000011  ut100107d_templd/32/md03s032.g.100107d.36237_32_g.100119d.51815_32.diff.cut.dcmp
 2010-01-10T11:58:11.09 55206.498739      g      -     -      -      -      -      -     -      -    -      0x1613   1701.43 1657.48  32.5346   1563.63 1523.17 32.443 0x00000011  ut100110d_templd/32/md03s032.g.100110d.41892_32_g.100119d.51815_32.diff.cut.dcmp
 2010-01-14T22:51:50.66 55210.952670      g      -     -      -      -      -      -     -      -    -      0x1613    540.02  915.18  32.5346    557.20  944.28 32.569 0x00000011  ut100114d_templd/32/md03s032.g.100114d.57405_32_g.100110d.41892_32.diff.cut.dcmp
 2010-01-14T22:51:50.66 55210.952670      g      -     -      -      -      -      -     -      -    -      0x1613   2069.48  722.09  32.5346   1984.18  692.08 32.489 0x00000011  ut100114d_templd/32/md03s032.g.100114d.57405_32_g.100119d.51815_32.diff.cut.dcmp
 2010-01-19T09:47:54.53 55215.408270      g      -     -      -      -      -      -     -      -    -      0x1613  -1701.50 1632.48  32.5346  -1690.72 1622.06 32.528 0x00000011  ut100119d_templd/32/md03s032.g.100119d.51815_32_g.100110d.41892_32.diff.cut.dcmp
 2010-02-03T10:51:09.22 55230.452190      g      -     -      -      -      -      -     -      -    -      0x1613   1066.15 2158.78  32.5346   1077.70 2182.15 32.546 0x00000011  ut100203d_templd/32/md03s032.g.100203d.99189_32_g.100110d.41892_32.diff.cut.dcmp
 2010-02-03T10:51:09.22 55230.452190      g      -     -      -      -      -      -     -      -    -      0x1613    965.89 2188.64  32.5346    895.71 2029.60 32.453 0x00000011  ut100203d_templd/32/md03s032.g.100203d.99189_32_g.100119d.51815_32.diff.cut.dcmp
 2010-02-06T09:44:14.21 55233.405720      g      -     -      -      -      -      -     -      -    -      0x1613   3532.47 2546.42  32.5346   4114.13 2965.47 32.700 0x00000011 ut100206d_templd/32/md03s032.g.100206d.100604_32_g.100110d.41892_32.diff.cut.dcmp
 2010-02-06T09:44:14.21 55233.405720      g      -     -      -      -      -      -     -      -    -      0x1613   2787.26 2617.11  32.5346   2917.01 2738.80 32.584 0x00000011 ut100206d_templd/32/md03s032.g.100206d.100604_32_g.100119d.51815_32.diff.cut.dcmp
 2010-02-09T07:51:11.81 55236.327220      g      -     -      -      -      -      -     -      -    -      0x1613   5729.74 4550.46  32.5346   5857.27 4651.42 32.559 0x00000011 ut100209d_templd/32/md03s032.g.100209d.102139_32_g.100110d.41892_32.diff.cut.dcmp
 2010-02-09T07:51:11.81 55236.327220      g      -     -      -      -      -      -     -      -    -      0x1613   4294.60 4270.30  32.5346   3923.58 3901.21 32.437 0x00000011 ut100209d_templd/32/md03s032.g.100209d.102139_32_g.100119d.51815_32.diff.cut.dcmp
 2010-02-21T09:27:33.70 55248.394140      g      -     -      -      -      -      -     -      -    -      0x1613   1451.53 1731.71  32.5346   1565.84 1868.02 32.617 0x00000011  ut100221d_templd/32/md03s032.g.100221d.62885_32_g.100110d.41892_32.diff.cut.dcmp
 2010-02-21T09:27:33.70 55248.394140      g      -     -      -      -      -      -     -      -    -      0x1613   1990.84 1648.08  32.5346   2010.56 1664.30 32.545 0x00000011  ut100221d_templd/32/md03s032.g.100221d.62885_32_g.100119d.51815_32.diff.cut.dcmp
 2010-03-20T08:44:59.71 55275.364580      g      -     -      -      -      -      -     -      -    -      0x1613   3139.84 2075.12  32.5346   3223.35 2130.10 32.563 0x00000011  ut100320d_templd/32/md03s032.g.100320d.74712_32_g.100110d.41892_32.diff.cut.dcmp
 2010-03-20T08:44:59.71 55275.364580      g      -     -      -      -      -      -     -      -    -      0x1613   3499.05 2028.63  32.5346   3364.73 1950.51 32.492 0x00000011  ut100320d_templd/32/md03s032.g.100320d.74712_32_g.100119d.51815_32.diff.cut.dcmp
 2010-10-13T14:36:18.72 55482.608550      g 23.012 0.220  0.411  0.308      -      -     -      -    1      0x1613   6439.62 1307.59  32.5346   6359.46 1289.97 32.521 0x00000011 ut101013d_templd/32/md03s032.g.101013d.170859_32_g.100110d.41892_32.diff.cut.dcmp
 2010-10-13T14:36:18.72 55482.608550      g 22.770 0.158  0.169  0.267      -      -     -      -    1      0x1613   8051.89 1177.02  32.5346   7514.46 1096.26 32.460 0x00000011 ut101013d_templd/32/md03s032.g.101013d.170859_32_g.100119d.51815_32.diff.cut.dcmp
 2010-10-16T14:30:11.23 55485.604297      g 22.943 0.219  0.319  0.317      -      -     -      -    1      0x1613   6865.85 1387.09  32.5346   6868.38 1386.15 32.535 0x00000011 ut101016d_templd/32/md03s032.g.101016d.172733_32_g.100110d.41892_32.diff.cut.dcmp
 2010-10-16T14:30:11.23 55485.604297      g 22.800 0.174  0.176  0.288      -      -     -      -    1      0x1613   7828.58 1253.47  32.5346   7251.75 1159.17 32.452 0x00000011 ut101016d_templd/32/md03s032.g.101016d.172733_32_g.100119d.51815_32.diff.cut.dcmp
 2010-11-30T14:04:39.56 55530.586569      g      -     -      -      -      -      -     -      -    -      0x1613   7080.58 2496.80  32.5346   7288.34 2569.18 32.566 0x00000011 ut101130d_templd/32/md03s032.g.101130d.191745_32_g.100110d.41892_32.diff.cut.dcmp
 2010-11-30T14:04:39.56 55530.586569      g      -     -      -      -      -      -     -      -    -      0x1613   7088.98 2404.60  32.5346   6623.14 2245.75 32.461 0x00000011 ut101130d_templd/32/md03s032.g.101130d.191745_32_g.100119d.51815_32.diff.cut.dcmp
 2010-12-15T11:31:25.30 55545.480154      g      -     -      -      -      -      -     -      -    -      0x1613   5858.82 2432.49  32.5346   5931.58 2462.09 32.548 0x00000011 ut101215d_templd/32/md03s032.g.101215d.203925_32_g.100110d.41892_32.diff.cut.dcmp
 2010-12-15T11:31:25.30 55545.480154      g      -     -      -      -      -      -     -      -    -      0x1613   6641.57 2302.31  32.5346   6098.05 2113.14 32.442 0x00000011 ut101215d_templd/32/md03s032.g.101215d.203925_32_g.100119d.51815_32.diff.cut.dcmp
 2010-12-30T09:24:02.37 55560.391694      g      -     -      -      -      -      -     -      -    -      0x1613   5323.24 2334.47  32.5346   5400.77 2367.94 32.550 0x00000011 ut101230d_templd/32/md03s032.g.101230d.211723_32_g.100110d.41892_32.diff.cut.dcmp
 2010-12-30T09:24:02.37 55560.391694      g      -     -      -      -      -      -     -      -    -      0x1613   4815.35 2287.19  32.5346   4523.01 2147.93 32.467 0x00000011 ut101230d_templd/32/md03s032.g.101230d.211723_32_g.100119d.51815_32.diff.cut.dcmp
 2011-02-04T07:56:37.54 55596.330990      g 22.834 0.259 -0.086  0.394      -      -     -      -    1      0x1613   7590.03 1812.56  32.5346   7644.05 1824.09 32.542 0x00000011 ut110204d_templd/32/md03s032.g.110204d.223221_32_g.100110d.41892_32.diff.cut.dcmp
 2011-02-04T07:56:37.54 55596.330990      g 22.830 0.242 -0.090  0.384      -      -     -      -    1      0x1613   7614.76 1697.31  32.5346   6933.24 1544.07 32.433 0x00000011 ut110204d_templd/32/md03s032.g.110204d.223221_32_g.100119d.51815_32.diff.cut.dcmp
 2011-02-10T07:22:02.87 55602.306978      g      -     -      -      -      -      -     -      -    -      0x1613  -1549.54 3885.99  32.5346  -1549.54 3885.96 32.535 0x00000011 ut110210d_templd/32/md03s032.g.110210d.224838_32_g.100110d.41892_32.diff.cut.dcmp
 2011-02-10T07:22:02.87 55602.306978      g      -     -      -      -      -      -     -      -    -      0x1613   4687.42 3367.29  32.5346   3974.60 2854.99 32.355 0x00000011 ut110210d_templd/32/md03s032.g.110210d.224838_32_g.100119d.51815_32.diff.cut.dcmp
 2011-03-12T06:07:43.86 55632.255369      g 22.360 0.243 -0.186  0.245      -      -     -      -    2      0x1613  11742.40 2631.93  32.5346  12290.14 2752.35 32.584 0x00000011 ut110312d_templd/32/md03s032.g.110312d.247986_32_g.100110d.41892_32.diff.cut.dcmp
 2011-03-12T06:07:43.86 55632.255369      g 22.365 0.233 -0.182  0.235      -      -     -      -    2      0x1613  11692.28 2516.63  32.5346  11081.01 2382.86 32.476 0x00000011 ut110312d_templd/32/md03s032.g.110312d.247986_32_g.100119d.51815_32.diff.cut.dcmp
 2009-11-26T12:57:10.46 55161.539704      r      -     -      -      -      -      -     -      -    -      0x1614   5718.08 6408.78  32.8398   5370.94 6019.50 32.772 0x00000011  ut091126d_templd/32/md03s032.r.091126d.32919_32_r.100107d.36324_32.diff.cut.dcmp
 2009-11-26T12:57:10.46 55161.539704      r      -     -      -      -      -      -     -      -    -      0x1614  -5006.32 6599.60  32.8398  -3058.29 4031.50 32.305 0x00000011  ut091126d_templd/32/md03s032.r.091126d.32919_32_r.100119d.51921_32.diff.cut.dcmp
 2009-12-14T12:50:59.42 55179.535410      r      -     -      -      -      -      -     -      -    -      0x1614   1855.39 1792.47  32.8398   1815.83 1754.17 32.816 0x00000011  ut091214d_templd/32/md03s032.r.091214d.38518_32_r.100107d.36324_32.diff.cut.dcmp
 2009-12-14T12:50:59.42 55179.535410      r      -     -      -      -      -      -     -      -    -      0x1614  -6162.91 1675.38  32.8398  -3878.16 1053.66 32.337 0x00000011  ut091214d_templd/32/md03s032.r.091214d.38518_32_r.100119d.51921_32.diff.cut.dcmp
 2009-12-17T12:12:09.22 55182.508440      r      -     -      -      -      -      -     -      -    -      0x1614   3480.42 2140.77  32.8398   3480.42 2140.53 32.840 0x00000011  ut091217d_templd/32/md03s032.r.091217d.39684_32_r.100107d.36324_32.diff.cut.dcmp
 2009-12-17T12:12:09.22 55182.508440      r      -     -      -      -      -      -     -      -    -      0x1614  -5793.74 2377.88  32.8398  -3577.33 1467.84 32.316 0x00000011  ut091217d_templd/32/md03s032.r.091217d.39684_32_r.100119d.51921_32.diff.cut.dcmp
 2010-01-07T11:01:15.74 55203.459210      r      -     -      -      -      -      -     -      -    -      0x1614  -8400.00 2106.38  32.8398  -5384.67 1349.34 32.357 0x00000011  ut100107d_templd/32/md03s032.r.100107d.36324_32_r.100119d.51921_32.diff.cut.dcmp
 2010-01-10T12:20:59.71 55206.514580      r      -     -      -      -      -      -     -      -    -      0x1614   4459.68 2238.04  32.8398   4459.68 2237.66 32.840 0x00000011  ut100110d_templd/32/md03s032.r.100110d.41999_32_r.100107d.36324_32.diff.cut.dcmp
 2010-01-10T12:20:59.71 55206.514580      r      -     -      -      -      -      -     -      -    -      0x1614  -4013.01 2368.34  32.8398  -2436.86 1437.97 32.298 0x00000011  ut100110d_templd/32/md03s032.r.100110d.41999_32_r.100119d.51921_32.diff.cut.dcmp
 2010-01-16T10:40:16.03 55212.444630      r      -     -      -      -      -      -     -      -    -      0x1614   2738.43 2795.69  32.8398   2738.43 2795.58 32.840 0x00000011  ut100116d_templd/32/md03s032.r.100116d.45772_32_r.100107d.36324_32.diff.cut.dcmp
 2010-01-16T10:40:16.04 55212.444630      r      -     -      -      -      -      -     -      -    -      0x1614  -6722.38 2897.04  32.8398  -4509.03 1942.74 32.406 0x00000011  ut100116d_templd/32/md03s032.r.100116d.45772_32_r.100119d.51921_32.diff.cut.dcmp
 2010-01-19T10:10:13.73 55215.423770      r 23.033 0.272      -      -      -      -     -      -    -      0x1614   8373.31 2099.75  32.8398   8373.31 2098.32 32.840 0x00000011  ut100119d_templd/32/md03s032.r.100119d.51921_32_r.100107d.36324_32.diff.cut.dcmp
 2010-02-03T11:11:40.42 55230.466440      r      -     -      -      -      -      -     -      -    -      0x1614   1916.24 2491.06  32.8398   1865.73 2425.34 32.811 0x00000011  ut100203d_templd/32/md03s032.r.100203d.99268_32_r.100107d.36324_32.diff.cut.dcmp
 2010-02-03T11:11:40.42 55230.466440      r      -     -      -      -      -      -     -      -    -      0x1614  -6924.87 2449.89  32.8398  -4328.44 1530.80 32.330 0x00000011  ut100203d_templd/32/md03s032.r.100203d.99268_32_r.100119d.51921_32.diff.cut.dcmp
 2010-02-06T10:09:25.34 55233.423210      r      -     -      -      -      -      -     -      -    -      0x1614  -2035.47 2746.45  32.8398  -2263.11 3053.53 32.955 0x00000011 ut100206d_templd/32/md03s032.r.100206d.100683_32_r.100107d.36324_32.diff.cut.dcmp
 2010-02-06T10:09:25.34 55233.423210      r      -     -      -      -      -      -     -      -    -      0x1614 -11032.05 2673.30  32.8398  -7753.47 1877.46 32.457 0x00000011 ut100206d_templd/32/md03s032.r.100206d.100683_32_r.100119d.51921_32.diff.cut.dcmp
 2010-02-09T08:12:31.39 55236.342030      r      -     -      -      -      -      -     -      -    -      0x1614   3059.73 2971.08  32.8398   3022.20 2934.50 32.826 0x00000011 ut100209d_templd/32/md03s032.r.100209d.102219_32_r.100107d.36324_32.diff.cut.dcmp
