#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err    iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T12:03:41.18 55173.502560      g      -     -  -      -      -      -     -      -    -      0x1613   -214.52   990.02  32.6394   -226.65  1045.98 32.699 0x00000011  ut091208m_templm/34/md03s115.g.091208m.37668_34_g.100110m.41965_34.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g      -     -  -      -      -      -     -      -    -      0x1613    -84.39   937.01  32.6394    -92.83  1030.73 32.743 0x00000011  ut091208m_templm/34/md03s115.g.091208m.37668_34_g.100119m.51888_34.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -  -      -      -      -     -      -    -      0x1613   -199.34   739.23  32.6394   -197.97   734.14 32.632 0x00000011  ut091214m_templm/34/md03s115.g.091214m.38483_34_g.100110m.41965_34.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -  -      -      -      -     -      -    -      0x1613    118.44   625.42  32.6394    122.84   648.65 32.679 0x00000011  ut091214m_templm/34/md03s115.g.091214m.38483_34_g.100119m.51888_34.diff.cut.dcmp
 2009-12-17T11:47:42.14 55182.491460      g      -     -  -      -      -      -     -      -    -      0x1613   -930.64   814.38  32.6394   -976.21   854.21 32.691 0x00000011  ut091217m_templm/34/md03s115.g.091217m.39652_34_g.100110m.41965_34.diff.cut.dcmp
 2009-12-17T11:47:42.14 55182.491460      g      -     -  -      -      -      -     -      -    -      0x1613   -651.92   678.45  32.6394   -715.48   744.56 32.740 0x00000011  ut091217m_templm/34/md03s115.g.091217m.39652_34_g.100119m.51888_34.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -  -      -      -      -     -      -    -      0x1613    855.98   888.99  32.6394    857.80   890.84 32.642 0x00000011  ut091226m_templm/34/md03s115.g.091226m.41078_34_g.100110m.41965_34.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -  -      -      -      -     -      -    -      0x1613   1063.81   799.83  32.6394   1114.87   838.16 32.690 0x00000011  ut091226m_templm/34/md03s115.g.091226m.41078_34_g.100119m.51888_34.diff.cut.dcmp
 2010-01-07T10:30:19.01 55203.437720      g      -     -  -      -      -      -     -      -    -      0x1613    373.47   795.22  32.6394    375.23   798.96 32.645 0x00000011  ut100107m_templm/34/md03s115.g.100107m.36304_34_g.100110m.41965_34.diff.cut.dcmp
 2010-01-07T10:30:19.01 55203.437720      g      -     -  -      -      -      -     -      -    -      0x1613    947.39   666.22  32.6394    995.15   699.75 32.693 0x00000011  ut100107m_templm/34/md03s115.g.100107m.36304_34_g.100119m.51888_34.diff.cut.dcmp
 2010-01-10T11:59:16.80 55206.499500      g      -     -  -      -      -      -     -      -    -      0x1613    588.94   686.01  32.6394    614.43   715.68 32.685 0x00000011  ut100110m_templm/34/md03s115.g.100110m.41965_34_g.100119m.51888_34.diff.cut.dcmp
 2010-01-14T12:09:38.21 55210.506692      g      -     -  -      -      -      -     -      -    -      0x1613   -552.40   497.28  32.6394   -552.40   497.25 32.639 0x00000011  ut100114m_templm/34/md03s115.g.100114m.57469_34_g.100110m.41965_34.diff.cut.dcmp
 2010-01-14T12:09:38.21 55210.506692      g      -     -  -      -      -      -     -      -    -      0x1613   -341.21   270.17  32.6394   -351.22   278.08 32.671 0x00000011  ut100114m_templm/34/md03s115.g.100114m.57469_34_g.100119m.51888_34.diff.cut.dcmp
 2010-01-16T10:19:19.78 55212.430090      g      -     -  -      -      -      -     -      -    -      0x1613   -358.85   779.44  32.6394   -356.25   773.78 32.632 0x00000011  ut100116m_templm/34/md03s115.g.100116m.45741_34_g.100110m.41965_34.diff.cut.dcmp
 2010-01-16T10:19:19.78 55212.430090      g      -     -  -      -      -      -     -      -    -      0x1613    -29.19   652.04  32.6394    -30.30   676.76 32.680 0x00000011  ut100116m_templm/34/md03s115.g.100116m.45741_34_g.100119m.51888_34.diff.cut.dcmp
 2010-01-19T09:46:23.81 55215.407220      g      -     -  -      -      -      -     -      -    -      0x1613   -565.48   682.82  32.6394   -565.48   682.80 32.639 0x00000011  ut100119m_templm/34/md03s115.g.100119m.51888_34_g.100110m.41965_34.diff.cut.dcmp
 2010-01-25T10:31:03.94 55221.438240      g      -     -  -      -      -      -     -      -    -      0x1613  -3791.60  1113.26  32.6394  -3791.60  1112.71 32.639 0x00000011  ut100125m_templm/34/md03s115.g.100125m.96667_34_g.100110m.41965_34.diff.cut.dcmp
 2010-01-25T10:31:03.94 55221.438240      g      -     -  -      -      -      -     -      -    -      0x1613  -1203.31  1369.44  32.6394  -1263.86  1438.30 32.693 0x00000011  ut100125m_templm/34/md03s115.g.100125m.96667_34_g.100119m.51888_34.diff.cut.dcmp
 2010-02-21T09:26:46.18 55248.393590      g      -     -  -      -      -      -     -      -    -      0x1613    174.40   959.46  32.6394    174.40   959.46 32.639 0x00000011  ut100221m_templm/34/md03s115.g.100221m.62950_34_g.100110m.41965_34.diff.cut.dcmp
 2010-02-21T09:26:46.18 55248.393590      g      -     -  -      -      -      -     -      -    -      0x1613     60.76   878.83  32.6394     64.09   927.05 32.697 0x00000011  ut100221m_templm/34/md03s115.g.100221m.62950_34_g.100119m.51888_34.diff.cut.dcmp
 2010-10-13T14:36:18.72 55482.608550      g      -     -  -      -      -      -     -      -    -      0x1613    738.23   812.80  32.6394    737.89   812.40 32.639 0x00000011 ut101013m_templm/34/md03s115.g.101013m.170921_34_g.100110m.41965_34.diff.cut.dcmp
 2010-10-13T14:36:18.72 55482.608550      g      -     -  -      -      -      -     -      -    -      0x1613    756.50   720.88  32.6394    785.25   748.24 32.680 0x00000011 ut101013m_templm/34/md03s115.g.101013m.170921_34_g.100119m.51888_34.diff.cut.dcmp
 2010-10-16T14:30:11.52 55485.604300      g      -     -  -      -      -      -     -      -    -      0x1613   -211.61   993.45  32.6394   -211.92   994.91 32.641 0x00000011 ut101016m_templm/34/md03s115.g.101016m.172795_34_g.100110m.41965_34.diff.cut.dcmp
 2010-10-16T14:30:11.52 55485.604300      g      -     -  -      -      -      -     -      -    -      0x1613    -83.24   927.25  32.6394    -87.03   969.52 32.688 0x00000011 ut101016m_templm/34/md03s115.g.101016m.172795_34_g.100119m.51888_34.diff.cut.dcmp
 2010-11-03T13:57:10.67 55503.581374      g      -     -  -      -      -      -     -      -    -      0x1613  -1314.03   970.04  32.6394  -1314.03   969.96 32.639 0x00000011 ut101103m_templm/34/md03s115.g.101103m.178128_34_g.100110m.41965_34.diff.cut.dcmp
 2010-11-03T13:57:10.67 55503.581374      g      -     -  -      -      -      -     -      -    -      0x1613   -217.91   953.51  32.6394   -231.80  1014.30 32.706 0x00000011 ut101103m_templm/34/md03s115.g.101103m.178128_34_g.100119m.51888_34.diff.cut.dcmp
 2010-11-09T14:33:56.20 55509.606900      g      -     -  -      -      -      -     -      -    -      0x1613  -1219.69  1405.66  32.6394  -1181.65  1361.78 32.605 0x00000011 ut101109m_templm/34/md03s115.g.101109m.180383_34_g.100110m.41965_34.diff.cut.dcmp
 2010-11-09T14:33:56.20 55509.606900      g      -     -  -      -      -      -     -      -    -      0x1613   -772.63  1309.98  32.6394   -783.74  1328.80 32.655 0x00000011 ut101109m_templm/34/md03s115.g.101109m.180383_34_g.100119m.51888_34.diff.cut.dcmp
 2010-11-15T14:12:12.73 55515.591814      g      -     -  -      -      -      -     -      -    -      0x1613   -146.51  1685.75  32.6394   -147.96  1702.44 32.650 0x00000011 ut101115m_templm/34/md03s115.g.101115m.182677_34_g.100110m.41965_34.diff.cut.dcmp
 2010-11-15T14:12:12.73 55515.591814      g      -     -  -      -      -      -     -      -    -      0x1613    390.03  1582.82  32.6394    411.17  1668.59 32.697 0x00000011 ut101115m_templm/34/md03s115.g.101115m.182677_34_g.100119m.51888_34.diff.cut.dcmp
 2010-11-18T14:05:38.00 55518.587245      g      -     -  -      -      -      -     -      -    -      0x1613  -1201.99  1258.14  32.6394  -1201.99  1258.09 32.639 0x00000011 ut101118m_templm/34/md03s115.g.101118m.185303_34_g.100110m.41965_34.diff.cut.dcmp
 2010-11-18T14:05:38.00 55518.587245      g      -     -  -      -      -      -     -      -    -      0x1613    145.83  1540.57  32.6394    153.04  1616.74 32.692 0x00000011 ut101118m_templm/34/md03s115.g.101118m.185303_34_g.100119m.51888_34.diff.cut.dcmp
 2010-12-15T11:31:53.94 55545.480485      g      -     -  -      -      -      -     -      -    -      0x1613     87.77  1814.29  32.6394     88.83  1836.14 32.652 0x00000011 ut101215m_templm/34/md03s115.g.101215m.203990_34_g.100110m.41965_34.diff.cut.dcmp
