#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                            cmpfile
 2009-10-08T23:32:38.92 55112.981006      g 23.174 0.117  -      -     -      -  -      -    -      0x1613  10119.58  1097.30  33.1870   9535.92  1030.24 33.123 0x00000011   ut091008d_templd/14/md01s030.g.091008d.31615_14_g.091214d.38192_14.diff.cut.dcmp
 2009-12-08T08:28:45.12 55173.353300      g      -     -  -      -     -      -  -      -    -      0x1613   2730.55  2947.78  33.1870   2451.60  2646.54 33.070 0x00000011   ut091208d_templd/14/md01s030.g.091208d.37377_14_g.091214d.38192_14.diff.cut.dcmp
 2009-12-23T07:52:08.83 55188.327880      g      -     -  -      -     -      -  -      -    -      0x1613   2775.48  3652.49  33.1870   2395.62  3152.52 33.027 0x00000011   ut091223d_templd/14/md01s030.g.091223d.44635_14_g.091214d.38192_14.diff.cut.dcmp
 2009-12-26T05:44:03.55 55191.238930      g      -     -  -      -     -      -  -      -    -      0x1613    974.93  2532.04  33.1870    974.93  2532.02 33.187 0x00000011   ut091226d_templd/14/md01s030.g.091226d.40588_14_g.091214d.38192_14.diff.cut.dcmp
 2010-01-07T05:54:41.18 55203.246310      g 23.064 0.219  -      -     -      -  -      -    -      0x1613  11200.97  2264.76  33.1870   9727.82  1964.84 33.034 0x00000011   ut100107d_templd/14/md01s030.g.100107d.35909_14_g.091214d.38192_14.diff.cut.dcmp
 2010-01-10T06:45:44.06 55206.281760      g 24.447 0.343  -      -     -      -  -      -    -      0x1613   3133.50   989.75  33.1870   3133.50   989.33 33.187 0x00000011   ut100110d_templd/14/md01s030.g.100110d.41672_14_g.091214d.38192_14.diff.cut.dcmp
 2010-01-19T05:12:27.94 55215.216990      g 23.391 0.264  -      -     -      -  -      -    -      0x1613   8285.12  2018.15  33.1870   7041.40  1713.96 33.010 0x00000011   ut100119d_templd/14/md01s030.g.100119d.51630_14_g.091214d.38192_14.diff.cut.dcmp
 2010-08-05T14:04:23.23 55413.586380      g      -     -  -      -     -      -  -      -    -      0x1613   2875.45  1669.00  33.1870   2605.11  1511.89 33.080 0x00000011  ut100805d_templd/14/md01s030.g.100805d.135229_14_g.091214d.38192_14.diff.cut.dcmp
 2010-08-08T14:23:30.62 55416.599660      g      -     -  -      -     -      -  -      -    -      0x1613   4038.36  1710.37  33.1870   3462.30  1466.04 33.020 0x00000011  ut100808d_templd/14/md01s030.g.100808d.136640_14_g.091214d.38192_14.diff.cut.dcmp
 2010-08-14T14:12:10.66 55422.591790      g      -     -  -      -     -      -  -      -    -      0x1613   1774.29  3370.27  33.1870   1590.39  3020.92 33.068 0x00000011  ut100814d_templd/14/md01s030.g.100814d.138613_14_g.091214d.38192_14.diff.cut.dcmp
 2010-08-17T14:19:15.74 55425.596710      g 24.057 0.351  -      -     -      -  -      -    -      0x1613   4489.24  1452.63  33.1870   3957.43  1280.02 33.050 0x00000011  ut100817d_templd/14/md01s030.g.100817d.140111_14_g.091214d.38192_14.diff.cut.dcmp
 2010-08-20T14:04:04.22 55428.586160      g      -     -  -      -     -      -  -      -    -      0x1613   3864.74  1724.48  33.1870   3402.20  1517.77 33.049 0x00000011  ut100820d_templd/14/md01s030.g.100820d.142001_14_g.091214d.38192_14.diff.cut.dcmp
 2010-09-07T14:16:17.76 55446.594650      g      -     -  -      -     -      -  -      -    -      0x1613   1838.99  1980.68  33.1870   1838.99  1980.61 33.187 0x00000011  ut100907d_templd/14/md01s030.g.100907d.150332_14_g.091214d.38192_14.diff.cut.dcmp
 2010-09-10T13:47:33.22 55449.574690      g      -     -  -      -     -      -  -      -    -      0x1613   2903.64  1763.07  33.1870   2903.64  1762.87 33.187 0x00000011  ut100910d_templd/14/md01s030.g.100910d.152106_14_g.091214d.38192_14.diff.cut.dcmp
 2010-09-13T13:58:25.54 55452.582240      g      -     -  -      -     -      -  -      -    -      0x1613  -2777.51  1888.32  33.1870  -2777.51  1888.15 33.187 0x00000011  ut100913d_templd/14/md01s030.g.100913d.153747_14_g.091214d.38192_14.diff.cut.dcmp
 2010-09-16T13:44:46.46 55455.572760      g 23.840 0.298  -      -     -      -  -      -    -      0x1613   5478.70  1502.86  33.1870   5478.70  1502.00 33.187 0x00000011  ut100916d_templd/14/md01s030.g.100916d.155432_14_g.091214d.38192_14.diff.cut.dcmp
 2010-09-19T14:09:58.46 55458.590260      g      -     -  -      -     -      -  -      -    -      0x1613  -1290.31  2895.00  33.1870  -1135.26  2547.09 33.048 0x00000011  ut100919d_templd/14/md01s030.g.100919d.156806_14_g.091214d.38192_14.diff.cut.dcmp
 2010-09-28T14:22:47.42 55467.599160      g      -     -  -      -     -      -  -      -    -      0x1613  -6750.42  3313.73  33.1870  -6750.42  3313.14 33.187 0x00000011  ut100928d_templd/14/md01s030.g.100928d.162944_14_g.091214d.38192_14.diff.cut.dcmp
 2010-10-07T14:29:19.68 55476.603700      g      -     -  -      -     -      -  -      -    -      0x1613   7940.75  2747.20  33.1870   7116.42  2461.13 33.068 0x00000011  ut101007d_templd/14/md01s030.g.101007d.166952_14_g.091214d.38192_14.diff.cut.dcmp
 2010-10-10T13:29:40.13 55479.562270      g      -     -  -      -     -      -  -      -    -      0x1613  -1310.11  5185.45  33.1870  -1074.95  4254.66 32.972 0x00000011  ut101010d_templd/14/md01s030.g.101010d.168592_14_g.091214d.38192_14.diff.cut.dcmp
 2010-10-13T13:47:52.22 55482.574910      g      -     -  -      -     -      -  -      -    -      0x1613  -4054.54  2472.93  33.1870  -3645.71  2223.32 33.072 0x00000011  ut101013d_templd/14/md01s030.g.101013d.170540_14_g.091214d.38192_14.diff.cut.dcmp
 2010-10-16T14:09:54.14 55485.590210      g      -     -  -      -     -      -  -      -    -      0x1613 -10672.46  4116.62  33.1870  -9482.97  3656.75 33.059 0x00000011  ut101016d_templd/14/md01s030.g.101016d.172407_14_g.091214d.38192_14.diff.cut.dcmp
 2010-10-31T11:06:28.72 55500.462832      g      -     -  -      -     -      -  -      -    -      0x1613   -332.70  1890.67  33.1870   -332.70  1890.67 33.187 0x00000011  ut101031d_templd/14/md01s030.g.101031d.176056_14_g.091214d.38192_14.diff.cut.dcmp
 2010-11-03T09:58:47.65 55503.415829      g      -     -  -      -     -      -  -      -    -      0x1613   1831.80  1962.72  33.1870   1831.80  1962.65 33.187 0x00000011  ut101103d_templd/14/md01s030.g.101103d.177754_14_g.091214d.38192_14.diff.cut.dcmp
 2010-11-09T11:31:17.67 55509.480066      g      -     -  -      -     -      -  -      -    -      0x1613   7948.05  3289.49  33.1870   6991.02  2892.68 33.048 0x00000011  ut101109d_templd/14/md01s030.g.101109d.180167_14_g.091214d.38192_14.diff.cut.dcmp
 2010-11-30T10:34:06.30 55530.440351      g      -     -  -      -     -      -  -      -    -      0x1613 -11720.09 12865.52  33.1870 -10116.98 11105.34 33.027 0x00000011  ut101130d_templd/14/md01s030.g.101130d.191580_14_g.091214d.38192_14.diff.cut.dcmp
 2011-01-26T07:02:24.45 55587.293338      g      -     -  -      -     -      -  -      -    -      0x1613    709.24  2717.40  33.1870    674.95  2586.02 33.133 0x00000011  ut110126d_templd/14/md01s030.g.110126d.216782_14_g.091214d.38192_14.diff.cut.dcmp
 2011-01-29T06:51:55.99 55590.286065      g      -     -  -      -     -      -  -      -    -      0x1613   5648.01  1883.05  33.1870   5648.01  1882.32 33.187 0x00000011  ut110129d_templd/14/md01s030.g.110129d.218451_14_g.091214d.38192_14.diff.cut.dcmp
 2011-02-01T06:35:03.30 55593.274344      g      -     -  -      -     -      -  -      -    -      0x1613   4974.09  2107.11  33.1870   4974.09  2106.61 33.187 0x00000011  ut110201d_templd/14/md01s030.g.110201d.219972_14_g.091214d.38192_14.diff.cut.dcmp
 2011-02-04T06:10:51.28 55596.257538      g 23.619 0.338  -      -     -      -  -      -    -      0x1613   6719.42  2095.38  33.1870   6149.10  1916.69 33.091 0x00000011  ut110204d_templd/14/md01s030.g.110204d.223058_14_g.091214d.38192_14.diff.cut.dcmp
 2009-10-09T05:50:43.94 55113.243564      r      -     -  -      -     -      -  -      -    -      0x1614   4484.23  1877.57  33.2612   5417.11  2267.62 33.466 0x00000011   ut091009d_templd/14/md01s030.r.091009d.31693_14_r.091214d.38298_14.diff.cut.dcmp
 2009-12-08T08:48:34.85 55173.367070      r      -     -  -      -     -      -  -      -    -      0x1614    440.08  2383.04  33.2612    426.83  2311.27 33.228 0x00000011   ut091208d_templd/14/md01s030.r.091208d.37482_14_r.091214d.38298_14.diff.cut.dcmp
 2009-12-23T07:57:40.61 55188.331720      r      -     -  -      -     -      -  -      -    -      0x1614  -5347.82  2792.24  33.2612  -4776.80  2493.70 33.139 0x00000011   ut091223d_templd/14/md01s030.r.091223d.44743_14_r.091214d.38298_14.diff.cut.dcmp
 2009-12-26T06:17:52.22 55191.262410      r      -     -  -      -     -      -  -      -    -      0x1614   -665.16  2849.69  33.2612   -665.16  2849.68 33.261 0x00000011   ut091226d_templd/14/md01s030.r.091226d.40692_14_r.091214d.38298_14.diff.cut.dcmp
 2010-01-07T06:21:39.46 55203.265040      r      -     -  -      -     -      -  -      -    -      0x1614  -1206.76  1394.02  33.2612  -1206.76  1393.98 33.261 0x00000011   ut100107d_templd/14/md01s030.r.100107d.35995_14_r.091214d.38298_14.diff.cut.dcmp
 2010-01-10T07:32:45.02 55206.314410      r      -     -  -      -     -      -  -      -    -      0x1614   -639.09  1190.81  33.2612   -639.09  1190.80 33.261 0x00000011   ut100110d_templd/14/md01s030.r.100110d.41779_14_r.091214d.38298_14.diff.cut.dcmp
 2010-01-19T05:32:03.84 55215.230600      r      -     -  -      -     -      -  -      -    -      0x1614   2444.57  1559.18  33.2612   2444.57  1559.02 33.261 0x00000011   ut100119d_templd/14/md01s030.r.100119d.51718_14_r.091214d.38298_14.diff.cut.dcmp
 2010-08-05T14:23:06.43 55413.599380      r      -     -  -      -     -      -  -      -    -      0x1614     68.89  1849.17  33.2612     68.89  1849.17 33.261 0x00000011  ut100805d_templd/14/md01s030.r.100805d.135308_14_r.091214d.38298_14.diff.cut.dcmp
 2010-08-08T14:04:47.42 55416.586660      r      -     -  -      -     -      -  -      -    -      0x1614   2097.03  1746.86  33.2612   2097.03  1746.75 33.261 0x00000011  ut100808d_templd/14/md01s030.r.100808d.136721_14_r.091214d.38298_14.diff.cut.dcmp
 2010-08-14T14:30:43.49 55422.604670      r      -     -  -      -     -      -  -      -    -      0x1614   2139.70  3509.05  33.2612   2011.47  3298.70 33.194 0x00000011  ut100814d_templd/14/md01s030.r.100814d.138697_14_r.091214d.38298_14.diff.cut.dcmp
 2010-08-17T14:00:44.64 55425.583850      r      -     -  -      -     -      -  -      -    -      0x1614   -339.86  1619.49  33.2612   -339.86  1619.49 33.261 0x00000011  ut100817d_templd/14/md01s030.r.100817d.140191_14_r.091214d.38298_14.diff.cut.dcmp
 2010-08-20T14:36:20.45 55428.608570      r      -     -  -      -     -      -  -      -    -      0x1614   1452.59  2120.98  33.2612   1314.93  1919.94 33.153 0x00000011  ut100820d_templd/14/md01s030.r.100820d.142085_14_r.091214d.38298_14.diff.cut.dcmp
 2010-09-07T14:35:57.98 55446.608310      r      -     -  -      -     -      -  -      -    -      0x1614    390.26  1898.49  33.2612    390.26  1898.49 33.261 0x00000011  ut100907d_templd/14/md01s030.r.100907d.150409_14_r.091214d.38298_14.diff.cut.dcmp
 2010-09-10T14:07:26.40 55449.588500      r      -     -  -      -     -      -  -      -    -      0x1614  -2523.30  1989.79  33.2612  -2523.30  1989.65 33.261 0x00000011  ut100910d_templd/14/md01s030.r.100910d.152185_14_r.091214d.38298_14.diff.cut.dcmp
 2010-09-13T13:39:41.47 55452.569230      r      -     -  -      -     -      -  -      -    -      0x1614  -1219.95  2381.64  33.2612  -1219.95  2381.61 33.261 0x00000011  ut100913d_templd/14/md01s030.r.100913d.153823_14_r.091214d.38298_14.diff.cut.dcmp
 2010-09-16T14:03:15.84 55455.585600      r      -     -  -      -     -      -  -      -    -      0x1614   3129.34  1523.01  33.2612   3129.34  1522.73 33.261 0x00000011  ut100916d_templd/14/md01s030.r.100916d.155508_14_r.091214d.38298_14.diff.cut.dcmp
 2010-09-19T14:28:49.44 55458.603350      r      -     -  -      -     -      -  -      -    -      0x1614  -5179.35  3473.16  33.2612  -4680.75  3138.51 33.151 0x00000011  ut100919d_templd/14/md01s030.r.100919d.156885_14_r.091214d.38298_14.diff.cut.dcmp
 2010-09-28T14:41:15.94 55467.611990      r      -     -  -      -     -      -  -      -    -      0x1614  -2218.86  3287.04  33.2612  -2218.86  3286.98 33.261 0x00000011  ut100928d_templd/14/md01s030.r.100928d.163025_14_r.091214d.38298_14.diff.cut.dcmp
 2010-10-07T14:10:45.12 55476.590800      r      -     -  -      -     -      -  -      -    -      0x1614  -4312.74  2142.81  33.2612  -4312.74  2142.44 33.261 0x00000011  ut101007d_templd/14/md01s030.r.101007d.167036_14_r.091214d.38298_14.diff.cut.dcmp
 2010-10-10T13:47:53.95 55479.574930      r      -     -  -      -     -      -  -      -    -      0x1614    428.86  8716.08  33.2612    365.12  7420.64 33.087 0x00000011  ut101010d_templd/14/md01s030.r.101010d.168675_14_r.091214d.38298_14.diff.cut.dcmp
 2010-10-13T14:06:44.93 55482.588020      r      -     -  -      -     -      -  -      -    -      0x1614  -6715.93  2055.52  33.2612  -6715.93  2054.58 33.261 0x00000011  ut101013d_templd/14/md01s030.r.101013d.170623_14_r.091214d.38298_14.diff.cut.dcmp
 2010-10-16T13:48:20.74 55485.575240      r      -     -  -      -     -      -  -      -    -      0x1614  -7907.88  4256.23  33.2612  -7091.53  3816.29 33.143 0x00000011  ut101016d_templd/14/md01s030.r.101016d.172491_14_r.091214d.38298_14.diff.cut.dcmp
 2010-10-31T10:47:26.31 55500.449610      r 23.669 0.302  -      - 0.399  0.303  -      -    2      0x1614   6868.79  1912.72  33.2612   6868.79  1911.66 33.261 0x00000011  ut101031d_templd/14/md01s030.r.101031d.176130_14_r.091214d.38298_14.diff.cut.dcmp
 2010-11-03T10:15:30.10 55503.427432      r      -     -  -      -     -      -  -      -    -      0x1614   -230.02  3276.76  33.2612   -230.02  3276.76 33.261 0x00000011  ut101103d_templd/14/md01s030.r.101103d.177833_14_r.091214d.38298_14.diff.cut.dcmp
 2010-11-09T11:51:31.03 55509.494109      r      -     -  -      -     -      -  -      -    -      0x1614  -5211.88  2342.51  33.2612  -5211.88  2342.01 33.261 0x00000011  ut101109d_templd/14/md01s030.r.101109d.180246_14_r.091214d.38298_14.diff.cut.dcmp
 2011-01-26T07:21:30.99 55587.306609      r      -     -  -      -     -      -  -      -    -      0x1614  -1660.08  3188.79  33.2612  -1668.20  3204.36 33.267 0x00000011  ut110126d_templd/14/md01s030.r.110126d.216867_14_r.091214d.38298_14.diff.cut.dcmp
 2011-01-29T07:10:25.90 55590.298911      r      -     -  -      -     -      -  -      -    -      0x1614   -228.53  1960.86  33.2612   -228.53  1960.86 33.261 0x00000011  ut110129d_templd/14/md01s030.r.110129d.218532_14_r.091214d.38298_14.diff.cut.dcmp
 2011-02-01T06:56:34.05 55593.289283      r      -     -  -      -     -      -  -      -    -      0x1614   3241.56  2332.27  33.2612   3241.56  2332.08 33.261 0x00000011  ut110201d_templd/14/md01s030.r.110201d.220052_14_r.091214d.38298_14.diff.cut.dcmp
 2009-09-15T07:48:41.18 55089.325477      i 23.495 0.238  -      -     -      -  -      -    -      0x1615   9602.47  2105.55  33.4505   9602.47  2103.67 33.450 0x00000011   ut090915d_templd/14/md01s030.i.090915d.31772_14_i.091215d.39039_14.diff.cut.dcmp
 2009-12-18T07:47:20.26 55183.324540      i 23.088 0.215  -      -     -      -  -      -    -      0x1615  13970.11  2772.57  33.4505  15333.45  3039.83 33.552 0x00000011   ut091218d_templd/14/md01s030.i.091218d.46527_14_i.091215d.39039_14.diff.cut.dcmp
 2009-12-21T09:22:23.52 55186.390550      i 23.010 0.326  -      -     -      -  -      -    -      0x1615  15001.53  4512.99  33.4505  15577.42  4684.02 33.491 0x00000011   ut091221d_templd/14/md01s030.i.091221d.47045_14_i.091215d.39039_14.diff.cut.dcmp
 2009-12-24T07:29:55.68 55189.312450      i      -     -  -      -     -      -  -      -    -      0x1615    832.67  2523.81  33.4505    832.67  2523.80 33.450 0x00000011   ut091224d_templd/14/md01s030.i.091224d.40179_14_i.091215d.39039_14.diff.cut.dcmp
 2010-01-08T07:18:20.16 55204.304400      i 23.709 0.316  -      -     -      -  -      -    -      0x1615   7882.47  2297.44  33.4505   7882.47  2296.28 33.450 0x00000011   ut100108d_templd/14/md01s030.i.100108d.35380_14_i.091215d.39039_14.diff.cut.dcmp
 2010-01-17T05:48:48.67 55213.242230      i      -     -  -      -     -      -  -      -    -      0x1615   7243.82  2423.94  33.4505   7243.82  2423.01 33.450 0x00000011   ut100117d_templd/14/md01s030.i.100117d.49674_14_i.091215d.39039_14.diff.cut.dcmp
