#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                            cmpfile
 2009-12-23T07:46:23.23 55188.323880      g      -     -      -      -      -      -  -      -    -      0x1613  -7920.75  2469.93  32.6300  -7768.31  2421.33 32.609 0x00000011   ut091223l_templl/22/md02s103.g.091223l.44915_22_g.091226l.40869_22.diff.cut.dcmp
 2009-12-26T07:39:01.73 55191.318770      g 22.957 0.336  0.574  0.384      -      -  -      -    1      0x1613   7401.01  2290.54  32.6300   7401.01  2289.52 32.630 0x00000011   ut091226l_templl/22/md02s103.g.091226l.40869_22_g.091223l.44915_22.diff.cut.dcmp
 2010-01-07T07:42:33.41 55203.321220      g      -     -      -      -      -      -  -      -    -      0x1613   5275.30  2225.57  32.6300   5670.32  2391.65 32.708 0x00000011   ut100107l_templl/22/md02s103.g.100107l.36137_22_g.091226l.40869_22.diff.cut.dcmp
 2010-01-25T05:39:12.85 55221.235565      g      -     -      -      -      -      -  -      -    -      0x1613   6113.40  2904.54  32.6300   6113.40  2903.99 32.630 0x00000011   ut100125l_templl/22/md02s103.g.100125l.96496_22_g.091223l.44915_22.diff.cut.dcmp
 2010-01-25T05:39:13.25 55221.235570      g      -     -      -      -      -      -  -      -    -      0x1613   1774.35  2037.12  32.6300   1793.41  2058.93 32.642 0x00000011   ut100125l_templl/22/md02s103.g.100125l.96496_22_g.091226l.40869_22.diff.cut.dcmp
 2010-09-07T14:54:45.50 55446.621360      g      -     -      -      -      -      -  -      -    -      0x1613   4664.70  1636.47  32.6300   4664.70  1635.90 32.630 0x00000011  ut100907l_templl/22/md02s103.g.100907l.150542_22_g.091223l.44915_22.diff.cut.dcmp
 2010-09-07T14:54:45.50 55446.621360      g      -     -      -      -      -      -  -      -    -      0x1613   -623.76  1633.89  32.6300   -650.34  1703.49 32.675 0x00000011  ut100907l_templl/22/md02s103.g.100907l.150542_22_g.091226l.40869_22.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -      -      -      -      -  -      -    -      0x1613   2765.43  1619.02  32.6300   2765.43  1618.82 32.630 0x00000011  ut100910l_templl/22/md02s103.g.100910l.152318_22_g.091223l.44915_22.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -      -      -      -      -  -      -    -      0x1613   -770.65  1695.35  32.6300   -820.91  1805.91 32.699 0x00000011  ut100910l_templl/22/md02s103.g.100910l.152318_22_g.091226l.40869_22.diff.cut.dcmp
 2010-09-13T14:17:26.02 55452.595440      g 23.033 0.263  0.885  0.303      -      -  -      -    1      0x1613   6897.77  1669.50  32.6300   6897.77  1668.28 32.630 0x00000011  ut100913l_templl/22/md02s103.g.100913l.153958_22_g.091223l.44915_22.diff.cut.dcmp
 2010-09-13T14:17:26.02 55452.595440      g      -     -      -      -      -      -  -      -    -      0x1613    122.91  1919.51  32.6300    127.99  1998.90 32.674 0x00000011  ut100913l_templl/22/md02s103.g.100913l.153958_22_g.091226l.40869_22.diff.cut.dcmp
 2010-09-16T14:21:52.13 55455.598520      g 22.555 0.164  0.088  0.245      -      -  -      -    1      0x1613  10710.37  1618.08  32.6300  10710.37  1615.04 32.630 0x00000011  ut100916l_templl/22/md02s103.g.100916l.155639_22_g.091223l.44915_22.diff.cut.dcmp
 2010-09-16T14:21:52.13 55455.598520      g      -     -      -      -      -      -  -      -    -      0x1613    821.54  1772.19  32.6300    831.28  1793.19 32.643 0x00000011  ut100916l_templl/22/md02s103.g.100916l.155639_22_g.091226l.40869_22.diff.cut.dcmp
 2010-09-19T14:47:51.65 55458.616570      g 22.953 0.260  1.042  0.294      -      -  -      -    1      0x1613   7429.21  1783.03  32.6300   7429.21  1781.70 32.630 0x00000011  ut100919l_templl/22/md02s103.g.100919l.157018_22_g.091223l.44915_22.diff.cut.dcmp
 2010-09-19T14:47:51.65 55458.616570      g      -     -      -      -      -      -  -      -    -      0x1613   -934.57  2204.29  32.6300   -999.84  2358.23 32.703 0x00000011  ut100919l_templl/22/md02s103.g.100919l.157018_22_g.091226l.40869_22.diff.cut.dcmp
 2010-09-28T13:45:27.94 55467.573240      g      -     -      -      -      -      -  -      -    -      0x1613   5307.25  4158.88  32.6300   5307.25  4158.59 32.630 0x00000011  ut100928l_templl/22/md02s103.g.100928l.163164_22_g.091223l.44915_22.diff.cut.dcmp
 2010-09-28T13:45:27.94 55467.573240      g      -     -      -      -      -      -  -      -    -      0x1613  10694.57  6110.41  32.6300  10255.65  5858.86 32.584 0x00000011  ut100928l_templl/22/md02s103.g.100928l.163164_22_g.091226l.40869_22.diff.cut.dcmp
 2010-10-07T13:32:39.84 55476.564350      g 23.251 0.318  0.671  0.388      -      -  -      -    1      0x1613   5646.46  1656.92  32.6300   5646.46  1656.10 32.630 0x00000011  ut101007l_templl/22/md02s103.g.101007l.167172_22_g.091223l.44915_22.diff.cut.dcmp
 2010-10-07T13:32:39.84 55476.564350      g      -     -      -      -      -      -  -      -    -      0x1613    244.97  1856.06  32.6300    242.37  1836.33 32.618 0x00000011  ut101007l_templl/22/md02s103.g.101007l.167172_22_g.091226l.40869_22.diff.cut.dcmp
 2010-10-10T12:17:42.72 55479.512300      g 23.223 0.315  0.982  0.360      -      -  -      -    1      0x1613   5791.43  1681.80  32.6300   5791.43  1680.95 32.630 0x00000011  ut101010l_templl/22/md02s103.g.101010l.168815_22_g.091223l.44915_22.diff.cut.dcmp
 2010-10-10T12:17:42.72 55479.512300      g      -     -      -      -      -      -  -      -    -      0x1613   -838.90  2251.47  32.6300   -906.21  2432.11 32.714 0x00000011  ut101010l_templl/22/md02s103.g.101010l.168815_22_g.091226l.40869_22.diff.cut.dcmp
 2010-10-13T13:09:00.29 55482.547920      g      -     -      -      -      -      -  -      -    -      0x1613   5041.40  1704.86  32.6300   5041.40  1704.22 32.630 0x00000011  ut101013l_templl/22/md02s103.g.101013l.170761_22_g.091223l.44915_22.diff.cut.dcmp
 2010-10-13T13:09:00.29 55482.547920      g      -     -      -      -      -      -  -      -    -      0x1613    740.20  1665.16  32.6300    780.31  1755.38 32.687 0x00000011  ut101013l_templl/22/md02s103.g.101013l.170761_22_g.091226l.40869_22.diff.cut.dcmp
 2010-10-16T12:33:29.66 55485.523260      g 22.459 0.173  0.133  0.255      -      -  -      -    1      0x1613  11702.20  1868.80  32.6300  11702.20  1865.66 32.630 0x00000011  ut101016l_templl/22/md02s103.g.101016l.172630_22_g.091223l.44915_22.diff.cut.dcmp
 2010-10-16T12:33:29.66 55485.523260      g      -     -      -      -      -      -  -      -    -      0x1613   1618.47  2052.92  32.6300   1740.30  2207.40 32.709 0x00000011  ut101016l_templl/22/md02s103.g.101016l.172630_22_g.091226l.40869_22.diff.cut.dcmp
 2010-10-31T11:27:44.73 55500.477601      g      -     -      -      -      -      -  -      -    -      0x1613   5513.16  2152.29  32.6300   5513.16  2151.69 32.630 0x00000011  ut101031l_templl/22/md02s103.g.101031l.176262_22_g.091223l.44915_22.diff.cut.dcmp
 2010-10-31T11:27:44.73 55500.477601      g      -     -      -      -      -      -  -      -    -      0x1613   -753.86  1569.16  32.6300   -761.96  1586.00 32.642 0x00000011  ut101031l_templl/22/md02s103.g.101031l.176262_22_g.091226l.40869_22.diff.cut.dcmp
 2010-11-03T11:51:36.97 55503.494178      g      -     -      -      -      -      -  -      -    -      0x1613   4910.44  2502.56  32.6300   4910.44  2502.15 32.630 0x00000011  ut101103l_templl/22/md02s103.g.101103l.177963_22_g.091223l.44915_22.diff.cut.dcmp
 2010-11-03T11:51:36.97 55503.494178      g      -     -      -      -      -      -  -      -    -      0x1613   4450.19  3407.09  32.6300   5135.45  3931.44 32.785 0x00000011  ut101103l_templl/22/md02s103.g.101103l.177963_22_g.091226l.40869_22.diff.cut.dcmp
 2010-11-09T10:42:13.19 55509.445986      g      -     -      -      -      -      -  -      -    -      0x1613   4867.98  2092.69  32.6300   4867.98  2092.21 32.630 0x00000011  ut101109l_templl/22/md02s103.g.101109l.180529_22_g.091223l.44915_22.diff.cut.dcmp
 2010-11-09T10:42:13.19 55509.445986      g      -     -      -      -      -      -  -      -    -      0x1613   -797.59  1892.33  32.6300   -806.83  1914.23 32.642 0x00000011  ut101109l_templl/22/md02s103.g.101109l.180529_22_g.091226l.40869_22.diff.cut.dcmp
 2010-11-18T10:42:20.67 55518.446073      g 22.364 0.336 -0.156  0.485      -      -  -      -    1      0x1613  12775.83  3960.64  32.6300  12775.83  3958.88 32.630 0x00000011  ut101118l_templl/22/md02s103.g.101118l.183828_22_g.091223l.44915_22.diff.cut.dcmp
 2010-11-18T10:42:20.67 55518.446073      g      -     -      -      -      -      -  -      -    -      0x1613   2370.92  2408.17  32.6300   2396.39  2433.94 32.642 0x00000011  ut101118l_templl/22/md02s103.g.101118l.183828_22_g.091226l.40869_22.diff.cut.dcmp
 2010-11-24T10:29:02.76 55524.436838      g      -     -      -      -      -      -  -      -    -      0x1613    848.71  4642.05  32.6300    848.71  4642.04 32.630 0x00000011  ut101124l_templl/22/md02s103.g.101124l.185071_22_g.091223l.44915_22.diff.cut.dcmp
