#               DATEOBS        MJDim filter      m    dm    gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                            cmpfile
 2009-10-14T19:44:53.58 55118.822842      g 24.250 0.307 1.574  0.308  -      -  -      -    2      0x1613   4054.15 1147.07  33.2697   3785.64 1070.53 33.195 0x00000011   ut091014g_templg/12/md01s062.g.091014g.31637_12_g.091214g.38220_12.diff.cut.dcmp
 2009-10-14T19:44:53.58 55118.822842      g 23.955 0.275 1.279  0.277  -      -  -      -    2      0x1613   5320.66 1348.60  33.2697   3148.66  797.54 32.700 0x00000011   ut091014g_templg/12/md01s062.g.091014g.31637_12_g.100107g.35933_12.diff.cut.dcmp
 2009-12-08T08:28:45.12 55173.353300      g      -     -     -      -  -      -  -      -    -      0x1613   1535.66 1975.39  33.2697   1331.73 1713.02 33.115 0x00000011   ut091208g_templg/12/md01s062.g.091208g.37405_12_g.091214g.38220_12.diff.cut.dcmp
 2009-12-08T08:28:45.12 55173.353300      g 23.333 0.229 0.833  0.329  -      -  -      -    1      0x1613   9437.33 1989.18  33.2697   5829.20 1227.48 32.747 0x00000011   ut091208g_templg/12/md01s062.g.091208g.37405_12_g.100107g.35933_12.diff.cut.dcmp
 2009-12-11T10:20:21.12 55176.430800      g      -     -     -      -  -      -  -      -    -      0x1613  -5672.61 1569.29  33.2697  -5044.56 1394.76 33.142 0x00000011   ut091211g_templg/12/md01s062.g.091211g.43889_12_g.091214g.38220_12.diff.cut.dcmp
 2009-12-11T10:20:21.12 55176.430800      g      -     -     -      -  -      -  -      -    -      0x1613   1335.03 1675.42  33.2697    797.72 1001.09 32.711 0x00000011   ut091211g_templg/12/md01s062.g.091211g.43889_12_g.100107g.35933_12.diff.cut.dcmp
 2009-12-14T08:35:57.12 55179.358300      g 23.974 0.287 1.476  0.324  -      -  -      -    1      0x1613   5227.74 1384.35  33.2697   3881.09 1027.12 32.946 0x00000011   ut091214g_templg/12/md01s062.g.091214g.38220_12_g.100107g.35933_12.diff.cut.dcmp
 2009-12-23T07:52:08.83 55188.327880      g      -     -     -      -  -      -  -      -    -      0x1613  -4042.48 3394.44  33.2697  -3542.32 2974.28 33.126 0x00000011   ut091223g_templg/12/md01s062.g.091223g.44663_12_g.091214g.38220_12.diff.cut.dcmp
 2009-12-23T07:52:08.83 55188.327880      g      -     -     -      -  -      -  -      -    -      0x1613   4001.06 3555.62  33.2697   2251.83 2001.02 32.646 0x00000011   ut091223g_templg/12/md01s062.g.091223g.44663_12_g.100107g.35933_12.diff.cut.dcmp
 2009-12-26T05:45:40.32 55191.240050      g      -     -     -      -  -      -  -      -    -      0x1613   2431.83 3974.23  33.2697   2431.83 3974.17 33.270 0x00000011   ut091226g_templg/12/md01s062.g.091226g.40616_12_g.091214g.38220_12.diff.cut.dcmp
 2009-12-26T05:45:40.32 55191.240050      g      -     -     -      -  -      -  -      -    -      0x1613    610.22 2877.30  33.2697    333.37 1571.90 32.613 0x00000011   ut091226g_templg/12/md01s062.g.091226g.40616_12_g.100107g.35933_12.diff.cut.dcmp
 2010-01-07T05:57:54.72 55203.248550      g      -     -     -      -  -      -  -      -    -      0x1613  -6015.65 1597.05  33.2697  -6015.65 1596.08 33.270 0x00000011   ut100107g_templg/12/md01s062.g.100107g.35933_12_g.091214g.38220_12.diff.cut.dcmp
 2010-01-10T06:45:44.06 55206.281760      g      -     -     -      -  -      -  -      -    -      0x1613   1149.92 1521.37  33.2697   1149.92 1521.33 33.270 0x00000011   ut100110g_templg/12/md01s062.g.100110g.41700_12_g.091214g.38220_12.diff.cut.dcmp
 2010-01-10T06:45:44.06 55206.281760      g 23.760 0.246 0.694  0.384  -      -  -      -    1      0x1613   6364.70 1445.64  33.2697   3605.27  818.20 32.653 0x00000011   ut100110g_templg/12/md01s062.g.100110g.41700_12_g.100107g.35933_12.diff.cut.dcmp
 2010-01-19T05:12:27.94 55215.216990      g      -     -     -      -  -      -  -      -    -      0x1613  -1923.27 2295.75  33.2697  -1923.27 2295.68 33.270 0x00000011   ut100119g_templg/12/md01s062.g.100119g.51655_12_g.091214g.38220_12.diff.cut.dcmp
 2010-01-19T05:12:28.29 55215.216994      g      -     -     -      -  -      -  -      -    -      0x1613   2586.24 2282.18  33.2697   1412.89 1246.71 32.613 0x00000011   ut100119g_templg/12/md01s062.g.100119g.51655_12_g.100107g.35933_12.diff.cut.dcmp
 2010-08-05T14:04:23.23 55413.586380      g      -     -     -      -  -      -  -      -    -      0x1613   1469.04 2705.41  33.2697   1469.04 2705.38 33.270 0x00000011  ut100805g_templg/12/md01s062.g.100805g.135252_12_g.091214g.38220_12.diff.cut.dcmp
