#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                            cmpfile
 2009-12-23T07:46:23.23 55188.323880      g      -     -  -      -  -      -  -      -    -      0x1613 -10015.00  3631.53  32.6035  -9733.99  3528.48 32.573 0x00000011   ut091223h_templh/21/md02s066.g.091223h.44879_21_g.091226h.40833_21.diff.cut.dcmp
 2009-12-23T07:46:23.23 55188.323880      g      -     -  -      -  -      -  -      -    -      0x1613 -21204.05  2705.94  32.6035 -14174.21  1804.07 32.166 0x00000011  ut091223h_templh/21/md02s066.g.091223h.44879_21_g.100916h.155609_21.diff.cut.dcmp
 2009-12-26T07:36:42.62 55191.317160      g      -     -  -      -  -      -  -      -    -      0x1613  -2882.00  1556.14  32.6035  -1995.51  1077.32 32.204 0x00000011  ut091226h_templh/21/md02s066.g.091226h.40833_21_g.100916h.155609_21.diff.cut.dcmp
 2010-09-07T14:54:45.50 55446.621360      g      -     -  -      -  -      -  -      -    -      0x1613   1711.70  1643.05  32.6035   1736.63  1666.90 32.619 0x00000011  ut100907h_templh/21/md02s066.g.100907h.150512_21_g.091226h.40833_21.diff.cut.dcmp
 2010-09-07T14:54:45.50 55446.621360      g      -     -  -      -  -      -  -      -    -      0x1613  -1022.73  1295.59  32.6035   -726.98   920.91 32.233 0x00000011 ut100907h_templh/21/md02s066.g.100907h.150512_21_g.100916h.155609_21.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -  -      -  -      -  -      -    -      0x1613   2842.00  1545.52  32.6035   2918.39  1586.84 32.632 0x00000011  ut100910h_templh/21/md02s066.g.100910h.152288_21_g.091226h.40833_21.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -  -      -  -      -  -      -    -      0x1613  -1463.09  1172.91  32.6035  -1039.42   833.21 32.232 0x00000011 ut100910h_templh/21/md02s066.g.100910h.152288_21_g.100916h.155609_21.diff.cut.dcmp
 2010-09-13T14:17:26.02 55452.595440      g      -     -  -      -  -      -  -      -    -      0x1613   1695.49  1760.93  32.6035   1742.35  1809.53 32.633 0x00000011  ut100913h_templh/21/md02s066.g.100913h.153928_21_g.091226h.40833_21.diff.cut.dcmp
 2010-09-13T14:17:26.02 55452.595440      g      -     -  -      -  -      -  -      -    -      0x1613    -21.64  1361.37  32.6035    -15.60   981.51 32.248 0x00000011 ut100913h_templh/21/md02s066.g.100913h.153928_21_g.100916h.155609_21.diff.cut.dcmp
 2010-09-16T14:21:52.13 55455.598520      g      -     -  -      -  -      -  -      -    -      0x1613   2774.11  1562.38  32.6035   2733.53  1539.32 32.587 0x00000011  ut100916h_templh/21/md02s066.g.100916h.155609_21_g.091226h.40833_21.diff.cut.dcmp
 2010-09-19T14:47:51.65 55458.616570      g      -     -  -      -  -      -  -      -    -      0x1613   2410.31  2081.58  32.6035   2493.86  2153.62 32.641 0x00000011  ut100919h_templh/21/md02s066.g.100919h.156989_21_g.091226h.40833_21.diff.cut.dcmp
 2010-09-19T14:47:51.65 55458.616570      g      -     -  -      -  -      -  -      -    -      0x1613  -1569.62  1664.92  32.6035  -1116.54  1184.29 32.234 0x00000011 ut100919h_templh/21/md02s066.g.100919h.156989_21_g.100916h.155609_21.diff.cut.dcmp
