#               DATEOBS        MJDim filter      m    dm     gr gr_err    ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c       flux   dflux ZPTMAG       type                                                                               cmpfile
 2009-12-08T06:16:28.42 55173.261440      g 21.454 0.119      -      -     -      -  -      -    -      0x1613  40868.77 4501.21  32.9824   41770.68 4584.28 33.006 0x00000011   ut091208f_templf/104/md10s045.g.091208f.37902_104_g.090919f.30956_104.diff.cut.dcmp
 2009-12-08T06:16:28.42 55173.261440      g      -     -      -      -     -      -  -      -    -      0x1613  -5448.06 4078.78  32.9824   -4698.10 3517.04 32.822 0x00000011  ut091208f_templf/104/md10s045.g.091208f.37902_104_g.091023f.127447_104.diff.cut.dcmp
 2009-12-11T06:38:21.70 55176.276640      g 21.748 0.115      -      -     -      -  -      -    -      0x1613  31178.28 3310.72  32.9824   32354.31 3422.53 33.023 0x00000011   ut091211f_templf/104/md10s045.g.091211f.44261_104_g.090919f.30956_104.diff.cut.dcmp
 2009-12-11T06:38:21.70 55176.276640      g      -     -      -      -     -      -  -      -    -      0x1613 -28674.47 2974.65  32.9824  -25452.79 2629.91 32.853 0x00000011  ut091211f_templf/104/md10s045.g.091211f.44261_104_g.091023f.127447_104.diff.cut.dcmp
 2009-12-14T05:57:01.15 55179.247930      g 21.374 0.114      -      -     -      -  -      -    -      0x1613  43990.33 4635.11  32.9824   43990.33 4617.20 32.982 0x00000011   ut091214f_templf/104/md10s045.g.091214f.38843_104_g.090919f.30956_104.diff.cut.dcmp
 2009-12-14T05:57:01.15 55179.247930      g      -     -      -      -     -      -  -      -    -      0x1613  -7962.49 1731.76  32.9824   -7069.83 1536.22 32.853 0x00000011  ut091214f_templf/104/md10s045.g.091214f.38843_104_g.091023f.127447_104.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g 21.099 0.105 -1.319  0.349     -      -  -      -    1      0x1613  56654.42 5516.38  32.9824   56654.42 5491.42 32.982 0x00000011  ut100712f_templf/104/md10s045.g.100712f.128962_104_g.090919f.30956_104.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -      -      -     -      -  -      -    -      0x1613   -685.85 2815.73  32.9824    -608.96 2500.06 32.853 0x00000011 ut100712f_templf/104/md10s045.g.100712f.128962_104_g.091023f.127447_104.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g 21.283 0.160 -0.922  0.163     -      -  -      -    2      0x1613  47828.70 7043.58  32.9824   47828.70 7029.66 32.982 0x00000011  ut100721f_templf/104/md10s045.g.100721f.130687_104_g.090919f.30956_104.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -      -      -     -      -  -      -    -      0x1613  -4448.63 3688.65  32.9824   -3949.90 3274.92 32.853 0x00000011 ut100721f_templf/104/md10s045.g.100721f.130687_104_g.091023f.127447_104.diff.cut.dcmp
 2010-08-02T13:12:50.11 55410.550580      g 21.436 0.218 -0.490  0.347     -      -  -      -    1      0x1613  41561.91 8341.14  32.9824   41561.91 8332.27 32.982 0x00000011  ut100802f_templf/104/md10s045.g.100802f.134227_104_g.090919f.30956_104.diff.cut.dcmp
 2010-08-02T13:12:50.11 55410.550580      g      -     -      -      -     -      -  -      -    -      0x1613  -9466.44 4837.18  32.9824   -8405.17 4294.19 32.853 0x00000011 ut100802f_templf/104/md10s045.g.100802f.134227_104_g.091023f.127447_104.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g 21.053 0.097 -0.943  0.102     -      -  -      -    2      0x1613  59143.52 5312.37  32.9824   59143.52 5284.11 32.982 0x00000011  ut100805f_templf/104/md10s045.g.100805f.135712_104_g.090919f.30956_104.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -      -      -     -      -  -      -    -      0x1613   2670.20 2723.61  32.9824    2370.85 2418.17 32.853 0x00000011 ut100805f_templf/104/md10s045.g.100805f.135712_104_g.091023f.127447_104.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g 21.304 0.118 -0.763  0.122     -      -  -      -    2      0x1613  46925.07 5098.97  32.9824   46925.07 5080.45 32.982 0x00000011  ut100808f_templf/104/md10s045.g.100808f.137121_104_g.090919f.30956_104.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -      -      -     -      -  -      -    -      0x1613  -8574.92 2588.76  32.9824   -7613.60 2297.46 32.853 0x00000011 ut100808f_templf/104/md10s045.g.100808f.137121_104_g.091023f.127447_104.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g 21.018 0.098 -1.192  0.325     -      -  -      -    1      0x1613  61050.43 5549.59  32.9824   61050.43 5520.76 32.982 0x00000011  ut100814f_templf/104/md10s045.g.100814f.139103_104_g.090919f.30956_104.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g 22.970 0.311  0.760  0.439     -      -  -      -    1      0x1613  10116.58 2897.52  32.9824    8982.43 2571.34 32.853 0x00000011 ut100814f_templf/104/md10s045.g.100814f.139103_104_g.091023f.127447_104.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g 21.062 0.091 -1.179  0.096     -      -  -      -    2      0x1613  58612.01 4927.19  32.9824   58612.01 4897.25 32.982 0x00000011  ut100817f_templf/104/md10s045.g.100817f.140604_104_g.090919f.30956_104.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g      -     -      -      -     -      -  -      -    -      0x1613   1227.35 2538.15  32.9824    1089.75 2253.58 32.853 0x00000011 ut100817f_templf/104/md10s045.g.100817f.140604_104_g.091023f.127447_104.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g 20.813 0.083 -1.461  0.088     -      -  -      -    2      0x1613  73754.02 5651.55  32.9824   73754.02 5610.20 32.982 0x00000011  ut100820f_templf/104/md10s045.g.100820f.142496_104_g.090919f.30956_104.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g 22.947 0.304  0.674  0.305     -      -  -      -    2      0x1613  10331.01 2896.27  32.9824    9172.82 2570.17 32.853 0x00000011 ut100820f_templf/104/md10s045.g.100820f.142496_104_g.091023f.127447_104.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g 21.163 0.126 -1.237  0.370     -      -  -      -    1      0x1613  53408.14 6239.65  32.9824   53408.14 6220.05 32.982 0x00000011  ut100901f_templf/104/md10s045.g.100901f.147262_104_g.090919f.30956_104.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g      -     -      -      -     -      -  -      -    -      0x1613  -5403.77 3051.86  32.9824   -4797.96 2709.36 32.853 0x00000011 ut100901f_templf/104/md10s045.g.100901f.147262_104_g.091023f.127447_104.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g 21.199 0.102 -0.718  0.229     -      -  -      -    1      0x1613  51693.52 4875.64  32.9824   51693.52 4852.12 32.982 0x00000011  ut100904f_templf/104/md10s045.g.100904f.148960_104_g.090919f.30956_104.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g      -     -      -      -     -      -  -      -    -      0x1613  -5857.94 2528.06  32.9824   -5201.22 2244.13 32.853 0x00000011 ut100904f_templf/104/md10s045.g.100904f.148960_104_g.091023f.127447_104.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g 20.511 0.071 -1.421  0.077     -      -  -      -    2      0x1613  97394.91 6438.99  32.9824   97394.91 6375.61 32.982 0x00000011  ut100907f_templf/104/md10s045.g.100907f.150952_104_g.090919f.30956_104.diff.cut.dcmp
