#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-11-26T12:33:49.87 55161.523494      g      -     -     -      -      -      -      -      -    -      0x1613 -4823.10  2001.41  32.5828 -5385.26  2234.13 32.703 0x00000011  ut091126l_templl/32/md03s099.g.091126l.32892_32_g.100110l.41952_32.diff.cut.dcmp
 2009-11-26T12:33:49.87 55161.523494      g      -     -     -      -      -      -      -      -    -      0x1613 -3638.38  1905.22  32.5828 -4074.07  2133.03 32.706 0x00000011  ut091126l_templl/32/md03s099.g.091126l.32892_32_g.100119l.51875_32.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g      -     -     -      -      -      -      -      -    -      0x1613  -328.89   982.82  32.5828  -378.84  1132.07 32.736 0x00000011  ut091208l_templl/32/md03s099.g.091208l.37655_32_g.100110l.41952_32.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g      -     -     -      -      -      -      -      -    -      0x1613   219.97   939.21  32.5828   251.12  1072.21 32.727 0x00000011  ut091208l_templl/32/md03s099.g.091208l.37655_32_g.100119l.51875_32.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -     -      -      -      -      -      -    -      0x1613  -726.37   762.97  32.5828  -813.20   854.14 32.705 0x00000011  ut091214l_templl/32/md03s099.g.091214l.38470_32_g.100110l.41952_32.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -     -      -      -      -      -      -    -      0x1613  -256.69   671.41  32.5828  -285.79   747.52 32.699 0x00000011  ut091214l_templl/32/md03s099.g.091214l.38470_32_g.100119l.51875_32.diff.cut.dcmp
 2009-12-17T11:47:42.14 55182.491460      g      -     -     -      -      -      -      -      -    -      0x1613  -160.45   732.93  32.5828  -178.49   815.34 32.699 0x00000011  ut091217l_templl/32/md03s099.g.091217l.39639_32_g.100110l.41952_32.diff.cut.dcmp
 2009-12-17T11:47:42.14 55182.491460      g      -     -     -      -      -      -      -      -    -      0x1613   434.63   643.02  32.5828   480.79   711.31 32.692 0x00000011  ut091217l_templl/32/md03s099.g.091217l.39639_32_g.100119l.51875_32.diff.cut.dcmp
 2009-12-23T13:13:29.86 55188.551040      g      -     -     -      -      -      -      -      -    -      0x1613 -2203.86  1262.37  32.5828 -2539.71  1454.56 32.737 0x00000011  ut091223l_templl/32/md03s099.g.091223l.45127_32_g.100110l.41952_32.diff.cut.dcmp
 2009-12-23T13:13:29.86 55188.551040      g      -     -     -      -      -      -      -      -    -      0x1613 -1338.83  1200.45  32.5828 -1535.77  1376.96 32.732 0x00000011  ut091223l_templl/32/md03s099.g.091223l.45127_32_g.100119l.51875_32.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -     -      -      -      -      -      -    -      0x1613   141.00   767.51  32.5828   140.77   766.24 32.581 0x00000011  ut091226l_templl/32/md03s099.g.091226l.41067_32_g.100110l.41952_32.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -     -      -      -      -      -      -    -      0x1613   834.74   692.19  32.5828   867.98   719.71 32.625 0x00000011  ut091226l_templl/32/md03s099.g.091226l.41067_32_g.100119l.51875_32.diff.cut.dcmp
 2010-01-07T10:34:28.70 55203.440610      g      -     -     -      -      -      -      -      -    -      0x1613  -218.79   802.21  32.5828  -243.17   891.59 32.697 0x00000011  ut100107l_templl/32/md03s099.g.100107l.36291_32_g.100110l.41952_32.diff.cut.dcmp
