#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                               cmpfile
 2009-12-08T06:20:30.34 55173.264240      g      -     -  -      -  -      -  -      -    -      0x1613   4123.69 1489.27  33.0625   4374.88 1579.47 33.127 0x00000011   ut091208h_templh/102/md10s069.g.091208h.37925_102_g.090919h.30975_102.diff.cut.dcmp
 2009-12-08T06:20:30.34 55173.264240      g      -     -  -      -  -      -  -      -    -      0x1613   1210.74 1449.79  33.0625   1250.98 1497.93 33.098 0x00000011  ut091208h_templh/102/md10s069.g.091208h.37925_102_g.091031h.127466_102.diff.cut.dcmp
 2009-12-11T06:38:32.06 55176.276760      g 23.745 0.259  -      -  -      -  -      -    -      0x1613   5332.07 1271.59  33.0625   5805.18 1383.37 33.155 0x00000011   ut091211h_templh/102/md10s069.g.091211h.44283_102_g.090919h.30975_102.diff.cut.dcmp
 2009-12-11T06:38:32.06 55176.276760      g      -     -  -      -  -      -  -      -    -      0x1613   2180.14 1182.76  33.0625   2318.27 1257.52 33.129 0x00000011  ut091211h_templh/102/md10s069.g.091211h.44283_102_g.091031h.127466_102.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g      -     -  -      -  -      -  -      -    -      0x1613   2626.42 1053.75  33.0625   2626.42 1053.47 33.062 0x00000011   ut091214h_templh/102/md10s069.g.091214h.38865_102_g.090919h.30975_102.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g      -     -  -      -  -      -  -      -    -      0x1613   1212.44  845.56  33.0625   1218.49  849.70 33.068 0x00000011  ut091214h_templh/102/md10s069.g.091214h.38865_102_g.091031h.127466_102.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -  -      -  -      -  -      -    -      0x1613   2690.61 1410.58  33.0625   2690.61 1410.36 33.062 0x00000011  ut100712h_templh/102/md10s069.g.100712h.128982_102_g.090919h.30975_102.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -  -      -  -      -  -      -    -      0x1613    688.00 1382.58  33.0625    691.43 1389.46 33.068 0x00000011 ut100712h_templh/102/md10s069.g.100712h.128982_102_g.091031h.127466_102.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -  -      -  -      -  -      -    -      0x1613   2754.19 2445.99  33.0625   2754.19 2445.86 33.062 0x00000011  ut100721h_templh/102/md10s069.g.100721h.130706_102_g.090919h.30975_102.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -  -      -  -      -  -      -    -      0x1613    666.51 2349.92  33.0625    669.83 2361.63 33.068 0x00000011 ut100721h_templh/102/md10s069.g.100721h.130706_102_g.091031h.127466_102.diff.cut.dcmp
 2010-08-02T13:13:16.03 55410.550880      g      -     -  -      -  -      -  -      -    -      0x1613   2648.59 2753.69  33.0625   2648.59 2753.58 33.062 0x00000011  ut100802h_templh/102/md10s069.g.100802h.134242_102_g.090919h.30975_102.diff.cut.dcmp
 2010-08-02T13:13:16.03 55410.550880      g      -     -  -      -  -      -  -      -    -      0x1613    739.92 2719.63  33.0625    743.61 2733.18 33.068 0x00000011 ut100802h_templh/102/md10s069.g.100802h.134242_102_g.091031h.127466_102.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -  -      -  -      -  -      -    -      0x1613   2046.76 1425.01  33.0625   2046.76 1424.88 33.062 0x00000011  ut100805h_templh/102/md10s069.g.100805h.135731_102_g.090919h.30975_102.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -  -      -  -      -  -      -    -      0x1613    -31.75 1422.99  33.0625    -31.91 1430.08 33.068 0x00000011 ut100805h_templh/102/md10s069.g.100805h.135731_102_g.091031h.127466_102.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -  -      -  -      -  -      -    -      0x1613   1602.52 1399.66  33.0625   1602.52 1399.58 33.062 0x00000011  ut100808h_templh/102/md10s069.g.100808h.137141_102_g.090919h.30975_102.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -  -      -  -      -  -      -    -      0x1613   -490.51 1374.80  33.0625   -492.96 1381.65 33.068 0x00000011 ut100808h_templh/102/md10s069.g.100808h.137141_102_g.091031h.127466_102.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g      -     -  -      -  -      -  -      -    -      0x1613   1138.81 1382.32  33.0625   1138.81 1382.28 33.062 0x00000011  ut100814h_templh/102/md10s069.g.100814h.139121_102_g.090919h.30975_102.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g      -     -  -      -  -      -  -      -    -      0x1613   -162.29 1343.93  33.0625   -163.10 1350.63 33.068 0x00000011 ut100814h_templh/102/md10s069.g.100814h.139121_102_g.091031h.127466_102.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g 23.991 0.356  -      -  -      -  -      -    -      0x1613   4250.82 1392.63  33.0625   4250.82 1392.07 33.062 0x00000011  ut100817h_templh/102/md10s069.g.100817h.140624_102_g.090919h.30975_102.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g      -     -  -      -  -      -  -      -    -      0x1613   2440.10 1374.02  33.0625   2452.27 1380.68 33.068 0x00000011 ut100817h_templh/102/md10s069.g.100817h.140624_102_g.091031h.127466_102.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g      -     -  -      -  -      -  -      -    -      0x1613   3549.95 1392.71  33.0625   3549.95 1392.32 33.062 0x00000011  ut100820h_templh/102/md10s069.g.100820h.142516_102_g.090919h.30975_102.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g      -     -  -      -  -      -  -      -    -      0x1613   1687.86 1374.15  33.0625   1696.28 1380.91 33.068 0x00000011 ut100820h_templh/102/md10s069.g.100820h.142516_102_g.091031h.127466_102.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g      -     -  -      -  -      -  -      -    -      0x1613   2387.16 1818.06  33.0625   2387.16 1817.93 33.062 0x00000011  ut100901h_templh/102/md10s069.g.100901h.147281_102_g.090919h.30975_102.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g      -     -  -      -  -      -  -      -    -      0x1613   2121.16 1965.73  33.0625   2131.74 1975.43 33.068 0x00000011 ut100901h_templh/102/md10s069.g.100901h.147281_102_g.091031h.127466_102.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g      -     -  -      -  -      -  -      -    -      0x1613   1855.00 1317.46  33.0625   1855.00 1317.35 33.062 0x00000011  ut100904h_templh/102/md10s069.g.100904h.148979_102_g.090919h.30975_102.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g      -     -  -      -  -      -  -      -    -      0x1613   -127.83 1297.11  33.0625   -128.47 1303.58 33.068 0x00000011 ut100904h_templh/102/md10s069.g.100904h.148979_102_g.091031h.127466_102.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g      -     -  -      -  -      -  -      -    -      0x1613    881.74 1786.65  33.0625    881.74 1786.63 33.062 0x00000011  ut100907h_templh/102/md10s069.g.100907h.150971_102_g.090919h.30975_102.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g      -     -  -      -  -      -  -      -    -      0x1613  -1041.54 1859.85  33.0625  -1046.73 1869.10 33.068 0x00000011 ut100907h_templh/102/md10s069.g.100907h.150971_102_g.091031h.127466_102.diff.cut.dcmp
 2010-09-10T12:15:33.12 55449.510800      g      -     -  -      -  -      -  -      -    -      0x1613   7172.56 3131.74  33.0625   6936.72 3028.09 33.026 0x00000011  ut100910h_templh/102/md10s069.g.100910h.152767_102_g.090919h.30975_102.diff.cut.dcmp
 2010-09-10T12:15:33.12 55449.510800      g      -     -  -      -  -      -  -      -    -      0x1613   3542.44 3052.53  33.0625   3356.62 2892.24 33.004 0x00000011 ut100910h_templh/102/md10s069.g.100910h.152767_102_g.091031h.127466_102.diff.cut.dcmp
 2010-09-13T10:45:04.61 55452.447970      g      -     -  -      -  -      -  -      -    -      0x1613   1372.52 1589.85  33.0625   1372.52 1589.80 33.062 0x00000011  ut100913h_templh/102/md10s069.g.100913h.154391_102_g.090919h.30975_102.diff.cut.dcmp
 2010-09-13T10:45:04.61 55452.447970      g      -     -  -      -  -      -  -      -    -      0x1613   -502.94 1542.76  33.0625   -505.45 1550.45 33.068 0x00000011 ut100913h_templh/102/md10s069.g.100913h.154391_102_g.091031h.127466_102.diff.cut.dcmp
