#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                            cmpfile
 2009-12-23T07:46:23.23 55188.323880      g 22.456 0.136      -      -      -      -  -      -    -      0x1613   7881.52  990.35  32.1974   7911.34  991.40 32.202 0x00000011  ut091223k_templk/21/md02s091.g.091223k.44904_21_g.100907k.150533_21.diff.cut.dcmp
 2009-12-23T07:46:23.23 55188.323880      g 22.472 0.135      -      -      -      -  -      -    -      0x1613   7762.13  968.56  32.1974   8779.32 1092.47 32.331 0x00000011  ut091223k_templk/21/md02s091.g.091223k.44904_21_g.100916k.155630_21.diff.cut.dcmp
 2009-12-26T07:36:42.62 55191.317160      g 22.721 0.232      -      -      -      -  -      -    -      0x1613   6176.12 1318.61  32.1974   6176.12 1317.37 32.197 0x00000011  ut091226k_templk/21/md02s091.g.091226k.40858_21_g.100907k.150533_21.diff.cut.dcmp
 2009-12-26T07:36:42.62 55191.317160      g 22.626 0.187      -      -      -      -  -      -    -      0x1613   6740.57 1162.30  32.1974   7464.77 1285.32 32.308 0x00000011  ut091226k_templk/21/md02s091.g.091226k.40858_21_g.100916k.155630_21.diff.cut.dcmp
 2010-01-07T07:42:33.41 55203.321220      g 22.055 0.075      -      -      -      -  -      -    -      0x1613  11399.70  797.08  32.1974  11971.08  829.67 32.251 0x00000011  ut100107k_templk/21/md02s091.g.100107k.36127_21_g.100907k.150533_21.diff.cut.dcmp
 2010-01-07T07:42:33.41 55203.321220      g 21.980 0.065      -      -      -      -  -      -    -      0x1613  12218.54  744.27  32.1974  14553.90  876.24 32.387 0x00000011  ut100107k_templk/21/md02s091.g.100107k.36127_21_g.100916k.155630_21.diff.cut.dcmp
 2010-01-25T05:39:12.85 55221.235565      g 22.665 0.258      -      -      -      -  -      -    -      0x1613   6501.92 1546.67  32.1974   6501.92 1545.50 32.197 0x00000011  ut100125k_templk/21/md02s091.g.100125k.96486_21_g.100907k.150533_21.diff.cut.dcmp
 2010-01-25T05:39:12.85 55221.235565      g 22.974 0.297      -      -      -      -  -      -    -      0x1613   4890.34 1339.65  32.1974   5415.76 1482.74 32.308 0x00000011  ut100125k_templk/21/md02s091.g.100125k.96486_21_g.100916k.155630_21.diff.cut.dcmp
 2010-09-07T14:54:45.50 55446.621360      g      -     -      -      -      -      -  -      -    -      0x1613   1026.52  895.04  32.1974   1161.79 1012.93 32.332 0x00000011 ut100907k_templk/21/md02s091.g.100907k.150533_21_g.100916k.155630_21.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -      -      -      -      -  -      -    -      0x1613     70.48  922.48  32.1974     70.48  922.48 32.197 0x00000011 ut100910k_templk/21/md02s091.g.100910k.152309_21_g.100907k.150533_21.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -      -      -      -      -  -      -    -      0x1613    849.35  817.01  32.1974    974.56  937.40 32.347 0x00000011 ut100910k_templk/21/md02s091.g.100910k.152309_21_g.100916k.155630_21.diff.cut.dcmp
 2010-09-13T14:17:26.02 55452.595440      g      -     -      -      -      -      -  -      -    -      0x1613  -1910.44  923.69  32.1974  -1932.21  934.04 32.210 0x00000011 ut100913k_templk/21/md02s091.g.100913k.153949_21_g.100907k.150533_21.diff.cut.dcmp
 2010-09-13T14:17:26.02 55452.595440      g      -     -      -      -      -      -  -      -    -      0x1613   -957.85  867.42  32.1974  -1090.28  987.30 32.338 0x00000011 ut100913k_templk/21/md02s091.g.100913k.153949_21_g.100916k.155630_21.diff.cut.dcmp
 2010-09-16T14:21:52.13 55455.598520      g      -     -      -      -      -      -  -      -    -      0x1613  -1144.18  896.61  32.1974  -1144.18  896.55 32.197 0x00000011 ut100916k_templk/21/md02s091.g.100916k.155630_21_g.100907k.150533_21.diff.cut.dcmp
