#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-11T15:25:56.06 55176.643010      g      -     -      -      -      -      -      -      -    -      0x1613   2830.41  1545.98  32.7867   2773.12  1514.47 32.764 0x00000011  ut091211h_templh/41/md04s064.g.091211h.44087_41_g.100110h.42136_41.diff.cut.dcmp
 2009-12-11T15:25:56.06 55176.643010      g 23.658 0.328      -      -      -      -      -      -    -      0x1613   4480.50  1354.32  32.7867  10673.01  3224.61 33.729 0x00000011  ut091211h_templh/41/md04s064.g.091211h.44087_41_g.100121h.52989_41.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g      -     -      -      -      -      -      -      -    -      0x1613   2319.57  1410.66  32.7867   2206.62  1341.81 32.733 0x00000011  ut091214h_templh/41/md04s064.g.091214h.38652_41_g.100110h.42136_41.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g 23.526 0.242      -      -      -      -      -      -    -      0x1613   5062.61  1130.01  32.7867  11915.02  2657.23 33.716 0x00000011  ut091214h_templh/41/md04s064.g.091214h.38652_41_g.100121h.52989_41.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g 22.964 0.261      -      -      -      -      -      -    -      0x1613   8491.21  2044.40  32.7867   7957.37  1914.45 32.716 0x00000011  ut091223h_templh/41/md04s064.g.091223h.45308_41_g.100110h.42136_41.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g 22.885 0.216      -      -      -      -      -      -    -      0x1613   9137.44  1822.38  32.7867  20892.21  4162.28 33.685 0x00000011  ut091223h_templh/41/md04s064.g.091223h.45308_41_g.100121h.52989_41.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g      -     -      -      -      -      -      -      -    -      0x1613   3661.55  1460.53  32.7867   3419.36  1363.56 32.712 0x00000011  ut091226h_templh/41/md04s064.g.091226h.41201_41_g.100110h.42136_41.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g 23.388 0.235 -0.115  0.366      -      -      -      -    1      0x1613   5749.49  1243.49  32.7867  12993.00  2807.52 33.672 0x00000011  ut091226h_templh/41/md04s064.g.091226h.41201_41_g.100121h.52989_41.diff.cut.dcmp
 2010-01-16T12:34:44.67 55212.524128      g      -     -      -      -      -      -      -      -    -      0x1613  -2071.22  1719.76  32.7867  -2071.22  1719.65 32.787 0x00000011  ut100116h_templh/41/md04s064.g.100116h.45904_41_g.100110h.42136_41.diff.cut.dcmp
 2010-01-16T12:48:33.76 55212.533724      g      -     -      -      -      -      -      -      -    -      0x1613  -2203.29  1762.38  32.7867  -2203.29  1762.26 32.787 0x00000011  ut100116h_templh/41/md04s064.g.100116h.54244_41_g.100110h.42136_41.diff.cut.dcmp
