#               DATEOBS        MJDim filter      m    dm     gr gr_err    ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-11T15:17:02.05 55176.636829      g      -     -      -      -     -      -      -      -    -      0x1613  -4494.40  1798.35  32.4764 -15855.94  6342.75 33.845 0x00000011  ut091211o_templo/42/md04s127.g.091211o.44141_42_g.100121o.53038_42.diff.cut.dcmp
 2009-12-11T15:17:02.11 55176.636830      g      -     -      -      -     -      -      -      -    -      0x1613  -1186.26  1764.22  32.4764  -1174.41  1746.56 32.465 0x00000011  ut091211o_templo/42/md04s127.g.091211o.44141_42_g.100110o.42190_42.diff.cut.dcmp
 2009-12-23T14:29:30.91 55188.603830      g      -     -      -      -     -      -      -      -    -      0x1613    233.00  2282.97  32.4764    243.51  2385.94 32.524 0x00000011  ut091223o_templo/42/md04s127.g.091223o.45361_42_g.100110o.42190_42.diff.cut.dcmp
 2009-12-23T14:29:30.91 55188.603830      g      -     -      -      -     -      -      -      -    -      0x1613   -251.85  1992.59  32.4764   -805.06  6369.40 33.738 0x00000011  ut091223o_templo/42/md04s127.g.091223o.45361_42_g.100121o.53038_42.diff.cut.dcmp
 2010-01-10T13:26:40.37 55206.560189      g      -     -      -      -     -      -      -      -    -      0x1613  -3986.15  1643.43  32.4764 -14062.87  5796.43 33.845 0x00000011  ut100110o_templo/42/md04s127.g.100110o.42190_42_g.100121o.53038_42.diff.cut.dcmp
 2010-01-19T13:05:27.46 55215.545457      g      -     -      -      -     -      -      -      -    -      0x1613 -22337.72  2232.65  32.4764 -22337.72  2223.06 32.476 0x00000011  ut100119o_templo/42/md04s127.g.100119o.52254_42_g.100110o.42190_42.diff.cut.dcmp
 2010-01-19T13:05:27.46 55215.545457      g      -     -      -      -     -      -      -      -    -      0x1613     53.97  2471.74  32.4764    190.42  8720.12 33.845 0x00000011  ut100119o_templo/42/md04s127.g.100119o.52254_42_g.100121o.53038_42.diff.cut.dcmp
 2010-01-21T11:07:28.50 55217.463524      g      -     -      -      -     -      -      -      -    -      0x1613   4148.00  1603.90  32.4764   4916.30  1900.44 32.661 0x00000011  ut100121o_templo/42/md04s127.g.100121o.53038_42_g.100110o.42190_42.diff.cut.dcmp
 2010-02-06T10:55:48.74 55233.455425      g      -     -      -      -     -      -      -      -    -      0x1613  -5263.41  2624.56  32.4764 -18568.94  9257.67 33.845 0x00000011 ut100206o_templo/42/md04s127.g.100206o.100831_42_g.100121o.53038_42.diff.cut.dcmp
 2010-02-06T10:55:49.15 55233.455430      g      -     -      -      -     -      -      -      -    -      0x1613  -4204.58  2820.85  32.4764  -4383.72  2940.75 32.522 0x00000011 ut100206o_templo/42/md04s127.g.100206o.100831_42_g.100110o.42190_42.diff.cut.dcmp
 2010-02-09T11:23:55.68 55236.474950      g      -     -      -      -     -      -      -      -    -      0x1613   2781.76  2525.59  32.4764   2805.17  2546.71 32.486 0x00000011 ut100209o_templo/42/md04s127.g.100209o.102369_42_g.100110o.42190_42.diff.cut.dcmp
 2010-02-09T11:23:55.98 55236.474953      g      -     -      -      -     -      -      -      -    -      0x1613  -1267.56  2546.22  32.4764  -4471.86  8982.79 33.845 0x00000011 ut100209o_templo/42/md04s127.g.100209o.102369_42_g.100121o.53038_42.diff.cut.dcmp
 2010-02-15T10:16:07.00 55242.427859      g      -     -      -      -     -      -      -      -    -      0x1613   1571.46  1920.56  32.4764   5544.01  6775.41 33.845 0x00000011  ut100215o_templo/42/md04s127.g.100215o.60927_42_g.100121o.53038_42.diff.cut.dcmp
 2010-02-15T10:16:07.10 55242.427860      g      -     -      -      -     -      -      -      -    -      0x1613   4299.43  2046.80  32.4764   4612.02  2195.20 32.553 0x00000011  ut100215o_templo/42/md04s127.g.100215o.60927_42_g.100110o.42190_42.diff.cut.dcmp
 2010-03-20T09:29:26.66 55275.395447      g      -     -      -      -     -      -      -      -    -      0x1613  -2573.25  2301.47  32.4764  -9078.25  8119.00 33.845 0x00000011  ut100320o_templo/42/md04s127.g.100320o.74936_42_g.100121o.53038_42.diff.cut.dcmp
 2010-03-20T09:29:26.88 55275.395450      g      -     -      -      -     -      -      -      -    -      0x1613   4185.22  2279.50  32.4764   4647.27  2530.80 32.590 0x00000011  ut100320o_templo/42/md04s127.g.100320o.74936_42_g.100110o.42190_42.diff.cut.dcmp
 2010-05-04T07:42:46.37 55320.321370      g 22.221 0.187 -0.163  0.273     -      -      -      -    1      0x1613  12646.25  2180.57  32.4764  13093.08  2254.36 32.514 0x00000011 ut100504o_templo/42/md04s127.g.100504o.105993_42_g.100110o.42190_42.diff.cut.dcmp
 2010-05-04T07:42:46.71 55320.321374      g 22.434 0.205  0.050  0.285     -      -      -      -    1      0x1613  10396.07  1963.39  32.4764  36676.62  6918.39 33.845 0x00000011 ut100504o_templo/42/md04s127.g.100504o.105993_42_g.100121o.53038_42.diff.cut.dcmp
 2010-12-15T12:19:51.46 55545.513790      g 22.746 0.274  0.698  0.308     -      -      -      -    1      0x1613   7798.16  1972.11  32.4764   8960.91  2264.65 32.627 0x00000011 ut101215o_templo/42/md04s127.g.101215o.204157_42_g.100110o.42190_42.diff.cut.dcmp
 2010-12-15T12:19:51.46 55545.513790      g      -     -      -      -     -      -      -      -    -      0x1613   3945.08  1838.72  32.4764  13917.98  6485.61 33.845 0x00000011 ut101215o_templo/42/md04s127.g.101215o.204157_42_g.100121o.53038_42.diff.cut.dcmp
 2011-01-05T14:54:03.17 55566.620870      g 22.331 0.337  0.317  0.374     -      -      -      -    1      0x1613  11429.64  3546.07  32.4764  11375.03  3527.56 32.471 0x00000011 ut110105o_templo/42/md04s127.g.110105o.212941_42_g.100110o.42190_42.diff.cut.dcmp
 2011-01-29T11:39:48.87 55590.485982      g 22.309 0.165 -0.127  0.249     -      -      -      -    1      0x1613  11667.23  1771.92  32.4764  11667.23  1768.63 32.476 0x00000011 ut110129o_templo/42/md04s127.g.110129o.218684_42_g.100110o.42190_42.diff.cut.dcmp
 2011-01-29T11:39:48.87 55590.485982      g 22.436 0.185 -0.001  0.263     -      -      -      -    1      0x1613  10381.69  1771.32  32.4764  36625.89  6239.91 33.845 0x00000011 ut110129o_templo/42/md04s127.g.110129o.218684_42_g.100121o.53038_42.diff.cut.dcmp
 2011-02-04T08:38:32.35 55596.360097      g      -     -      -      -     -      -      -      -    -      0x1613  -7887.05  2102.19  32.4764  -7887.05  2100.92 32.476 0x00000011 ut110204o_templo/42/md04s127.g.110204o.223459_42_g.100110o.42190_42.diff.cut.dcmp
 2011-02-04T08:38:32.35 55596.360097      g      -     -      -      -     -      -      -      -    -      0x1613   -753.52  2304.87  32.4764  -2658.36  8131.38 33.845 0x00000011 ut110204o_templo/42/md04s127.g.110204o.223459_42_g.100121o.53038_42.diff.cut.dcmp
 2011-02-10T09:19:29.89 55602.388540      g      -     -      -      -     -      -      -      -    -      0x1613  -2098.00  3820.52  32.4764  -2098.00  3820.47 32.476 0x00000011 ut110210o_templo/42/md04s127.g.110210o.225073_42_g.100110o.42190_42.diff.cut.dcmp
 2011-02-10T09:19:29.89 55602.388540      g      -     -      -      -     -      -      -      -    -      0x1613  -1743.76  3440.08  32.4764  -6151.88 12136.22 33.845 0x00000011 ut110210o_templo/42/md04s127.g.110210o.225073_42_g.100121o.53038_42.diff.cut.dcmp
