#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-25T15:18:45.79 55221.638030      g      -     -      -      -      -      -      -      -    -      0x1613  -556.43   363.48  31.0889  -556.43   363.44 31.089 0x00000011  ut100125e_temple/71/md07s043.g.100125e.97243_71_g.100212e.59637_71.diff.cut.dcmp
 2010-01-25T15:18:45.79 55221.638030      g      -     -      -      -      -      -      -      -    -      0x1613  -856.09   435.13  31.0889 -1542.12   783.70 31.728 0x00000011  ut100125e_temple/71/md07s043.g.100125e.97243_71_g.100215e.61388_71.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -      -      -      -      -      -      -    -      0x1613   -77.04   915.07  31.0889   -75.68   898.86 31.070 0x00000011  ut100203e_temple/71/md07s043.g.100203e.99836_71_g.100212e.59637_71.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -      -      -      -      -      -      -    -      0x1613  -469.61   679.31  31.0889  -845.93  1223.65 31.728 0x00000011  ut100203e_temple/71/md07s043.g.100203e.99836_71_g.100215e.61388_71.diff.cut.dcmp
 2010-02-06T13:32:25.15 55233.564180      g      -     -      -      -      -      -      -      -    -      0x1613   548.27   651.43  31.0889   558.51   663.58 31.109 0x00000011 ut100206e_temple/71/md07s043.g.100206e.101235_71_g.100212e.59637_71.diff.cut.dcmp
 2010-02-06T13:32:25.15 55233.564180      g      -     -      -      -      -      -      -      -    -      0x1613   620.02   604.83  31.0889  1200.96  1171.48 31.807 0x00000011 ut100206e_temple/71/md07s043.g.100206e.101235_71_g.100215e.61388_71.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -      -      -      -      -      -      -    -      0x1613   146.12   366.59  31.0889   150.24   376.93 31.119 0x00000011 ut100209e_temple/71/md07s043.g.100209e.102782_71_g.100212e.59637_71.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -      -      -      -      -      -      -    -      0x1613   447.98   420.74  31.0889   806.98   757.87 31.728 0x00000011 ut100209e_temple/71/md07s043.g.100209e.102782_71_g.100215e.61388_71.diff.cut.dcmp
 2010-02-12T14:40:03.36 55239.611150      g      -     -      -      -      -      -      -      -    -      0x1613   -95.57   480.19  31.0889  -172.15   864.99 31.728 0x00000011  ut100212e_temple/71/md07s043.g.100212e.59637_71_g.100215e.61388_71.diff.cut.dcmp
 2010-02-15T15:13:01.06 55242.634040      g      -     -      -      -      -      -      -      -    -      0x1613    91.38   480.25  31.0889    86.05   452.26 31.024 0x00000011  ut100215e_temple/71/md07s043.g.100215e.61388_71_g.100212e.59637_71.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -      -      -      -      -      -      -    -      0x1613   578.60   623.02  31.0889   586.92   631.95 31.104 0x00000011  ut100311e_temple/71/md07s043.g.100311e.80585_71_g.100212e.59637_71.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -      -      -      -      -      -      -    -      0x1613   113.27   576.57  31.0889   221.14  1125.68 31.815 0x00000011  ut100311e_temple/71/md07s043.g.100311e.80585_71_g.100215e.61388_71.diff.cut.dcmp
 2010-03-17T14:22:49.15 55272.599180      g      -     -      -      -      -      -      -      -    -      0x1613   388.11   493.49  31.0889   393.65   500.53 31.104 0x00000011  ut100317e_temple/71/md07s043.g.100317e.73622_71_g.100212e.59637_71.diff.cut.dcmp
 2010-03-17T14:22:49.15 55272.599180      g      -     -      -      -      -      -      -      -    -      0x1613   446.31   468.04  31.0889   803.96   843.08 31.728 0x00000011  ut100317e_temple/71/md07s043.g.100317e.73622_71_g.100215e.61388_71.diff.cut.dcmp
 2010-03-20T13:02:43.58 55275.543560      g      -     -      -      -      -      -      -      -    -      0x1613   354.72   480.87  31.0889   359.89   487.86 31.105 0x00000011  ut100320e_temple/71/md07s043.g.100320e.75357_71_g.100212e.59637_71.diff.cut.dcmp
 2010-03-20T13:02:43.58 55275.543560      g      -     -      -      -      -      -      -      -    -      0x1613   167.61   454.13  31.0889   323.05   875.27 31.801 0x00000011  ut100320e_temple/71/md07s043.g.100320e.75357_71_g.100215e.61388_71.diff.cut.dcmp
 2010-03-26T10:29:43.58 55281.437310      g      -     -      -      -      -      -      -      -    -      0x1613  -724.48   691.91  31.0889  -724.48   691.88 31.089 0x00000011  ut100326e_temple/71/md07s043.g.100326e.79324_71_g.100212e.59637_71.diff.cut.dcmp
