#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T11:56:49.64 55173.497797      g      -     -  -      -      -      -      -      -    -      0x1613  1942.11 1263.94  32.1824  1942.11 1263.81 32.182 0x00000011  ut091208c_templc/34/md03s026.g.091208c.37588_34_g.091214c.38405_34.diff.cut.dcmp
 2009-12-08T11:56:49.64 55173.497797      g      -     -  -      -      -      -      -      -    -      0x1613  1304.54 1198.86  32.1824  1110.04 1020.06 32.007 0x00000011  ut091208c_templc/34/md03s026.g.091208c.37588_34_g.100110c.41886_34.diff.cut.dcmp
 2009-12-14T12:28:04.79 55179.519500      g      -     -  -      -      -      -      -      -    -      0x1613   415.55  954.61  32.1824   338.77  778.22 31.961 0x00000011  ut091214c_templc/34/md03s026.g.091214c.38405_34_g.100110c.41886_34.diff.cut.dcmp
 2009-12-23T13:09:26.26 55188.548221      g      -     -  -      -      -      -      -      -    -      0x1613   628.56 1262.42  32.1824   637.66 1280.68 32.198 0x00000011  ut091223c_templc/34/md03s026.g.091223c.45060_34_g.091214c.38405_34.diff.cut.dcmp
 2009-12-23T13:09:26.26 55188.548221      g      -     -  -      -      -      -      -      -    -      0x1613  1196.16 1271.86  32.1824   997.03 1060.09 31.985 0x00000011  ut091223c_templc/34/md03s026.g.091223c.45060_34_g.100110c.41886_34.diff.cut.dcmp
 2010-01-07T10:30:46.41 55203.438037      g      -     -  -      -      -      -      -      -    -      0x1613  -917.78  923.97  32.1824  -917.78  923.93 32.182 0x00000011  ut100107c_templc/34/md03s026.g.100107c.36231_34_g.091214c.38405_34.diff.cut.dcmp
 2010-01-07T10:30:46.41 55203.438037      g      -     -  -      -      -      -      -      -    -      0x1613  -749.75  845.79  32.1824  -616.42  695.36 31.970 0x00000011  ut100107c_templc/34/md03s026.g.100107c.36231_34_g.100110c.41886_34.diff.cut.dcmp
 2010-01-10T11:59:31.85 55206.499674      g      -     -  -      -      -      -      -      -    -      0x1613    85.51  955.95  32.1824    85.51  955.95 32.182 0x00000011  ut100110c_templc/34/md03s026.g.100110c.41886_34_g.091214c.38405_34.diff.cut.dcmp
 2010-01-16T10:26:49.53 55212.435295      g      -     -  -      -      -      -      -      -    -      0x1613   987.50 1210.70  32.1824   987.50 1210.67 32.182 0x00000011  ut100116c_templc/34/md03s026.g.100116c.45661_34_g.091214c.38405_34.diff.cut.dcmp
 2010-02-03T10:50:56.35 55230.452041      g      -     -  -      -      -      -      -      -    -      0x1613 -2601.89 1807.06  32.1824 -2601.89 1806.90 32.182 0x00000011  ut100203c_templc/34/md03s026.g.100203c.99183_34_g.091214c.38405_34.diff.cut.dcmp
 2010-02-03T10:50:56.35 55230.452041      g      -     -  -      -      -      -      -      -    -      0x1613  -739.37 1987.70  32.1824  -611.03 1642.66 31.975 0x00000011  ut100203c_templc/34/md03s026.g.100203c.99183_34_g.100110c.41886_34.diff.cut.dcmp
 2010-12-15T11:31:41.88 55545.480346      g      -     -  -      -      -      -      -      -    -      0x1613  2815.10 1353.39  32.1824  2815.10 1353.14 32.182 0x00000011 ut101215c_templc/34/md03s026.g.101215c.203919_34_g.091214c.38405_34.diff.cut.dcmp
 2010-12-15T11:31:41.88 55545.480346      g      -     -  -      -      -      -      -      -    -      0x1613  1713.33 1277.87  32.1824  1457.88 1087.26 32.007 0x00000011 ut101215c_templc/34/md03s026.g.101215c.203919_34_g.100110c.41886_34.diff.cut.dcmp
 2010-12-18T14:45:54.24 55548.615211      g 22.627 0.207  -      -      -      -      -      -    -      0x1613  6638.38 1269.43  32.1824  7149.28 1365.53 32.263 0x00000011 ut101218c_templc/34/md03s026.g.101218c.204647_34_g.091214c.38405_34.diff.cut.dcmp
 2010-12-18T14:45:54.24 55548.615211      g 22.502 0.188  -      -      -      -      -      -    -      0x1613  7453.36 1293.17  32.1824  6588.58 1141.50 32.048 0x00000011 ut101218c_templc/34/md03s026.g.101218c.204647_34_g.100110c.41886_34.diff.cut.dcmp
