#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-25T15:18:45.79 55221.638030      g      -     -      -      -      -      -      -      -    -      0x1613   222.61   382.48  31.6154   222.61   382.47 31.615 0x00000011  ut100125h_templh/72/md07s066.g.100125h.97260_72_g.100212h.59656_72.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -      -      -      -      -      -      -    -      0x1613 -1179.67   899.19  31.6154 -1097.09   836.18 31.537 0x00000011  ut100203h_templh/72/md07s066.g.100203h.99854_72_g.100212h.59656_72.diff.cut.dcmp
 2010-02-06T13:32:25.22 55233.564181      g      -     -      -      -      -      -      -      -    -      0x1613   533.87   528.97  31.6154   506.94   502.26 31.559 0x00000011 ut100206h_templh/72/md07s066.g.100206h.101253_72_g.100212h.59656_72.diff.cut.dcmp
 2010-02-09T15:01:36.77 55236.626120      g      -     -      -      -      -      -      -      -    -      0x1613  -322.80   477.76  31.6154  -322.80   477.75 31.615 0x00000011 ut100209h_templh/72/md07s066.g.100209h.102800_72_g.100212h.59656_72.diff.cut.dcmp
 2010-02-15T15:13:01.06 55242.634040      g      -     -      -      -      -      -      -      -    -      0x1613   407.13   450.06  31.6154   387.98   428.88 31.563 0x00000011  ut100215h_templh/72/md07s066.g.100215h.61407_72_g.100212h.59656_72.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -      -      -      -      -      -      -    -      0x1613  1008.81   508.87  31.6154  1018.71   513.78 31.626 0x00000011  ut100311h_templh/72/md07s066.g.100311h.80604_72_g.100212h.59656_72.diff.cut.dcmp
 2010-03-17T14:22:49.33 55272.599182      g      -     -      -      -      -      -      -      -    -      0x1613   100.58   488.26  31.6154   103.20   500.97 31.643 0x00000011  ut100317h_templh/72/md07s066.g.100317h.73641_72_g.100212h.59656_72.diff.cut.dcmp
 2010-03-20T13:02:43.58 55275.543560      g      -     -      -      -      -      -      -      -    -      0x1613  -113.00   883.36  31.6154  -114.55   895.48 31.630 0x00000011  ut100320h_templh/72/md07s066.g.100320h.75376_72_g.100212h.59656_72.diff.cut.dcmp
 2010-03-26T10:29:43.58 55281.437310      g      -     -      -      -      -      -      -      -    -      0x1613  -862.81  1084.28  31.6154  -870.55  1093.98 31.625 0x00000011  ut100326h_templh/72/md07s066.g.100326h.79343_72_g.100212h.59656_72.diff.cut.dcmp
 2010-04-04T14:10:48.58 55290.590840      g      -     -      -      -      -      -      -      -    -      0x1613 -2787.93  1421.59  31.6154 -2712.95  1383.13 31.586 0x00000011  ut100404h_templh/72/md07s066.g.100404h.80128_72_g.100212h.59656_72.diff.cut.dcmp
 2010-04-10T13:17:59.42 55296.554160      g      -     -      -      -      -      -      -      -    -      0x1613  1193.41  1834.93  31.6154  1112.22  1710.06 31.539 0x00000011  ut100410h_templh/72/md07s066.g.100410h.81517_72_g.100212h.59656_72.diff.cut.dcmp
 2010-04-19T10:43:29.11 55305.446865      g      -     -      -      -      -      -      -      -    -      0x1613   665.60   684.70  31.6154   644.96   663.44 31.581 0x00000011  ut100419h_templh/72/md07s066.g.100419h.94801_72_g.100212h.59656_72.diff.cut.dcmp
 2010-05-10T12:27:11.23 55326.518880      g      -     -      -      -      -      -      -      -    -      0x1613  -207.03   947.08  31.6154  -201.48   921.69 31.586 0x00000011 ut100510h_templh/72/md07s066.g.100510h.106736_72_g.100212h.59656_72.diff.cut.dcmp
 2010-05-16T08:09:48.10 55332.340140      g      -     -      -      -      -      -      -      -    -      0x1613    11.14   422.79  31.6154    10.56   400.80 31.557 0x00000011 ut100516h_templh/72/md07s066.g.100516h.108854_72_g.100212h.59656_72.diff.cut.dcmp
 2010-05-22T08:06:35.42 55338.337910      g      -     -      -      -      -      -      -      -    -      0x1613    -5.53  1724.44  31.6154    -5.02  1564.33 31.510 0x00000011 ut100522h_templh/72/md07s066.g.100522h.112497_72_g.100212h.59656_72.diff.cut.dcmp
 2010-05-31T09:42:02.02 55347.404190      g      -     -      -      -      -      -      -      -    -      0x1613  -972.27   787.06  31.6154  -933.74   755.82 31.572 0x00000011 ut100531h_templh/72/md07s066.g.100531h.113851_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-03T07:46:49.15 55350.324180      g      -     -      -      -      -      -      -      -    -      0x1613   229.42   580.98  31.6154   218.93   554.42 31.565 0x00000011 ut100603h_templh/72/md07s066.g.100603h.114802_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-06T09:26:53.09 55353.393670      g      -     -      -      -      -      -      -      -    -      0x1613   639.49   475.65  31.6154   599.67   446.00 31.546 0x00000011 ut100606h_templh/72/md07s066.g.100606h.116117_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-12T07:47:18.53 55359.324520      g      -     -      -      -      -      -      -      -    -      0x1613   587.85  1288.25  31.6154   566.90  1242.33 31.576 0x00000011 ut100612h_templh/72/md07s066.g.100612h.117066_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-15T07:00:04.06 55362.291714      g      -     -      -      -      -      -      -      -    -      0x1613  -983.77   459.86  31.6154  -959.25   448.31 31.588 0x00000011 ut100615h_templh/72/md07s066.g.100615h.118486_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-18T07:19:36.19 55365.305280      g      -     -      -      -      -      -      -      -    -      0x1613   509.86   556.17  31.6154   493.55   538.36 31.580 0x00000011 ut100618h_templh/72/md07s066.g.100618h.119107_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-21T08:50:09.52 55368.368166      g      -     -      -      -      -      -      -      -    -      0x1613   254.68   718.67  31.6154   254.68   718.67 31.615 0x00000011 ut100621h_templh/72/md07s066.g.100621h.120117_72_g.100212h.59656_72.diff.cut.dcmp
 2010-06-30T08:43:56.01 55377.363843      g      -     -      -      -      -      -      -      -    -      0x1613  -951.24   655.93  31.6154  -951.24   655.87 31.615 0x00000011 ut100630h_templh/72/md07s066.g.100630h.126576_72_g.100212h.59656_72.diff.cut.dcmp
 2010-07-12T06:31:56.35 55389.272180      g      -     -      -      -      -      -      -      -    -      0x1613   402.96   483.28  31.6154   402.11   482.24 31.613 0x00000011 ut100712h_templh/72/md07s066.g.100712h.128520_72_g.100212h.59656_72.diff.cut.dcmp
 2011-02-04T15:34:46.56 55596.649150      g 23.144 0.272  0.043  0.344      -      -      -      -    1      0x1613  2446.05   613.79  31.6154  2446.05   613.37 31.615 0x00000011 ut110204h_templh/72/md07s066.g.110204h.223751_72_g.100212h.59656_72.diff.cut.dcmp
 2011-02-10T14:07:54.91 55602.588830      g 23.122 0.179 -0.238  0.355      -      -      -      -    1      0x1613  2497.21   411.67  31.6154  2497.21   411.02 31.615 0x00000011 ut110210h_templh/72/md07s066.g.110210h.225526_72_g.100212h.59656_72.diff.cut.dcmp
 2011-02-13T15:30:36.00 55605.646250      g      -     -      -      -      -      -      -      -    -      0x1613  1319.79   997.52  31.6154  1193.07   901.67 31.506 0x00000011 ut110213h_templh/72/md07s066.g.110213h.226011_72_g.100212h.59656_72.diff.cut.dcmp
 2011-03-09T14:56:14.50 55629.622390      g 22.850 0.168 -0.114  0.275      -      -      -      -    1      0x1613  3207.03   496.24  31.6154  3169.15   489.50 31.602 0x00000011 ut110309h_templh/72/md07s066.g.110309h.242473_72_g.100212h.59656_72.diff.cut.dcmp
 2011-03-15T14:04:48.21 55635.586669      g 22.562 0.301 -0.658  0.423      -      -      -      -    1      0x1613  4183.68  1160.38  31.6154  3570.08   989.64 31.443 0x00000011 ut110315h_templh/72/md07s066.g.110315h.249966_72_g.100212h.59656_72.diff.cut.dcmp
 2011-03-30T14:10:49.98 55650.590856      g 23.051 0.285 -0.008  0.403      -      -      -      -    1      0x1613  2664.71   698.72  31.6154  2649.29   694.24 31.609 0x00000011 ut110330h_templh/72/md07s066.g.110330h.254528_72_g.100212h.59656_72.diff.cut.dcmp
 2011-04-02T13:04:31.59 55653.544810      g 22.853 0.208  0.230  0.277      -      -      -      -    1      0x1613  3198.84   614.75  31.6154  3141.61   603.05 31.596 0x00000011 ut110402h_templh/72/md07s066.g.110402h.258906_72_g.100212h.59656_72.diff.cut.dcmp
 2011-04-11T10:55:21.93 55662.455115      g 22.941 0.226  0.111  0.228      -      -      -      -    2      0x1613  2950.03   614.58  31.6154  3009.31   626.31 31.637 0x00000011 ut110411h_templh/72/md07s066.g.110411h.262647_72_g.100212h.59656_72.diff.cut.dcmp
 2011-04-14T10:25:34.18 55665.434423      g 23.184 0.328  0.300  0.404      -      -      -      -    1      0x1613  2357.48   711.32  31.6154  2357.48   710.99 31.615 0x00000011 ut110414h_templh/72/md07s066.g.110414h.263679_72_g.100212h.59656_72.diff.cut.dcmp
 2011-04-23T10:12:38.71 55674.425448      g 22.564 0.116 -0.070  0.175      -      -      -      -    1      0x1613  4173.15   448.47  31.6154  4004.09   428.70 31.570 0x00000011 ut110423h_templh/72/md07s066.g.110423h.268031_72_g.100212h.59656_72.diff.cut.dcmp
 2011-04-26T10:26:09.59 55677.434833      g 22.534 0.098 -0.352  0.192      -      -      -      -    1      0x1613  4290.58   387.84  31.6154  4124.35   370.86 31.573 0x00000011 ut110426h_templh/72/md07s066.g.110426h.269657_72_g.100212h.59656_72.diff.cut.dcmp
