#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err iz iz_err cflg photcodehex     flux_c  dflux_c ZPTMAG_c       flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-26T14:05:44.45 55191.587320      g      -     -      -      -      -      -  -      -    -      0x1613    -698.22  1694.72  32.6511    -692.97  1681.96 32.643 0x00000011  ut091226k_templk/64/md06s090.g.091226k.41549_64_g.100107k.36634_64.diff.cut.dcmp
 2009-12-26T14:05:44.45 55191.587320      g      -     -      -      -      -      -  -      -    -      0x1613    -137.72  1560.24  32.6511    -137.28  1555.22 32.648 0x00000011  ut091226k_templk/64/md06s090.g.091226k.41549_64_g.100119k.52618_64.diff.cut.dcmp
 2010-01-07T14:43:16.03 55203.613380      g      -     -      -      -      -      -  -      -    -      0x1613     173.81  1157.79  32.6511     174.16  1160.14 32.653 0x00000011  ut100107k_templk/64/md06s090.g.100107k.36634_64_g.100119k.52618_64.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -      -      -      -      -  -      -    -      0x1613    -352.85  1613.74  32.6511    -357.17  1633.48 32.664 0x00000011  ut100113k_templk/64/md06s090.g.100113k.43623_64_g.100107k.36634_64.diff.cut.dcmp
 2010-01-13T15:15:07.20 55209.635500      g      -     -      -      -      -      -  -      -    -      0x1613     892.74  1486.93  32.6511     905.91  1508.84 32.667 0x00000011  ut100113k_templk/64/md06s090.g.100113k.43623_64_g.100119k.52618_64.diff.cut.dcmp
 2010-01-16T15:13:52.46 55212.634635      g      -     -      -      -      -      -  -      -    -      0x1613    4675.38  1873.08  32.6511    4728.21  1893.74 32.663 0x00000011  ut100116k_templk/64/md06s090.g.100116k.46372_64_g.100107k.36634_64.diff.cut.dcmp
 2010-01-16T15:13:52.46 55212.634635      g      -     -      -      -      -      -  -      -    -      0x1613     220.06  1812.30  32.6511     221.40  1823.35 32.658 0x00000011  ut100116k_templk/64/md06s090.g.100116k.46372_64_g.100119k.52618_64.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g      -     -      -      -      -      -  -      -    -      0x1613    -176.61  1153.94  32.6511    -176.61  1153.94 32.651 0x00000011  ut100119k_templk/64/md06s090.g.100119k.52618_64_g.100107k.36634_64.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -      -      -      -      -  -      -    -      0x1613    2529.34  1531.31  32.6511    2411.94  1460.07 32.599 0x00000011  ut100125k_templk/64/md06s090.g.100125k.97124_64_g.100107k.36634_64.diff.cut.dcmp
 2010-01-25T13:24:56.74 55221.558990      g      -     -      -      -      -      -  -      -    -      0x1613    2295.32  1526.62  32.6511    2186.77  1454.28 32.599 0x00000011  ut100125k_templk/64/md06s090.g.100125k.97124_64_g.100119k.52618_64.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -      -      -      -      -  -      -    -      0x1613  -10182.68  2222.65  32.6511  -10182.68  2220.65 32.651 0x00000011  ut100203k_templk/64/md06s090.g.100203k.99713_64_g.100107k.36634_64.diff.cut.dcmp
 2010-02-03T14:27:17.86 55230.602290      g      -     -      -      -      -      -  -      -    -      0x1613    4048.58  2218.90  32.6511    4342.53  2379.66 32.727 0x00000011  ut100203k_templk/64/md06s090.g.100203k.99713_64_g.100119k.52618_64.diff.cut.dcmp
 2010-02-06T12:45:12.96 55233.531400      g      -     -      -      -      -      -  -      -    -      0x1613    1235.39  2346.09  32.6511    1380.78  2622.16 32.772 0x00000011 ut100206k_templk/64/md06s090.g.100206k.101119_64_g.100107k.36634_64.diff.cut.dcmp
