#               DATEOBS        MJDim filter      m    dm    gr gr_err ri ri_err    iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-11-26T12:33:49.87 55161.523494      g      -     -     -      -  -      -     -      -    -      0x1613 -3240.31  1970.45  32.6223 -3407.11  2071.64 32.677 0x00000011  ut091126j_templj/33/md03s081.g.091126j.32881_33_g.100110j.41937_33.diff.cut.dcmp
 2009-11-26T12:33:49.87 55161.523494      g      -     -     -      -  -      -     -      -    -      0x1613 -4229.61  1834.44  32.6223 -4621.47  2003.94 32.718 0x00000011  ut091126j_templj/33/md03s081.g.091126j.32881_33_g.100119j.51859_33.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g      -     -     -      -  -      -     -      -    -      0x1613   580.67  1150.85  32.6223   725.25  1437.39 32.864 0x00000011  ut091208j_templj/33/md03s081.g.091208j.37639_33_g.100110j.41937_33.diff.cut.dcmp
 2009-12-08T12:03:41.18 55173.502560      g      -     -     -      -  -      -     -      -    -      0x1613    52.00  1088.34  32.6223    64.96  1359.58 32.864 0x00000011  ut091208j_templj/33/md03s081.g.091208j.37639_33_g.100119j.51859_33.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -     -      -  -      -     -      -    -      0x1613   -35.61   874.45  32.6223   -41.13  1010.13 32.779 0x00000011  ut091214j_templj/33/md03s081.g.091214j.38454_33_g.100110j.41937_33.diff.cut.dcmp
 2009-12-14T12:32:19.68 55179.522450      g      -     -     -      -  -      -     -      -    -      0x1613  -841.52   727.48  32.6223  -979.46   846.67 32.787 0x00000011  ut091214j_templj/33/md03s081.g.091214j.38454_33_g.100119j.51859_33.diff.cut.dcmp
 2009-12-17T11:46:22.66 55182.490540      g      -     -     -      -  -      -     -      -    -      0x1613  -348.81   855.01  32.6223  -395.03   968.30 32.757 0x00000011  ut091217j_templj/33/md03s081.g.091217j.39623_33_g.100110j.41937_33.diff.cut.dcmp
 2009-12-17T11:46:22.66 55182.490540      g      -     -     -      -  -      -     -      -    -      0x1613  -850.64   723.18  32.6223  -981.26   834.18 32.777 0x00000011  ut091217j_templj/33/md03s081.g.091217j.39623_33_g.100119j.51859_33.diff.cut.dcmp
 2009-12-23T13:13:29.86 55188.551040      g      -     -     -      -  -      -     -      -    -      0x1613   932.52  1066.22  32.6223   987.50  1129.05 32.684 0x00000011  ut091223j_templj/33/md03s081.g.091223j.45111_33_g.100110j.41937_33.diff.cut.dcmp
 2009-12-23T13:13:29.86 55188.551040      g      -     -     -      -  -      -     -      -    -      0x1613    14.09   971.62  32.6223    15.06  1038.52 32.695 0x00000011  ut091223j_templj/33/md03s081.g.091223j.45111_33_g.100119j.51859_33.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -     -      -  -      -     -      -    -      0x1613   530.77   847.12  32.6223   525.27   838.34 32.611 0x00000011  ut091226j_templj/33/md03s081.g.091226j.41053_33_g.100110j.41937_33.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -     -      -  -      -     -      -    -      0x1613    37.78   738.50  32.6223    38.16   745.88 32.633 0x00000011  ut091226j_templj/33/md03s081.g.091226j.41053_33_g.100119j.51859_33.diff.cut.dcmp
 2010-01-07T10:34:28.70 55203.440610      g      -     -     -      -  -      -     -      -    -      0x1613   137.92   848.41  32.6223   148.30   912.27 32.701 0x00000011  ut100107j_templj/33/md03s081.g.100107j.36277_33_g.100110j.41937_33.diff.cut.dcmp
 2010-01-07T10:34:28.70 55203.440610      g      -     -     -      -  -      -     -      -    -      0x1613  -807.30   707.53  32.6223  -871.43   763.70 32.705 0x00000011  ut100107j_templj/33/md03s081.g.100107j.36277_33_g.100119j.51859_33.diff.cut.dcmp
 2010-01-10T12:00:56.16 55206.500650      g      -     -     -      -  -      -     -      -    -      0x1613  -344.59   680.87  32.6223  -346.91   685.46 32.630 0x00000011  ut100110j_templj/33/md03s081.g.100110j.41937_33_g.100119j.51859_33.diff.cut.dcmp
 2010-01-16T10:25:01.06 55212.434040      g      -     -     -      -  -      -     -      -    -      0x1613    92.23   882.42  32.6223    93.30   892.64 32.635 0x00000011  ut100116j_templj/33/md03s081.g.100116j.45712_33_g.100110j.41937_33.diff.cut.dcmp
 2010-01-16T10:25:01.06 55212.434040      g      -     -     -      -  -      -     -      -    -      0x1613  -491.26   747.20  32.6223  -497.54   756.74 32.636 0x00000011  ut100116j_templj/33/md03s081.g.100116j.45712_33_g.100119j.51859_33.diff.cut.dcmp
 2010-01-19T09:46:23.81 55215.407220      g      -     -     -      -  -      -     -      -    -      0x1613   343.79   689.89  32.6223   343.79   689.88 32.622 0x00000011  ut100119j_templj/33/md03s081.g.100119j.51859_33_g.100110j.41937_33.diff.cut.dcmp
 2010-01-25T10:31:03.94 55221.438240      g      -     -     -      -  -      -     -      -    -      0x1613 -2369.61  1456.33  32.6223 -2424.36  1489.81 32.647 0x00000011  ut100125j_templj/33/md03s081.g.100125j.96641_33_g.100110j.41937_33.diff.cut.dcmp
 2010-01-25T10:31:03.94 55221.438240      g      -     -     -      -  -      -     -      -    -      0x1613 -2647.61  1408.44  32.6223 -2728.81  1451.42 32.655 0x00000011  ut100125j_templj/33/md03s081.g.100125j.96641_33_g.100119j.51859_33.diff.cut.dcmp
 2010-02-03T10:51:09.22 55230.452190      g      -     -     -      -  -      -     -      -    -      0x1613 -1140.50  2184.71  32.6223 -1168.03  2237.43 32.648 0x00000011  ut100203j_templj/33/md03s081.g.100203j.99228_33_g.100110j.41937_33.diff.cut.dcmp
 2010-02-03T10:51:09.22 55230.452190      g      -     -     -      -  -      -     -      -    -      0x1613 -1839.17  2151.86  32.6223 -1906.79  2230.90 32.661 0x00000011  ut100203j_templj/33/md03s081.g.100203j.99228_33_g.100119j.51859_33.diff.cut.dcmp
 2010-02-06T09:45:03.46 55233.406290      g      -     -     -      -  -      -     -      -    -      0x1613  1771.20  1280.52  32.6223  1824.85  1319.20 32.655 0x00000011 ut100206j_templj/33/md03s081.g.100206j.100642_33_g.100110j.41937_33.diff.cut.dcmp
 2010-02-06T09:45:03.46 55233.406290      g      -     -     -      -  -      -     -      -    -      0x1613  1029.24  1181.98  32.6223  1085.62  1246.68 32.680 0x00000011 ut100206j_templj/33/md03s081.g.100206j.100642_33_g.100119j.51859_33.diff.cut.dcmp
 2010-02-09T07:51:11.81 55236.327220      g      -     -     -      -  -      -     -      -    -      0x1613   630.21  1340.19  32.6223   668.47  1421.55 32.686 0x00000011 ut100209j_templj/33/md03s081.g.100209j.102177_33_g.100110j.41937_33.diff.cut.dcmp
 2010-02-09T07:51:11.81 55236.327220      g      -     -     -      -  -      -     -      -    -      0x1613   199.10  1235.01  32.6223   220.65  1368.70 32.734 0x00000011 ut100209j_templj/33/md03s081.g.100209j.102177_33_g.100119j.51859_33.diff.cut.dcmp
 2010-02-12T09:36:45.79 55239.400530      g      -     -     -      -  -      -     -      -    -      0x1613  -350.06  1066.73  32.6223  -353.79  1078.08 32.634 0x00000011  ut100212j_templj/33/md03s081.g.100212j.58969_33_g.100110j.41937_33.diff.cut.dcmp
 2010-02-12T09:36:45.79 55239.400530      g      -     -     -      -  -      -     -      -    -      0x1613  -581.19   952.81  32.6223  -595.06   975.53 32.648 0x00000011  ut100212j_templj/33/md03s081.g.100212j.58969_33_g.100119j.51859_33.diff.cut.dcmp
 2010-02-15T08:00:58.46 55242.334010      g      -     -     -      -  -      -     -      -    -      0x1613  -149.12   967.90  32.6223  -149.12   967.90 32.622 0x00000011  ut100215j_templj/33/md03s081.g.100215j.60721_33_g.100110j.41937_33.diff.cut.dcmp
 2010-02-15T08:00:58.46 55242.334010      g      -     -     -      -  -      -     -      -    -      0x1613   442.61   868.58  32.6223   468.45   919.27 32.684 0x00000011  ut100215j_templj/33/md03s081.g.100215j.60721_33_g.100119j.51859_33.diff.cut.dcmp
 2010-02-21T09:26:46.18 55248.393590      g      -     -     -      -  -      -     -      -    -      0x1613  1529.41  1186.47  32.6223  1596.63  1238.53 32.669 0x00000011  ut100221j_templj/33/md03s081.g.100221j.62924_33_g.100110j.41937_33.diff.cut.dcmp
 2010-02-21T09:26:46.18 55248.393590      g      -     -     -      -  -      -     -      -    -      0x1613  1031.90  1115.28  32.6223  1106.21  1195.55 32.698 0x00000011  ut100221j_templj/33/md03s081.g.100221j.62924_33_g.100119j.51859_33.diff.cut.dcmp
