#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-11-26T12:32:06.14 55161.522293      g      -     -  -      -     -      -  -      -    -      0x1613    478.32  3576.82  32.5873    506.76  3789.45 32.650 0x00000011  ut091126l_templl/32/md03s105.g.091126l.32898_32_g.100110l.41958_32.diff.cut.dcmp
 2009-11-26T12:32:06.14 55161.522293      g      -     -  -      -     -      -  -      -    -      0x1613   1453.89  3211.74  32.5873   1535.08  3391.07 32.646 0x00000011  ut091126l_templl/32/md03s105.g.091126l.32898_32_g.100119l.51881_32.diff.cut.dcmp
 2009-12-08T11:59:30.62 55173.499660      g      -     -  -      -     -      -  -      -    -      0x1613  -2159.10  2126.39  32.5873  -2664.85  2624.36 32.816 0x00000011  ut091208l_templl/32/md03s105.g.091208l.37661_32_g.100110l.41958_32.diff.cut.dcmp
 2009-12-08T11:59:30.62 55173.499660      g      -     -  -      -     -      -  -      -    -      0x1613   -523.41  1880.58  32.5873   -638.32  2293.45 32.803 0x00000011  ut091208l_templl/32/md03s105.g.091208l.37661_32_g.100119l.51881_32.diff.cut.dcmp
 2009-12-14T12:26:32.35 55179.518430      g      -     -  -      -     -      -  -      -    -      0x1613   -173.78  1507.69  32.5873   -201.74  1750.30 32.749 0x00000011  ut091214l_templl/32/md03s105.g.091214l.38476_32_g.100110l.41958_32.diff.cut.dcmp
 2009-12-14T12:26:32.35 55179.518430      g      -     -  -      -     -      -  -      -    -      0x1613   1202.25  1148.03  32.5873   1364.94  1303.33 32.725 0x00000011  ut091214l_templl/32/md03s105.g.091214l.38476_32_g.100119l.51881_32.diff.cut.dcmp
 2009-12-17T11:43:27.26 55182.488510      g      -     -  -      -     -      -  -      -    -      0x1613  -5487.92  2375.87  32.5873  -6363.97  2754.50 32.748 0x00000011  ut091217l_templl/32/md03s105.g.091217l.39645_32_g.100110l.41958_32.diff.cut.dcmp
 2009-12-17T11:43:27.26 55182.488510      g      -     -  -      -     -      -  -      -    -      0x1613  -5462.98  1818.68  32.5873  -6191.41  2060.38 32.723 0x00000011  ut091217l_templl/32/md03s105.g.091217l.39645_32_g.100119l.51881_32.diff.cut.dcmp
 2009-12-23T13:09:30.53 55188.548270      g      -     -  -      -     -      -  -      -    -      0x1613   1058.19  1361.14  32.5873   1182.73  1521.29 32.708 0x00000011  ut091223l_templl/32/md03s105.g.091223l.45133_32_g.100110l.41958_32.diff.cut.dcmp
 2009-12-23T13:09:30.53 55188.548270      g      -     -  -      -     -      -  -      -    -      0x1613   1576.43  1194.80  32.5873   1718.68  1302.52 32.681 0x00000011  ut091223l_templl/32/md03s105.g.091223l.45133_32_g.100119l.51881_32.diff.cut.dcmp
 2010-01-07T10:28:16.32 55203.436300      g      -     -  -      -     -      -  -      -    -      0x1613  -1525.72  1884.07  32.5873  -1610.33  1988.50 32.646 0x00000011  ut100107l_templl/32/md03s105.g.100107l.36297_32_g.100110l.41958_32.diff.cut.dcmp
 2010-01-07T10:28:16.32 55203.436300      g      -     -  -      -     -      -  -      -    -      0x1613  -1851.16  1401.74  32.5873  -1937.33  1466.88 32.637 0x00000011  ut100107l_templl/32/md03s105.g.100107l.36297_32_g.100119l.51881_32.diff.cut.dcmp
 2010-01-10T11:57:30.53 55206.498270      g      -     -  -      -     -      -  -      -    -      0x1613   -342.73   940.89  32.5873   -341.88   938.55 32.585 0x00000011  ut100110l_templl/32/md03s105.g.100110l.41958_32_g.100119l.51881_32.diff.cut.dcmp
 2010-01-19T09:45:12.96 55215.406400      g      -     -  -      -     -      -  -      -    -      0x1613    200.47   927.09  32.5873    200.47   927.09 32.587 0x00000011  ut100119l_templl/32/md03s105.g.100119l.51881_32_g.100110l.41958_32.diff.cut.dcmp
 2010-01-25T10:31:03.94 55221.438240      g      -     -  -      -     -      -  -      -    -      0x1613   -446.33  1938.37  32.5873   -462.74  2009.63 32.627 0x00000011  ut100125l_templl/32/md03s105.g.100125l.96661_32_g.100110l.41958_32.diff.cut.dcmp
 2010-01-25T10:31:03.94 55221.438240      g      -     -  -      -     -      -  -      -    -      0x1613   -801.73  1798.77  32.5873   -857.72  1924.38 32.661 0x00000011  ut100125l_templl/32/md03s105.g.100125l.96661_32_g.100119l.51881_32.diff.cut.dcmp
 2010-02-03T10:49:19.49 55230.450920      g      -     -  -      -     -      -  -      -    -      0x1613  -6503.67  3265.82  32.5873  -6451.76  3239.21 32.579 0x00000011  ut100203l_templl/32/md03s105.g.100203l.99246_32_g.100110l.41958_32.diff.cut.dcmp
 2010-02-03T10:49:19.49 55230.450920      g      -     -  -      -     -      -  -      -    -      0x1613  -5763.99  3216.87  32.5873  -5717.99  3190.76 32.579 0x00000011  ut100203l_templl/32/md03s105.g.100203l.99246_32_g.100119l.51881_32.diff.cut.dcmp
