#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-11T15:25:56.06 55176.643010      g      -     -  -      -      -      -      -      -    -      0x1613  -1152.71  1613.44  32.6536  -1108.77  1551.90 32.611 0x00000011  ut091211j_templj/44/md04s081.g.091211j.44104_44_g.100110j.42153_44.diff.cut.dcmp
 2009-12-11T15:25:56.06 55176.643010      g      -     -  -      -      -      -      -      -    -      0x1613  -3113.11  1316.54  32.6536  -8371.34  3539.40 33.728 0x00000011  ut091211j_templj/44/md04s081.g.091211j.44104_44_g.100121j.53004_44.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g      -     -  -      -      -      -      -      -    -      0x1613   1871.69  1043.52  32.6536   1768.94   986.10 32.592 0x00000011  ut091214j_templj/44/md04s081.g.091214j.38668_44_g.100110j.42153_44.diff.cut.dcmp
 2009-12-14T14:28:46.85 55179.603320      g      -     -  -      -      -      -      -      -    -      0x1613   -201.02   749.11  32.6536   -533.52  1988.23 33.713 0x00000011  ut091214j_templj/44/md04s081.g.091214j.38668_44_g.100121j.53004_44.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g      -     -  -      -      -      -      -      -    -      0x1613   1274.49  1469.65  32.6536   1176.24  1356.31 32.566 0x00000011  ut091223j_templj/44/md04s081.g.091223j.45324_44_g.100110j.42153_44.diff.cut.dcmp
 2009-12-23T14:37:13.15 55188.609180      g      -     -  -      -      -      -      -      -    -      0x1613   -716.57  1154.60  32.6536  -1850.70  2981.97 33.684 0x00000011  ut091223j_templj/44/md04s081.g.091223j.45324_44_g.100121j.53004_44.diff.cut.dcmp
 2009-12-26T12:35:29.68 55191.524649      g      -     -  -      -      -      -      -      -    -      0x1613   -875.38   717.80  32.6536  -2345.71  1923.35 33.724 0x00000011  ut091226j_templj/44/md04s081.g.091226j.41216_44_g.100121j.53004_44.diff.cut.dcmp
 2009-12-26T12:35:29.76 55191.524650      g      -     -  -      -      -      -      -      -    -      0x1613    556.57  1121.43  32.6536    556.57  1121.42 32.654 0x00000011  ut091226j_templj/44/md04s081.g.091226j.41216_44_g.100110j.42153_44.diff.cut.dcmp
 2010-01-10T13:34:50.30 55206.565860      g      -     -  -      -      -      -      -      -    -      0x1613  -1467.97   926.56  32.6536  -4065.53  2565.83 33.760 0x00000011  ut100110j_templj/44/md04s081.g.100110j.42153_44_g.100121j.53004_44.diff.cut.dcmp
 2010-01-16T12:07:06.50 55212.504936      g      -     -  -      -      -      -      -      -    -      0x1613   -915.61  1852.88  32.6536   -915.61  1852.86 32.654 0x00000011  ut100116j_templj/44/md04s081.g.100116j.54163_44_g.100110j.42153_44.diff.cut.dcmp
 2010-01-16T12:34:44.83 55212.524130      g      -     -  -      -      -      -      -      -    -      0x1613   1135.22  1234.64  32.6536   1135.22  1234.60 32.654 0x00000011  ut100116j_templj/44/md04s081.g.100116j.45921_44_g.100110j.42153_44.diff.cut.dcmp
 2010-01-16T12:48:33.41 55212.533720      g      -     -  -      -      -      -      -      -    -      0x1613   1755.74  1415.07  32.6536   1755.74  1414.98 32.654 0x00000011  ut100116j_templj/44/md04s081.g.100116j.54261_44_g.100110j.42153_44.diff.cut.dcmp
 2010-01-19T13:24:13.54 55215.558490      g      -     -  -      -      -      -      -      -    -      0x1613     29.75  1257.29  32.6536     29.75  1257.29 32.654 0x00000011  ut100119j_templj/44/md04s081.g.100119j.52216_44_g.100110j.42153_44.diff.cut.dcmp
 2010-01-21T11:07:28.13 55217.463520      g      -     -  -      -      -      -      -      -    -      0x1613   1340.09   912.72  32.6536   1340.09   912.64 32.654 0x00000011  ut100121j_templj/44/md04s081.g.100121j.53004_44_g.100110j.42153_44.diff.cut.dcmp
 2010-01-25T11:13:11.14 55221.467490      g      -     -  -      -      -      -      -      -    -      0x1613   1165.16  1566.59  32.6536   1165.16  1566.55 32.654 0x00000011  ut100125j_templj/44/md04s081.g.100125j.96796_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-03T08:58:16.32 55230.373800      g      -     -  -      -      -      -      -      -    -      0x1613  -8365.82  4944.54  32.6536  -7758.69  4585.14 32.572 0x00000011  ut100203j_templj/44/md04s081.g.100203j.99388_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-06T10:54:01.15 55233.454180      g      -     -  -      -      -      -      -      -    -      0x1613     40.07  1554.75  32.6536     35.29  1369.31 32.516 0x00000011 ut100206j_templj/44/md04s081.g.100206j.100801_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-06T10:54:01.15 55233.454180      g      -     -  -      -      -      -      -      -    -      0x1613  -1423.84  1285.49  32.6536  -3520.96  3178.67 33.637 0x00000011 ut100206j_templj/44/md04s081.g.100206j.100801_44_g.100121j.53004_44.diff.cut.dcmp
 2010-02-09T11:24:11.83 55236.475137      g      -     -  -      -      -      -      -      -    -      0x1613  -1626.77   839.96  32.6536  -4359.19  2250.45 33.724 0x00000011 ut100209j_templj/44/md04s081.g.100209j.102338_44_g.100121j.53004_44.diff.cut.dcmp
 2010-02-09T11:24:12.10 55236.475140      g      -     -  -      -      -      -      -      -    -      0x1613   -281.32  1159.92  32.6536   -281.32  1159.92 32.654 0x00000011 ut100209j_templj/44/md04s081.g.100209j.102338_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-12T11:31:16.79 55239.480055      g      -     -  -      -      -      -      -      -    -      0x1613   -779.93  1143.46  32.6536  -2089.96  3064.03 33.724 0x00000011  ut100212j_templj/44/md04s081.g.100212j.59145_44_g.100121j.53004_44.diff.cut.dcmp
 2010-02-12T11:31:17.18 55239.480060      g      -     -  -      -      -      -      -      -    -      0x1613   -805.66  1382.49  32.6536   -736.80  1264.32 32.557 0x00000011  ut100212j_templj/44/md04s081.g.100212j.59145_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-15T10:14:55.97 55242.427037      g      -     -  -      -      -      -      -      -    -      0x1613    916.38   799.34  32.6536   2455.60  2141.84 33.724 0x00000011  ut100215j_templj/44/md04s081.g.100215j.60894_44_g.100121j.53004_44.diff.cut.dcmp
 2010-02-15T10:14:56.26 55242.427040      g      -     -  -      -      -      -      -      -    -      0x1613   2464.15  1137.96  32.6536   2464.15  1137.73 32.654 0x00000011  ut100215j_templj/44/md04s081.g.100215j.60894_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-21T10:10:37.92 55248.424050      g      -     -  -      -      -      -      -      -    -      0x1613  -1171.00  1474.81  32.6536  -1136.78  1431.67 32.621 0x00000011  ut100221j_templj/44/md04s081.g.100221j.63088_44_g.100110j.42153_44.diff.cut.dcmp
 2010-02-21T10:10:37.92 55248.424050      g      -     -  -      -      -      -      -      -    -      0x1613  -2848.62  1232.95  32.6536  -7777.39  3365.48 33.744 0x00000011  ut100221j_templj/44/md04s081.g.100221j.63088_44_g.100121j.53004_44.diff.cut.dcmp
 2010-03-20T09:28:42.82 55275.394940      g      -     -  -      -      -      -      -      -    -      0x1613     96.66  1245.41  32.6536     90.98  1172.17 32.588 0x00000011  ut100320j_templj/44/md04s081.g.100320j.74906_44_g.100110j.42153_44.diff.cut.dcmp
 2010-03-20T09:28:42.82 55275.394940      g      -     -  -      -      -      -      -      -    -      0x1613  -1389.83  1030.89  32.6536  -3665.74  2718.80 33.707 0x00000011  ut100320j_templj/44/md04s081.g.100320j.74906_44_g.100121j.53004_44.diff.cut.dcmp
 2010-04-04T09:11:59.71 55290.383330      g      -     -  -      -      -      -      -      -    -      0x1613  -3844.62  3437.48  32.6536  -3155.97  2821.61 32.439 0x00000011  ut100404j_templj/44/md04s081.g.100404j.79976_44_g.100110j.42153_44.diff.cut.dcmp
 2010-04-04T09:11:59.71 55290.383330      g      -     -  -      -      -      -      -      -    -      0x1613  -4671.21  3245.44  32.6536 -10432.53  7247.61 33.526 0x00000011  ut100404j_templj/44/md04s081.g.100404j.79976_44_g.100121j.53004_44.diff.cut.dcmp
