#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T14:16:31.58 55173.594810      g      -     -     -      -      -      -      -      -    -      0x1613   804.22  1904.94  32.6973   804.22  1904.93 32.697 0x00000011  ut091208i_templi/53/md05s076.g.091208i.37834_53_g.091217i.39831_53.diff.cut.dcmp
 2009-12-08T14:16:31.58 55173.594810      g      -     -     -      -      -      -      -      -    -      0x1613   905.31  1864.36  32.6973   998.71  2056.67 32.804 0x00000011  ut091208i_templi/53/md05s076.g.091208i.37834_53_g.100107i.36447_53.diff.cut.dcmp
 2009-12-17T14:18:27.36 55182.596150      g      -     -     -      -      -      -      -      -    -      0x1613  -155.51  1068.86  32.6973  -157.93  1085.53 32.714 0x00000011  ut091217i_templi/53/md05s076.g.091217i.39831_53_g.100107i.36447_53.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g      -     -     -      -      -      -      -      -    -      0x1613  1073.18  1240.00  32.6973  1003.77  1159.76 32.625 0x00000011  ut091223i_templi/53/md05s076.g.091223i.45520_53_g.091217i.39831_53.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g      -     -     -      -      -      -      -      -    -      0x1613   676.93  1510.39  32.6973   651.06  1452.66 32.655 0x00000011  ut091223i_templi/53/md05s076.g.091223i.45520_53_g.100107i.36447_53.diff.cut.dcmp
 2010-01-07T13:09:42.62 55203.548410      g      -     -     -      -      -      -      -      -    -      0x1613   175.39  1073.21  32.6973   175.39  1073.21 32.697 0x00000011  ut100107i_templi/53/md05s076.g.100107i.36447_53_g.091217i.39831_53.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -     -      -      -      -      -      -    -      0x1613   210.47   790.65  32.6973   202.71   761.49 32.657 0x00000011  ut100110i_templi/53/md05s076.g.100110i.42365_53_g.091217i.39831_53.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -     -      -      -      -      -      -    -      0x1613    82.71  1149.35  32.6973    81.67  1134.94 32.684 0x00000011  ut100110i_templi/53/md05s076.g.100110i.42365_53_g.100107i.36447_53.diff.cut.dcmp
 2010-01-13T14:02:38.69 55209.585170      g      -     -     -      -      -      -      -      -    -      0x1613  1857.71   887.87  32.6973  1874.73   895.83 32.707 0x00000011  ut100113i_templi/53/md05s076.g.100113i.43425_53_g.091217i.39831_53.diff.cut.dcmp
 2010-01-13T14:02:38.69 55209.585170      g      -     -     -      -      -      -      -      -    -      0x1613  1336.17  1164.36  32.6973  1390.15  1211.33 32.740 0x00000011  ut100113i_templi/53/md05s076.g.100113i.43425_53_g.100107i.36447_53.diff.cut.dcmp
 2010-01-16T14:00:35.14 55212.583740      g      -     -     -      -      -      -      -      -    -      0x1613  -634.79  1456.05  32.6973  -634.79  1456.04 32.697 0x00000011  ut100116i_templi/53/md05s076.g.100116i.46139_53_g.091217i.39831_53.diff.cut.dcmp
 2010-01-16T14:00:35.14 55212.583740      g      -     -     -      -      -      -      -      -    -      0x1613  -710.26  1602.06  32.6973  -783.53  1767.32 32.804 0x00000011  ut100116i_templi/53/md05s076.g.100116i.46139_53_g.100107i.36447_53.diff.cut.dcmp
 2010-01-25T12:37:22.08 55221.525950      g      -     -     -      -      -      -      -      -    -      0x1613   182.12  1031.90  32.6973   182.12  1031.90 32.697 0x00000011  ut100125i_templi/53/md05s076.g.100125i.96953_53_g.091217i.39831_53.diff.cut.dcmp
 2010-01-25T12:37:22.08 55221.525950      g      -     -     -      -      -      -      -      -    -      0x1613   125.41  1135.18  32.6973   138.35  1252.29 32.804 0x00000011  ut100125i_templi/53/md05s076.g.100125i.96953_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-03T12:04:48.58 55230.503340      g      -     -     -      -      -      -      -      -    -      0x1613  5636.72  2386.34  32.6973  6218.23  2631.89 32.804 0x00000011  ut100203i_templi/53/md05s076.g.100203i.99540_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-03T12:04:48.86 55230.503343      g      -     -     -      -      -      -      -      -    -      0x1613  5336.49  3502.11  32.6973  5336.49  3501.76 32.697 0x00000011  ut100203i_templi/53/md05s076.g.100203i.99540_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -     -      -      -      -      -      -    -      0x1613  1094.10  1360.84  32.6973  1094.10  1360.80 32.697 0x00000011 ut100206i_templi/53/md05s076.g.100206i.100953_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -     -      -      -      -      -      -    -      0x1613  1456.37  1265.62  32.6973  1449.55  1259.62 32.692 0x00000011 ut100206i_templi/53/md05s076.g.100206i.100953_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g      -     -     -      -      -      -      -      -    -      0x1613   -64.89  1061.29  32.6973   -64.89  1061.29 32.697 0x00000011 ut100209i_templi/53/md05s076.g.100209i.102492_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g      -     -     -      -      -      -      -      -    -      0x1613  -294.12  1266.86  32.6973  -303.14  1305.71 32.730 0x00000011 ut100209i_templi/53/md05s076.g.100209i.102492_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-12T12:15:11.52 55239.510550      g      -     -     -      -      -      -      -      -    -      0x1613   -97.26  1038.94  32.6973   -97.26  1038.94 32.697 0x00000011  ut100212i_templi/53/md05s076.g.100212i.59316_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-12T12:15:11.52 55239.510550      g      -     -     -      -      -      -      -      -    -      0x1613  -133.62  1202.12  32.6973  -147.40  1326.14 32.804 0x00000011  ut100212i_templi/53/md05s076.g.100212i.59316_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-15T12:09:51.84 55242.506850      g      -     -     -      -      -      -      -      -    -      0x1613  -362.79  1084.78  32.6973  -362.79  1084.77 32.697 0x00000011  ut100215i_templi/53/md05s076.g.100215i.61064_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-15T12:09:51.84 55242.506850      g      -     -     -      -      -      -      -      -    -      0x1613  -422.48  1264.58  32.6973  -466.06  1395.03 32.804 0x00000011  ut100215i_templi/53/md05s076.g.100215i.61064_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-21T11:53:30.34 55248.495490      g      -     -     -      -      -      -      -      -    -      0x1613  1285.30  1158.58  32.6973  1285.30  1158.52 32.697 0x00000011  ut100221i_templi/53/md05s076.g.100221i.63247_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-21T11:53:30.34 55248.495490      g      -     -     -      -      -      -      -      -    -      0x1613  1576.18  1305.48  32.6973  1738.79  1440.07 32.804 0x00000011  ut100221i_templi/53/md05s076.g.100221i.63247_53_g.100107i.36447_53.diff.cut.dcmp
 2010-02-24T09:56:59.71 55251.414580      g      -     -     -      -      -      -      -      -    -      0x1613  4102.40  2776.62  32.6973  4102.40  2776.36 32.697 0x00000011  ut100224i_templi/53/md05s076.g.100224i.64826_53_g.091217i.39831_53.diff.cut.dcmp
 2010-02-24T09:56:59.71 55251.414580      g      -     -     -      -      -      -      -      -    -      0x1613  3706.56  2936.67  32.6973  4088.94  3239.41 32.804 0x00000011  ut100224i_templi/53/md05s076.g.100224i.64826_53_g.100107i.36447_53.diff.cut.dcmp
 2010-03-11T12:11:50.21 55266.508220      g      -     -     -      -      -      -      -      -    -      0x1613   259.68  1705.04  32.6973   261.72  1718.44 32.706 0x00000011  ut100311i_templi/53/md05s076.g.100311i.80284_53_g.091217i.39831_53.diff.cut.dcmp
 2010-03-11T12:11:50.21 55266.508220      g      -     -     -      -      -      -      -      -    -      0x1613   254.06  1876.43  32.6973   261.54  1931.67 32.729 0x00000011  ut100311i_templi/53/md05s076.g.100311i.80284_53_g.100107i.36447_53.diff.cut.dcmp
 2010-03-20T10:38:48.77 55275.443620      g      -     -     -      -      -      -      -      -    -      0x1613   810.92  1147.93  32.6973   810.92  1147.91 32.697 0x00000011  ut100320i_templi/53/md05s076.g.100320i.75057_53_g.091217i.39831_53.diff.cut.dcmp
 2010-03-20T10:38:48.77 55275.443620      g      -     -     -      -      -      -      -      -    -      0x1613   882.50  1140.11  32.6973   933.07  1205.41 32.758 0x00000011  ut100320i_templi/53/md05s076.g.100320i.75057_53_g.100107i.36447_53.diff.cut.dcmp
 2010-03-26T06:38:55.39 55281.277030      g      -     -     -      -      -      -      -      -    -      0x1613  2467.24  2880.83  32.6973  2467.24  2880.74 32.697 0x00000011  ut100326i_templi/53/md05s076.g.100326i.79180_53_g.091217i.39831_53.diff.cut.dcmp
 2010-03-26T06:38:55.39 55281.277030      g      -     -     -      -      -      -      -      -    -      0x1613  2642.51  3224.55  32.6973  2915.12  3557.10 32.804 0x00000011  ut100326i_templi/53/md05s076.g.100326i.79180_53_g.100107i.36447_53.diff.cut.dcmp
 2010-04-07T09:07:17.18 55293.380060      g      -     -     -      -      -      -      -      -    -      0x1613  1952.75  1897.09  32.6973  2053.84  1995.21 32.752 0x00000011  ut100407i_templi/53/md05s076.g.100407i.80903_53_g.091217i.39831_53.diff.cut.dcmp
 2010-04-07T09:07:17.18 55293.380060      g      -     -     -      -      -      -      -      -    -      0x1613  1506.20  2063.96  32.6973  1623.02  2223.98 32.778 0x00000011  ut100407i_templi/53/md05s076.g.100407i.80903_53_g.100107i.36447_53.diff.cut.dcmp
 2010-04-16T09:27:43.20 55302.394250      g      -     -     -      -      -      -      -      -    -      0x1613 -4614.68  2642.76  32.6973 -4606.61  2637.79 32.695 0x00000011  ut100416i_templi/53/md05s076.g.100416i.93219_53_g.091217i.39831_53.diff.cut.dcmp
 2010-04-16T09:27:43.20 55302.394250      g      -     -     -      -      -      -      -      -    -      0x1613 -5279.24  2777.73  32.6973 -5283.62  2779.60 32.698 0x00000011  ut100416i_templi/53/md05s076.g.100416i.93219_53_g.100107i.36447_53.diff.cut.dcmp
 2010-04-19T07:22:09.12 55305.307050      g      -     -     -      -      -      -      -      -    -      0x1613  2159.17  2132.65  32.6973  2029.96  2004.94 32.630 0x00000011  ut100419i_templi/53/md05s076.g.100419i.94485_53_g.091217i.39831_53.diff.cut.dcmp
 2010-04-19T07:22:09.12 55305.307050      g      -     -     -      -      -      -      -      -    -      0x1613  1554.06  2392.84  32.6973  1504.90  2317.11 32.662 0x00000011  ut100419i_templi/53/md05s076.g.100419i.94485_53_g.100107i.36447_53.diff.cut.dcmp
 2010-05-10T07:19:12.86 55326.305010      g      -     -     -      -      -      -      -      -    -      0x1613  1469.45  1179.93  32.6973  1469.45  1179.85 32.697 0x00000011 ut100510i_templi/53/md05s076.g.100510i.106426_53_g.091217i.39831_53.diff.cut.dcmp
 2010-05-10T07:19:12.86 55326.305010      g      -     -     -      -      -      -      -      -    -      0x1613  1476.69  1363.66  32.6973  1629.03  1504.26 32.804 0x00000011 ut100510i_templi/53/md05s076.g.100510i.106426_53_g.100107i.36447_53.diff.cut.dcmp
 2010-05-13T08:03:59.04 55329.336100      g      -     -     -      -      -      -      -      -    -      0x1613  -920.59  1331.15  32.6973  -920.59  1331.12 32.697 0x00000011 ut100513i_templi/53/md05s076.g.100513i.107591_53_g.091217i.39831_53.diff.cut.dcmp
 2010-05-13T08:03:59.04 55329.336100      g      -     -     -      -      -      -      -      -    -      0x1613  -924.79  1441.91  32.6973 -1020.19  1590.63 32.804 0x00000011 ut100513i_templi/53/md05s076.g.100513i.107591_53_g.100107i.36447_53.diff.cut.dcmp
 2010-05-16T06:49:58.08 55332.284700      g      -     -     -      -      -      -      -      -    -      0x1613   449.65  1278.47  32.6973   449.65  1278.46 32.697 0x00000011 ut100516i_templi/53/md05s076.g.100516i.108529_53_g.091217i.39831_53.diff.cut.dcmp
 2010-05-16T06:49:58.08 55332.284700      g      -     -     -      -      -      -      -      -    -      0x1613   391.62  1424.97  32.6973   432.02  1571.97 32.804 0x00000011 ut100516i_templi/53/md05s076.g.100516i.108529_53_g.100107i.36447_53.diff.cut.dcmp
 2010-05-22T06:32:40.42 55338.272690      g      -     -     -      -      -      -      -      -    -      0x1613   683.99  3937.32  32.6973   642.41  3697.94 32.629 0x00000011 ut100522i_templi/53/md05s076.g.100522i.112331_53_g.091217i.39831_53.diff.cut.dcmp
 2010-05-22T06:32:40.42 55338.272690      g      -     -     -      -      -      -      -      -    -      0x1613   379.64  4029.10  32.6973   364.66  3870.15 32.654 0x00000011 ut100522i_templi/53/md05s076.g.100522i.112331_53_g.100107i.36447_53.diff.cut.dcmp
 2010-06-03T06:22:43.39 55350.265780      g      -     -     -      -      -      -      -      -    -      0x1613   259.28  1210.04  32.6973   259.28  1210.04 32.697 0x00000011 ut100603i_templi/53/md05s076.g.100603i.114480_53_g.091217i.39831_53.diff.cut.dcmp
 2010-06-03T06:22:43.39 55350.265780      g      -     -     -      -      -      -      -      -    -      0x1613   505.27  1394.15  32.6973   557.40  1537.97 32.804 0x00000011 ut100603i_templi/53/md05s076.g.100603i.114480_53_g.100107i.36447_53.diff.cut.dcmp
 2010-06-06T07:38:16.80 55353.318250      g      -     -     -      -      -      -      -      -    -      0x1613   915.31  1528.77  32.6973   915.31  1528.75 32.697 0x00000011 ut100606i_templi/53/md05s076.g.100606i.115810_53_g.091217i.39831_53.diff.cut.dcmp
 2010-06-06T07:38:16.80 55353.318250      g      -     -     -      -      -      -      -      -    -      0x1613   765.36  1584.42  32.6973   844.32  1747.86 32.804 0x00000011 ut100606i_templi/53/md05s076.g.100606i.115810_53_g.100107i.36447_53.diff.cut.dcmp
 2011-01-02T14:42:32.83 55563.612880      g      -     -     -      -      -      -      -      -    -      0x1613     7.14  2133.15  32.6973     7.14  2133.15 32.697 0x00000011 ut110102i_templi/53/md05s076.g.110102i.212580_53_g.091217i.39831_53.diff.cut.dcmp
 2011-01-02T14:42:32.83 55563.612880      g      -     -     -      -      -      -      -      -    -      0x1613   -31.26  2209.11  32.6973   -34.49  2437.01 32.804 0x00000011 ut110102i_templi/53/md05s076.g.110102i.212580_53_g.100107i.36447_53.diff.cut.dcmp
 2011-01-11T14:00:48.96 55572.583900      g      -     -     -      -      -      -      -      -    -      0x1613 -1156.05  1796.84  32.6973 -1147.35  1783.29 32.689 0x00000011 ut110111i_templi/53/md05s076.g.110111i.214142_53_g.091217i.39831_53.diff.cut.dcmp
 2011-01-11T14:00:48.96 55572.583900      g      -     -     -      -      -      -      -      -    -      0x1613 -1101.59  2027.60  32.6973 -1123.52  2067.93 32.719 0x00000011 ut110111i_templi/53/md05s076.g.110111i.214142_53_g.100107i.36447_53.diff.cut.dcmp
 2011-01-23T13:26:07.58 55584.559810      g      -     -     -      -      -      -      -      -    -      0x1613 -2852.99  2997.93  32.6973 -2852.99  2997.81 32.697 0x00000011 ut110123i_templi/53/md05s076.g.110123i.216078_53_g.091217i.39831_53.diff.cut.dcmp
 2011-01-23T13:26:07.58 55584.559810      g      -     -     -      -      -      -      -      -    -      0x1613 -2391.24  2637.76  32.6973 -2637.93  2909.78 32.804 0x00000011 ut110123i_templi/53/md05s076.g.110123i.216078_53_g.100107i.36447_53.diff.cut.dcmp
 2011-01-29T13:38:28.03 55590.568380      g      -     -     -      -      -      -      -      -    -      0x1613  2345.22  1188.23  32.6973  2345.22  1188.03 32.697 0x00000011 ut110129i_templi/53/md05s076.g.110129i.218977_53_g.091217i.39831_53.diff.cut.dcmp
 2011-01-29T13:38:28.03 55590.568380      g      -     -     -      -      -      -      -      -    -      0x1613  2369.38  1334.52  32.6973  2613.81  1472.00 32.804 0x00000011 ut110129i_templi/53/md05s076.g.110129i.218977_53_g.100107i.36447_53.diff.cut.dcmp
 2011-02-01T14:35:45.89 55593.608170      g      -     -     -      -      -      -      -      -    -      0x1613  -172.30  1276.42  32.6973  -172.30  1276.42 32.697 0x00000011 ut110201i_templi/53/md05s076.g.110201i.220492_53_g.091217i.39831_53.diff.cut.dcmp
 2011-02-01T14:35:45.89 55593.608170      g      -     -     -      -      -      -      -      -    -      0x1613  -354.92  1453.90  32.6973  -391.54  1603.89 32.804 0x00000011 ut110201i_templi/53/md05s076.g.110201i.220492_53_g.100107i.36447_53.diff.cut.dcmp
