#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex     flux_c  dflux_c ZPTMAG_c       flux    dflux ZPTMAG       type                                                                           cmpfile
 2009-12-08T14:16:31.58 55173.594810      g      -     -     -      -      -      -      -      -    -      0x1613   -1207.69  2451.18  32.6517   -1241.87  2520.52 32.682 0x00000011  ut091208g_templg/54/md05s062.g.091208g.37822_54_g.091217g.39817_54.diff.cut.dcmp
 2009-12-08T14:16:31.58 55173.594810      g      -     -     -      -      -      -      -      -    -      0x1613   -4247.79  2624.87  32.6517   -4317.61  2667.71 32.669 0x00000011  ut091208g_templg/54/md05s062.g.091208g.37822_54_g.100107g.36435_54.diff.cut.dcmp
 2009-12-17T14:18:27.36 55182.596150      g      -     -     -      -      -      -      -      -    -      0x1613   -1172.19  1458.83  32.6517   -1163.26  1447.68 32.643 0x00000011  ut091217g_templg/54/md05s062.g.091217g.39817_54_g.100107g.36435_54.diff.cut.dcmp
 2009-12-26T13:19:57.79 55191.555530      g      -     -     -      -      -      -      -      -    -      0x1613    1051.85  1159.42  32.6517    1051.85  1159.38 32.652 0x00000011  ut091226g_templg/54/md05s062.g.091226g.41362_54_g.091217g.39817_54.diff.cut.dcmp
 2009-12-26T13:19:57.79 55191.555530      g      -     -     -      -      -      -      -      -    -      0x1613    2168.29  1205.53  32.6517    2285.37  1270.45 32.709 0x00000011  ut091226g_templg/54/md05s062.g.091226g.41362_54_g.100107g.36435_54.diff.cut.dcmp
 2010-01-07T13:09:42.62 55203.548410      g      -     -     -      -      -      -      -      -    -      0x1613    1430.25  1458.66  32.6517    1430.25  1458.60 32.652 0x00000011  ut100107g_templg/54/md05s062.g.100107g.36435_54_g.091217g.39817_54.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -     -      -      -      -      -      -    -      0x1613   -4411.35  1425.22  32.6517   -4411.35  1424.64 32.652 0x00000011  ut100110g_templg/54/md05s062.g.100110g.42351_54_g.091217g.39817_54.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -     -      -      -      -      -      -    -      0x1613   -4135.19  1992.60  32.6517   -3916.84  1887.04 32.593 0x00000011  ut100110g_templg/54/md05s062.g.100110g.42351_54_g.100107g.36435_54.diff.cut.dcmp
 2010-01-16T13:55:19.78 55212.580090      g      -     -     -      -      -      -      -      -    -      0x1613    -387.45  2039.76  32.6517    -408.37  2149.90 32.709 0x00000011  ut100116g_templg/54/md05s062.g.100116g.46125_54_g.100107g.36435_54.diff.cut.dcmp
 2010-01-16T13:55:20.19 55212.580095      g      -     -     -      -      -      -      -      -    -      0x1613    3494.47  2514.55  32.6517    3494.47  2514.34 32.652 0x00000011  ut100116g_templg/54/md05s062.g.100116g.46125_54_g.091217g.39817_54.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -     -      -      -      -      -      -    -      0x1613    1495.52  2239.12  32.6517    1495.52  2239.08 32.652 0x00000011  ut100119g_templg/54/md05s062.g.100119g.52405_54_g.091217g.39817_54.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -     -      -      -      -      -      -    -      0x1613    -634.03  1853.97  32.6517    -668.27  1954.07 32.709 0x00000011  ut100119g_templg/54/md05s062.g.100119g.52405_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-03T12:04:48.58 55230.503340      g      -     -     -      -      -      -      -      -    -      0x1613   -1941.94  2987.17  32.6517   -1941.94  2987.12 32.652 0x00000011  ut100203g_templg/54/md05s062.g.100203g.99528_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-03T12:04:48.58 55230.503340      g      -     -     -      -      -      -      -      -    -      0x1613   -4936.32  2660.61  32.6517   -5202.87  2803.87 32.709 0x00000011  ut100203g_templg/54/md05s062.g.100203g.99528_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -     -      -      -      -      -      -    -      0x1613    1633.83  1760.30  32.6517    1633.83  1760.24 32.652 0x00000011 ut100206g_templg/54/md05s062.g.100206g.100941_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -     -      -      -      -      -      -    -      0x1613    2267.87  1609.44  32.6517    2390.33  1696.20 32.709 0x00000011 ut100206g_templg/54/md05s062.g.100206g.100941_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g      -     -     -      -      -      -      -      -    -      0x1613    -868.31  1580.89  32.6517    -868.31  1580.87 32.652 0x00000011 ut100209g_templg/54/md05s062.g.100209g.102480_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g      -     -     -      -      -      -      -      -    -      0x1613    -710.02  2013.97  32.6517    -687.69  1950.61 32.617 0x00000011 ut100209g_templg/54/md05s062.g.100209g.102480_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-12T12:15:11.52 55239.510550      g      -     -     -      -      -      -      -      -    -      0x1613    3827.98  1544.68  32.6517    3827.98  1544.27 32.652 0x00000011  ut100212g_templg/54/md05s062.g.100212g.59304_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-12T12:15:11.52 55239.510550      g      -     -     -      -      -      -      -      -    -      0x1613    2115.40  1422.81  32.6517    2229.63  1499.50 32.709 0x00000011  ut100212g_templg/54/md05s062.g.100212g.59304_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-15T12:12:15.26 55242.508510      g      -     -     -      -      -      -      -      -    -      0x1613   -2315.29  1315.94  32.6517   -2315.29  1315.77 32.652 0x00000011  ut100215g_templg/54/md05s062.g.100215g.61052_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-15T12:12:15.26 55242.508510      g      -     -     -      -      -      -      -      -    -      0x1613   -1648.21  1283.03  32.6517   -1737.21  1352.22 32.709 0x00000011  ut100215g_templg/54/md05s062.g.100215g.61052_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-21T11:53:30.34 55248.495490      g      -     -     -      -      -      -      -      -    -      0x1613   -1994.63  1505.06  32.6517   -1994.63  1504.95 32.652 0x00000011  ut100221g_templg/54/md05s062.g.100221g.63235_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-21T11:53:30.34 55248.495490      g      -     -     -      -      -      -      -      -    -      0x1613    -974.75  1401.90  32.6517   -1027.39  1477.57 32.709 0x00000011  ut100221g_templg/54/md05s062.g.100221g.63235_54_g.100107g.36435_54.diff.cut.dcmp
 2010-02-24T09:56:59.71 55251.414580      g      -     -     -      -      -      -      -      -    -      0x1613    3664.21  2884.11  32.6517    3664.21  2883.91 32.652 0x00000011  ut100224g_templg/54/md05s062.g.100224g.64814_54_g.091217g.39817_54.diff.cut.dcmp
 2010-02-24T09:56:59.71 55251.414580      g      -     -     -      -      -      -      -      -    -      0x1613    1247.85  2566.52  32.6517    1315.23  2705.08 32.709 0x00000011  ut100224g_templg/54/md05s062.g.100224g.64814_54_g.100107g.36435_54.diff.cut.dcmp
 2010-03-11T12:11:50.21 55266.508220      g      -     -     -      -      -      -      -      -    -      0x1613    2194.47  2350.85  32.6517    2160.38  2314.24 32.635 0x00000011  ut100311g_templg/54/md05s062.g.100311g.80272_54_g.091217g.39817_54.diff.cut.dcmp
 2010-03-11T12:11:50.21 55266.508220      g      -     -     -      -      -      -      -      -    -      0x1613   -3777.75  2741.00  32.6517   -3723.17  2701.18 32.636 0x00000011  ut100311g_templg/54/md05s062.g.100311g.80272_54_g.100107g.36435_54.diff.cut.dcmp
 2010-03-20T10:38:48.77 55275.443620      g      -     -     -      -      -      -      -      -    -      0x1613    2852.59  1510.15  32.6517    2852.59  1509.92 32.652 0x00000011  ut100320g_templg/54/md05s062.g.100320g.75045_54_g.091217g.39817_54.diff.cut.dcmp
 2010-03-20T10:38:48.77 55275.443620      g      -     -     -      -      -      -      -      -    -      0x1613    2517.78  1395.78  32.6517    2653.74  1470.95 32.709 0x00000011  ut100320g_templg/54/md05s062.g.100320g.75045_54_g.100107g.36435_54.diff.cut.dcmp
 2010-03-26T06:38:55.39 55281.277030      g      -     -     -      -      -      -      -      -    -      0x1613    3885.25  3522.79  32.6517    3885.25  3522.61 32.652 0x00000011  ut100326g_templg/54/md05s062.g.100326g.79168_54_g.091217g.39817_54.diff.cut.dcmp
 2010-03-26T06:38:55.39 55281.277030      g      -     -     -      -      -      -      -      -    -      0x1613     364.74  3301.70  32.6517     384.44  3479.98 32.709 0x00000011  ut100326g_templg/54/md05s062.g.100326g.79168_54_g.100107g.36435_54.diff.cut.dcmp
 2010-04-07T09:07:17.18 55293.380060      g      -     -     -      -      -      -      -      -    -      0x1613    7060.44  2784.21  32.6517    7129.71  2810.75 32.662 0x00000011  ut100407g_templg/54/md05s062.g.100407g.80892_54_g.091217g.39817_54.diff.cut.dcmp
 2010-04-07T09:07:17.18 55293.380060      g      -     -     -      -      -      -      -      -    -      0x1613    3288.46  3049.28  32.6517    3333.90  3091.26 32.667 0x00000011  ut100407g_templg/54/md05s062.g.100407g.80892_54_g.100107g.36435_54.diff.cut.dcmp
 2010-04-16T09:27:43.20 55302.394250      g      -     -     -      -      -      -      -      -    -      0x1613   -8608.65  4009.96  32.6517   -8269.80  3851.36 32.608 0x00000011  ut100416g_templg/54/md05s062.g.100416g.93207_54_g.100107g.36435_54.diff.cut.dcmp
 2010-04-19T07:22:09.12 55305.307050      g      -     -     -      -      -      -      -      -    -      0x1613    -896.59  2580.72  32.6517    -853.32  2456.17 32.598 0x00000011  ut100419g_templg/54/md05s062.g.100419g.94473_54_g.091217g.39817_54.diff.cut.dcmp
 2010-04-19T07:22:09.12 55305.307050      g      -     -     -      -      -      -      -      -    -      0x1613   -6255.22  2961.56  32.6517   -5958.85  2820.70 32.599 0x00000011  ut100419g_templg/54/md05s062.g.100419g.94473_54_g.100107g.36435_54.diff.cut.dcmp
 2010-05-04T08:44:50.21 55320.364470      g      -     -     -      -      -      -      -      -    -      0x1613   -2097.74  1862.66  32.6517   -2097.74  1862.56 32.652 0x00000011 ut100504g_templg/54/md05s062.g.100504g.105787_54_g.091217g.39817_54.diff.cut.dcmp
 2010-05-04T08:44:50.21 55320.364470      g      -     -     -      -      -      -      -      -    -      0x1613   -2116.37  2220.40  32.6517   -2084.83  2187.23 32.635 0x00000011 ut100504g_templg/54/md05s062.g.100504g.105787_54_g.100107g.36435_54.diff.cut.dcmp
 2010-05-10T07:19:12.86 55326.305010      g      -     -     -      -      -      -      -      -    -      0x1613   -2491.09  1642.97  32.6517   -2491.09  1642.81 32.652 0x00000011 ut100510g_templg/54/md05s062.g.100510g.106414_54_g.091217g.39817_54.diff.cut.dcmp
 2010-05-10T07:19:12.86 55326.305010      g      -     -     -      -      -      -      -      -    -      0x1613     347.13  1511.74  32.6517     365.87  1593.37 32.709 0x00000011 ut100510g_templg/54/md05s062.g.100510g.106414_54_g.100107g.36435_54.diff.cut.dcmp
 2010-05-13T08:03:59.04 55329.336100      g      -     -     -      -      -      -      -      -    -      0x1613    -866.39  1612.57  32.6517    -866.39  1612.55 32.652 0x00000011 ut100513g_templg/54/md05s062.g.100513g.107579_54_g.091217g.39817_54.diff.cut.dcmp
 2010-05-13T08:03:59.04 55329.336100      g      -     -     -      -      -      -      -      -    -      0x1613    -971.79  1480.91  32.6517   -1024.26  1560.85 32.709 0x00000011 ut100513g_templg/54/md05s062.g.100513g.107579_54_g.100107g.36435_54.diff.cut.dcmp
 2010-05-16T06:49:58.08 55332.284700      g      -     -     -      -      -      -      -      -    -      0x1613    1077.00  1865.35  32.6517    1077.00  1865.32 32.652 0x00000011 ut100516g_templg/54/md05s062.g.100516g.108517_54_g.091217g.39817_54.diff.cut.dcmp
 2010-05-16T06:49:58.08 55332.284700      g      -     -     -      -      -      -      -      -    -      0x1613   -1963.00  1608.70  32.6517   -2069.00  1695.46 32.709 0x00000011 ut100516g_templg/54/md05s062.g.100516g.108517_54_g.100107g.36435_54.diff.cut.dcmp
 2010-05-22T06:32:40.42 55338.272690      g      -     -     -      -      -      -      -      -    -      0x1613   -2848.45  4710.83  32.6517   -2585.17  4275.34 32.546 0x00000011 ut100522g_templg/54/md05s062.g.100522g.112319_54_g.091217g.39817_54.diff.cut.dcmp
 2010-05-22T06:32:40.42 55338.272690      g      -     -     -      -      -      -      -      -    -      0x1613   -7911.92  4854.94  32.6517   -7188.56  4410.57 32.548 0x00000011 ut100522g_templg/54/md05s062.g.100522g.112319_54_g.100107g.36435_54.diff.cut.dcmp
 2010-06-03T06:22:43.39 55350.265780      g      -     -     -      -      -      -      -      -    -      0x1613    1635.31  1636.25  32.6517    1635.31  1636.18 32.652 0x00000011 ut100603g_templg/54/md05s062.g.100603g.114468_54_g.091217g.39817_54.diff.cut.dcmp
 2010-06-03T06:22:43.39 55350.265780      g      -     -     -      -      -      -      -      -    -      0x1613     452.68  1466.57  32.6517     477.12  1545.76 32.709 0x00000011 ut100603g_templg/54/md05s062.g.100603g.114468_54_g.100107g.36435_54.diff.cut.dcmp
 2010-06-06T07:38:16.80 55353.318250      g      -     -     -      -      -      -      -      -    -      0x1613    3838.11  1970.52  32.6517    3838.11  1970.20 32.652 0x00000011 ut100606g_templg/54/md05s062.g.100606g.115798_54_g.091217g.39817_54.diff.cut.dcmp
 2010-06-06T07:38:16.80 55353.318250      g      -     -     -      -      -      -      -      -    -      0x1613    -151.85  1693.63  32.6517    -160.05  1785.08 32.709 0x00000011 ut100606g_templg/54/md05s062.g.100606g.115798_54_g.100107g.36435_54.diff.cut.dcmp
 2011-01-02T14:41:28.90 55563.612140      g      -     -     -      -      -      -      -      -    -      0x1613    4597.33  2479.84  32.6517    4597.33  2479.48 32.652 0x00000011 ut110102g_templg/54/md05s062.g.110102g.212568_54_g.091217g.39817_54.diff.cut.dcmp
 2011-01-02T14:41:28.90 55563.612140      g      -     -     -      -      -      -      -      -    -      0x1613     230.36  2155.00  32.6517     242.80  2271.37 32.709 0x00000011 ut110102g_templg/54/md05s062.g.110102g.212568_54_g.100107g.36435_54.diff.cut.dcmp
