#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err    iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-25T15:18:45.79 55221.638030      g      -     -  -      -      -      -     -      -    -      0x1613    233.57   283.71  31.1224    407.58   495.06 31.727 0x00000011  ut100125k_templk/74/md07s091.g.100125k.97281_74_g.100215k.61428_74.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -  -      -      -      -     -      -    -      0x1613   -317.33   576.05  31.1224   -553.75  1005.20 31.727 0x00000011  ut100203k_templk/74/md07s091.g.100203k.99875_74_g.100215k.61428_74.diff.cut.dcmp
 2010-02-06T13:33:14.40 55233.564750      g      -     -  -      -      -      -     -      -    -      0x1613    657.66   560.58  31.1224   1265.44  1078.57 31.833 0x00000011 ut100206k_templk/74/md07s091.g.100206k.101273_74_g.100215k.61428_74.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -  -      -      -      -     -      -    -      0x1613     -7.63   336.48  31.1224    -13.32   587.16 31.727 0x00000011 ut100209k_templk/74/md07s091.g.100209k.102821_74_g.100215k.61428_74.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -  -      -      -      -     -      -    -      0x1613    -34.76   327.65  31.1224    -66.29   624.89 31.823 0x00000011  ut100311k_templk/74/md07s091.g.100311k.80623_74_g.100215k.61428_74.diff.cut.dcmp
 2010-03-17T14:22:49.15 55272.599180      g      -     -  -      -      -      -     -      -    -      0x1613    305.68   339.36  31.1224    579.89   643.76 31.818 0x00000011  ut100317k_templk/74/md07s091.g.100317k.73661_74_g.100215k.61428_74.diff.cut.dcmp
 2010-03-20T13:02:43.58 55275.543560      g      -     -  -      -      -      -     -      -    -      0x1613    403.16   458.66  31.1224    780.04   887.40 31.839 0x00000011  ut100320k_templk/74/md07s091.g.100320k.75396_74_g.100215k.61428_74.diff.cut.dcmp
 2010-03-26T10:29:43.58 55281.437310      g      -     -  -      -      -      -     -      -    -      0x1613   -421.11   573.84  31.1224   -734.85  1001.33 31.727 0x00000011  ut100326k_templk/74/md07s091.g.100326k.79363_74_g.100215k.61428_74.diff.cut.dcmp
 2010-04-04T14:10:48.58 55290.590840      g      -     -  -      -      -      -     -      -    -      0x1613   -699.31   580.59  31.1224  -1239.34  1028.87 31.744 0x00000011  ut100404k_templk/74/md07s091.g.100404k.80149_74_g.100215k.61428_74.diff.cut.dcmp
 2010-04-10T13:17:59.42 55296.554160      g      -     -  -      -      -      -     -      -    -      0x1613   2319.42  1253.14  31.1224   4202.42  2270.15 31.768 0x00000011  ut100410k_templk/74/md07s091.g.100410k.81538_74_g.100215k.61428_74.diff.cut.dcmp
 2010-04-19T10:43:28.70 55305.446860      g      -     -  -      -      -      -     -      -    -      0x1613    528.74   419.71  31.1224    983.65   780.76 31.796 0x00000011  ut100419k_templk/74/md07s091.g.100419k.94821_74_g.100215k.61428_74.diff.cut.dcmp
 2010-05-10T12:27:11.23 55326.518880      g      -     -  -      -      -      -     -      -    -      0x1613    460.98   369.82  31.1224    801.10   642.63 31.722 0x00000011 ut100510k_templk/74/md07s091.g.100510k.106756_74_g.100215k.61428_74.diff.cut.dcmp
 2010-05-16T08:09:48.10 55332.340140      g      -     -  -      -      -      -     -      -    -      0x1613     42.69   333.18  31.1224     74.50   581.40 31.727 0x00000011 ut100516k_templk/74/md07s091.g.100516k.108874_74_g.100215k.61428_74.diff.cut.dcmp
 2010-05-22T08:06:35.42 55338.337910      g      -     -  -      -      -      -     -      -    -      0x1613    559.62   894.43  31.1224    975.64  1559.34 31.726 0x00000011 ut100522k_templk/74/md07s091.g.100522k.112517_74_g.100215k.61428_74.diff.cut.dcmp
 2010-05-31T09:42:02.02 55347.404190      g      -     -  -      -      -      -     -      -    -      0x1613    541.77   518.98  31.1224    945.39   905.59 31.727 0x00000011 ut100531k_templk/74/md07s091.g.100531k.113872_74_g.100215k.61428_74.diff.cut.dcmp
 2010-06-03T07:45:41.76 55350.323400      g      -     -  -      -      -      -     -      -    -      0x1613    176.16   305.64  31.1224    307.41   533.34 31.727 0x00000011 ut100603k_templk/74/md07s091.g.100603k.114822_74_g.100215k.61428_74.diff.cut.dcmp
