#               DATEOBS        MJDim filter      m    dm gr gr_err ri ri_err    iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                           cmpfile
 2010-01-25T15:18:45.79 55221.638030      g      -     -  -      -  -      -     -      -    -      0x1613    493.38   381.22  31.0976    483.88   373.86 31.076 0x00000011  ut100125e_temple/72/md07s043.g.100125e.97243_72_g.100212e.59637_72.diff.cut.dcmp
 2010-01-25T15:18:45.79 55221.638030      g      -     -  -      -  -      -     -      -    -      0x1613    220.20   404.90  31.0976    423.93   779.51 31.809 0x00000011  ut100125e_temple/72/md07s043.g.100125e.97243_72_g.100215e.61388_72.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -  -      -  -      -     -      -    -      0x1613   1266.90   612.74  31.0976   1297.48   627.42 31.123 0x00000011  ut100203e_temple/72/md07s043.g.100203e.99836_72_g.100212e.59637_72.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -  -      -  -      -     -      -    -      0x1613    326.28   629.45  31.0976    628.16  1211.82 31.809 0x00000011  ut100203e_temple/72/md07s043.g.100203e.99836_72_g.100215e.61388_72.diff.cut.dcmp
 2010-02-06T13:32:25.15 55233.564180      g      -     -  -      -  -      -     -      -    -      0x1613    643.25   599.40  31.0976    636.71   593.27 31.087 0x00000011 ut100206e_temple/72/md07s043.g.100206e.101235_72_g.100212e.59637_72.diff.cut.dcmp
 2010-02-06T13:32:25.15 55233.564180      g      -     -  -      -  -      -     -      -    -      0x1613    283.79   505.93  31.0976    546.36   974.02 31.809 0x00000011 ut100206e_temple/72/md07s043.g.100206e.101235_72_g.100215e.61388_72.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -  -      -  -      -     -      -    -      0x1613    387.22   460.02  31.0976    392.72   466.53 31.113 0x00000011 ut100209e_temple/72/md07s043.g.100209e.102782_72_g.100212e.59637_72.diff.cut.dcmp
 2010-02-09T15:02:07.01 55236.626470      g      -     -  -      -  -      -     -      -    -      0x1613    278.76   449.44  31.0976    536.67   865.26 31.809 0x00000011 ut100209e_temple/72/md07s043.g.100209e.102782_72_g.100215e.61388_72.diff.cut.dcmp
 2010-02-12T14:40:03.36 55239.611150      g      -     -  -      -  -      -     -      -    -      0x1613   -281.42   475.02  31.0976   -541.79   914.50 31.809 0x00000011  ut100212e_temple/72/md07s043.g.100212e.59637_72_g.100215e.61388_72.diff.cut.dcmp
 2010-02-15T15:13:01.06 55242.634040      g      -     -  -      -  -      -     -      -    -      0x1613    474.38   473.40  31.0976    477.71   476.70 31.105 0x00000011  ut100215e_temple/72/md07s043.g.100215e.61388_72_g.100212e.59637_72.diff.cut.dcmp
