#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux    dflux ZPTMAG       type                                                                            cmpfile
 2010-04-16T14:04:37.06 55302.586540      g      -     -  -      -      -      -      -      -    -      0x1613   1664.88  2695.21  33.2043   1616.53  2616.89 33.172 0x00000011  ut100416f_templf/81/md08s052.g.100416f.93515_81_g.100203f.127020_81.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -  -      -      -      -      -      -    -      0x1613  -4162.75  3625.17  33.2043  -1466.29  1276.86 32.071 0x00000011  ut100416f_templf/81/md08s052.g.100416f.93515_81_g.100510f.106868_81.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -  -      -      -      -      -      -    -      0x1613   6804.22  3661.55  33.2043   2549.52  1371.77 32.139 0x00000011  ut100416f_templf/81/md08s052.g.100416f.93515_81_g.100513f.108034_81.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -  -      -      -      -      -      -    -      0x1613  -1039.16  3197.17  33.2043  -1029.82  3168.43 33.194 0x00000011  ut100419f_templf/81/md08s052.g.100419f.94937_81_g.100203f.127020_81.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -  -      -      -      -      -      -    -      0x1613  -3883.88  4602.73  33.2043  -1388.50  1645.44 32.087 0x00000011  ut100419f_templf/81/md08s052.g.100419f.94937_81_g.100510f.106868_81.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -  -      -      -      -      -      -    -      0x1613  -4941.49  4716.08  33.2043  -1797.62  1715.54 32.106 0x00000011  ut100419f_templf/81/md08s052.g.100419f.94937_81_g.100513f.108034_81.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g      -     -  -      -      -      -      -      -    -      0x1613   -759.78  1816.60  33.2043   -759.78  1816.59 33.204 0x00000011 ut100510f_templf/81/md08s052.g.100510f.106868_81_g.100203f.127020_81.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g      -     -  -      -      -      -      -      -    -      0x1613  -4305.44  3713.24  33.2043  -1526.22  1316.22 32.078 0x00000011 ut100510f_templf/81/md08s052.g.100510f.106868_81_g.100513f.108034_81.diff.cut.dcmp
 2010-05-13T12:44:34.08 55329.530950      g      -     -  -      -      -      -      -      -    -      0x1613   -190.90  2111.72  33.2043   -190.90  2111.72 33.204 0x00000011 ut100513f_templf/81/md08s052.g.100513f.108034_81_g.100203f.127020_81.diff.cut.dcmp
 2010-05-13T12:44:34.08 55329.530950      g      -     -  -      -      -      -      -      -    -      0x1613   4324.25  3697.20  33.2043   1508.24  1289.46 32.061 0x00000011 ut100513f_templf/81/md08s052.g.100513f.108034_81_g.100510f.106868_81.diff.cut.dcmp
 2010-05-16T10:13:02.21 55332.425720      g      -     -  -      -      -      -      -      -    -      0x1613    316.41  2034.10  33.2043    316.41  2034.10 33.204 0x00000011 ut100516f_templf/81/md08s052.g.100516f.108988_81_g.100203f.127020_81.diff.cut.dcmp
