#               DATEOBS        MJDim filter      m    dm     gr gr_err ri ri_err iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                            cmpfile
 2010-07-12T11:53:33.79 55389.495530      g 21.821 0.067      -      -  -      -  -      -    -      0x1613  28684.23 1799.84  32.9652  20895.04 1296.76 32.621 0x00000011  ut100712f_templf/91/md09s053.g.100712f.128811_91_g.090826f.30654_91.diff.cut.dcmp
 2010-07-12T11:53:33.79 55389.495530      g      -     -      -      -  -      -  -      -    -      0x1613  -7091.19 1777.93  32.9652  -7091.19 1776.72 32.965 0x00000011 ut100712f_templf/91/md09s053.g.100712f.128811_91_g.090830f.127863_91.diff.cut.dcmp
 2010-07-21T11:16:01.34 55398.469460      g 21.852 0.153      -      -  -      -  -      -    -      0x1613  27871.34 3935.11  32.9652  20302.89 2860.37 32.621 0x00000011  ut100721f_templf/91/md09s053.g.100721f.130538_91_g.090826f.30654_91.diff.cut.dcmp
 2010-07-21T11:16:01.34 55398.469460      g      -     -      -      -  -      -  -      -    -      0x1613  -5155.85 4474.54  32.9652  -5155.85 4474.29 32.965 0x00000011 ut100721f_templf/91/md09s053.g.100721f.130538_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-02T12:31:48.58 55410.522090      g 21.824 0.097      -      -  -      -  -      -    -      0x1613  28597.63 2579.02  32.9652  19973.31 1791.75 32.575 0x00000011  ut100802f_templf/91/md09s053.g.100802f.134090_91_g.090826f.30654_91.diff.cut.dcmp
 2010-08-02T12:31:48.58 55410.522090      g      -     -      -      -  -      -  -      -    -      0x1613  -9115.24 2805.15  32.9652  -9115.24 2803.88 32.965 0x00000011 ut100802f_templf/91/md09s053.g.100802f.134090_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-05T10:50:24.29 55413.451670      g 21.563 0.068      -      -  -      -  -      -    -      0x1613  36372.89 2286.14  32.9652  23568.82 1465.23 32.494 0x00000011  ut100805f_templf/91/md09s053.g.100805f.135564_91_g.090826f.30654_91.diff.cut.dcmp
 2010-08-05T10:50:24.29 55413.451670      g      -     -      -      -  -      -  -      -    -      0x1613  -5173.00 1963.30  32.9652  -5173.00 1962.72 32.965 0x00000011 ut100805f_templf/91/md09s053.g.100805f.135564_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-08T12:11:22.56 55416.507900      g 21.727 0.062      -      -  -      -  -      -    -      0x1613  31280.76 1801.99  32.9652  22786.48 1295.62 32.621 0x00000011  ut100808f_templf/91/md09s053.g.100808f.136971_91_g.090826f.30654_91.diff.cut.dcmp
 2010-08-08T12:11:22.56 55416.507900      g      -     -      -      -  -      -  -      -    -      0x1613  -5102.95 1741.07  32.9652  -5102.95 1740.43 32.965 0x00000011 ut100808f_templf/91/md09s053.g.100808f.136971_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-14T12:33:56.45 55422.523570      g 21.622 0.062      -      -  -      -  -      -    -      0x1613  34463.45 1995.40  32.9652  23986.05 1370.92 32.572 0x00000011  ut100814f_templf/91/md09s053.g.100814f.138955_91_g.090826f.30654_91.diff.cut.dcmp
 2010-08-14T12:33:56.45 55422.523570      g      -     -      -      -  -      -  -      -    -      0x1613  -2559.77 1846.35  32.9652  -2402.15 1732.52 32.896 0x00000011 ut100814f_templf/91/md09s053.g.100814f.138955_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-17T09:37:02.21 55425.400720      g 21.886 0.079      -      -  -      -  -      -    -      0x1613  27030.12 1983.02  32.9652  19690.10 1433.00 32.621 0x00000011  ut100817f_templf/91/md09s053.g.100817f.140452_91_g.090826f.30654_91.diff.cut.dcmp
 2010-08-17T09:37:02.21 55425.400720      g      -     -      -      -  -      -  -      -    -      0x1613  -5287.00 1929.89  32.9652  -5287.00 1929.27 32.965 0x00000011 ut100817f_templf/91/md09s053.g.100817f.140452_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-20T12:48:23.04 55428.533600      g 21.721 0.066      -      -  -      -  -      -    -      0x1613  31454.13 1932.83  32.9652  21428.79 1301.77 32.548 0x00000011  ut100820f_templf/91/md09s053.g.100820f.142345_91_g.090826f.30654_91.diff.cut.dcmp
 2010-08-20T12:48:23.04 55428.533600      g      -     -      -      -  -      -  -      -    -      0x1613  -5517.15 1951.13  32.9652  -5517.15 1950.46 32.965 0x00000011 ut100820f_templf/91/md09s053.g.100820f.142345_91_g.090830f.127863_91.diff.cut.dcmp
 2010-08-29T12:13:08.83 55437.509130      g 21.372 0.117      -      -  -      -  -      -    -      0x1613  43366.82 4684.64  32.9652  28483.78 3065.61 32.509 0x00000011  ut100829f_templf/91/md09s053.g.100829f.145894_91_g.090826f.30654_91.diff.cut.dcmp
