#               DATEOBS        MJDim filter      m    dm    gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                                cmpfile
 2009-09-12T10:49:28.13 55086.451020      g      -     -     -      -     -      -      -      -    -      0x1613  -435.28  550.48  31.4844  -430.93  544.97 31.474 0x00000011 ut090912e_temple/102/md10s044.g.ut090912e.351476_102_g.temple.337160_102.diff.cut.dcmp
 2009-09-15T10:29:53.95 55089.437430      g      -     -     -      -     -      -      -      -    -      0x1613  -459.72  284.22  31.4844  -464.79  287.32 31.496 0x00000011 ut090915e_temple/102/md10s044.g.ut090915e.351531_102_g.temple.337160_102.diff.cut.dcmp
 2009-09-18T10:09:28.80 55092.423250      g      -     -     -      -     -      -      -      -    -      0x1613  -345.20  282.57  31.4844  -360.47  295.05 31.531 0x00000011 ut090918e_temple/102/md10s044.g.ut090918e.351586_102_g.temple.337160_102.diff.cut.dcmp
 2009-09-21T10:08:49.06 55095.422790      g      -     -     -      -     -      -      -      -    -      0x1613  -370.83  345.00  31.4844  -393.45  366.03 31.549 0x00000011 ut090921e_temple/102/md10s044.g.ut090921e.351640_102_g.temple.337160_102.diff.cut.dcmp
 2009-09-24T10:51:14.40 55098.452250      g      -     -     -      -     -      -      -      -    -      0x1613   123.92  258.09  31.4844   126.13  262.69 31.504 0x00000011 ut090924e_temple/102/md10s044.g.ut090924e.351694_102_g.temple.337160_102.diff.cut.dcmp
 2009-12-08T06:20:30.34 55173.264240      g      -     -     -      -     -      -      -      -    -      0x1613  -912.08  387.77  31.4844  -994.66  422.78 31.578 0x00000011 ut091208e_temple/102/md10s044.g.ut091208e.351804_102_g.temple.337160_102.diff.cut.dcmp
 2009-12-11T06:39:39.46 55176.277540      g      -     -     -      -     -      -      -      -    -      0x1613  -689.45  543.11  31.4844  -726.95  572.61 31.542 0x00000011 ut091211e_temple/102/md10s044.g.ut091211e.351869_102_g.temple.337160_102.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g      -     -     -      -     -      -      -      -    -      0x1613  -340.90  316.26  31.4844  -370.09  343.32 31.574 0x00000011 ut091214e_temple/102/md10s044.g.ut091214e.351930_102_g.temple.337160_102.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -     -      -     -      -      -      -    -      0x1613   -88.84  288.96  31.4844   -88.53  287.95 31.481 0x00000011 ut100712e_temple/102/md10s044.g.ut100712e.351989_102_g.temple.337160_102.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -     -      -     -      -      -      -    -      0x1613   116.65  544.73  31.4844   120.72  563.72 31.522 0x00000011 ut100721e_temple/102/md10s044.g.ut100721e.352043_102_g.temple.337160_102.diff.cut.dcmp
 2010-08-02T13:11:33.22 55410.549690      g      -     -     -      -     -      -      -      -    -      0x1613  -544.71  861.92  31.4844  -562.61  890.22 31.520 0x00000011 ut100802e_temple/102/md10s044.g.ut100802e.352096_102_g.temple.337160_102.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -     -      -     -      -      -      -    -      0x1613  -743.15  335.66  31.4844  -733.36  331.17 31.470 0x00000011 ut100805e_temple/102/md10s044.g.ut100805e.352149_102_g.temple.337160_102.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -     -      -     -      -      -      -    -      0x1613   -39.51  256.86  31.4844   -40.40  262.63 31.509 0x00000011 ut100808e_temple/102/md10s044.g.ut100808e.352203_102_g.temple.337160_102.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g      -     -     -      -     -      -      -      -    -      0x1613  -192.86  456.68  31.4844  -192.03  454.70 31.480 0x00000011 ut100814e_temple/102/md10s044.g.ut100814e.352258_102_g.temple.337160_102.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g      -     -     -      -     -      -      -      -    -      0x1613   -28.65  264.33  31.4844   -28.50  262.95 31.479 0x00000011 ut100817e_temple/102/md10s044.g.ut100817e.352313_102_g.temple.337160_102.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g      -     -     -      -     -      -      -      -    -      0x1613  -140.50  451.45  31.4844  -137.45  441.66 31.461 0x00000011 ut100901e_temple/102/md10s044.g.ut100901e.352368_102_g.temple.337160_102.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g      -     -     -      -     -      -      -      -    -      0x1613   -76.06  322.96  31.4844   -75.06  318.73 31.470 0x00000011 ut100904e_temple/102/md10s044.g.ut100904e.352423_102_g.temple.337160_102.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g      -     -     -      -     -      -      -      -    -      0x1613   670.73  478.87  31.4844   649.15  463.43 31.449 0x00000011 ut100907e_temple/102/md10s044.g.ut100907e.352479_102_g.temple.337160_102.diff.cut.dcmp
 2010-09-13T10:45:04.61 55452.447970      g      -     -     -      -     -      -      -      -    -      0x1613   142.13  293.03  31.4844   141.06  290.82 31.476 0x00000011 ut100913e_temple/102/md10s044.g.ut100913e.338571_102_g.temple.337160_102.diff.cut.dcmp
 2010-09-19T08:00:04.03 55458.333380      g      -     -     -      -     -      -      -      -    -      0x1613   511.70 1720.88  31.4844   489.30 1645.54 31.436 0x00000011 ut100919e_temple/102/md10s044.g.ut100919e.356474_102_g.temple.337160_102.diff.cut.dcmp
 2010-09-28T10:15:16.99 55467.427280      g      -     -     -      -     -      -      -      -    -      0x1613   342.25  798.35  31.4844   337.93  788.26 31.471 0x00000011 ut100928e_temple/102/md10s044.g.ut100928e.352591_102_g.temple.337160_102.diff.cut.dcmp
 2010-10-07T10:54:02.88 55476.454200      g      -     -     -      -     -      -      -      -    -      0x1613    85.04  444.88  31.4844    87.27  456.54 31.512 0x00000011 ut101007e_temple/102/md10s044.g.ut101007e.352647_102_g.temple.337160_102.diff.cut.dcmp
 2010-10-10T06:26:09.02 55479.268160      g      -     -     -      -     -      -      -      -    -      0x1613  -396.21  415.47  31.4844  -408.51  428.35 31.518 0x00000011 ut101010e_temple/102/md10s044.g.ut101010e.352704_102_g.temple.337160_102.diff.cut.dcmp
 2010-10-13T06:29:49.34 55482.270710      g      -     -     -      -     -      -      -      -    -      0x1613   979.57  510.71  31.4844   985.82  513.89 31.491 0x00000011 ut101013e_temple/102/md10s044.g.ut101013e.352759_102_g.temple.337160_102.diff.cut.dcmp
 2010-10-16T06:12:36.00 55485.258750      g      -     -     -      -     -      -      -      -    -      0x1613  -235.08  737.52  31.4844  -242.16  759.72 31.517 0x00000011 ut101016e_temple/102/md10s044.g.ut101016e.352814_102_g.temple.337160_102.diff.cut.dcmp
 2010-10-31T06:31:00.19 55500.271530      g      -     -     -      -     -      -      -      -    -      0x1613     7.70  310.62  31.4844     7.66  309.16 31.479 0x00000011 ut101031e_temple/102/md10s044.g.ut101031e.352871_102_g.temple.337160_102.diff.cut.dcmp
 2010-11-03T08:07:40.22 55503.338660      g      -     -     -      -     -      -      -      -    -      0x1613  -731.99  521.75  31.4844  -747.73  532.92 31.508 0x00000011 ut101103e_temple/102/md10s044.g.ut101103e.338625_102_g.temple.337160_102.diff.cut.dcmp
