#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                                cmpfile
 2009-08-31T13:23:41.57 55074.558120      g 21.260 0.055 -0.308  0.109      -      -      -      -    1      0x1613 13484.39  698.73  31.5843 13581.61  692.46 31.592 0x00000011 ut090831i_templi/104/md10s073.g.ut090831i.351444_104_g.templi.337186_104.diff.cut.dcmp
 2009-09-12T10:49:28.13 55086.451020      g 21.723 0.130  0.638  0.148      -      -      -      -    1      0x1613  8804.74 1054.00  31.5843  8537.22 1018.92 31.551 0x00000011 ut090912i_templi/104/md10s073.g.ut090912i.351499_104_g.templi.337186_104.diff.cut.dcmp
 2009-09-15T10:29:53.95 55089.437430      g 21.300 0.042 -0.174  0.070      -      -      -      -    1      0x1613 12998.24  517.70  31.5843 13858.77  536.87 31.654 0x00000011 ut090915i_templi/104/md10s073.g.ut090915i.351554_104_g.templi.337186_104.diff.cut.dcmp
 2009-09-18T10:09:28.80 55092.423250      g 21.220 0.036 -0.086  0.065      -      -      -      -    1      0x1613 13992.36  485.76  31.5843 14743.85  493.33 31.641 0x00000011 ut090918i_templi/104/md10s073.g.ut090918i.351609_104_g.templi.337186_104.diff.cut.dcmp
 2009-09-21T10:08:49.06 55095.422790      g 21.309 0.045 -0.112  0.081      -      -      -      -    1      0x1613 12889.20  544.89  31.5843 12590.01  519.34 31.559 0x00000011 ut090921i_templi/104/md10s073.g.ut090921i.351663_104_g.templi.337186_104.diff.cut.dcmp
 2009-09-24T10:51:14.40 55098.452250      g 21.264 0.072 -0.208  0.078      -      -      -      -    2      0x1613 13433.10  893.36  31.5843 16310.09 1074.14 31.795 0x00000011 ut090924i_templi/104/md10s073.g.ut090924i.351716_104_g.templi.337186_104.diff.cut.dcmp
 2009-12-08T06:18:31.97 55173.262870      g 21.841 0.117 -0.552  0.207      -      -      -      -    1      0x1613  7893.37  852.32  31.5843  8136.22  875.31 31.617 0x00000011 ut091208i_templi/104/md10s073.g.ut091208i.351829_104_g.templi.337186_104.diff.cut.dcmp
 2009-12-11T06:39:39.46 55176.277540      g 22.249 0.115  0.180  0.152      -      -      -      -    1      0x1613  5419.31  577.25  31.5843  5324.32  564.99 31.565 0x00000011 ut091211i_templi/104/md10s073.g.ut091211i.351892_104_g.templi.337186_104.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g 21.705 0.054 -0.691  0.108      -      -      -      -    1      0x1613  8949.35  454.09  31.5843  8213.94  409.79 31.491 0x00000011 ut091214i_templi/104/md10s073.g.ut091214i.351954_104_g.templi.337186_104.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -      -      -      -      -      -      -    -      0x1613 -2278.29  482.18  31.5843 -2247.86  475.28 31.570 0x00000011 ut100712i_templi/104/md10s073.g.ut100712i.352011_104_g.templi.337186_104.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -      -      -      -      -      -      -    -      0x1613    85.95  685.18  31.5843    82.34  656.39 31.538 0x00000011 ut100721i_templi/104/md10s073.g.ut100721i.352065_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -      -      -      -      -      -      -    -      0x1613 -1606.98  506.17  31.5843 -1497.51  471.49 31.508 0x00000011 ut100805i_templi/104/md10s073.g.ut100805i.352171_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -      -      -      -      -      -      -    -      0x1613   801.18  424.09  31.5843   775.41  410.39 31.549 0x00000011 ut100808i_templi/104/md10s073.g.ut100808i.352225_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g      -     -      -      -      -      -      -      -    -      0x1613  -498.44  453.32  31.5843  -467.23  424.92 31.514 0x00000011 ut100814i_templi/104/md10s073.g.ut100814i.352280_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g      -     -      -      -      -      -      -      -    -      0x1613  -854.42  431.36  31.5843  -823.67  415.76 31.544 0x00000011 ut100817i_templi/104/md10s073.g.ut100817i.352335_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g      -     -      -      -      -      -      -      -    -      0x1613  -524.39  456.07  31.5843  -492.42  428.24 31.516 0x00000011 ut100820i_templi/104/md10s073.g.ut100820i.338703_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g      -     -      -      -      -      -      -      -    -      0x1613 -1166.23  547.48  31.5843 -1193.40  560.12 31.609 0x00000011 ut100901i_templi/104/md10s073.g.ut100901i.352390_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g      -     -      -      -      -      -      -      -    -      0x1613 -1081.15  446.11  31.5843 -1050.62  433.40 31.553 0x00000011 ut100904i_templi/104/md10s073.g.ut100904i.352445_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g      -     -      -      -      -      -      -      -    -      0x1613 -2390.05  446.59  31.5843 -2288.37  427.07 31.537 0x00000011 ut100907i_templi/104/md10s073.g.ut100907i.352501_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-10T12:15:33.12 55449.510800      g      -     -      -      -      -      -      -      -    -      0x1613  -956.30  883.44  31.5843  -920.61  850.42 31.543 0x00000011 ut100910i_templi/104/md10s073.g.ut100910i.352558_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-13T10:45:04.61 55452.447970      g      -     -      -      -      -      -      -      -    -      0x1613 -1565.17  459.29  31.5843 -1453.99  426.45 31.504 0x00000011 ut100913i_templi/104/md10s073.g.ut100913i.338593_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-19T08:00:04.03 55458.333380      g      -     -      -      -      -      -      -      -    -      0x1613 -6142.85 1573.62  31.5843 -5919.57 1515.43 31.544 0x00000011 ut100919i_templi/104/md10s073.g.ut100919i.356496_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-28T10:15:16.99 55467.427280      g      -     -      -      -      -      -      -      -    -      0x1613    18.57  769.61  31.5843    18.21  754.52 31.563 0x00000011 ut100928i_templi/104/md10s073.g.ut100928i.352613_104_g.templi.337186_104.diff.cut.dcmp
 2010-10-07T10:54:02.88 55476.454200      g      -     -      -      -      -      -      -      -    -      0x1613  -410.36  412.19  31.5843  -378.76  380.43 31.497 0x00000011 ut101007i_templi/104/md10s073.g.ut101007i.352669_104_g.templi.337186_104.diff.cut.dcmp
