#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex  flux_c dflux_c ZPTMAG_c    flux  dflux ZPTMAG       type                                                                             cmpfile
 2009-12-26T07:36:42.62 55191.317160      g      -     -     -      -      -      -      -      -    -      0x1613  -59.91  283.31  30.8601  -60.19 284.64 30.865 0x00000011 ut091226g_templg/24/md02s054.g.ut091226g.378847_24_g.templg.378265_24.diff.cut.dcmp
 2010-09-10T14:26:17.38 55449.601590      g      -     -     -      -      -      -      -      -    -      0x1613  164.28  223.52  30.8601  168.00 228.57 30.884 0x00000011 ut100910g_templg/24/md02s054.g.ut100910g.378906_24_g.templg.378265_24.diff.cut.dcmp
 2010-09-16T14:21:52.13 55455.598520      g      -     -     -      -      -      -      -      -    -      0x1613 -106.48  205.33  30.8601 -105.73 203.88 30.852 0x00000011 ut100916g_templg/24/md02s054.g.ut100916g.378963_24_g.templg.378265_24.diff.cut.dcmp
 2010-10-07T13:32:39.84 55476.564350      g      -     -     -      -      -      -      -      -    -      0x1613   -4.41  229.32  30.8601   -4.29 222.95 30.829 0x00000011 ut101007g_templg/24/md02s054.g.ut101007g.379018_24_g.templg.378265_24.diff.cut.dcmp
 2010-10-13T13:09:00.29 55482.547920      g      -     -     -      -      -      -      -      -    -      0x1613 -205.02  208.43  30.8601 -204.87 208.27 30.859 0x00000011 ut101013g_templg/24/md02s054.g.ut101013g.379072_24_g.templg.378265_24.diff.cut.dcmp
 2010-10-31T11:27:44.64 55500.477600      g      -     -     -      -      -      -      -      -    -      0x1613  -91.63  231.94  30.8601  -91.20 230.85 30.855 0x00000011 ut101031g_templg/24/md02s054.g.ut101031g.379127_24_g.templg.378265_24.diff.cut.dcmp
 2010-11-09T10:43:16.61 55509.446720      g      -     -     -      -      -      -      -      -    -      0x1613  125.10  170.06  30.8601  123.38 167.72 30.845 0x00000011 ut101109g_templg/24/md02s054.g.ut101109g.379183_24_g.templg.378265_24.diff.cut.dcmp
 2010-11-18T10:42:20.45 55518.446070      g      -     -     -      -      -      -      -      -    -      0x1613 1006.74  637.89  30.8601 1037.71 657.44 30.893 0x00000011 ut101118g_templg/24/md02s054.g.ut101118g.379239_24_g.templg.378265_24.diff.cut.dcmp
 2011-09-17T13:23:10.46 55821.557760      g      -     -     -      -      -      -      -      -    -      0x1613  224.79  567.76  30.8601  224.71 567.55 30.860 0x00000011 ut110917g_templg/24/md02s054.g.ut110917g.393201_24_g.templg.378265_24.diff.cut.dcmp
 2011-09-20T14:28:01.92 55824.602800      g      -     -     -      -      -      -      -      -    -      0x1613  450.92  266.84  30.8601  448.31 265.26 30.854 0x00000011 ut110920g_templg/24/md02s054.g.ut110920g.398480_24_g.templg.378265_24.diff.cut.dcmp
 2011-09-24T14:13:56.93 55828.593020      g 24.084 0.286 1.211  0.320      -      -      -      -    1      0x1613  513.36  135.36  30.8601  501.35 132.11 30.834 0x00000011 ut110924g_templg/24/md02s054.g.ut110924g.402523_24_g.templg.378265_24.diff.cut.dcmp
 2011-10-02T13:50:38.95 55836.576840      g      -     -     -      -      -      -      -      -    -      0x1613 1098.62  529.54  30.8601 1085.74 523.24 30.847 0x00000011 ut111002g_templg/24/md02s054.g.ut111002g.426760_24_g.templg.378265_24.diff.cut.dcmp
