#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                             cmpfile
 2009-12-14T08:22:35.33 55179.349020      g      -     -  -      -     -      -      -      -    -      0x1613   240.59  123.10  31.1185   247.95  126.84 31.151 0x00000011 ut091214e_temple/11/md01s042.g.ut091214e.366531_11_g.temple.367066_11.diff.cut.dcmp
 2009-12-26T05:46:45.12 55191.240800      g      -     -  -      -     -      -      -      -    -      0x1613  -358.09  333.94  31.1185  -361.57  337.17 31.129 0x00000011 ut091226e_temple/11/md01s042.g.ut091226e.366593_11_g.temple.367066_11.diff.cut.dcmp
 2010-01-07T06:06:33.12 55203.254550      g      -     -  -      -     -      -      -      -    -      0x1613   107.61  144.73  31.1185   113.21  152.26 31.174 0x00000011 ut100107e_temple/11/md01s042.g.ut100107e.366654_11_g.temple.367066_11.diff.cut.dcmp
 2010-01-10T06:42:08.93 55206.279270      g      -     -  -      -     -      -      -      -    -      0x1613  -282.45  158.56  31.1185  -298.99  167.82 31.180 0x00000011 ut100110e_temple/11/md01s042.g.ut100110e.366715_11_g.temple.367066_11.diff.cut.dcmp
 2010-08-05T14:04:23.23 55413.586380      g      -     -  -      -     -      -      -      -    -      0x1613   150.20  306.97  31.1185   150.60  307.79 31.121 0x00000011 ut100805e_temple/11/md01s042.g.ut100805e.366772_11_g.temple.367066_11.diff.cut.dcmp
 2010-08-17T14:19:15.74 55425.596710      g      -     -  -      -     -      -      -      -    -      0x1613   -84.74  168.37  31.1185   -84.23  167.35 31.112 0x00000011 ut100817e_temple/11/md01s042.g.ut100817e.366830_11_g.temple.367066_11.diff.cut.dcmp
 2010-09-10T13:46:47.42 55449.574160      g      -     -  -      -     -      -      -      -    -      0x1613  -494.12  268.34  31.1185  -497.77  270.29 31.127 0x00000011 ut100910e_temple/11/md01s042.g.ut100910e.366888_11_g.temple.367066_11.diff.cut.dcmp
 2010-10-31T11:06:07.78 55500.462590      g      -     -  -      -     -      -      -      -    -      0x1613  -116.73  226.62  31.1185  -119.69  232.37 31.146 0x00000011 ut101031e_temple/11/md01s042.g.ut101031e.366942_11_g.temple.367066_11.diff.cut.dcmp
 2011-09-08T11:59:03.84 55812.499350      g      -     -  -      -     -      -      -      -    -      0x1613   596.07  292.51  31.1185   598.93  293.86 31.124 0x00000011 ut110908e_temple/11/md01s042.g.ut110908e.380516_11_g.temple.367066_11.diff.cut.dcmp
 2011-09-20T13:49:32.45 55824.576070      g      -     -  -      -     -      -      -      -    -      0x1613  -339.65  318.02  31.1185  -340.68  318.97 31.122 0x00000011 ut110920e_temple/11/md01s042.g.ut110920e.398588_11_g.temple.367066_11.diff.cut.dcmp
 2011-09-24T11:04:34.46 55828.461510      g      -     -  -      -     -      -      -      -    -      0x1613   186.48  151.88  31.1185   174.11  141.80 31.044 0x00000011 ut110924e_temple/11/md01s042.g.ut110924e.402396_11_g.temple.367066_11.diff.cut.dcmp
 2011-09-29T13:03:43.20 55833.544250      g      -     -  -      -     -      -      -      -    -      0x1613    29.94  240.56  31.1185    29.91  240.29 31.117 0x00000011 ut110929e_temple/11/md01s042.g.ut110929e.417104_11_g.temple.367066_11.diff.cut.dcmp
 2011-10-02T13:08:04.13 55836.547270      g      -     -  -      -     -      -      -      -    -      0x1613 -1064.59  770.98  31.1185 -1077.21  780.06 31.131 0x00000011 ut111002e_temple/11/md01s042.g.ut111002e.426862_11_g.temple.367066_11.diff.cut.dcmp
 2011-10-05T12:26:23.85 55839.518332      g      -     -  -      -     -      -      -      -    -      0x1613   599.54  351.31  31.1185   605.37  354.68 31.129 0x00000011 ut111005e_temple/11/md01s042.g.ut111005e.437716_11_g.temple.367066_11.diff.cut.dcmp
 2011-10-18T13:41:10.09 55852.570256      g      -     -  -      -     -      -      -      -    -      0x1613  -301.75  547.79  31.1185  -311.03  564.64 31.151 0x00000011 ut111018e_temple/11/md01s042.g.ut111018e.474639_11_g.temple.367066_11.diff.cut.dcmp
 2011-10-21T11:18:26.61 55855.471141      g      -     -  -      -     -      -      -      -    -      0x1613  -305.10  314.54  31.1185  -296.02  305.17 31.086 0x00000011 ut111021e_temple/11/md01s042.g.ut111021e.478223_11_g.temple.367066_11.diff.cut.dcmp
 2011-10-24T09:56:40.00 55858.414352      g      -     -  -      -     -      -      -      -    -      0x1613   350.15  191.13  31.1185   359.40  196.15 31.147 0x00000011 ut111024e_temple/11/md01s042.g.ut111024e.479121_11_g.temple.367066_11.diff.cut.dcmp
 2011-10-29T12:22:21.08 55863.515522      g      -     -  -      -     -      -      -      -    -      0x1613  -309.56  370.32  31.1185  -315.55  377.47 31.139 0x00000011 ut111029e_temple/11/md01s042.g.ut111029e.489511_11_g.temple.367066_11.diff.cut.dcmp
