#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                             cmpfile
 2009-12-14T08:22:35.33 55179.349020      g      -     -      -      -      -      -      -      -    -      0x1613  -5100.31  285.36  31.0842  -5440.97  300.23 31.154 0x00000011 ut091214f_templf/13/md01s046.g.ut091214f.366535_13_g.templf.367070_13.diff.cut.dcmp
 2009-12-26T05:46:45.12 55191.240800      g      -     -      -      -      -      -      -      -    -      0x1613  -6118.55  343.00  31.0842  -6249.55  345.54 31.107 0x00000011 ut091226f_templf/13/md01s046.g.ut091226f.366597_13_g.templf.367070_13.diff.cut.dcmp
 2010-01-07T06:06:33.12 55203.254550      g      -     -      -      -      -      -      -      -    -      0x1613  -3194.95  233.50  31.0842  -3236.12  234.61 31.098 0x00000011 ut100107f_templf/13/md01s046.g.ut100107f.366658_13_g.templf.367070_13.diff.cut.dcmp
 2010-01-10T06:42:08.93 55206.279270      g      -     -      -      -      -      -      -      -    -      0x1613  -1812.55  239.47  31.0842  -1856.65  244.69 31.110 0x00000011 ut100110f_templf/13/md01s046.g.ut100110f.366719_13_g.templf.367070_13.diff.cut.dcmp
 2010-08-05T14:04:23.23 55413.586380      g 22.040 0.110      -      -      -      -      -      -    -      0x1613   4147.96  423.82  31.0842   4149.49  422.23 31.085 0x00000011 ut100805f_templf/13/md01s046.g.ut100805f.366776_13_g.templf.367070_13.diff.cut.dcmp
 2010-08-17T14:19:15.74 55425.596710      g 21.835 0.086      -      -      -      -      -      -    -      0x1613   5009.72  401.66  31.0842   4945.08  393.83 31.070 0x00000011 ut100817f_templf/13/md01s046.g.ut100817f.366834_13_g.templf.367070_13.diff.cut.dcmp
 2010-09-10T13:46:47.42 55449.574160      g 22.590 0.192      -      -      -      -      -      -    -      0x1613   2499.18  441.66  31.0842   2484.72  438.50 31.078 0x00000011 ut100910f_templf/13/md01s046.g.ut100910f.366892_13_g.templf.367070_13.diff.cut.dcmp
 2010-10-31T11:06:07.78 55500.462590      g 22.533 0.109 -0.688  0.211      -      -      -      -    1      0x1613   2632.41  266.24  31.0842   2505.61  252.35 31.031 0x00000011 ut101031f_templf/13/md01s046.g.ut101031f.366946_13_g.templf.367070_13.diff.cut.dcmp
 2011-09-05T14:37:53.76 55809.609650      g 21.381 0.058 -0.041  0.092      -      -      -      -    1      0x1613   7607.31  415.04  31.0842   7326.75  393.94 31.043 0x00000011 ut110905f_templf/13/md01s046.g.ut110905f.377154_13_g.templf.367070_13.diff.cut.dcmp
 2011-09-08T11:59:03.84 55812.499350      g      -     -      -      -      -      -      -      -    -      0x1613  -3334.00  400.99  31.0842  -3305.56  396.39 31.075 0x00000011 ut110908f_templf/13/md01s046.g.ut110908f.380520_13_g.templf.367070_13.diff.cut.dcmp
 2011-09-20T13:49:32.45 55824.576070      g 21.501 0.058  0.070  0.080      -      -      -      -    1      0x1613   6813.69  369.02  31.0842   6713.40  358.24 31.068 0x00000011 ut110920f_templf/13/md01s046.g.ut110920f.398592_13_g.templf.367070_13.diff.cut.dcmp
 2011-09-24T11:04:34.46 55828.461510      g 22.225 0.089  0.053  0.119      -      -      -      -    1      0x1613   3496.64  286.93  31.0842   3334.35  271.87 31.033 0x00000011 ut110924f_templf/13/md01s046.g.ut110924f.402400_13_g.templf.367070_13.diff.cut.dcmp
 2011-09-29T13:03:43.20 55833.544250      g 21.351 0.058 -1.771  0.269      -      -      -      -    1      0x1613   7820.97  426.12  31.0842   7607.13  408.45 31.054 0x00000011 ut110929f_templf/13/md01s046.g.ut110929f.417108_13_g.templf.367070_13.diff.cut.dcmp
 2011-10-02T13:08:04.13 55836.547270      g 21.730 0.144 -0.396  0.233      -      -      -      -    1      0x1613   5517.55  735.77  31.0842   5363.23  713.47 31.053 0x00000011 ut111002f_templf/13/md01s046.g.ut111002f.426866_13_g.templf.367070_13.diff.cut.dcmp
 2011-10-05T12:26:23.71 55839.518330      g 21.659 0.094  0.078  0.132      -      -      -      -    1      0x1613   5887.46  511.89  31.0842   5727.54  495.16 31.054 0x00000011 ut111005f_templf/13/md01s046.g.ut111005f.437720_13_g.templf.367070_13.diff.cut.dcmp
 2011-10-18T13:41:10.46 55852.570260      g 21.137 0.064 -0.546  0.116      -      -      -      -    1      0x1613   9524.60  567.96  31.0842   9597.69  565.39 31.093 0x00000011 ut111018f_templf/13/md01s046.g.ut111018f.474643_13_g.templf.367070_13.diff.cut.dcmp
 2011-10-21T11:18:26.61 55855.471141      g 21.738 0.088  0.002  0.118      -      -      -      -    1      0x1613   5475.98  448.56  31.0842   5296.90  431.11 31.048 0x00000011 ut111021f_templf/13/md01s046.g.ut111021f.478227_13_g.templf.367070_13.diff.cut.dcmp
 2011-10-24T09:56:40.00 55858.414352      g 21.814 0.074 -0.092  0.107      -      -      -      -    1      0x1613   5105.60  350.89  31.0842   4967.37  338.28 31.054 0x00000011 ut111024f_templf/13/md01s046.g.ut111024f.479125_13_g.templf.367070_13.diff.cut.dcmp
 2011-10-29T12:22:21.08 55863.515522      g 21.847 0.133  0.317  0.167      -      -      -      -    1      0x1613   4954.49  608.81  31.0842   5016.02  614.62 31.098 0x00000011 ut111029f_templf/13/md01s046.g.ut111029f.489515_13_g.templf.367070_13.diff.cut.dcmp
 2011-11-22T08:06:20.39 55887.337736      g 21.384 0.083 -1.119  0.088      -      -      -      -    2      0x1613   7584.33  580.64  31.0842   7385.79  561.30 31.055 0x00000011 ut111122f_templf/13/md01s046.g.ut111122f.538063_13_g.templf.367070_13.diff.cut.dcmp
 2011-11-24T06:21:50.70 55889.265170      g      -     -      -      -      -      -      -      -    -      0x1613    273.49  338.73  31.0842    275.46  341.16 31.092 0x00000011 ut111124f_templf/13/md01s046.g.ut111124f.543053_13_g.templf.367070_13.diff.cut.dcmp
 2011-11-30T06:17:46.51 55895.262344      g 22.382 0.172 -0.446  0.244      -      -      -      -    1      0x1613   3027.46  481.23  31.0842   3324.13  527.49 31.186 0x00000011 ut111130f_templf/13/md01s046.g.ut111130f.550207_13_g.templf.367070_13.diff.cut.dcmp
 2009-12-14T08:51:57.89 55179.369420      r      -     -      -      -      -      -      -      -    -      0x1614  -3729.20  297.34  30.8859  -4030.28  319.17 30.970 0x00000011 ut091214f_templf/13/md01s046.r.ut091214f.366081_13_r.templf.367004_13.diff.cut.dcmp
 2009-12-26T06:15:14.98 55191.260590      r      -     -      -      -      -      -      -      -    -      0x1614  -5674.41  254.06  30.8859  -5704.28  249.88 30.892 0x00000011 ut091226f_templf/13/md01s046.r.ut091226f.366140_13_r.templf.367004_13.diff.cut.dcmp
 2010-01-07T06:19:46.27 55203.263730      r      -     -      -      -      -      -      -      -    -      0x1614  -4056.23  164.84  30.8859  -4194.52  165.98 30.922 0x00000011 ut100107f_templf/13/md01s046.r.ut100107f.366200_13_r.templf.367004_13.diff.cut.dcmp
 2010-09-10T14:07:26.40 55449.588500      r      -     -      -      -      -      -      -      -    -      0x1614    702.62  269.90  30.8859    696.56  267.50 30.877 0x00000011 ut100910f_templf/13/md01s046.r.ut100910f.366257_13_r.templf.367004_13.diff.cut.dcmp
 2010-09-16T14:03:15.84 55455.585600      r 23.188 0.261      -      -  1.254  0.263      -      -    2      0x1614   1200.04  287.96  30.8859   1186.96  284.61 30.874 0x00000011 ut100916f_templf/13/md01s046.r.ut100916f.366311_13_r.templf.367004_13.diff.cut.dcmp
 2010-10-13T14:06:44.93 55482.588020      r 21.768 0.078      -      - -0.198  0.084      -      -    2      0x1614   4438.32  321.47  30.8859   4406.14  316.52 30.878 0x00000011 ut101013f_templf/13/md01s046.r.ut101013f.366368_13_r.templf.367004_13.diff.cut.dcmp
 2010-10-31T10:47:26.30 55500.449610      r 23.221 0.178      -      -  1.234  0.181      -      -    2      0x1614   1163.71  190.76  30.8859   1145.42  187.46 30.869 0x00000011 ut101031f_templf/13/md01s046.r.ut101031f.366422_13_r.templf.367004_13.diff.cut.dcmp
 2010-11-09T11:51:31.10 55509.494110      r 21.758 0.083      -      - -0.241  0.108      -      -    1      0x1614   4477.95  345.72  30.8859   4360.73  334.24 30.857 0x00000011 ut101109f_templf/13/md01s046.r.ut101109f.366477_13_r.templf.367004_13.diff.cut.dcmp
 2011-09-05T14:55:43.39 55809.622030      r 21.422 0.065      -      - -0.266  0.085      -      -    1      0x1614   6101.48  370.79  30.8859   6033.86  362.41 30.874 0x00000011 ut110905f_templf/13/md01s046.r.ut110905f.377212_13_r.templf.367004_13.diff.cut.dcmp
