#               DATEOBS        MJDim filter      m    dm     gr gr_err ri ri_err iz iz_err cflg photcodehex     flux_c  dflux_c ZPTMAG_c       flux    dflux ZPTMAG       type                                                                                cmpfile
 2009-09-12T10:49:28.13 55086.451020      g 18.571 0.020      -      -  -      -  -      -    -      0x1613  160405.48  3291.03  31.5843  155531.80  2848.10 31.551 0x00000011 ut090912i_templi/104/md10s073.g.ut090912i.351499_104_g.templi.337186_104.diff.cut.dcmp
 2009-12-11T06:39:39.46 55176.277540      g 18.679 0.012      -      -  -      -  -      -    -      0x1613  145238.55  2098.12  31.5843  142692.75  1583.00 31.565 0x00000011 ut091211i_templi/104/md10s073.g.ut091211i.351892_104_g.templi.337186_104.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g 18.195 0.007      -      -  -      -  -      -    -      0x1613  226850.20  2523.11  31.5843  208208.84  1285.02 31.491 0x00000011 ut091214i_templi/104/md10s073.g.ut091214i.351954_104_g.templi.337186_104.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g 18.962 0.014 -0.108  0.050  -      -  -      -    1      0x1613  111930.34  1810.59  31.5843  110435.28  1465.29 31.570 0x00000011 ut100712i_templi/104/md10s073.g.ut100712i.352011_104_g.templi.337186_104.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g 18.451 0.013  0.181  0.033  -      -  -      -    2      0x1613  179169.37  2694.84  31.5843  171642.08  2035.30 31.538 0x00000011 ut100721i_templi/104/md10s073.g.ut100721i.352065_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g 18.485 0.010  0.121  0.037  -      -  -      -    1      0x1613  173652.09  2285.63  31.5843  161822.91  1514.80 31.508 0x00000011 ut100805i_templi/104/md10s073.g.ut100805i.352171_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g 18.726 0.013  0.812  0.033  -      -  -      -    2      0x1613  139153.08  2066.49  31.5843  134676.81  1564.34 31.549 0x00000011 ut100808i_templi/104/md10s073.g.ut100808i.352225_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g 18.451 0.011  1.433  0.033  -      -  -      -    1      0x1613  179133.62  2471.39  31.5843  167917.94  1718.38 31.514 0x00000011 ut100814i_templi/104/md10s073.g.ut100814i.352280_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g 18.317 0.010  0.579  0.037  -      -  -      -    1      0x1613  202759.01  2613.98  31.5843  195461.02  1754.68 31.544 0x00000011 ut100817i_templi/104/md10s073.g.ut100817i.352335_104_g.templi.337186_104.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g 18.437 0.011  0.731  0.032  -      -  -      -    2      0x1613  181490.76  2447.20  31.5843  170425.48  1671.55 31.516 0x00000011 ut100820i_templi/104/md10s073.g.ut100820i.338703_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g 18.310 0.011  0.730  0.033  -      -  -      -    1      0x1613  204100.31  2781.53  31.5843  208854.42  2089.72 31.609 0x00000011 ut100901i_templi/104/md10s073.g.ut100901i.352390_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g 18.391 0.011 -0.715  0.060  -      -  -      -    1      0x1613  189446.79  2588.79  31.5843  184097.23  1851.22 31.553 0x00000011 ut100904i_templi/104/md10s073.g.ut100904i.352445_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g 18.322 0.009  1.096  0.032  -      -  -      -    1      0x1613  201843.78  2523.10  31.5843  193257.06  1624.28 31.537 0x00000011 ut100907i_templi/104/md10s073.g.ut100907i.352501_104_g.templi.337186_104.diff.cut.dcmp
 2010-09-10T12:15:33.12 55449.510800      g 18.297 0.015  1.373  0.034  -      -  -      -    1      0x1613  206472.32  3472.59  31.5843  198765.88  2791.59 31.543 0x00000011 ut100910i_templi/104/md10s073.g.ut100910i.352558_104_g.templi.337186_104.diff.cut.dcmp
