#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                                cmpfile
 2009-09-15T10:29:53.95 55089.437430      g      -     -      -      -      -      -      -      -    -      0x1613  -791.10  284.74  31.5498  -795.41  286.20 31.556 0x00000011 ut090915g_templg/103/md10s057.g.ut090915g.351542_103_g.templg.337172_103.diff.cut.dcmp
 2009-09-18T10:09:28.80 55092.423250      g      -     -      -      -      -      -      -      -    -      0x1613   -85.62  415.05  31.5498   -86.21  417.89 31.557 0x00000011 ut090918g_templg/103/md10s057.g.ut090918g.351597_103_g.templg.337172_103.diff.cut.dcmp
 2009-09-21T10:08:49.06 55095.422790      g      -     -      -      -      -      -      -      -    -      0x1613  -476.48  360.45  31.5498  -472.16  357.15 31.540 0x00000011 ut090921g_templg/103/md10s057.g.ut090921g.351651_103_g.templg.337172_103.diff.cut.dcmp
 2009-09-24T10:51:14.40 55098.452250      g      -     -      -      -      -      -      -      -    -      0x1613  -130.12  309.46  31.5498  -131.29  312.23 31.559 0x00000011 ut090924g_templg/103/md10s057.g.ut090924g.351705_103_g.templg.337172_103.diff.cut.dcmp
 2009-09-27T10:57:37.15 55101.456680      g      -     -      -      -      -      -      -      -    -      0x1613  -958.74  346.91  31.5498 -1008.37  364.75 31.605 0x00000011 ut090927g_templg/103/md10s057.g.ut090927g.351758_103_g.templg.337172_103.diff.cut.dcmp
 2009-12-08T06:20:30.34 55173.264240      g      -     -      -      -      -      -      -      -    -      0x1613  -190.99  281.76  31.5498  -209.18  308.60 31.649 0x00000011 ut091208g_templg/103/md10s057.g.ut091208g.351816_103_g.templg.337172_103.diff.cut.dcmp
 2009-12-11T06:39:39.46 55176.277540      g      -     -      -      -      -      -      -      -    -      0x1613  -301.04  290.65  31.5498  -318.67  307.66 31.612 0x00000011 ut091211g_templg/103/md10s057.g.ut091211g.351880_103_g.templg.337172_103.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g      -     -      -      -      -      -      -      -    -      0x1613   -88.04  193.99  31.5498   -92.33  203.45 31.602 0x00000011 ut091214g_templg/103/md10s057.g.ut091214g.351942_103_g.templg.337172_103.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -      -      -      -      -      -      -    -      0x1613 -1597.54  464.19  31.5498 -1525.36  442.99 31.500 0x00000011 ut100712g_templg/103/md10s057.g.ut100712g.352000_103_g.templg.337172_103.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -      -      -      -      -      -      -    -      0x1613 -1174.89  573.76  31.5498 -1132.91  553.16 31.510 0x00000011 ut100721g_templg/103/md10s057.g.ut100721g.352054_103_g.templg.337172_103.diff.cut.dcmp
 2010-08-02T13:11:33.22 55410.549690      g      -     -      -      -      -      -      -      -    -      0x1613   164.87  682.76  31.5498   163.49  677.06 31.541 0x00000011 ut100802g_templg/103/md10s057.g.ut100802g.352107_103_g.templg.337172_103.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -      -      -      -      -      -      -    -      0x1613   -67.33  337.04  31.5498   -65.31  326.92 31.517 0x00000011 ut100805g_templg/103/md10s057.g.ut100805g.352160_103_g.templg.337172_103.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -      -      -      -      -      -      -    -      0x1613  -446.56  241.54  31.5498  -439.70  237.80 31.533 0x00000011 ut100808g_templg/103/md10s057.g.ut100808g.352214_103_g.templg.337172_103.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g      -     -      -      -      -      -      -      -    -      0x1613  -211.37  340.51  31.5498  -207.11  333.64 31.528 0x00000011 ut100814g_templg/103/md10s057.g.ut100814g.352269_103_g.templg.337172_103.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g      -     -      -      -      -      -      -      -    -      0x1613  -767.05  462.38  31.5498  -754.02  454.47 31.531 0x00000011 ut100817g_templg/103/md10s057.g.ut100817g.352324_103_g.templg.337172_103.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g      -     -      -      -      -      -      -      -    -      0x1613   261.62  339.39  31.5498   256.63  332.91 31.529 0x00000011 ut100820g_templg/103/md10s057.g.ut100820g.338692_103_g.templg.337172_103.diff.cut.dcmp
