#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                             cmpfile
 2009-12-14T08:22:35.33 55179.349020      g      -     -      -      -      -      -      -      -    -      0x1613 -1097.09  192.43  31.1611 -1112.97  194.94 31.177 0x00000011 ut091214g_templg/13/md01s062.g.ut091214g.366548_13_g.templg.367085_13.diff.cut.dcmp
 2009-12-26T05:46:45.12 55191.240800      g      -     -      -      -      -      -      -      -    -      0x1613  -839.34  356.25  31.1611  -863.17  366.28 31.192 0x00000011 ut091226g_templg/13/md01s062.g.ut091226g.366610_13_g.templg.367085_13.diff.cut.dcmp
 2010-01-07T06:06:33.12 55203.254550      g      -     -      -      -      -      -      -      -    -      0x1613 -1394.07  168.48  31.1611 -1367.49  164.78 31.140 0x00000011 ut100107g_templg/13/md01s062.g.ut100107g.366671_13_g.templg.367085_13.diff.cut.dcmp
 2010-01-10T06:42:08.93 55206.279270      g      -     -      -      -      -      -      -      -    -      0x1613 -1078.48  205.10  31.1611 -1083.16  205.75 31.166 0x00000011 ut100110g_templg/13/md01s062.g.ut100110g.366731_13_g.templg.367085_13.diff.cut.dcmp
 2010-08-05T14:04:23.23 55413.586380      g 22.874 0.146      -      -      -      -      -      -    -      0x1613  2065.35  278.55  31.1611  2065.35  277.89 31.161 0x00000011 ut100805g_templg/13/md01s062.g.ut100805g.366788_13_g.templg.367085_13.diff.cut.dcmp
 2010-08-17T14:19:15.74 55425.596710      g 23.258 0.213      -      -      -      -      -      -    -      0x1613  1449.99  284.27  31.1611  1464.62  286.82 31.172 0x00000011 ut100817g_templg/13/md01s062.g.ut100817g.366846_13_g.templg.367085_13.diff.cut.dcmp
 2010-09-10T13:46:47.42 55449.574160      g 22.923 0.210 -0.412  0.311      -      -      -      -    1      0x1613  1973.05  382.31  31.1611  1974.32  382.12 31.162 0x00000011 ut100910g_templg/13/md01s062.g.ut100910g.366904_13_g.templg.367085_13.diff.cut.dcmp
 2010-10-31T11:06:07.78 55500.462590      g      -     -      -      -      -      -      -      -    -      0x1613  -398.38  235.93  31.1611  -384.54  227.70 31.123 0x00000011 ut101031g_templg/13/md01s062.g.ut101031g.366958_13_g.templg.367085_13.diff.cut.dcmp
 2011-09-05T14:37:53.76 55809.609650      g 23.231 0.189  0.447  0.263      -      -      -      -    1      0x1613  1485.98  259.26  31.1611  1422.76  247.88 31.114 0x00000011 ut110905g_templg/13/md01s062.g.ut110905g.377166_13_g.templg.367085_13.diff.cut.dcmp
 2011-09-08T11:59:03.84 55812.499350      g 23.147 0.265 -0.143  0.353      -      -      -      -    1      0x1613  1606.22  391.59  31.1611  1643.03  400.27 31.186 0x00000011 ut110908g_templg/13/md01s062.g.ut110908g.380532_13_g.templg.367085_13.diff.cut.dcmp
 2011-09-20T13:49:32.45 55824.576070      g 22.720 0.154  0.252  0.192      -      -      -      -    1      0x1613  2379.37  338.85  31.1611  2323.28  330.16 31.135 0x00000011 ut110920g_templg/13/md01s062.g.ut110920g.398604_13_g.templg.367085_13.diff.cut.dcmp
 2011-09-24T11:04:34.46 55828.461510      g 22.768 0.104 -0.434  0.179      -      -      -      -    1      0x1613  2275.48  218.86  31.1611  2195.40  210.18 31.122 0x00000011 ut110924g_templg/13/md01s062.g.ut110924g.402412_13_g.templg.367085_13.diff.cut.dcmp
 2011-09-29T13:03:43.20 55833.544250      g 23.282 0.220 -0.061  0.358      -      -      -      -    1      0x1613  1417.75  287.55  31.1611  1378.60  279.32 31.131 0x00000011 ut110929g_templg/13/md01s062.g.ut110929g.417120_13_g.templg.367085_13.diff.cut.dcmp
 2011-10-02T13:08:04.13 55836.547270      g      -     -      -      -      -      -      -      -    -      0x1613   353.83  615.58  31.1611   345.23  600.62 31.134 0x00000011 ut111002g_templg/13/md01s062.g.ut111002g.426878_13_g.templg.367085_13.diff.cut.dcmp
 2011-10-05T12:26:23.71 55839.518330      g      -     -      -      -      -      -      -      -    -      0x1613   677.07  447.36  31.1611   679.26  448.76 31.165 0x00000011 ut111005g_templg/13/md01s062.g.ut111005g.437732_13_g.templg.367085_13.diff.cut.dcmp
 2011-10-18T13:41:10.46 55852.570260      g      -     -      -      -      -      -      -      -    -      0x1613  1074.86  476.88  31.1611  1037.89  460.38 31.123 0x00000011 ut111018g_templg/13/md01s062.g.ut111018g.474655_13_g.templg.367085_13.diff.cut.dcmp
 2011-10-21T11:18:26.50 55855.471140      g 23.531 0.308  0.666  0.309      -      -      -      -    2      0x1613  1127.44  320.12  31.1611  1094.19  310.51 31.129 0x00000011 ut111021g_templg/13/md01s062.g.ut111021g.478239_13_g.templg.367085_13.diff.cut.dcmp
