#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:02:31.40 55161.585086      g 22.398 0.106  0.206  0.148      -      -      -      -    1      0x1613  5363.87  523.88  31.7212  5573.89  541.94 31.763 0x00000011  ut091126f_templf/44/md04s047.g.ut091126f.648816_44_g.templf.452652_44.diff.cut.dcmp
 2009-12-11T15:25:56.15 55176.643011      g 22.282 0.087 -0.234  0.134      -      -      -      -    1      0x1613  5964.07  474.88  31.7212  5923.56  468.46 31.714 0x00000011  ut091211f_templf/44/md04s047.g.ut091211f.648882_44_g.templf.452652_44.diff.cut.dcmp
 2009-12-14T14:34:18.62 55179.607160      g 22.472 0.073  0.010  0.099      -      -      -      -    1      0x1613  5006.60  339.10  31.7212  5077.18  340.66 31.736 0x00000011  ut091214f_templf/44/md04s047.g.ut091214f.446765_44_g.templf.452652_44.diff.cut.dcmp
 2009-12-23T14:37:13.52 55188.609184      g 22.909 0.139 -0.682  0.293      -      -      -      -    1      0x1613  3348.51  420.63  31.7212  3319.34  415.83 31.712 0x00000011  ut091223f_templf/44/md04s047.g.ut091223f.648951_44_g.templf.452652_44.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g 23.559 0.234  0.049  0.236      -      -      -      -    2      0x1613  1840.23  396.88  31.7212  1874.10  403.81 31.741 0x00000011  ut091226f_templf/44/md04s047.g.ut091226f.446821_44_g.templf.452652_44.diff.cut.dcmp
 2010-01-10T13:32:44.16 55206.564400      g 23.869 0.194  0.777  0.222      -      -      -      -    1      0x1613  1383.04  247.16  31.7212  1430.59  255.31 31.758 0x00000011  ut100110f_templf/44/md04s047.g.ut100110f.446879_44_g.templf.452652_44.diff.cut.dcmp
 2010-01-16T12:34:44.67 55212.524128      g 23.656 0.135  0.863  0.157      -      -      -      -    1      0x1613  1683.31  207.79  31.7212  1651.06  203.24 31.700 0x00000011  ut100116f_templf/44/md04s047.g.ut100116f.649021_44_g.templf.452652_44.diff.cut.dcmp
 2010-01-19T13:15:47.23 55215.552630      g 23.683 0.180  0.636  0.182      -      -      -      -    2      0x1613  1640.90  271.91  31.7212  1638.33  271.06 31.720 0x00000011  ut100119f_templf/44/md04s047.g.ut100119f.446937_44_g.templf.452652_44.diff.cut.dcmp
 2010-01-25T11:13:11.41 55221.467493      g 23.060 0.205 -0.315  0.322      -      -      -      -    1      0x1613  2912.80  538.62  31.7212  2860.16  528.22 31.701 0x00000011  ut100125f_templf/44/md04s047.g.ut100125f.649142_44_g.templf.452652_44.diff.cut.dcmp
 2010-02-03T08:58:16.45 55230.373802      g      -     -      -      -      -      -      -      -    -      0x1613  1969.08 1815.40  31.7212  2042.22 1882.74 31.761 0x00000011  ut100203f_templf/44/md04s047.g.ut100203f.649207_44_g.templf.452652_44.diff.cut.dcmp
 2010-02-06T10:54:00.88 55233.454177      g 22.602 0.146  0.139  0.193      -      -      -      -    1      0x1613  4444.74  582.90  31.7212  4295.43  561.91 31.684 0x00000011  ut100206f_templf/44/md04s047.g.ut100206f.649269_44_g.templf.452652_44.diff.cut.dcmp
 2010-02-09T11:24:11.83 55236.475137      g 22.728 0.137 -0.375  0.243      -      -      -      -    1      0x1613  3956.26  492.67  31.7212  3761.53  467.13 31.666 0x00000011  ut100209f_templf/44/md04s047.g.ut100209f.649329_44_g.templf.452652_44.diff.cut.dcmp
 2010-02-12T11:31:16.79 55239.480055      g 22.386 0.101 -0.489  0.193      -      -      -      -    1      0x1613  5420.46  500.37  31.7212  5362.86  492.56 31.710 0x00000011  ut100212f_templf/44/md04s047.g.ut100212f.649389_44_g.templf.452652_44.diff.cut.dcmp
 2010-02-15T10:14:56.26 55242.427040      g 22.935 0.143  0.156  0.192      -      -      -      -    1      0x1613  3269.66  431.33  31.7212  3400.50  447.49 31.764 0x00000011  ut100215f_templf/44/md04s047.g.ut100215f.446995_44_g.templf.452652_44.diff.cut.dcmp
 2010-02-21T10:10:38.15 55248.424053      g 22.547 0.117 -0.859  0.291      -      -      -      -    1      0x1613  4675.79  499.63  31.7212  4632.50  493.14 31.711 0x00000011  ut100221f_templf/44/md04s047.g.ut100221f.649449_44_g.templf.452652_44.diff.cut.dcmp
 2010-03-20T09:28:42.73 55275.394939      g 22.729 0.139  0.167  0.175      -      -      -      -    1      0x1613  3953.51  497.31  31.7212  3910.41  490.56 31.709 0x00000011  ut100320f_templf/44/md04s047.g.ut100320f.649509_44_g.templf.452652_44.diff.cut.dcmp
 2010-04-16T08:25:37.42 55302.351128      g      -     -      -      -      -      -      -      -    -      0x1613  -973.84 1482.63  31.7212 -1059.27 1612.67 31.812 0x00000011  ut100416f_templf/44/md04s047.g.ut100416f.649622_44_g.templf.452652_44.diff.cut.dcmp
 2010-04-19T06:36:28.37 55305.275328      g      -     -      -      -      -      -      -      -    -      0x1613 -1731.93 1392.82  31.7212 -1714.95 1379.07 31.710 0x00000011  ut100419f_templf/44/md04s047.g.ut100419f.649682_44_g.templf.452652_44.diff.cut.dcmp
 2010-05-04T07:42:32.54 55320.321210      g      -     -      -      -      -      -      -      -    -      0x1613 -1269.37  428.64  31.7212 -1320.41  445.71 31.764 0x00000011  ut100504f_templf/44/md04s047.g.ut100504f.447055_44_g.templf.452652_44.diff.cut.dcmp
 2010-12-15T12:20:36.38 55545.514310      g      -     -      -      -      -      -      -      -    -      0x1613 -2917.70  341.41  31.7212 -2989.51  348.72 31.748 0x00000011  ut101215f_templf/44/md04s047.g.ut101215f.447111_44_g.templf.452652_44.diff.cut.dcmp
 2010-12-30T13:42:05.17 55560.570893      g      -     -      -      -      -      -      -      -    -      0x1613  -520.18  377.48  31.7212  -500.58  363.23 31.680 0x00000011  ut101230f_templf/44/md04s047.g.ut101230f.649742_44_g.templf.452652_44.diff.cut.dcmp
 2011-01-02T14:04:56.35 55563.586763      g      -     -      -      -      -      -      -      -    -      0x1613   -13.22  821.17  31.7212   -13.49  837.67 31.743 0x00000011  ut110102f_templf/44/md04s047.g.ut110102f.649799_44_g.templf.452652_44.diff.cut.dcmp
 2011-01-05T14:54:02.80 55566.620866      g      -     -      -      -      -      -      -      -    -      0x1613 -1652.28  728.82  31.7212 -1655.94  730.27 31.724 0x00000011  ut110105f_templf/44/md04s047.g.ut110105f.649856_44_g.templf.452652_44.diff.cut.dcmp
 2011-01-11T12:57:06.27 55572.539656      g      -     -      -      -      -      -      -      -    -      0x1613 -2053.19  693.21  31.7212 -2085.59  703.89 31.738 0x00000011  ut110111f_templf/44/md04s047.g.ut110111f.649915_44_g.templf.452652_44.diff.cut.dcmp
 2011-01-26T14:12:31.53 55587.592032      g      -     -      -      -      -      -      -      -    -      0x1613 -4468.34 1114.68  31.7212 -4413.53 1100.25 31.708 0x00000011  ut110126f_templf/44/md04s047.g.ut110126f.649975_44_g.templf.452652_44.diff.cut.dcmp
 2011-02-01T11:31:28.42 55593.480190      g      -     -      -      -      -      -      -      -    -      0x1613 -3966.89  513.21  31.7212 -4017.63  518.44 31.735 0x00000011  ut110201f_templf/44/md04s047.g.ut110201f.447167_44_g.templf.452652_44.diff.cut.dcmp
 2011-02-04T08:39:19.13 55596.360638      g      -     -      -      -      -      -      -      -    -      0x1613 -3286.20  351.00  31.7212 -3352.54  356.74 31.743 0x00000011  ut110204f_templf/44/md04s047.g.ut110204f.650095_44_g.templf.452652_44.diff.cut.dcmp
 2011-02-22T08:11:25.03 55614.341262      g      -     -      -      -      -      -      -      -    -      0x1613 -3474.33  889.66  31.7212 -3566.41  912.64 31.750 0x00000011  ut110222f_templf/44/md04s047.g.ut110222f.650215_44_g.templf.452652_44.diff.cut.dcmp
 2011-03-09T07:29:07.78 55629.311896      g      -     -      -      -      -      -      -      -    -      0x1613 -4416.59  464.15  31.7212 -4406.03  461.24 31.719 0x00000011  ut110309f_templf/44/md04s047.g.ut110309f.650275_44_g.templf.452652_44.diff.cut.dcmp
 2011-03-15T07:17:34.37 55635.303870      g      -     -      -      -      -      -      -      -    -      0x1613 -3430.36  687.42  31.7212 -3466.89  694.00 31.733 0x00000011  ut110315f_templf/44/md04s047.g.ut110315f.447224_44_g.templf.452652_44.diff.cut.dcmp
 2011-03-24T09:02:10.38 55644.376509      g      -     -      -      -      -      -      -      -    -      0x1613 -3404.37 1725.16  31.7212 -3442.84 1744.36 31.733 0x00000011  ut110324f_templf/44/md04s047.g.ut110324f.650394_44_g.templf.452652_44.diff.cut.dcmp
 2011-03-30T10:07:18.98 55650.421747      g      -     -      -      -      -      -      -      -    -      0x1613 -4479.67  425.07  31.7212 -4464.02  421.57 31.717 0x00000011  ut110330f_templf/44/md04s047.g.ut110330f.650452_44_g.templf.452652_44.diff.cut.dcmp
 2011-04-02T09:47:50.40 55653.408222      g      -     -      -      -      -      -      -      -    -      0x1613 -3415.35  397.94  31.7212 -3411.26  396.21 31.720 0x00000011  ut110402f_templf/44/md04s047.g.ut110402f.650512_44_g.templf.452652_44.diff.cut.dcmp
 2011-04-11T07:12:26.10 55662.300302      g      -     -      -      -      -      -      -      -    -      0x1613 -4189.82  594.02  31.7212 -4144.91  586.40 31.709 0x00000011  ut110411f_templf/44/md04s047.g.ut110411f.650572_44_g.templf.452652_44.diff.cut.dcmp
 2011-04-23T06:52:58.66 55674.286790      g      -     -      -      -      -      -      -      -    -      0x1613 -4318.11  336.42  31.7212 -4411.78  341.29 31.744 0x00000011  ut110423f_templf/44/md04s047.g.ut110423f.447283_44_g.templf.452652_44.diff.cut.dcmp
 2011-04-26T06:54:49.75 55677.288076      g      -     -      -      -      -      -      -      -    -      0x1613 -3866.41  664.33  31.7212 -3714.91  637.37 31.678 0x00000011  ut110426f_templf/44/md04s047.g.ut110426f.650632_44_g.templf.452652_44.diff.cut.dcmp
 2011-04-29T07:34:34.83 55680.315681      g      -     -      -      -      -      -      -      -    -      0x1613 -5188.60  456.35  31.7212 -5070.49  443.49 31.696 0x00000011  ut110429f_templf/44/md04s047.g.ut110429f.650692_44_g.templf.452652_44.diff.cut.dcmp
 2012-01-15T13:48:38.88 55941.575450      g 21.559 0.059 -0.279  0.096      -      -      -      -    1      0x1613 11608.48  644.75  31.7212 11829.74  647.86 31.742 0x00000011  ut120115f_templf/44/md04s047.g.ut120115f.622692_44_g.templf.452652_44.diff.cut.dcmp
 2012-01-21T13:19:32.82 55947.555241      g 21.778 0.060  0.236  0.086      -      -      -      -    1      0x1613  9487.58  533.17  31.7212  9600.98  532.18 31.734 0x00000011  ut120121f_templf/44/md04s047.g.ut120121f.646739_44_g.templf.452652_44.diff.cut.dcmp
 2012-01-23T13:15:26.69 55949.552392      g 21.785 0.096 -0.056  0.101      -      -      -      -    2      0x1613  9433.46  838.22  31.7212  9199.22  812.96 31.694 0x00000011  ut120123f_templf/44/md04s047.g.ut120123f.653358_44_g.templf.452652_44.diff.cut.dcmp
 2012-01-26T13:19:57.83 55952.555530      g 21.663 0.033 -0.064  0.063      -      -      -      -    1      0x1613 10553.58  332.64  31.7212 10654.17  321.01 31.732 0x00000011  ut120126f_templf/44/md04s047.g.ut120126f.676328_44_g.templf.452652_44.diff.cut.dcmp
 2012-01-29T14:23:14.90 55955.599478      g 21.754 0.077 -0.424  0.130      -      -      -      -    1      0x1613  9703.13  695.05  31.7212  9788.40  695.28 31.731 0x00000011  ut120129f_templf/44/md04s047.g.ut120129f.692425_44_g.templf.452652_44.diff.cut.dcmp
 2012-02-13T12:02:08.32 55970.501485      g 21.940 0.079 -0.073  0.112      -      -      -      -    1      0x1613  8177.18  596.88  31.7212  8239.93  596.61 31.730 0x00000011  ut120213f_templf/44/md04s047.g.ut120213f.737098_44_g.templf.452652_44.diff.cut.dcmp
 2012-02-16T11:49:54.11 55973.492987      g 22.001 0.066  0.028  0.095      -      -      -      -    1      0x1613  7727.85  472.50  31.7212  7648.54  462.26 31.710 0x00000011  ut120216f_templf/44/md04s047.g.ut120216f.747024_44_g.templf.452652_44.diff.cut.dcmp
 2012-02-27T07:55:35.82 55984.330276      g 21.957 0.059 -0.211  0.096      -      -      -      -    1      0x1613  8048.22  445.88  31.7212  8401.94  458.94 31.768 0x00000011  ut120227f_templf/44/md04s047.g.ut120227f.778277_44_g.templf.452652_44.diff.cut.dcmp
 2012-03-14T11:16:27.45 56000.469762      g 22.509 0.118  0.085  0.188      -      -      -      -    1      0x1613  4839.38  526.82  31.7212  5085.22  551.58 31.775 0x00000011  ut120314f_templf/44/md04s047.g.ut120314f.833984_44_g.templf.452652_44.diff.cut.dcmp
