#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:02:31.40 55161.585086      g      -     -      -      -      -      -      -      -    -      0x1613  -1890.07  728.29  31.7095  -1961.72  755.68 31.750 0x00000011  ut091126f_templf/43/md04s046.g.ut091126f.648815_43_g.templf.452651_43.diff.cut.dcmp
 2009-12-11T15:25:56.15 55176.643011      g      -     -      -      -      -      -      -      -    -      0x1613  -2101.69  592.86  31.7095  -2102.46  592.76 31.710 0x00000011  ut091211f_templf/43/md04s046.g.ut091211f.648881_43_g.templf.452651_43.diff.cut.dcmp
 2009-12-14T14:34:18.62 55179.607160      g      -     -      -      -      -      -      -      -    -      0x1613  -3608.42  520.45  31.7095  -3617.07  520.62 31.712 0x00000011  ut091214f_templf/43/md04s046.g.ut091214f.446764_43_g.templf.452651_43.diff.cut.dcmp
 2009-12-23T14:37:13.52 55188.609184      g      -     -      -      -      -      -      -      -    -      0x1613  -1808.84  539.99  31.7095  -1762.14  525.80 31.681 0x00000011  ut091223f_templf/43/md04s046.g.ut091223f.648950_43_g.templf.452651_43.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g      -     -      -      -      -      -      -      -    -      0x1613  -4878.60  626.43  31.7095  -4943.28  633.08 31.724 0x00000011  ut091226f_templf/43/md04s046.g.ut091226f.446820_43_g.templf.452651_43.diff.cut.dcmp
 2010-01-10T13:32:44.16 55206.564400      g      -     -      -      -      -      -      -      -    -      0x1613  -1359.66  304.32  31.7095  -1386.85  310.14 31.731 0x00000011  ut100110f_templf/43/md04s046.g.ut100110f.446878_43_g.templf.452651_43.diff.cut.dcmp
 2010-01-16T12:34:44.67 55212.524128      g      -     -      -      -      -      -      -      -    -      0x1613  -3027.80  344.94  31.7095  -2900.33  329.33 31.663 0x00000011  ut100116f_templf/43/md04s046.g.ut100116f.649020_43_g.templf.452651_43.diff.cut.dcmp
 2010-01-19T13:15:47.23 55215.552630      g      -     -      -      -      -      -      -      -    -      0x1613  -3970.95  364.21  31.7095  -3776.89  344.64 31.655 0x00000011  ut100119f_templf/43/md04s046.g.ut100119f.446936_43_g.templf.452651_43.diff.cut.dcmp
 2010-01-25T11:13:11.41 55221.467493      g      -     -      -      -      -      -      -      -    -      0x1613  -5906.69  683.74  31.7095  -5707.74  658.60 31.672 0x00000011  ut100125f_templf/43/md04s046.g.ut100125f.649141_43_g.templf.452651_43.diff.cut.dcmp
 2010-02-03T08:58:16.45 55230.373802      g      -     -      -      -      -      -      -      -    -      0x1613 -10340.33 2126.30  31.7095 -10519.97 2161.05 31.728 0x00000011  ut100203f_templf/43/md04s046.g.ut100203f.649206_43_g.templf.452651_43.diff.cut.dcmp
 2010-02-06T10:54:00.88 55233.454177      g      -     -      -      -      -      -      -      -    -      0x1613  -9968.81  757.99  31.7095  -9364.47  706.75 31.642 0x00000011  ut100206f_templf/43/md04s046.g.ut100206f.649268_43_g.templf.452651_43.diff.cut.dcmp
 2010-02-09T11:24:11.83 55236.475137      g      -     -      -      -      -      -      -      -    -      0x1613  -5410.88  482.40  31.7095  -4944.79  438.47 31.612 0x00000011  ut100209f_templf/43/md04s046.g.ut100209f.649328_43_g.templf.452651_43.diff.cut.dcmp
 2010-02-12T11:31:16.79 55239.480055      g      -     -      -      -      -      -      -      -    -      0x1613  -5134.33  564.78  31.7095  -4953.18  542.92 31.671 0x00000011  ut100212f_templf/43/md04s046.g.ut100212f.649388_43_g.templf.452651_43.diff.cut.dcmp
 2010-02-15T10:14:56.26 55242.427040      g      -     -      -      -      -      -      -      -    -      0x1613  -3974.68  644.44  31.7095  -3922.67  634.97 31.695 0x00000011  ut100215f_templf/43/md04s046.g.ut100215f.446994_43_g.templf.452651_43.diff.cut.dcmp
 2010-02-21T10:10:38.15 55248.424053      g      -     -      -      -      -      -      -      -    -      0x1613  -4110.68  551.75  31.7095  -4088.78  547.50 31.704 0x00000011  ut100221f_templf/43/md04s046.g.ut100221f.649448_43_g.templf.452651_43.diff.cut.dcmp
 2010-03-20T09:28:42.73 55275.394939      g      -     -      -      -      -      -      -      -    -      0x1613  -3948.72  514.35  31.7095  -3836.16  498.43 31.678 0x00000011  ut100320f_templf/43/md04s046.g.ut100320f.649508_43_g.templf.452651_43.diff.cut.dcmp
 2010-04-04T09:06:54.30 55290.379795      g      -     -      -      -      -      -      -      -    -      0x1613  -6402.07 2022.83  31.7095  -5775.11 1823.95 31.598 0x00000011  ut100404f_templf/43/md04s046.g.ut100404f.649564_43_g.templf.452651_43.diff.cut.dcmp
 2010-04-16T08:25:37.42 55302.351128      g      -     -      -      -      -      -      -      -    -      0x1613  -3677.85 1553.96  31.7095  -4059.51 1714.81 31.817 0x00000011  ut100416f_templf/43/md04s046.g.ut100416f.649621_43_g.templf.452651_43.diff.cut.dcmp
