#               DATEOBS        MJDim filter      m    dm     gr gr_err ri ri_err iz iz_err cflg photcodehex     flux_c dflux_c ZPTMAG_c       flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T12:32:21.51 55161.522471      g 20.959 0.135  1.668  0.142  -      -  -      -    1      0x1613   17689.87 2206.68  31.5786   16409.10 2041.27 31.497 0x00000011 ut091126f_templf/31/md03s046.g.ut091126f.1958070_31_g.templf.441212_31.diff.cut.dcmp
 2009-12-08T12:03:41.06 55173.502559      g 21.310 0.111      -      -  -      -  -      -    -      0x1613   12810.89 1311.27  31.5786   13545.01 1380.74 31.639 0x00000011 ut091208f_templf/31/md03s046.g.ut091208f.1958140_31_g.templf.441212_31.diff.cut.dcmp
 2009-12-14T12:32:19.28 55179.522445      g      -     -      -      -  -      -  -      -    -      0x1613    3508.87 1194.88  31.5786    3634.52 1237.21 31.617 0x00000011 ut091214f_templf/31/md03s046.g.ut091214f.1958214_31_g.templf.441212_31.diff.cut.dcmp
 2009-12-17T11:47:42.20 55182.491461      g 20.409 0.050  0.604  0.065  -      -  -      -    1      0x1613   29368.14 1387.78  31.5786   29760.24 1379.09 31.593 0x00000011 ut091217f_templf/31/md03s046.g.ut091217f.1958283_31_g.templf.441212_31.diff.cut.dcmp
 2009-12-23T13:13:29.48 55188.551036      g 22.296 0.217  0.369  0.275  -      -  -      -    1      0x1613    5165.49 1026.09  31.5786    4895.89  971.48 31.520 0x00000011 ut091223f_templf/31/md03s046.g.ut091223f.1958356_31_g.templf.441212_31.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g 21.520 0.083      -      -  -      -  -      -    -      0x1613   10550.21  811.42  31.5786   10446.75  797.63 31.568 0x00000011  ut091226f_templf/31/md03s046.g.ut091226f.440460_31_g.templf.441212_31.diff.cut.dcmp
 2010-01-07T10:34:28.54 55203.440608      g      -     -      -      -  -      -  -      -    -      0x1613    3743.35 1300.93  31.5786    3661.85 1272.15 31.555 0x00000011 ut100107f_templf/31/md03s046.g.ut100107f.1958428_31_g.templf.441212_31.diff.cut.dcmp
 2010-01-10T12:00:56.16 55206.500650      g      -     -      -      -  -      -  -      -    -      0x1613   -5413.00  582.36  31.5786   -5478.71  587.24 31.592 0x00000011  ut100110f_templf/31/md03s046.g.ut100110f.440517_31_g.templf.441212_31.diff.cut.dcmp
 2010-01-16T10:25:00.94 55212.434039      g      -     -      -      -  -      -  -      -    -      0x1613  -12238.34 1057.82  31.5786  -12036.01 1034.35 31.561 0x00000011 ut100116f_templf/31/md03s046.g.ut100116f.1958501_31_g.templf.441212_31.diff.cut.dcmp
 2010-01-19T09:46:23.81 55215.407220      g      -     -      -      -  -      -  -      -    -      0x1613  -37369.21  667.29  31.5786  -37819.34  577.59 31.592 0x00000011  ut100119f_templf/31/md03s046.g.ut100119f.440576_31_g.templf.441212_31.diff.cut.dcmp
 2010-01-25T10:31:04.37 55221.438245      g      -     -      -      -  -      -  -      -    -      0x1613  -37095.19 1270.74  31.5786  -37088.36 1223.28 31.578 0x00000011 ut100125f_templf/31/md03s046.g.ut100125f.1958567_31_g.templf.441212_31.diff.cut.dcmp
 2010-02-03T10:51:09.51 55230.452193      g 20.367 0.058  0.530  0.074  -      -  -      -    1      0x1613   30514.09 1655.25  31.5786   29731.75 1589.18 31.550 0x00000011 ut100203f_templf/31/md03s046.g.ut100203f.1958633_31_g.templf.441212_31.diff.cut.dcmp
 2010-02-06T09:45:03.19 55233.406287      g 21.139 0.085  0.851  0.097  -      -  -      -    1      0x1613   14992.72 1171.40  31.5786   14415.86 1118.40 31.536 0x00000011 ut100206f_templf/31/md03s046.g.ut100206f.1958698_31_g.templf.441212_31.diff.cut.dcmp
 2010-02-09T07:51:12.21 55236.327225      g      -     -      -      -  -      -  -      -    -      0x1613    -388.33 1331.99  31.5786    -403.05 1382.48 31.619 0x00000011 ut100209f_templf/31/md03s046.g.ut100209f.1958758_31_g.templf.441212_31.diff.cut.dcmp
 2010-02-12T09:36:46.03 55239.400533      g 20.255 0.027      -      -  -      -  -      -    -      0x1613   33840.04  884.23  31.5786   33412.65  816.49 31.565 0x00000011 ut100212f_templf/31/md03s046.g.ut100212f.1958818_31_g.templf.441212_31.diff.cut.dcmp
 2010-02-15T08:01:23.52 55242.334300      g 21.043 0.053  1.536  0.063  -      -  -      -    1      0x1613   16373.88  809.99  31.5786   17143.98  833.12 31.628 0x00000011  ut100215f_templf/31/md03s046.g.ut100215f.440635_31_g.templf.441212_31.diff.cut.dcmp
 2010-02-21T09:26:46.54 55248.393594      g 21.188 0.065 -0.710  0.158  -      -  -      -    1      0x1613   14331.93  861.84  31.5786   14599.73  867.49 31.599 0x00000011 ut100221f_templf/31/md03s046.g.ut100221f.1958878_31_g.templf.441212_31.diff.cut.dcmp
 2010-03-20T08:45:00.12 55275.364585      g 20.315 0.036  0.831  0.050  -      -  -      -    1      0x1613   32018.79 1092.34  31.5786   33128.74 1087.84 31.616 0x00000011 ut100320f_templf/31/md03s046.g.ut100320f.1958938_31_g.templf.441212_31.diff.cut.dcmp
 2010-10-10T14:05:20.27 55479.587040      g      -     -      -      -  -      -  -      -    -      0x1613    5367.43 2395.97  31.5786    5020.26 2240.52 31.506 0x00000011 ut101010f_templf/31/md03s046.g.ut101010f.1958997_31_g.templf.441212_31.diff.cut.dcmp
 2010-10-13T14:36:18.72 55482.608550      g 21.034 0.104  1.657  0.110  -      -  -      -    1      0x1613   16511.92 1582.93  31.5786   16735.46 1596.87 31.593 0x00000011  ut101013f_templf/31/md03s046.g.ut101013f.440693_31_g.templf.441212_31.diff.cut.dcmp
 2010-10-16T14:30:11.23 55485.604297      g 20.084 0.032  0.637  0.048  -      -  -      -    1      0x1613   39616.97 1231.67  31.5786   39932.02 1185.21 31.587 0x00000011 ut101016f_templf/31/md03s046.g.ut101016f.1959056_31_g.templf.441212_31.diff.cut.dcmp
 2010-11-03T13:58:35.04 55503.582350      g      -     -      -      -  -      -  -      -    -      0x1613   -3520.40  754.99  31.5786   -3543.17  759.17 31.586 0x00000011  ut101103f_templf/31/md03s046.g.ut101103f.440752_31_g.templf.441212_31.diff.cut.dcmp
 2010-11-09T14:33:56.20 55509.606900      g 20.203 0.031  1.052  0.045  -      -  -      -    1      0x1613   35503.97 1050.44  31.5786   33370.05  937.78 31.511 0x00000011 ut101109f_templf/31/md03s046.g.ut101109f.1959115_31_g.templf.441212_31.diff.cut.dcmp
 2010-11-15T14:12:58.10 55515.592339      g 22.194 0.181  1.848  0.187  -      -  -      -    1      0x1613    5674.65  939.35  31.5786    5434.74  898.23 31.532 0x00000011 ut101115f_templf/31/md03s046.g.ut101115f.1959172_31_g.templf.441212_31.diff.cut.dcmp
 2010-11-18T14:05:38.40 55518.587250      g      -     -      -      -  -      -  -      -    -      0x1613     322.42  859.86  31.5786     328.96  877.29 31.600 0x00000011  ut101118f_templf/31/md03s046.g.ut101118f.440809_31_g.templf.441212_31.diff.cut.dcmp
 2010-11-30T14:04:39.56 55530.586569      g      -     -      -      -  -      -  -      -    -      0x1613    -790.43 1123.75  31.5786    -804.61 1143.88 31.598 0x00000011 ut101130f_templf/31/md03s046.g.ut101130f.1959228_31_g.templf.441212_31.diff.cut.dcmp
 2010-12-15T11:31:25.30 55545.480154      g 21.841 0.144  1.951  0.149  -      -  -      -    1      0x1613    7851.93 1034.17  31.5786    7715.01 1013.63 31.559 0x00000011 ut101215f_templf/31/md03s046.g.ut101215f.1959285_31_g.templf.441212_31.diff.cut.dcmp
 2010-12-18T14:46:57.02 55548.615938      g 21.483 0.113  1.487  0.117  -      -  -      -    2      0x1613   10916.80 1131.76  31.5786   10679.12 1102.70 31.555 0x00000011 ut101218f_templf/31/md03s046.g.ut101218f.1959344_31_g.templf.441212_31.diff.cut.dcmp
 2010-12-30T09:24:48.24 55560.392225      g      -     -      -      -  -      -  -      -    -      0x1613  -16348.86 1229.17  31.5786  -17152.50 1279.79 31.631 0x00000011 ut101230f_templf/31/md03s046.g.ut101230f.1959403_31_g.templf.441212_31.diff.cut.dcmp
 2011-01-02T13:25:56.47 55563.559681      g      -     -      -      -  -      -  -      -    -      0x1613 -149122.97 1969.96  31.5786 -148041.86 1395.81 31.571 0x00000011 ut110102f_templf/31/md03s046.g.ut110102f.1959462_31_g.templf.441212_31.diff.cut.dcmp
 2011-01-05T13:56:18.60 55566.580771      g 20.581 0.054  0.993  0.066  -      -  -      -    1      0x1613   25062.82 1264.96  31.5786   23132.89 1147.77 31.492 0x00000011 ut110105f_templf/31/md03s046.g.ut110105f.1959521_31_g.templf.441212_31.diff.cut.dcmp
 2011-01-23T11:26:07.15 55584.476472      g 22.341 0.241  2.897  0.243  -      -  -      -    2      0x1613    4956.26 1095.50  31.5786    4792.85 1058.45 31.542 0x00000011 ut110123f_templf/31/md03s046.g.ut110123f.1959580_31_g.templf.441212_31.diff.cut.dcmp
 2011-01-26T13:38:35.98 55587.568472      g 22.137 0.278  2.719  0.280  -      -  -      -    2      0x1613    5978.40 1518.54  31.5786    5836.94 1481.62 31.553 0x00000011 ut110126f_templf/31/md03s046.g.ut110126f.1959640_31_g.templf.441212_31.diff.cut.dcmp
 2011-01-29T12:55:51.46 55590.538790      g      -     -      -      -  -      -  -      -    -      0x1613   -1887.18  644.26  31.5786   -1879.89  641.54 31.574 0x00000011  ut110129f_templf/31/md03s046.g.ut110129f.440866_31_g.templf.441212_31.diff.cut.dcmp
 2011-02-01T13:20:39.30 55593.556010      g 21.308 0.087  1.938  0.093  -      -  -      -    1      0x1613   12831.20 1033.37  31.5786   12712.39 1017.02 31.569 0x00000011 ut110201f_templf/31/md03s046.g.ut110201f.1959697_31_g.templf.441212_31.diff.cut.dcmp
 2011-02-04T07:56:37.54 55596.330990      g 20.068 0.036  1.032  0.049  -      -  -      -    1      0x1613   40208.15 1367.61  31.5786   40027.10 1310.11 31.574 0x00000011 ut110204f_templf/31/md03s046.g.ut110204f.1959755_31_g.templf.441212_31.diff.cut.dcmp
 2011-02-10T07:22:02.87 55602.306978      g 22.084 0.250  0.261  0.288  -      -  -      -    1      0x1613    6277.13 1429.90  31.5786    6032.83 1373.12 31.535 0x00000011 ut110210f_templf/31/md03s046.g.ut110210f.1959815_31_g.templf.441212_31.diff.cut.dcmp
 2011-02-22T08:46:39.05 55614.365730      g      -     -      -      -  -      -  -      -    -      0x1613   -4192.40 7075.18  31.5786   -4366.99 7369.72 31.623 0x00000011 ut110222f_templf/31/md03s046.g.ut110222f.1959875_31_g.templf.441212_31.diff.cut.dcmp
 2011-03-12T06:07:43.86 55632.255369      g      -     -      -      -  -      -  -      -    -      0x1613    -106.13 1043.23  31.5786    -104.03 1022.59 31.557 0x00000011 ut110312f_templf/31/md03s046.g.ut110312f.1959932_31_g.templf.441212_31.diff.cut.dcmp
 2011-03-30T08:08:36.85 55650.339315      g      -     -      -      -  -      -  -      -    -      0x1613 -173254.69 1784.07  31.5786 -166281.91  751.41 31.534 0x00000011 ut110330f_templf/31/md03s046.g.ut110330f.1959992_31_g.templf.441212_31.diff.cut.dcmp
 2011-04-02T06:05:39.29 55653.253927      g 20.776 0.042  0.814  0.058  -      -  -      -    1      0x1613   20949.98  837.42  31.5786   20541.10  798.77 31.557 0x00000011 ut110402f_templf/31/md03s046.g.ut110402f.1960052_31_g.templf.441212_31.diff.cut.dcmp
 2011-04-14T06:11:23.07 55665.257906      g 21.281 0.111  1.054  0.121  -      -  -      -    1      0x1613   13150.60 1341.38  31.5786   13755.16 1397.26 31.627 0x00000011 ut110414f_templf/31/md03s046.g.ut110414f.1960112_31_g.templf.441212_31.diff.cut.dcmp
 2011-11-24T14:41:28.90 55889.612140      g 20.340 0.040  0.326  0.050  -      -  -      -    2      0x1613   31293.32 1200.28  31.5786   30042.19 1118.26 31.534 0x00000011  ut111124f_templf/31/md03s046.g.ut111124f.543283_31_g.templf.441212_31.diff.cut.dcmp
 2011-11-30T14:22:05.09 55895.598670      g 22.455 0.261  2.590  0.264  -      -  -      -    1      0x1613    4460.31 1071.13  31.5786    4358.78 1045.97 31.554 0x00000011  ut111130f_templf/31/md03s046.g.ut111130f.551002_31_g.templf.441212_31.diff.cut.dcmp
 2011-12-16T14:25:11.71 55911.600830      g      -     -      -      -  -      -  -      -    -      0x1613    2526.21 1428.34  31.5786    2473.03 1398.08 31.555 0x00000011  ut111216f_templf/31/md03s046.g.ut111216f.559411_31_g.templf.441212_31.diff.cut.dcmp
 2012-01-21T10:01:21.50 55947.417610      g 20.852 0.060  1.658  0.069  -      -  -      -    1      0x1613   19519.74 1092.75  31.5786   19855.19 1096.24 31.597 0x00000011  ut120121f_templf/31/md03s046.g.ut120121f.645624_31_g.templf.441212_31.diff.cut.dcmp
 2012-01-29T07:46:57.64 55955.324278      g 22.733 0.358  3.493  0.360  -      -  -      -    1      0x1613    3453.21 1139.49  31.5786    3458.94 1140.93 31.580 0x00000011  ut120129f_templf/31/md03s046.g.ut120129f.692313_31_g.templf.441212_31.diff.cut.dcmp
 2012-02-13T10:03:30.26 55970.419100      g 19.868 0.024  1.085  0.041  -      -  -      -    1      0x1613   48339.88 1138.96  31.5786   46754.73 1013.11 31.542 0x00000011  ut120213f_templf/31/md03s046.g.ut120213f.736984_31_g.templf.441212_31.diff.cut.dcmp
 2012-02-21T07:35:45.84 55978.316503      g 20.017 0.056  0.088  0.064  -      -  -      -    2      0x1613   42118.59 2193.67  31.5786   41319.38 2117.81 31.558 0x00000011  ut120221f_templf/31/md03s046.g.ut120221f.754062_31_g.templf.441212_31.diff.cut.dcmp
 2012-02-27T07:18:46.29 55984.304702      g 19.861 0.026  0.806  0.042  -      -  -      -    1      0x1613   48664.32 1258.60  31.5786   49404.97 1193.18 31.595 0x00000011  ut120227f_templf/31/md03s046.g.ut120227f.778162_31_g.templf.441212_31.diff.cut.dcmp
 2012-03-14T09:54:45.81 56000.413030      g      -     -      -      -  -      -  -      -    -      0x1613   -1679.76  901.13  31.5786   -1660.53  890.68 31.566 0x00000011  ut120314f_templf/31/md03s046.g.ut120314f.833758_31_g.templf.441212_31.diff.cut.dcmp
