#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                             cmpfile
 2009-05-29T09:21:56.74 54980.390240      g      -     -      -      -      -      -      -      -    -      0x1613  -237.75  365.51  31.4131  -251.72  386.98 31.475 0x00000011 ut090529h_templh/61/md06s068.g.ut090529h.546719_61_g.templh.569838_61.diff.cut.dcmp
 2010-01-19T14:45:59.33 55215.615270      g 23.093 0.070  0.326  0.098      -      -      -      -    1      0x1613  2127.62  137.83  31.4131  2106.56  135.07 31.402 0x00000011 ut100119h_templh/61/md06s068.g.ut100119h.546834_61_g.templh.569838_61.diff.cut.dcmp
 2010-02-21T12:36:22.46 55248.525260      g 23.237 0.139  0.444  0.169      -      -      -      -    1      0x1613  1863.20  239.77  31.4131  1937.76  248.72 31.456 0x00000011 ut100221h_templh/61/md06s068.g.ut100221h.546892_61_g.templh.569838_61.diff.cut.dcmp
 2010-02-24T12:13:02.78 55251.509060      g      -     -      -      -      -      -      -      -    -      0x1613  1330.92  672.27  31.4131  1353.67  683.65 31.431 0x00000011 ut100224h_templh/61/md06s068.g.ut100224h.546950_61_g.templh.569838_61.diff.cut.dcmp
 2010-04-16T10:39:24.19 55302.444030      g      -     -      -      -      -      -      -      -    -      0x1613   954.60  588.13  31.4131  1030.44  634.78 31.496 0x00000011 ut100416h_templh/61/md06s068.g.ut100416h.547007_61_g.templh.569838_61.diff.cut.dcmp
 2010-06-15T06:22:45.12 55362.265800      g      -     -      -      -      -      -      -      -    -      0x1613    -0.91  401.23  31.4131    -0.91  401.41 31.414 0x00000011 ut100615h_templh/61/md06s068.g.ut100615h.547065_61_g.templh.569838_61.diff.cut.dcmp
 2011-02-10T12:08:14.21 55602.505720      g      -     -      -      -      -      -      -      -    -      0x1613  -984.67  247.12  31.4131 -1002.15  251.33 31.432 0x00000011 ut110210h_templh/61/md06s068.g.ut110210h.547124_61_g.templh.569838_61.diff.cut.dcmp
 2011-04-02T12:26:21.98 55653.518310      g      -     -      -      -      -      -      -      -    -      0x1613 -1965.68  343.28  31.4131 -2003.33  349.36 31.434 0x00000011 ut110402h_templh/61/md06s068.g.ut110402h.547182_61_g.templh.569838_61.diff.cut.dcmp
 2011-05-11T08:24:34.56 55692.350400      g      -     -      -      -      -      -      -      -    -      0x1613 -1112.14  371.78  31.4131 -1058.96  353.87 31.360 0x00000011 ut110511h_templh/61/md06s068.g.ut110511h.547240_61_g.templh.569838_61.diff.cut.dcmp
 2011-06-10T07:07:12.29 55722.296670      g      -     -      -      -      -      -      -      -    -      0x1613 -2903.38 1069.28  31.4131 -2797.33 1029.90 31.373 0x00000011 ut110610h_templh/61/md06s068.g.ut110610h.547297_61_g.templh.569838_61.diff.cut.dcmp
 2012-01-21T15:11:26.02 55947.632940      g 22.793 0.122  0.478  0.149      -      -      -      -    1      0x1613  2805.89  315.65  31.4131  2871.25  321.91 31.438 0x00000011 ut120121h_templh/61/md06s068.g.ut120121h.646979_61_g.templh.569838_61.diff.cut.dcmp
 2012-01-23T15:06:49.80 55949.629743      g 23.278 0.279  0.868  0.281      -      -      -      -    2      0x1613  1795.14  461.14  31.4131  1758.48  451.43 31.391 0x00000011 ut120123h_templh/61/md06s068.g.ut120123h.653598_61_g.templh.569838_61.diff.cut.dcmp
 2012-01-26T15:13:14.57 55952.634196      g 22.761 0.098  0.209  0.136      -      -      -      -    1      0x1613  2890.11  263.13  31.4131  2822.24  255.62 31.387 0x00000011 ut120126h_templh/61/md06s068.g.ut120126h.676682_61_g.templh.569838_61.diff.cut.dcmp
 2012-01-29T15:40:09.95 55955.652893      g 22.879 0.137  0.338  0.140      -      -      -      -    2      0x1613  2591.91  327.15  31.4131  2451.21  308.56 31.352 0x00000011 ut120129h_templh/61/md06s068.g.ut120129h.692664_61_g.templh.569838_61.diff.cut.dcmp
 2012-02-13T15:01:48.44 55970.626255      g 22.478 0.130 -0.008  0.186      -      -      -      -    1      0x1613  3750.08  451.60  31.4131  3655.95  438.96 31.386 0x00000011 ut120213h_templh/61/md06s068.g.ut120213h.737541_61_g.templh.569838_61.diff.cut.dcmp
 2012-02-16T15:01:28.78 55973.626028      g 22.459 0.141  0.181  0.191      -      -      -      -    1      0x1613  3817.09  497.43  31.4131  3672.93  477.44 31.371 0x00000011 ut120216h_templh/61/md06s068.g.ut120216h.748276_61_g.templh.569838_61.diff.cut.dcmp
 2012-02-24T14:07:38.72 55981.588643      g 22.199 0.065  0.212  0.095      -      -      -      -    1      0x1613  4848.14  292.48  31.4131  4932.36  294.04 31.432 0x00000011 ut120224h_templh/61/md06s068.g.ut120224h.768161_61_g.templh.569838_61.diff.cut.dcmp
 2012-02-27T14:25:33.99 55984.601088      g 22.164 0.072  0.016  0.115      -      -      -      -    1      0x1613  5007.05  333.56  31.4131  5029.70  331.82 31.418 0x00000011 ut120227h_templh/61/md06s068.g.ut120227h.778524_61_g.templh.569838_61.diff.cut.dcmp
 2012-03-14T12:30:03.01 56000.520868      g 22.167 0.087  0.197  0.109      -      -      -      -    1      0x1613  4992.61  402.48  31.4131  4722.45  378.19 31.353 0x00000011 ut120314h_templh/61/md06s068.g.ut120314h.834110_61_g.templh.569838_61.diff.cut.dcmp
 2012-03-20T12:39:17.17 56006.527282      g 22.262 0.081  0.238  0.112      -      -      -      -    1      0x1613  4577.13  344.76  31.4131  4622.46  345.54 31.424 0x00000011 ut120320h_templh/61/md06s068.g.ut120320h.840209_61_g.templh.569838_61.diff.cut.dcmp
 2012-04-12T11:27:50.21 56029.477664      g 22.371 0.116  0.168  0.152      -      -      -      -    1      0x1613  4137.57  443.23  31.4131  4034.46  430.57 31.386 0x00000011 ut120412h_templh/61/md06s068.g.ut120412h.857406_61_g.templh.569838_61.diff.cut.dcmp
 2012-04-15T07:41:19.86 56032.320369      g 22.421 0.088  0.286  0.118      -      -      -      -    1      0x1613  3950.65  321.57  31.4131  3993.45  322.95 31.425 0x00000011 ut120415h_templh/61/md06s068.g.ut120415h.860219_61_g.templh.569838_61.diff.cut.dcmp
 2012-04-20T09:20:54.39 56037.389518      g 22.380 0.083  0.196  0.088      -      -      -      -    2      0x1613  4104.31  315.02  31.4131  3892.96  296.62 31.356 0x00000011 ut120420h_templh/61/md06s068.g.ut120420h.866045_61_g.templh.569838_61.diff.cut.dcmp
 2012-04-23T07:51:38.28 56040.327526      g 22.484 0.111  0.272  0.140      -      -      -      -    1      0x1613  3728.58  383.43  31.4131  3835.87  392.86 31.444 0x00000011 ut120423h_templh/61/md06s068.g.ut120423h.875565_61_g.templh.569838_61.diff.cut.dcmp
 2012-04-26T07:20:00.22 56043.305558      g 22.513 0.085  0.164  0.108      -      -      -      -    1      0x1613  3631.33  286.79  31.4131  3746.15  293.82 31.447 0x00000011 ut120426h_templh/61/md06s068.g.ut120426h.885262_61_g.templh.569838_61.diff.cut.dcmp
