#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-29T09:21:56.74 54980.390240      g 23.060 0.123 -0.107  0.127      -      -      -      -    2      0x1613  2554.33  290.18  31.5784  2789.70  315.86 31.674 0x00000011  ut090529i_templi/62/md06s076.g.ut090529i.546725_62_g.templi.569844_62.diff.cut.dcmp
 2009-06-11T08:07:40.99 54993.338669      g 23.915 0.335  0.557  0.398      -      -      -      -    1      0x1613  1162.42  351.62  31.5784  1226.32  370.78 31.637 0x00000011  ut090611i_templi/62/md06s076.g.ut090611i.624384_62_g.templi.569844_62.diff.cut.dcmp
 2009-06-14T07:18:14.19 54996.304331      g 22.854 0.126 -0.657  0.264      -      -      -      -    1      0x1613  3087.31  355.72  31.5784  3035.99  348.68 31.560 0x00000011  ut090614i_templi/62/md06s076.g.ut090614i.624444_62_g.templi.569844_62.diff.cut.dcmp
 2009-06-20T06:40:22.06 55002.278033      g 22.935 0.276 -0.573  0.278      -      -      -      -    2      0x1613  2866.66  719.02  31.5784  2796.25  700.88 31.551 0x00000011  ut090620i_templi/62/md06s076.g.ut090620i.624560_62_g.templi.569844_62.diff.cut.dcmp
 2010-01-07T14:43:16.16 55203.613381      g 23.986 0.308  0.568  0.309      -      -      -      -    2      0x1613  1088.98  301.56  31.5784  1091.49  302.09 31.581 0x00000011  ut100107i_templi/62/md06s076.g.ut100107i.624629_62_g.templi.569844_62.diff.cut.dcmp
 2010-01-13T15:15:06.86 55209.635496      g 23.315 0.182 -0.100  0.261      -      -      -      -    1      0x1613  2020.41  331.67  31.5784  2012.79  329.89 31.574 0x00000011  ut100113i_templi/62/md06s076.g.ut100113i.624699_62_g.templi.569844_62.diff.cut.dcmp
 2010-01-16T15:13:52.46 55212.634635      g 24.185 0.319  0.226  0.402      -      -      -      -    1      0x1613   906.21  258.91  31.5784   891.80  254.66 31.561 0x00000011  ut100116i_templi/62/md06s076.g.ut100116i.624768_62_g.templi.569844_62.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g 24.228 0.209 -0.320  0.340      -      -      -      -    1      0x1613   871.16  167.55  31.5784   894.41  171.82 31.607 0x00000011  ut100119i_templi/62/md06s076.g.ut100119i.546840_62_g.templi.569844_62.diff.cut.dcmp
 2010-01-25T13:24:56.89 55221.558992      g 23.721 0.280 -0.809  0.282      -      -      -      -    2      0x1613  1389.87  342.13  31.5784  1375.48  338.35 31.567 0x00000011  ut100125i_templi/62/md06s076.g.ut100125i.624828_62_g.templi.569844_62.diff.cut.dcmp
 2010-02-03T14:27:18.16 55230.602294      g      -     -      -      -      -      -      -      -    -      0x1613  1200.83  926.11  31.5784  1286.71  992.27 31.653 0x00000011  ut100203i_templi/62/md06s076.g.ut100203i.624897_62_g.templi.569844_62.diff.cut.dcmp
