#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T12:32:21.51 55161.522471      g      -     -  -      -     -      -      -      -    -      0x1613  -554.39   713.42  31.5593  -537.50   691.66 31.526 0x00000011 ut091126c_templc/33/md03s023.g.ut091126c.1958049_33_g.templc.440431_33.diff.cut.dcmp
 2009-12-08T12:03:41.06 55173.502559      g      -     -  -      -     -      -      -      -    -      0x1613   -94.03   376.03  31.5593   -98.60   394.29 31.611 0x00000011 ut091208c_templc/33/md03s023.g.ut091208c.1958118_33_g.templc.440431_33.diff.cut.dcmp
 2009-12-14T12:32:19.28 55179.522445      g      -     -  -      -     -      -      -      -    -      0x1613  -827.68   301.63  31.5593  -814.60   296.77 31.542 0x00000011 ut091214c_templc/33/md03s023.g.ut091214c.1958193_33_g.templc.440431_33.diff.cut.dcmp
 2009-12-17T11:47:42.20 55182.491461      g      -     -  -      -     -      -      -      -    -      0x1613  -616.09   295.03  31.5593  -592.33   283.60 31.517 0x00000011 ut091217c_templc/33/md03s023.g.ut091217c.1958263_33_g.templc.440431_33.diff.cut.dcmp
 2009-12-23T13:13:29.48 55188.551036      g      -     -  -      -     -      -      -      -    -      0x1613  -106.17   513.33  31.5593  -107.01   517.41 31.568 0x00000011 ut091223c_templc/33/md03s023.g.ut091223c.1958335_33_g.templc.440431_33.diff.cut.dcmp
 2009-12-26T11:36:04.03 55191.483380      g      -     -  -      -     -      -      -      -    -      0x1613  -144.01   424.58  31.5593  -142.72   420.76 31.549 0x00000011  ut091226c_templc/33/md03s023.g.ut091226c.440442_33_g.templc.440431_33.diff.cut.dcmp
 2010-01-07T10:34:28.54 55203.440608      g      -     -  -      -     -      -      -      -    -      0x1613   120.79   331.52  31.5593   118.90   326.34 31.542 0x00000011 ut100107c_templc/33/md03s023.g.ut100107c.1958407_33_g.templc.440431_33.diff.cut.dcmp
 2010-01-10T12:00:56.16 55206.500650      g      -     -  -      -     -      -      -      -    -      0x1613  -331.73   255.98  31.5593  -330.63   255.11 31.556 0x00000011  ut100110c_templc/33/md03s023.g.ut100110c.440497_33_g.templc.440431_33.diff.cut.dcmp
 2010-01-16T10:25:00.94 55212.434039      g      -     -  -      -     -      -      -      -    -      0x1613   113.95   248.90  31.5593   112.66   246.07 31.547 0x00000011 ut100116c_templc/33/md03s023.g.ut100116c.1958480_33_g.templc.440431_33.diff.cut.dcmp
 2010-01-19T09:46:23.81 55215.407220      g      -     -  -      -     -      -      -      -    -      0x1613    16.01   187.59  31.5593    16.40   192.10 31.585 0x00000011  ut100119c_templc/33/md03s023.g.ut100119c.440557_33_g.templc.440431_33.diff.cut.dcmp
 2010-01-25T10:31:04.37 55221.438245      g      -     -  -      -     -      -      -      -    -      0x1613   181.21   626.76  31.5593   174.75   604.42 31.520 0x00000011 ut100125c_templc/33/md03s023.g.ut100125c.1958548_33_g.templc.440431_33.diff.cut.dcmp
 2010-02-03T10:51:09.51 55230.452193      g      -     -  -      -     -      -      -      -    -      0x1613   -13.58   797.68  31.5593   -13.51   793.36 31.553 0x00000011 ut100203c_templc/33/md03s023.g.ut100203c.1958612_33_g.templc.440431_33.diff.cut.dcmp
 2010-02-06T09:45:03.19 55233.406287      g      -     -  -      -     -      -      -      -    -      0x1613  -619.37   597.94  31.5593  -675.38   651.99 31.653 0x00000011 ut100206c_templc/33/md03s023.g.ut100206c.1958679_33_g.templc.440431_33.diff.cut.dcmp
 2010-02-09T07:51:12.21 55236.327225      g      -     -  -      -     -      -      -      -    -      0x1613  1086.60   566.40  31.5593  1034.83   539.33 31.506 0x00000011 ut100209c_templc/33/md03s023.g.ut100209c.1958739_33_g.templc.440431_33.diff.cut.dcmp
 2010-02-12T09:36:46.03 55239.400533      g      -     -  -      -     -      -      -      -    -      0x1613   -18.37   412.03  31.5593   -19.20   430.69 31.607 0x00000011 ut100212c_templc/33/md03s023.g.ut100212c.1958799_33_g.templc.440431_33.diff.cut.dcmp
