#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-29T09:21:56.74 54980.390240      g      -     -      -      -      -      -      -      -    -      0x1613  1109.79  379.44  31.5514  1218.77  416.55 31.653 0x00000011  ut090529f_templf/62/md06s052.g.ut090529f.546705_62_g.templf.569824_62.diff.cut.dcmp
 2009-06-11T08:07:40.99 54993.338669      g      -     -      -      -      -      -      -      -    -      0x1613   340.12  335.31  31.5514   335.14  330.39 31.535 0x00000011  ut090611f_templf/62/md06s052.g.ut090611f.624364_62_g.templf.569824_62.diff.cut.dcmp
 2009-06-14T07:18:14.19 54996.304331      g      -     -      -      -      -      -      -      -    -      0x1613   446.79  268.82  31.5514   448.48  269.81 31.555 0x00000011  ut090614f_templf/62/md06s052.g.ut090614f.624424_62_g.templf.569824_62.diff.cut.dcmp
 2009-06-17T07:44:40.13 54999.322687      g      -     -      -      -      -      -      -      -    -      0x1613  -638.87  515.40  31.5514  -654.72  528.15 31.578 0x00000011  ut090617f_templf/62/md06s052.g.ut090617f.624483_62_g.templf.569824_62.diff.cut.dcmp
 2009-06-20T06:40:22.06 55002.278033      g      -     -      -      -      -      -      -      -    -      0x1613   275.06  777.04  31.5514   270.61  764.47 31.534 0x00000011  ut090620f_templf/62/md06s052.g.ut090620f.624540_62_g.templf.569824_62.diff.cut.dcmp
 2010-01-07T14:43:16.16 55203.613381      g      -     -      -      -      -      -      -      -    -      0x1613  -146.66  323.18  31.5514  -142.48  313.96 31.520 0x00000011  ut100107f_templf/62/md06s052.g.ut100107f.624607_62_g.templf.569824_62.diff.cut.dcmp
 2010-01-13T15:15:06.86 55209.635496      g      -     -      -      -      -      -      -      -    -      0x1613  -360.87  292.90  31.5514  -352.14  285.79 31.525 0x00000011  ut100113f_templf/62/md06s052.g.ut100113f.624678_62_g.templf.569824_62.diff.cut.dcmp
 2010-01-16T15:13:52.46 55212.634635      g      -     -      -      -      -      -      -      -    -      0x1613  -538.47  227.20  31.5514  -505.64  213.30 31.483 0x00000011  ut100116f_templf/62/md06s052.g.ut100116f.624748_62_g.templf.569824_62.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g      -     -      -      -      -      -      -      -    -      0x1613  -399.39  133.47  31.5514  -399.17  133.35 31.551 0x00000011  ut100119f_templf/62/md06s052.g.ut100119f.546820_62_g.templf.569824_62.diff.cut.dcmp
 2010-01-25T13:24:56.89 55221.558992      g      -     -      -      -      -      -      -      -    -      0x1613  -564.12  301.83  31.5514  -557.82  298.41 31.539 0x00000011  ut100125f_templf/62/md06s052.g.ut100125f.624808_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-03T14:27:18.16 55230.602294      g      -     -      -      -      -      -      -      -    -      0x1613 -1020.96  647.76  31.5514  -987.66  626.57 31.515 0x00000011  ut100203f_templf/62/md06s052.g.ut100203f.624876_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-06T12:45:13.19 55233.531403      g      -     -      -      -      -      -      -      -    -      0x1613  -314.35  601.09  31.5514  -304.01  581.32 31.515 0x00000011  ut100206f_templf/62/md06s052.g.ut100206f.624936_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-09T14:16:48.47 55236.595005      g      -     -      -      -      -      -      -      -    -      0x1613    85.79  325.88  31.5514    82.91  314.93 31.514 0x00000011  ut100209f_templf/62/md06s052.g.ut100209f.624996_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-12T12:57:46.59 55239.540123      g      -     -      -      -      -      -      -      -    -      0x1613  -237.68  311.93  31.5514  -234.85  308.21 31.538 0x00000011  ut100212f_templf/62/md06s052.g.ut100212f.625056_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-15T12:54:00.91 55242.537511      g      -     -      -      -      -      -      -      -    -      0x1613  -521.67  340.31  31.5514  -500.26  326.31 31.506 0x00000011  ut100215f_templf/62/md06s052.g.ut100215f.625116_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-21T12:36:22.46 55248.525260      g      -     -      -      -      -      -      -      -    -      0x1613  -602.92  277.11  31.5514  -609.85  280.24 31.564 0x00000011  ut100221f_templf/62/md06s052.g.ut100221f.546878_62_g.templf.569824_62.diff.cut.dcmp
 2010-02-24T12:13:02.78 55251.509060      g      -     -      -      -      -      -      -      -    -      0x1613  -507.93  643.74  31.5514  -497.42  630.40 31.529 0x00000011  ut100224f_templf/62/md06s052.g.ut100224f.546936_62_g.templf.569824_62.diff.cut.dcmp
 2010-03-11T12:57:38.39 55266.540028      g      -     -      -      -      -      -      -      -    -      0x1613  -392.36  627.45  31.5514  -364.76  583.30 31.472 0x00000011  ut100311f_templf/62/md06s052.g.ut100311f.625236_62_g.templf.569824_62.diff.cut.dcmp
