#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err    iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:48:16.35 55161.616856      g      -     -  -      -      -      -     -      -    -      0x1613 -2443.98 1184.79  31.6300 -2407.34 1166.82 31.614 0x00000011 ut091126i_templi/51/md05s075.g.ut091126i.1589642_51_g.templi.464960_51.diff.cut.dcmp
 2009-12-08T14:16:31.69 55173.594811      g      -     -  -      -      -      -     -      -    -      0x1613 -1257.61  823.22  31.6300 -1291.89  845.58 31.659 0x00000011 ut091208i_templi/51/md05s075.g.ut091208i.1589701_51_g.templi.464960_51.diff.cut.dcmp
 2009-12-17T14:18:27.38 55182.596150      g      -     -  -      -      -      -     -      -    -      0x1613     9.72  301.26  31.6300     9.34  289.54 31.587 0x00000011 ut091217i_templi/51/md05s075.g.ut091217i.1589773_51_g.templi.464960_51.diff.cut.dcmp
 2009-12-26T13:19:57.79 55191.555530      g      -     -  -      -      -      -     -      -    -      0x1613   -51.70  269.16  31.6300   -50.84  264.69 31.612 0x00000011  ut091226i_templi/51/md05s075.g.ut091226i.463080_51_g.templi.464960_51.diff.cut.dcmp
 2010-01-07T13:09:42.76 55203.548412      g      -     -  -      -      -      -     -      -    -      0x1613   297.05  335.68  31.6300   289.91  327.61 31.604 0x00000011 ut100107i_templi/51/md05s075.g.ut100107i.1589902_51_g.templi.464960_51.diff.cut.dcmp
 2010-01-10T15:02:03.16 55206.626425      g      -     -  -      -      -      -     -      -    -      0x1613  -597.93  566.12  31.6300  -569.23  538.92 31.577 0x00000011 ut100110i_templi/51/md05s075.g.ut100110i.1589971_51_g.templi.464960_51.diff.cut.dcmp
 2010-01-16T13:55:20.19 55212.580095      g      -     -  -      -      -      -     -      -    -      0x1613  -117.81  359.14  31.6300  -110.37  336.47 31.559 0x00000011 ut100116i_templi/51/md05s075.g.ut100116i.1590101_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-03T12:04:48.86 55230.503343      g      -     -  -      -      -      -     -      -    -      0x1613 -1664.79 1033.34  31.6300 -1720.28 1067.67 31.666 0x00000011 ut100203i_templi/51/md05s075.g.ut100203i.1590229_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-06T11:40:13.75 55233.486270      g      -     -  -      -      -      -     -      -    -      0x1613  -357.87  623.24  31.6300  -368.44  641.64 31.662 0x00000011 ut100206i_templi/51/md05s075.g.ut100206i.1590289_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-09T13:35:53.30 55236.566589      g      -     -  -      -      -      -     -      -    -      0x1613  -487.35  431.79  31.6300  -486.95  431.41 31.629 0x00000011 ut100209i_templi/51/md05s075.g.ut100209i.1590349_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-12T12:15:11.70 55239.510552      g      -     -  -      -      -      -     -      -    -      0x1613  -201.50  442.25  31.6300  -202.39  444.21 31.635 0x00000011 ut100212i_templi/51/md05s075.g.ut100212i.1590409_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-15T12:12:14.90 55242.508506      g      -     -  -      -      -      -     -      -    -      0x1613   -96.76  354.42  31.6300   -96.58  353.77 31.628 0x00000011 ut100215i_templi/51/md05s075.g.ut100215i.1759276_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-15T12:12:15.26 55242.508510      g      -     -  -      -      -      -     -      -    -      0x1613   -13.74  325.72  31.6300   -13.95  330.77 31.647 0x00000011  ut100215i_templi/51/md05s075.g.ut100215i.463198_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-21T11:53:30.49 55248.495492      g      -     -  -      -      -      -     -      -    -      0x1613 -1292.95  382.79  31.6300 -1290.45  381.86 31.628 0x00000011 ut100221i_templi/51/md05s075.g.ut100221i.1590469_51_g.templi.464960_51.diff.cut.dcmp
 2010-02-24T09:56:59.29 55251.414575      g      -     -  -      -      -      -     -      -    -      0x1613 -1018.93 1078.71  31.6300  -983.43 1041.09 31.591 0x00000011 ut100224i_templi/51/md05s075.g.ut100224i.1590528_51_g.templi.464960_51.diff.cut.dcmp
 2010-03-11T12:11:49.84 55266.508216      g      -     -  -      -      -      -     -      -    -      0x1613  -853.01  868.88  31.6300  -851.52  867.33 31.628 0x00000011 ut100311i_templi/51/md05s075.g.ut100311i.1590588_51_g.templi.464960_51.diff.cut.dcmp
 2010-03-20T10:38:49.17 55275.443625      g      -     -  -      -      -      -     -      -    -      0x1613   176.66  386.25  31.6300   174.32  381.12 31.616 0x00000011 ut100320i_templi/51/md05s075.g.ut100320i.1590648_51_g.templi.464960_51.diff.cut.dcmp
