#               DATEOBS        MJDim filter      m    dm     gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:48:16.35 55161.616856      g      -     -      -      -     -      -      -      -    -      0x1613  -901.85  762.59  31.5885  -896.30  757.85 31.582 0x00000011 ut091126h_templh/53/md05s063.g.ut091126h.1589632_53_g.templh.464950_53.diff.cut.dcmp
 2009-12-17T14:18:27.38 55182.596150      g      -     -      -      -     -      -      -      -    -      0x1613   195.69  420.18  31.5885   201.88  433.46 31.622 0x00000011 ut091217h_templh/53/md05s063.g.ut091217h.1589762_53_g.templh.464950_53.diff.cut.dcmp
 2009-12-23T15:31:03.31 55188.646566      g      -     -      -      -     -      -      -      -    -      0x1613   129.61  420.32  31.5885   126.29  409.54 31.560 0x00000011 ut091223h_templh/53/md05s063.g.ut091223h.1589823_53_g.templh.464950_53.diff.cut.dcmp
 2009-12-26T13:19:57.79 55191.555530      g      -     -      -      -     -      -      -      -    -      0x1613   -75.41  194.35  31.5885   -77.74  200.35 31.622 0x00000011  ut091226h_templh/53/md05s063.g.ut091226h.463071_53_g.templh.464950_53.diff.cut.dcmp
 2010-01-07T13:09:42.76 55203.548412      g      -     -      -      -     -      -      -      -    -      0x1613    16.28  393.00  31.5885    16.50  398.21 31.603 0x00000011 ut100107h_templh/53/md05s063.g.ut100107h.1589892_53_g.templh.464950_53.diff.cut.dcmp
 2010-01-10T15:02:03.16 55206.626425      g      -     -      -      -     -      -      -      -    -      0x1613    16.10  280.16  31.5885    15.92  277.08 31.576 0x00000011 ut100110h_templh/53/md05s063.g.ut100110h.1589961_53_g.templh.464950_53.diff.cut.dcmp
 2010-01-13T14:02:38.79 55209.585171      g      -     -      -      -     -      -      -      -    -      0x1613   -11.73  327.84  31.5885   -11.59  323.88 31.575 0x00000011 ut100113h_templh/53/md05s063.g.ut100113h.1590021_53_g.templh.464950_53.diff.cut.dcmp
 2010-01-16T13:55:20.19 55212.580095      g      -     -      -      -     -      -      -      -    -      0x1613  -164.67  270.27  31.5885  -159.21  261.31 31.552 0x00000011 ut100116h_templh/53/md05s063.g.ut100116h.1590091_53_g.templh.464950_53.diff.cut.dcmp
 2010-01-19T11:44:53.42 55215.489507      g      -     -      -      -     -      -      -      -    -      0x1613    43.56  202.22  31.5885    43.98  204.17 31.599 0x00000011 ut100119h_templh/53/md05s063.g.ut100119h.1759146_53_g.templh.464950_53.diff.cut.dcmp
 2010-01-19T11:44:53.42 55215.489507      g      -     -      -      -     -      -      -      -    -      0x1613   178.52  199.75  31.5885   181.29  202.84 31.605 0x00000011 ut100119h_templh/53/md05s063.g.ut100119h.1759206_53_g.templh.464950_53.diff.cut.dcmp
