#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:48:16.35 55161.616856      g      -     -     -      -      -      -      -      -    -      0x1613    737.28  1039.98  31.5190    710.28 1001.88 31.479 0x00000011 ut091126d_templd/54/md05s027.g.ut091126d.1589600_54_g.templd.464930_54.diff.cut.dcmp
 2009-12-08T14:16:31.69 55173.594811      g      -     -     -      -      -      -      -      -    -      0x1613   -301.50   754.72  31.5190   -320.66  802.68 31.586 0x00000011 ut091208d_templd/54/md05s027.g.ut091208d.1589663_54_g.templd.464930_54.diff.cut.dcmp
 2009-12-17T14:16:36.65 55182.594869      g      -     -     -      -      -      -      -      -    -      0x1613     16.51   306.35  31.5190     16.61  308.16 31.525 0x00000011 ut091217d_templd/54/md05s027.g.ut091217d.1589727_54_g.templd.464930_54.diff.cut.dcmp
 2010-01-07T13:07:52.43 55203.547135      g      -     -     -      -      -      -      -      -    -      0x1613   -511.52   348.62  31.5190   -511.28  348.43 31.518 0x00000011 ut100107d_templd/54/md05s027.g.ut100107d.1589858_54_g.templd.464930_54.diff.cut.dcmp
 2010-01-10T15:02:03.16 55206.626425      g      -     -     -      -      -      -      -      -    -      0x1613   -741.57   500.19  31.5190   -757.59  510.95 31.542 0x00000011 ut100110d_templd/54/md05s027.g.ut100110d.1589928_54_g.templd.464930_54.diff.cut.dcmp
 2010-01-16T13:53:38.31 55212.578916      g      -     -     -      -      -      -      -      -    -      0x1613  -1114.44   588.83  31.5190  -1128.07  595.94 31.532 0x00000011 ut100116d_templd/54/md05s027.g.ut100116d.1590056_54_g.templd.464930_54.diff.cut.dcmp
 2010-01-19T11:44:53.42 55215.489507      g      -     -     -      -      -      -      -      -    -      0x1613    187.34   170.52  31.5190    176.18  160.35 31.452 0x00000011 ut100119d_templd/54/md05s027.g.ut100119d.1759118_54_g.templd.464930_54.diff.cut.dcmp
 2010-01-19T11:44:53.42 55215.489507      g      -     -     -      -      -      -      -      -    -      0x1613    194.18   172.01  31.5190    182.53  161.68 31.452 0x00000011 ut100119d_templd/54/md05s027.g.ut100119d.1759178_54_g.templd.464930_54.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -     -      -      -      -      -      -    -      0x1613    257.39   180.23  31.5190    246.21  172.39 31.471 0x00000011  ut100119d_templd/54/md05s027.g.ut100119d.463100_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-03T12:04:48.86 55230.503343      g      -     -     -      -      -      -      -      -    -      0x1613    991.21  1085.16  31.5190   1011.69 1107.54 31.541 0x00000011 ut100203d_templd/54/md05s027.g.ut100203d.1590186_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-06T11:40:13.75 55233.486270      g      -     -     -      -      -      -      -      -    -      0x1613    589.02   603.33  31.5190    590.00  604.31 31.521 0x00000011 ut100206d_templd/54/md05s027.g.ut100206d.1590251_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-09T13:35:53.30 55236.566589      g      -     -     -      -      -      -      -      -    -      0x1613   -323.43   387.41  31.5190   -309.24  370.41 31.470 0x00000011 ut100209d_templd/54/md05s027.g.ut100209d.1590311_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-12T12:15:11.70 55239.510552      g      -     -     -      -      -      -      -      -    -      0x1613    -70.91   312.48  31.5190    -70.71  311.62 31.516 0x00000011 ut100212d_templd/54/md05s027.g.ut100212d.1590371_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-15T12:12:14.90 55242.508506      g      -     -     -      -      -      -      -      -    -      0x1613   -202.34   294.68  31.5190   -203.71  296.66 31.526 0x00000011 ut100215d_templd/54/md05s027.g.ut100215d.1759238_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-15T12:12:15.26 55242.508510      g      -     -     -      -      -      -      -      -    -      0x1613   -185.73   280.33  31.5190   -192.22  290.12 31.556 0x00000011  ut100215d_templd/54/md05s027.g.ut100215d.463160_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-21T11:53:30.49 55248.495492      g      -     -     -      -      -      -      -      -    -      0x1613     60.95   348.97  31.5190     63.58  364.01 31.565 0x00000011 ut100221d_templd/54/md05s027.g.ut100221d.1590431_54_g.templd.464930_54.diff.cut.dcmp
 2010-02-24T09:56:59.29 55251.414575      g      -     -     -      -      -      -      -      -    -      0x1613   -364.72   900.82  31.5190   -350.40  865.44 31.476 0x00000011 ut100224d_templd/54/md05s027.g.ut100224d.1590491_54_g.templd.464930_54.diff.cut.dcmp
 2010-03-11T12:11:49.84 55266.508216      g      -     -     -      -      -      -      -      -    -      0x1613     19.01   745.45  31.5190     19.52  765.63 31.548 0x00000011 ut100311d_templd/54/md05s027.g.ut100311d.1590550_54_g.templd.464930_54.diff.cut.dcmp
 2010-03-20T10:38:49.17 55275.443625      g      -     -     -      -      -      -      -      -    -      0x1613     17.18   400.47  31.5190     18.42  429.27 31.594 0x00000011 ut100320d_templd/54/md05s027.g.ut100320d.1590610_54_g.templd.464930_54.diff.cut.dcmp
 2010-03-26T06:38:55.66 55281.277033      g      -     -     -      -      -      -      -      -    -      0x1613  -1923.66  1492.21  31.5190  -1987.78 1541.84 31.555 0x00000011 ut100326d_templd/54/md05s027.g.ut100326d.1590670_54_g.templd.464930_54.diff.cut.dcmp
 2010-04-07T09:07:17.27 55293.380061      g      -     -     -      -      -      -      -      -    -      0x1613    405.63   715.96  31.5190    420.70  742.55 31.559 0x00000011 ut100407d_templd/54/md05s027.g.ut100407d.1590730_54_g.templd.464930_54.diff.cut.dcmp
 2010-04-16T09:27:42.84 55302.394246      g      -     -     -      -      -      -      -      -    -      0x1613   -376.53   599.98  31.5190   -384.24  612.25 31.541 0x00000011 ut100416d_templd/54/md05s027.g.ut100416d.1590789_54_g.templd.464930_54.diff.cut.dcmp
 2010-04-19T07:22:08.85 55305.307047      g      -     -     -      -      -      -      -      -    -      0x1613    420.46   919.51  31.5190    409.60  895.76 31.491 0x00000011 ut100419d_templd/54/md05s027.g.ut100419d.1590849_54_g.templd.464930_54.diff.cut.dcmp
