#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:02:31.40 55161.585086      g      -     -      -      -      -      -      -      -    -      0x1613  -582.64  534.16  31.6780  -591.67  542.41 31.695 0x00000011  ut091126e_temple/44/md04s043.g.ut091126e.648812_44_g.temple.452648_44.diff.cut.dcmp
 2009-12-11T15:25:56.15 55176.643011      g      -     -      -      -      -      -      -      -    -      0x1613  -595.45  473.25  31.6780  -589.39  468.40 31.667 0x00000011  ut091211e_temple/44/md04s043.g.ut091211e.648878_44_g.temple.452648_44.diff.cut.dcmp
 2009-12-14T14:34:18.62 55179.607160      g      -     -      -      -      -      -      -      -    -      0x1613  -289.44  406.36  31.6780  -290.16  407.36 31.681 0x00000011  ut091214e_temple/44/md04s043.g.ut091214e.446761_44_g.temple.452648_44.diff.cut.dcmp
 2009-12-23T14:37:13.52 55188.609184      g      -     -      -      -      -      -      -      -    -      0x1613  -938.33  628.78  31.6780  -934.97  626.47 31.674 0x00000011  ut091223e_temple/44/md04s043.g.ut091223e.648947_44_g.temple.452648_44.diff.cut.dcmp
 2009-12-26T12:34:01.63 55191.523630      g      -     -      -      -      -      -      -      -    -      0x1613   -39.99  344.70  31.6780   -39.13  337.32 31.654 0x00000011  ut091226e_temple/44/md04s043.g.ut091226e.446817_44_g.temple.452648_44.diff.cut.dcmp
 2010-01-10T13:32:44.16 55206.564400      g      -     -      -      -      -      -      -      -    -      0x1613  -307.04  257.19  31.6780  -317.71  266.11 31.715 0x00000011  ut100110e_temple/44/md04s043.g.ut100110e.446875_44_g.temple.452648_44.diff.cut.dcmp
 2010-01-16T12:34:44.67 55212.524128      g      -     -      -      -      -      -      -      -    -      0x1613  -363.89  218.73  31.6780  -354.95  213.33 31.651 0x00000011  ut100116e_temple/44/md04s043.g.ut100116e.649017_44_g.temple.452648_44.diff.cut.dcmp
 2010-01-19T13:15:47.23 55215.552630      g      -     -      -      -      -      -      -      -    -      0x1613   393.02  329.51  31.6780   379.50  318.16 31.640 0x00000011  ut100119e_temple/44/md04s043.g.ut100119e.446933_44_g.temple.452648_44.diff.cut.dcmp
 2010-01-25T11:13:11.41 55221.467493      g      -     -      -      -      -      -      -      -    -      0x1613   367.18  594.97  31.6780   350.33  567.66 31.627 0x00000011  ut100125e_temple/44/md04s043.g.ut100125e.649138_44_g.temple.452648_44.diff.cut.dcmp
 2010-02-03T08:58:16.45 55230.373802      g      -     -      -      -      -      -      -      -    -      0x1613 -1003.34 2347.84  31.6780 -1018.33 2382.90 31.694 0x00000011  ut100203e_temple/44/md04s043.g.ut100203e.649203_44_g.temple.452648_44.diff.cut.dcmp
 2010-02-06T10:54:00.88 55233.454177      g      -     -      -      -      -      -      -      -    -      0x1613   377.36  579.33  31.6780   363.88  558.62 31.639 0x00000011  ut100206e_temple/44/md04s043.g.ut100206e.649265_44_g.temple.452648_44.diff.cut.dcmp
 2010-02-09T11:24:11.83 55236.475137      g      -     -      -      -      -      -      -      -    -      0x1613   460.47  440.25  31.6780   434.11  415.03 31.614 0x00000011  ut100209e_temple/44/md04s043.g.ut100209e.649325_44_g.temple.452648_44.diff.cut.dcmp
 2010-02-12T11:31:16.79 55239.480055      g      -     -      -      -      -      -      -      -    -      0x1613   193.04  418.40  31.6780   184.27  399.38 31.628 0x00000011  ut100212e_temple/44/md04s043.g.ut100212e.649385_44_g.temple.452648_44.diff.cut.dcmp
 2010-02-15T10:14:56.26 55242.427040      g      -     -      -      -      -      -      -      -    -      0x1613  1024.46  389.56  31.6780  1023.99  389.27 31.677 0x00000011  ut100215e_temple/44/md04s043.g.ut100215e.446991_44_g.temple.452648_44.diff.cut.dcmp
 2010-02-21T10:10:38.15 55248.424053      g      -     -      -      -      -      -      -      -    -      0x1613   395.20  432.22  31.6780   398.38  435.68 31.687 0x00000011  ut100221e_temple/44/md04s043.g.ut100221e.649445_44_g.temple.452648_44.diff.cut.dcmp
 2010-03-20T09:28:42.73 55275.394939      g 23.858 0.355      -      -      -      -      -      -    -      0x1613  1342.79  416.42  31.6780  1350.11  418.50 31.684 0x00000011  ut100320e_temple/44/md04s043.g.ut100320e.649505_44_g.temple.452648_44.diff.cut.dcmp
 2010-04-04T09:06:54.30 55290.379795      g      -     -      -      -      -      -      -      -    -      0x1613  -250.31 1450.85  31.6780  -226.05 1310.21 31.567 0x00000011  ut100404e_temple/44/md04s043.g.ut100404e.649561_44_g.temple.452648_44.diff.cut.dcmp
 2010-04-16T08:25:37.42 55302.351128      g      -     -      -      -      -      -      -      -    -      0x1613  -346.25 1362.44  31.6780  -351.62 1383.55 31.695 0x00000011  ut100416e_temple/44/md04s043.g.ut100416e.649618_44_g.temple.452648_44.diff.cut.dcmp
 2010-04-19T06:36:28.37 55305.275328      g      -     -      -      -      -      -      -      -    -      0x1613   527.83  756.63  31.6780   516.86  740.89 31.655 0x00000011  ut100419e_temple/44/md04s043.g.ut100419e.649678_44_g.temple.452648_44.diff.cut.dcmp
 2010-05-04T07:42:32.54 55320.321210      g      -     -      -      -      -      -      -      -    -      0x1613   643.35  553.45  31.6780   665.28  572.29 31.714 0x00000011  ut100504e_temple/44/md04s043.g.ut100504e.447051_44_g.temple.452648_44.diff.cut.dcmp
 2010-12-15T12:20:36.38 55545.514310      g      -     -      -      -      -      -      -      -    -      0x1613   571.11  295.61  31.6780   567.91  293.91 31.672 0x00000011  ut101215e_temple/44/md04s043.g.ut101215e.447107_44_g.temple.452648_44.diff.cut.dcmp
 2010-12-30T13:42:05.17 55560.570893      g      -     -      -      -      -      -      -      -    -      0x1613  -983.55  531.53  31.6780  -938.25  506.97 31.627 0x00000011  ut101230e_temple/44/md04s043.g.ut101230e.649738_44_g.temple.452648_44.diff.cut.dcmp
 2011-01-02T14:04:56.35 55563.586763      g      -     -      -      -      -      -      -      -    -      0x1613    92.66  549.73  31.6780    91.87  545.04 31.669 0x00000011  ut110102e_temple/44/md04s043.g.ut110102e.649795_44_g.temple.452648_44.diff.cut.dcmp
 2011-01-05T14:54:02.80 55566.620866      g      -     -      -      -      -      -      -      -    -      0x1613   604.46  579.44  31.6780   594.03  569.41 31.659 0x00000011  ut110105e_temple/44/md04s043.g.ut110105e.649852_44_g.temple.452648_44.diff.cut.dcmp
 2011-01-11T12:57:06.27 55572.539656      g      -     -      -      -      -      -      -      -    -      0x1613  1117.04  777.80  31.6780  1129.77  786.59 31.690 0x00000011  ut110111e_temple/44/md04s043.g.ut110111e.649911_44_g.temple.452648_44.diff.cut.dcmp
 2011-01-26T14:12:31.53 55587.592032      g      -     -      -      -      -      -      -      -    -      0x1613  -339.47  567.35  31.6780  -331.99  554.84 31.654 0x00000011  ut110126e_temple/44/md04s043.g.ut110126e.649971_44_g.temple.452648_44.diff.cut.dcmp
 2011-02-01T11:31:28.42 55593.480190      g      -     -      -      -      -      -      -      -    -      0x1613  -168.09  339.44  31.6780  -164.29  331.77 31.653 0x00000011  ut110201e_temple/44/md04s043.g.ut110201e.447163_44_g.temple.452648_44.diff.cut.dcmp
 2011-02-04T08:39:19.13 55596.360638      g      -     -      -      -      -      -      -      -    -      0x1613  -313.67  330.52  31.6780  -312.75  329.53 31.675 0x00000011  ut110204e_temple/44/md04s043.g.ut110204e.650091_44_g.temple.452648_44.diff.cut.dcmp
 2011-02-22T08:11:25.03 55614.341262      g      -     -      -      -      -      -      -      -    -      0x1613  1022.46  758.87  31.6780  1034.11  767.46 31.690 0x00000011  ut110222e_temple/44/md04s043.g.ut110222e.650211_44_g.temple.452648_44.diff.cut.dcmp
 2011-03-09T07:29:07.78 55629.311896      g      -     -      -      -      -      -      -      -    -      0x1613  -322.47  384.32  31.6780  -316.79  377.54 31.659 0x00000011  ut110309e_temple/44/md04s043.g.ut110309e.650271_44_g.temple.452648_44.diff.cut.dcmp
 2011-03-15T07:17:34.37 55635.303870      g      -     -      -      -      -      -      -      -    -      0x1613  -701.87  625.19  31.6780  -684.13  609.35 31.650 0x00000011  ut110315e_temple/44/md04s043.g.ut110315e.447220_44_g.temple.452648_44.diff.cut.dcmp
