#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-29T09:21:56.74 54980.390240      g      -     -  -      -      -      -      -      -    -      0x1613  -468.93  245.88  31.5226  -540.14  283.18 31.676 0x00000011  ut090529h_templh/62/md06s063.g.ut090529h.546714_62_g.templh.569833_62.diff.cut.dcmp
 2009-06-11T08:07:40.99 54993.338669      g      -     -  -      -      -      -      -      -    -      0x1613  -769.96  347.57  31.5226  -845.80  381.72 31.625 0x00000011  ut090611h_templh/62/md06s063.g.ut090611h.624373_62_g.templh.569833_62.diff.cut.dcmp
 2009-06-14T07:18:14.19 54996.304331      g      -     -  -      -      -      -      -      -    -      0x1613  -266.93  324.28  31.5226  -293.63  356.70 31.626 0x00000011  ut090614h_templh/62/md06s063.g.ut090614h.624433_62_g.templh.569833_62.diff.cut.dcmp
 2009-06-17T07:44:40.13 54999.322687      g      -     -  -      -      -      -      -      -    -      0x1613  -635.04  576.12  31.5226  -672.92  610.45 31.585 0x00000011  ut090617h_templh/62/md06s063.g.ut090617h.624492_62_g.templh.569833_62.diff.cut.dcmp
 2009-06-20T06:40:22.06 55002.278033      g      -     -  -      -      -      -      -      -    -      0x1613  -838.04  574.35  31.5226  -851.11  583.25 31.539 0x00000011  ut090620h_templh/62/md06s063.g.ut090620h.624549_62_g.templh.569833_62.diff.cut.dcmp
 2009-12-26T14:05:44.45 55191.587320      g      -     -  -      -      -      -      -      -    -      0x1613  -423.06  301.53  31.5226  -428.98  305.73 31.538 0x00000011  ut091226h_templh/62/md06s063.g.ut091226h.546770_62_g.templh.569833_62.diff.cut.dcmp
 2010-01-07T14:43:16.16 55203.613381      g      -     -  -      -      -      -      -      -    -      0x1613    49.03  323.96  31.5226    48.11  317.90 31.502 0x00000011  ut100107h_templh/62/md06s063.g.ut100107h.624618_62_g.templh.569833_62.diff.cut.dcmp
 2010-01-13T15:15:06.86 55209.635496      g      -     -  -      -      -      -      -      -    -      0x1613  -485.87  315.93  31.5226  -491.72  319.70 31.536 0x00000011  ut100113h_templh/62/md06s063.g.ut100113h.624688_62_g.templh.569833_62.diff.cut.dcmp
 2010-01-16T15:13:52.46 55212.634635      g      -     -  -      -      -      -      -      -    -      0x1613   177.54  223.68  31.5226   175.17  220.69 31.508 0x00000011  ut100116h_templh/62/md06s063.g.ut100116h.624758_62_g.templh.569833_62.diff.cut.dcmp
 2010-01-19T14:50:56.54 55215.618710      g      -     -  -      -      -      -      -      -    -      0x1613    61.63  165.13  31.5226    63.17  169.26 31.549 0x00000011  ut100119h_templh/62/md06s063.g.ut100119h.546829_62_g.templh.569833_62.diff.cut.dcmp
 2010-01-25T13:24:56.89 55221.558992      g      -     -  -      -      -      -      -      -    -      0x1613  -196.08  263.17  31.5226  -192.09  257.81 31.500 0x00000011  ut100125h_templh/62/md06s063.g.ut100125h.624817_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-03T14:27:18.16 55230.602294      g      -     -  -      -      -      -      -      -    -      0x1613  -376.55  693.69  31.5226  -387.56  713.97 31.554 0x00000011  ut100203h_templh/62/md06s063.g.ut100203h.624886_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-06T12:45:13.19 55233.531403      g      -     -  -      -      -      -      -      -    -      0x1613   409.95  515.10  31.5226   442.84  556.42 31.606 0x00000011  ut100206h_templh/62/md06s063.g.ut100206h.624945_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-09T14:16:48.47 55236.595005      g      -     -  -      -      -      -      -      -    -      0x1613  -989.74  535.76  31.5226  -944.24  511.05 31.471 0x00000011  ut100209h_templh/62/md06s063.g.ut100209h.625005_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-12T12:57:46.59 55239.540123      g      -     -  -      -      -      -      -      -    -      0x1613  -507.30  377.45  31.5226  -544.99  405.46 31.600 0x00000011  ut100212h_templh/62/md06s063.g.ut100212h.625065_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-15T12:54:00.91 55242.537511      g      -     -  -      -      -      -      -      -    -      0x1613   292.27  434.81  31.5226   293.40  436.49 31.527 0x00000011  ut100215h_templh/62/md06s063.g.ut100215h.625125_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-21T12:36:22.46 55248.525260      g      -     -  -      -      -      -      -      -    -      0x1613   384.91  321.58  31.5226   399.61  333.84 31.563 0x00000011  ut100221h_templh/62/md06s063.g.ut100221h.546887_62_g.templh.569833_62.diff.cut.dcmp
 2010-02-24T12:13:02.78 55251.509060      g      -     -  -      -      -      -      -      -    -      0x1613   364.69  992.75  31.5226   375.39 1021.87 31.554 0x00000011  ut100224h_templh/62/md06s063.g.ut100224h.546945_62_g.templh.569833_62.diff.cut.dcmp
 2010-03-11T12:57:38.39 55266.540028      g      -     -  -      -      -      -      -      -    -      0x1613  -316.52  684.10  31.5226  -302.47  653.73 31.473 0x00000011  ut100311h_templh/62/md06s063.g.ut100311h.625245_62_g.templh.569833_62.diff.cut.dcmp
 2010-03-14T14:17:22.27 55269.595397      g      -     -  -      -      -      -      -      -    -      0x1613   472.79  668.29  31.5226   467.68  661.05 31.511 0x00000011  ut100314h_templh/62/md06s063.g.ut100314h.625305_62_g.templh.569833_62.diff.cut.dcmp
 2010-03-17T13:38:49.09 55272.568624      g      -     -  -      -      -      -      -      -    -      0x1613   255.34  411.71  31.5226   266.19  429.20 31.568 0x00000011  ut100317h_templh/62/md06s063.g.ut100317h.625365_62_g.templh.569833_62.diff.cut.dcmp
 2010-03-20T12:21:47.99 55275.515139      g      -     -  -      -      -      -      -      -    -      0x1613   412.00  434.38  31.5226   429.91  453.25 31.569 0x00000011  ut100320h_templh/62/md06s063.g.ut100320h.625425_62_g.templh.569833_62.diff.cut.dcmp
 2010-04-16T10:39:24.19 55302.444030      g      -     -  -      -      -      -      -      -    -      0x1613   -10.19  619.97  31.5226   -10.51  639.69 31.557 0x00000011  ut100416h_templh/62/md06s063.g.ut100416h.547002_62_g.templh.569833_62.diff.cut.dcmp
 2010-04-19T08:04:04.81 55305.336167      g      -     -  -      -      -      -      -      -    -      0x1613    76.53  654.28  31.5226    79.02  675.59 31.557 0x00000011  ut100419h_templh/62/md06s063.g.ut100419h.625545_62_g.templh.569833_62.diff.cut.dcmp
 2010-05-10T09:55:52.86 55326.413806      g      -     -  -      -      -      -      -      -    -      0x1613  -137.45  375.39  31.5226  -131.18  358.26 31.472 0x00000011  ut100510h_templh/62/md06s063.g.ut100510h.625603_62_g.templh.569833_62.diff.cut.dcmp
