#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-28T11:40:02.12 54979.486136      g 22.812 0.131  0.602  0.134      -      -      -      -    2      0x1613  3006.54  360.98  31.5073  3135.21  375.31 31.553 0x00000011  ut090528d_templd/82/md08s035.g.ut090528d.862112_82_g.templd.874957_82.diff.cut.dcmp
 2009-05-31T10:19:28.76 54982.430194      g 22.479 0.084  0.276  0.089      -      -      -      -    2      0x1613  4086.90  316.36  31.5073  4935.30  379.30 31.712 0x00000011  ut090531d_templd/82/md08s035.g.ut090531d.862172_82_g.templd.874957_82.diff.cut.dcmp
 2009-06-11T10:32:25.22 54993.439181      g 22.322 0.122  0.148  0.153      -      -      -      -    1      0x1613  4722.40  527.92  31.5073  4812.85  536.19 31.528 0x00000011  ut090611d_templd/82/md08s035.g.ut090611d.862232_82_g.templd.874957_82.diff.cut.dcmp
 2009-06-14T10:42:46.23 54996.446368      g 22.502 0.143  0.059  0.225      -      -      -      -    1      0x1613  4000.45  524.06  31.5073  4600.75  601.20 31.659 0x00000011  ut090614d_templd/82/md08s035.g.ut090614d.862291_82_g.templd.874957_82.diff.cut.dcmp
 2009-06-17T10:34:42.17 54999.440766      g 23.139 0.325  0.728  0.326      -      -      -      -    2      0x1613  2225.44  657.79  31.5073  2406.89  711.07 31.592 0x00000011  ut090617d_templd/82/md08s035.g.ut090617d.862349_82_g.templd.874957_82.diff.cut.dcmp
 2009-06-20T10:05:08.03 55002.420232      g 22.766 0.183  0.388  0.228      -      -      -      -    1      0x1613  3135.70  530.78  31.5073  3091.25  522.47 31.492 0x00000011  ut090620d_templd/82/md08s035.g.ut090620d.862406_82_g.templd.874957_82.diff.cut.dcmp
 2009-07-02T07:03:38.88 55014.294200      g      -     -      -      -      -      -      -      -    -      0x1613  1455.18  687.41  31.5073  1415.52  668.55 31.477 0x00000011  ut090702d_templd/82/md08s035.g.ut090702d.862513_82_g.templd.874957_82.diff.cut.dcmp
 2009-07-17T07:19:25.81 55029.305160      g      -     -      -      -      -      -      -      -    -      0x1613  2790.64 1601.52  31.5073  2832.85 1625.53 31.524 0x00000011  ut090717d_templd/82/md08s035.g.ut090717d.862569_82_g.templd.874957_82.diff.cut.dcmp
 2010-04-10T14:38:56.13 55296.610372      g      -     -      -      -      -      -      -      -    -      0x1613 -3657.43 1939.09  31.5073 -3654.74 1937.37 31.506 0x00000011  ut100410d_templd/82/md08s035.g.ut100410d.862734_82_g.templd.874957_82.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g      -     -      -      -      -      -      -      -    -      0x1613 -4618.52  579.40  31.5073 -5000.15  625.57 31.593 0x00000011  ut100416d_templd/82/md08s035.g.ut100416d.862794_82_g.templd.874957_82.diff.cut.dcmp
