#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-28T11:40:02.50 54979.486140      g      -     -     -      -      -      -      -      -    -      0x1613   153.00  647.34  31.4028   164.27  695.04 31.480 0x00000011  ut090528f_templf/84/md08s051.g.ut090528f.862124_84_g.templf.874969_84.diff.cut.dcmp
 2009-05-31T10:19:28.42 54982.430190      g      -     -     -      -      -      -      -      -    -      0x1613   244.80  314.52  31.4028   248.43  319.18 31.419 0x00000011  ut090531f_templf/84/md08s051.g.ut090531f.862184_84_g.templf.874969_84.diff.cut.dcmp
 2009-06-11T10:32:25.15 54993.439180      g      -     -     -      -      -      -      -      -    -      0x1613   128.03  516.13  31.4028   132.15  532.74 31.437 0x00000011  ut090611f_templf/84/md08s051.g.ut090611f.862244_84_g.templf.874969_84.diff.cut.dcmp
 2009-06-14T10:42:46.37 54996.446370      g      -     -     -      -      -      -      -      -    -      0x1613  -177.71  710.08  31.4028  -197.89  790.73 31.520 0x00000011  ut090614f_templf/84/md08s051.g.ut090614f.862303_84_g.templf.874969_84.diff.cut.dcmp
 2009-06-17T10:34:42.53 54999.440770      g      -     -     -      -      -      -      -      -    -      0x1613   404.29  671.20  31.4028   450.21  747.42 31.520 0x00000011  ut090617f_templf/84/md08s051.g.ut090617f.862361_84_g.templf.874969_84.diff.cut.dcmp
 2009-06-20T10:05:07.87 55002.420230      g      -     -     -      -      -      -      -      -    -      0x1613  1153.66  655.15  31.4028  1195.74  678.96 31.442 0x00000011  ut090620f_templf/84/md08s051.g.ut090620f.862418_84_g.templf.874969_84.diff.cut.dcmp
 2009-06-29T10:17:41.28 55011.428950      g      -     -     -      -      -      -      -      -    -      0x1613 -3311.63  644.75  31.4028 -3459.09  672.70 31.450 0x00000011  ut090629f_templf/84/md08s051.g.ut090629f.862473_84_g.templf.874969_84.diff.cut.dcmp
 2009-07-02T07:03:38.88 55014.294200      g      -     -     -      -      -      -      -      -    -      0x1613    53.37  740.42  31.4028    55.21  766.02 31.440 0x00000011  ut090702f_templf/84/md08s051.g.ut090702f.862525_84_g.templf.874969_84.diff.cut.dcmp
 2009-07-17T07:19:25.82 55029.305160      g      -     -     -      -      -      -      -      -    -      0x1613 -8888.91 2450.46  31.4028 -9612.77 2648.52 31.488 0x00000011  ut090717f_templf/84/md08s051.g.ut090717f.862581_84_g.templf.874969_84.diff.cut.dcmp
 2009-09-15T05:56:25.73 55089.247520      g      -     -     -      -      -      -      -      -    -      0x1613 -1606.65  626.21  31.4028 -1991.05  775.81 31.636 0x00000011  ut090915f_templf/84/md08s051.g.ut090915f.862637_84_g.templf.874969_84.diff.cut.dcmp
 2010-04-10T14:38:55.97 55296.610370      g      -     -     -      -      -      -      -      -    -      0x1613 -3452.41 2306.33  31.4028 -3588.91 2397.29 31.445 0x00000011  ut100410f_templf/84/md08s051.g.ut100410f.862746_84_g.templf.874969_84.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -     -      -      -      -      -      -    -      0x1613   104.96  622.42  31.4028   113.76  674.60 31.490 0x00000011  ut100416f_templf/84/md08s051.g.ut100416f.862806_84_g.templf.874969_84.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -     -      -      -      -      -      -    -      0x1613  -525.71  952.30  31.4028  -557.73 1010.29 31.467 0x00000011  ut100419f_templf/84/md08s051.g.ut100419f.862866_84_g.templf.874969_84.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g      -     -     -      -      -      -      -      -    -      0x1613  1826.56  738.93  31.4028  1861.03  752.68 31.423 0x00000011  ut100510f_templf/84/md08s051.g.ut100510f.862925_84_g.templf.874969_84.diff.cut.dcmp
 2010-05-13T12:44:34.08 55329.530950      g      -     -     -      -      -      -      -      -    -      0x1613   252.63  901.37  31.4028   259.02  924.15 31.430 0x00000011  ut100513f_templf/84/md08s051.g.ut100513f.862985_84_g.templf.874969_84.diff.cut.dcmp
 2010-05-16T10:13:02.21 55332.425720      g 23.751 0.341 1.376  0.342      -      -      -      -    2      0x1613  1150.06  360.84  31.4028  1197.07  375.43 31.446 0x00000011  ut100516f_templf/84/md08s051.g.ut100516f.863043_84_g.templf.874969_84.diff.cut.dcmp
 2010-05-19T10:22:17.76 55335.432150      g      -     -     -      -      -      -      -      -    -      0x1613  1226.45  612.18  31.4028  1213.98  605.85 31.392 0x00000011  ut100519f_templf/84/md08s051.g.ut100519f.863098_84_g.templf.874969_84.diff.cut.dcmp
 2010-05-22T10:19:49.15 55338.430430      g      -     -     -      -      -      -      -      -    -      0x1613  -597.78 1432.54  31.4028  -586.98 1406.64 31.383 0x00000011  ut100522f_templf/84/md08s051.g.ut100522f.863154_84_g.templf.874969_84.diff.cut.dcmp
