#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-08-31T14:11:08.47 55074.591070      g      -     -     -      -      -      -      -      -    -      0x1613  -316.16  356.69  31.0246  -337.00  380.19 31.094 0x00000011 ut090831j_templj/11/md01s085.g.ut090831j.1917698_11_g.templj.367104_11.diff.cut.dcmp
 2009-09-12T13:20:25.90 55086.555855      g      -     -     -      -      -      -      -      -    -      0x1613  -347.35  661.13  31.0246  -368.37  701.13 31.088 0x00000011 ut090912j_templj/11/md01s085.g.ut090912j.1917757_11_g.templj.367104_11.diff.cut.dcmp
 2009-09-15T13:12:13.19 55089.550153      g      -     -     -      -      -      -      -      -    -      0x1613  -329.77  201.25  31.0246  -342.93  209.26 31.067 0x00000011 ut090915j_templj/11/md01s085.g.ut090915j.1917815_11_g.templj.367104_11.diff.cut.dcmp
 2009-09-21T12:55:13.20 55095.538347      g      -     -     -      -      -      -      -      -    -      0x1613   161.02  386.60  31.0246   170.94  410.41 31.090 0x00000011 ut090921j_templj/11/md01s085.g.ut090921j.1917872_11_g.templj.367104_11.diff.cut.dcmp
 2009-09-24T12:53:15.14 55098.536981      g      -     -     -      -      -      -      -      -    -      0x1613  -355.81  347.76  31.0246  -410.68  401.36 31.180 0x00000011 ut090924j_templj/11/md01s085.g.ut090924j.1917929_11_g.templj.367104_11.diff.cut.dcmp
 2009-09-27T13:40:01.55 55101.569462      g      -     -     -      -      -      -      -      -    -      0x1613   213.09  326.89  31.0246   215.56  330.67 31.037 0x00000011 ut090927j_templj/11/md01s085.g.ut090927j.1917982_11_g.templj.367104_11.diff.cut.dcmp
 2009-09-30T13:47:59.43 55104.574993      g      -     -     -      -      -      -      -      -    -      0x1613  -265.85  362.14  31.0246  -300.25  408.98 31.157 0x00000011 ut090930j_templj/11/md01s085.g.ut090930j.1918034_11_g.templj.367104_11.diff.cut.dcmp
 2009-11-26T08:18:50.15 55161.346414      g      -     -     -      -      -      -      -      -    -      0x1613   471.97  512.17  31.0246   444.01  481.81 30.958 0x00000011 ut091126j_templj/11/md01s085.g.ut091126j.1918099_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-05T08:23:29.81 55170.349651      g      -     -     -      -      -      -      -      -    -      0x1613   147.07  664.75  31.0246   144.69  654.00 31.007 0x00000011 ut091205j_templj/11/md01s085.g.ut091205j.1918168_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-08T08:28:45.47 55173.353304      g      -     -     -      -      -      -      -      -    -      0x1613  -115.48  213.02  31.0246  -116.57  215.03 31.035 0x00000011 ut091208j_templj/11/md01s085.g.ut091208j.1918239_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-11T10:21:41.21 55176.431727      g      -     -     -      -      -      -      -      -    -      0x1613   443.22  243.19  31.0246   433.61  237.88 31.001 0x00000011 ut091211j_templj/11/md01s085.g.ut091211j.1918307_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-14T08:22:35.33 55179.349020      g      -     -     -      -      -      -      -      -    -      0x1613   104.45  107.62  31.0246   105.72  108.92 31.038 0x00000011  ut091214j_templj/11/md01s085.g.ut091214j.366566_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-14T08:35:56.78 55179.358296      g      -     -     -      -      -      -      -      -    -      0x1613    78.92  112.64  31.0246    76.87  109.71 30.996 0x00000011 ut091214j_templj/11/md01s085.g.ut091214j.1918375_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-23T07:23:13.16 55188.307791      g      -     -     -      -      -      -      -      -    -      0x1613    27.73  463.61  31.0246    25.48  426.02 30.933 0x00000011 ut091223j_templj/11/md01s085.g.ut091223j.1918446_11_g.templj.367104_11.diff.cut.dcmp
 2009-12-26T05:46:45.12 55191.240800      g      -     -     -      -      -      -      -      -    -      0x1613   -87.78  296.48  31.0246   -87.05  294.00 31.015 0x00000011  ut091226j_templj/11/md01s085.g.ut091226j.366628_11_g.templj.367104_11.diff.cut.dcmp
 2010-01-07T05:59:45.82 55203.249836      g      -     -     -      -      -      -      -      -    -      0x1613    67.61  132.05  31.0246    66.02  128.94 30.999 0x00000011 ut100107j_templj/11/md01s085.g.ut100107j.1918517_11_g.templj.367104_11.diff.cut.dcmp
 2010-01-07T06:06:33.12 55203.254550      g      -     -     -      -      -      -      -      -    -      0x1613   116.86  147.03  31.0246   120.38  151.45 31.057 0x00000011  ut100107j_templj/11/md01s085.g.ut100107j.366689_11_g.templj.367104_11.diff.cut.dcmp
 2010-01-10T06:42:08.93 55206.279270      g      -     -     -      -      -      -      -      -    -      0x1613    28.54  120.88  31.0246    29.05  123.02 31.044 0x00000011  ut100110j_templj/11/md01s085.g.ut100110j.366749_11_g.templj.367104_11.diff.cut.dcmp
