#               DATEOBS        MJDim filter      m    dm     gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-06-29T14:42:31.97 55011.612870      g      -     -      -      -     -      -      -      -    -      0x1613   192.72  406.10  31.3152   185.53  390.94 31.274 0x00000011  ut090629h_templh/92/md09s065.g.ut090629h.959902_92_g.templh.966211_92.diff.cut.dcmp
 2009-07-02T13:32:58.85 55014.564570      g      -     -      -      -     -      -      -      -    -      0x1613  -597.93  555.59  31.3152  -606.02  563.08 31.330 0x00000011  ut090702h_templh/92/md09s065.g.ut090702h.959961_92_g.templh.966211_92.diff.cut.dcmp
 2009-07-17T14:28:05.38 55029.602840      g      -     -      -      -     -      -      -      -    -      0x1613    57.48  322.11  31.3152    60.66  339.94 31.374 0x00000011  ut090717h_templh/92/md09s065.g.ut090717h.960018_92_g.templh.966211_92.diff.cut.dcmp
 2009-07-26T13:41:51.94 55038.570740      g      -     -      -      -     -      -      -      -    -      0x1613  -503.26 4372.36  31.3152  -578.56 5026.61 31.467 0x00000011  ut090726h_templh/92/md09s065.g.ut090726h.960075_92_g.templh.966211_92.diff.cut.dcmp
 2009-08-31T10:37:05.95 55074.442430      g      -     -      -      -     -      -      -      -    -      0x1613   686.39  937.80  31.3152   795.59 1086.98 31.476 0x00000011  ut090831h_templh/92/md09s065.g.ut090831h.960132_92_g.templh.966211_92.diff.cut.dcmp
 2009-09-12T09:57:30.82 55086.414940      g      -     -      -      -     -      -      -      -    -      0x1613  -414.05  313.81  31.3152  -443.34  335.98 31.389 0x00000011  ut090912h_templh/92/md09s065.g.ut090912h.960190_92_g.templh.966211_92.diff.cut.dcmp
 2009-09-15T09:38:34.66 55089.401790      g      -     -      -      -     -      -      -      -    -      0x1613   226.91  215.12  31.3152   251.71  238.62 31.428 0x00000011  ut090915h_templh/92/md09s065.g.ut090915h.960250_92_g.templh.966211_92.diff.cut.dcmp
 2009-09-18T09:01:33.31 55092.376080      g      -     -      -      -     -      -      -      -    -      0x1613     4.20  363.45  31.3152     4.78  413.66 31.456 0x00000011  ut090918h_templh/92/md09s065.g.ut090918h.960309_92_g.templh.966211_92.diff.cut.dcmp
 2009-09-21T09:27:35.42 55095.394160      g      -     -      -      -     -      -      -      -    -      0x1613   281.88  320.25  31.3152   317.27  360.44 31.444 0x00000011  ut090921h_templh/92/md09s065.g.ut090921h.960367_92_g.templh.966211_92.diff.cut.dcmp
 2009-09-24T08:16:27.26 55098.344760      g      -     -      -      -     -      -      -      -    -      0x1613   744.50  481.88  31.3152   802.54  519.39 31.397 0x00000011  ut090924h_templh/92/md09s065.g.ut090924h.960427_92_g.templh.966211_92.diff.cut.dcmp
 2010-07-12T11:53:33.79 55389.495530      g      -     -      -      -     -      -      -      -    -      0x1613   -14.15  241.29  31.3152   -14.26  243.21 31.324 0x00000011  ut100712h_templh/92/md09s065.g.ut100712h.960485_92_g.templh.966211_92.diff.cut.dcmp
 2010-07-21T11:16:01.34 55398.469460      g      -     -      -      -     -      -      -      -    -      0x1613  -521.34  963.61  31.3152  -518.71  958.73 31.310 0x00000011  ut100721h_templh/92/md09s065.g.ut100721h.960545_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-02T12:31:48.58 55410.522090      g      -     -      -      -     -      -      -      -    -      0x1613   -78.39  537.42  31.3152   -79.81  547.16 31.335 0x00000011  ut100802h_templh/92/md09s065.g.ut100802h.960605_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-05T10:50:24.29 55413.451670      g      -     -      -      -     -      -      -      -    -      0x1613  -205.95  279.32  31.3152  -205.57  278.80 31.313 0x00000011  ut100805h_templh/92/md09s065.g.ut100805h.960665_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-08T12:11:22.56 55416.507900      g      -     -      -      -     -      -      -      -    -      0x1613  -178.98  246.25  31.3152  -186.23  256.22 31.358 0x00000011  ut100808h_templh/92/md09s065.g.ut100808h.960725_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-14T12:33:56.45 55422.523570      g      -     -      -      -     -      -      -      -    -      0x1613    -2.40  248.10  31.3152    -2.38  246.44 31.308 0x00000011  ut100814h_templh/92/md09s065.g.ut100814h.960783_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-17T09:37:02.21 55425.400720      g      -     -      -      -     -      -      -      -    -      0x1613   -42.14  250.18  31.3152   -43.83  260.22 31.358 0x00000011  ut100817h_templh/92/md09s065.g.ut100817h.960841_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-20T12:48:23.04 55428.533600      g      -     -      -      -     -      -      -      -    -      0x1613   653.48  304.14  31.3152   667.53  310.62 31.338 0x00000011  ut100820h_templh/92/md09s065.g.ut100820h.960899_92_g.templh.966211_92.diff.cut.dcmp
 2010-08-29T12:13:08.83 55437.509130      g      -     -      -      -     -      -      -      -    -      0x1613   709.86 1225.93  31.3152   691.66 1194.48 31.287 0x00000011  ut100829h_templh/92/md09s065.g.ut100829h.960957_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-01T12:14:19.68 55440.509950      g      -     -      -      -     -      -      -      -    -      0x1613   223.79  261.98  31.3152   224.62  262.94 31.319 0x00000011  ut100901h_templh/92/md09s065.g.ut100901h.961016_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-04T11:26:21.70 55443.476640      g      -     -      -      -     -      -      -      -    -      0x1613  -255.20  265.37  31.3152  -249.51  259.44 31.291 0x00000011  ut100904h_templh/92/md09s065.g.ut100904h.961074_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-07T11:51:50.98 55446.494340      g      -     -      -      -     -      -      -      -    -      0x1613  -556.70  378.23  31.3152  -576.26  391.49 31.353 0x00000011  ut100907h_templh/92/md09s065.g.ut100907h.961132_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-10T10:06:48.10 55449.421390      g      -     -      -      -     -      -      -      -    -      0x1613   -43.79  314.74  31.3152   -46.34  333.08 31.377 0x00000011  ut100910h_templh/92/md09s065.g.ut100910h.961192_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-13T09:34:56.93 55452.399270      g      -     -      -      -     -      -      -      -    -      0x1613   155.05  281.80  31.3152   160.35  291.43 31.352 0x00000011  ut100913h_templh/92/md09s065.g.ut100913h.961252_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-16T09:08:58.27 55455.381230      g      -     -      -      -     -      -      -      -    -      0x1613   182.93  375.67  31.3152   189.13  388.40 31.351 0x00000011  ut100916h_templh/92/md09s065.g.ut100916h.961312_92_g.templh.966211_92.diff.cut.dcmp
 2010-09-19T06:42:17.57 55458.279370      g      -     -      -      -     -      -      -      -    -      0x1613 -1893.01 1113.82  31.3152 -1840.57 1082.83 31.285 0x00000011  ut100919h_templh/92/md09s065.g.ut100919h.961372_92_g.templh.966211_92.diff.cut.dcmp
