#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err    iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux    dflux ZPTMAG       type                                                                                 cmpfile
 2009-09-15T10:29:53.95 55089.437430      g 23.389 0.280      -      -      -      -     -      -    -      0x1613  1910.00   492.80  31.5917  1973.30   508.80 31.627 0x00000011  ut090915h_templh/102/md10s066.g.ut090915h.351549_102_g.templh.337180_102.diff.cut.dcmp
 2009-09-18T10:09:28.80 55092.423250      g 22.885 0.221  0.169  0.313      -      -     -      -    1      0x1613  3037.69   617.62  31.5917  3226.89   655.41 31.657 0x00000011  ut090918h_templh/102/md10s066.g.ut090918h.351604_102_g.templh.337180_102.diff.cut.dcmp
 2009-09-21T10:08:49.06 55095.422790      g 22.794 0.207 -0.196  0.348      -      -     -      -    1      0x1613  3303.68   629.69  31.5917  3427.35   652.49 31.632 0x00000011  ut090921h_templh/102/md10s066.g.ut090921h.351658_102_g.templh.337180_102.diff.cut.dcmp
 2009-09-24T10:51:14.40 55098.452250      g 22.799 0.128 -0.605  0.303      -      -     -      -    1      0x1613  3289.42   389.05  31.5917  3316.19   391.01 31.601 0x00000011  ut090924h_templh/102/md10s066.g.ut090924h.351712_102_g.templh.337180_102.diff.cut.dcmp
 2009-09-27T10:57:37.15 55101.456680      g 22.788 0.158 -0.162  0.259      -      -     -      -    1      0x1613  3322.07   485.08  31.5917  3398.82   495.29 31.616 0x00000011  ut090927h_templh/102/md10s066.g.ut090927h.351765_102_g.templh.337180_102.diff.cut.dcmp
 2009-12-08T06:20:30.34 55173.264240      g 23.428 0.207  0.170  0.287      -      -     -      -    1      0x1613  1843.29   352.00  31.5917  2010.36   383.45 31.686 0x00000011  ut091208h_templh/102/md10s066.g.ut091208h.351824_102_g.templh.337180_102.diff.cut.dcmp
 2009-12-11T06:39:39.46 55176.277540      g 23.492 0.205  0.188  0.207      -      -     -      -    2      0x1613  1736.91   327.68  31.5917  1777.53   334.94 31.617 0x00000011  ut091211h_templh/102/md10s066.g.ut091211h.351887_102_g.templh.337180_102.diff.cut.dcmp
 2009-12-14T06:01:50.59 55179.251280      g 23.299 0.113 -0.051  0.174      -      -     -      -    1      0x1613  2075.93   216.22  31.5917  2072.49   215.01 31.590 0x00000011  ut091214h_templh/102/md10s066.g.ut091214h.351949_102_g.templh.337180_102.diff.cut.dcmp
 2010-07-12T12:54:09.50 55389.537610      g      -     -      -      -      -      -     -      -    -      0x1613    -8.96   356.71  31.5917    -8.37   333.12 31.517 0x00000011  ut100712h_templh/102/md10s066.g.ut100712h.352007_102_g.templh.337180_102.diff.cut.dcmp
 2010-07-21T14:31:37.06 55398.605290      g      -     -      -      -      -      -     -      -    -      0x1613  -811.81   468.60  31.5917  -773.85   446.63 31.540 0x00000011  ut100721h_templh/102/md10s066.g.ut100721h.352061_102_g.templh.337180_102.diff.cut.dcmp
 2010-08-02T13:12:07.78 55410.550090      g      -     -      -      -      -      -     -      -    -      0x1613   151.34   813.30  31.5917   151.65   814.95 31.594 0x00000011  ut100802h_templh/102/md10s066.g.ut100802h.352114_102_g.templh.337180_102.diff.cut.dcmp
 2010-08-05T13:13:30.72 55413.551050      g      -     -      -      -      -      -     -      -    -      0x1613  -483.44   363.94  31.5917  -460.37   346.54 31.539 0x00000011  ut100805h_templh/102/md10s066.g.ut100805h.352167_102_g.templh.337180_102.diff.cut.dcmp
 2010-08-08T13:25:09.70 55416.559140      g      -     -      -      -      -      -     -      -    -      0x1613  -417.50   258.99  31.5917  -403.92   250.54 31.556 0x00000011  ut100808h_templh/102/md10s066.g.ut100808h.352221_102_g.templh.337180_102.diff.cut.dcmp
 2010-08-14T13:33:06.62 55422.564660      g      -     -      -      -      -      -     -      -    -      0x1613  -561.29   309.26  31.5917  -534.01   294.19 31.538 0x00000011  ut100814h_templh/102/md10s066.g.ut100814h.352276_102_g.templh.337180_102.diff.cut.dcmp
 2010-08-17T13:20:13.34 55425.555710      g      -     -      -      -      -      -     -      -    -      0x1613  -912.97   299.41  31.5917  -897.55   294.23 31.573 0x00000011  ut100817h_templh/102/md10s066.g.ut100817h.352331_102_g.templh.337180_102.diff.cut.dcmp
 2010-08-20T13:45:02.02 55428.572940      g      -     -      -      -      -      -     -      -    -      0x1613 -1163.86   388.52  31.5917 -1119.70   373.63 31.550 0x00000011  ut100820h_templh/102/md10s066.g.ut100820h.338699_102_g.templh.337180_102.diff.cut.dcmp
 2010-09-01T12:40:17.47 55440.527980      g      -     -      -      -      -      -     -      -    -      0x1613  -440.24   391.42  31.5917  -422.48   375.61 31.547 0x00000011  ut100901h_templh/102/md10s066.g.ut100901h.352386_102_g.templh.337180_102.diff.cut.dcmp
 2010-09-04T12:03:45.50 55443.502610      g      -     -      -      -      -      -     -      -    -      0x1613  -351.87   315.37  31.5917  -330.81   296.48 31.525 0x00000011  ut100904h_templh/102/md10s066.g.ut100904h.352441_102_g.templh.337180_102.diff.cut.dcmp
 2010-09-07T13:15:32.54 55446.552460      g      -     -      -      -      -      -     -      -    -      0x1613  -651.33   497.95  31.5917  -604.62   462.20 31.511 0x00000011  ut100907h_templh/102/md10s066.g.ut100907h.352497_102_g.templh.337180_102.diff.cut.dcmp
 2010-09-10T12:15:33.12 55449.510800      g      -     -      -      -      -      -     -      -    -      0x1613   773.99   919.96  31.5917   762.53   906.31 31.576 0x00000011  ut100910h_templh/102/md10s066.g.ut100910h.352554_102_g.templh.337180_102.diff.cut.dcmp
 2010-09-13T10:45:04.61 55452.447970      g      -     -      -      -      -      -     -      -    -      0x1613   333.98   274.97  31.5917   322.17   265.23 31.553 0x00000011  ut100913h_templh/102/md10s066.g.ut100913h.338589_102_g.templh.337180_102.diff.cut.dcmp
 2010-09-19T08:00:04.03 55458.333380      g      -     -      -      -      -      -     -      -    -      0x1613 -3237.99  2037.52  31.5917 -2785.32  1752.49 31.428 0x00000011  ut100919h_templh/102/md10s066.g.ut100919h.356492_102_g.templh.337180_102.diff.cut.dcmp
