#               DATEOBS        MJDim filter      m    dm gr gr_err     ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-11-26T14:48:16.70 55161.616860      g      -     -  -      -      -      -      -      -    -      0x1613 -2591.00 1004.48  31.5632 -2586.47 1002.44 31.561 0x00000011 ut091126c_templc/51/md05s024.g.ut091126c.1589597_51_g.templc.464927_51.diff.cut.dcmp
 2009-12-08T14:16:31.58 55173.594810      g      -     -  -      -      -      -      -      -    -      0x1613 -1526.10  625.14  31.5632 -1534.56  628.44 31.569 0x00000011 ut091208c_templc/51/md05s024.g.ut091208c.1589660_51_g.templc.464927_51.diff.cut.dcmp
 2009-12-17T14:18:27.36 55182.596150      g      -     -  -      -      -      -      -      -    -      0x1613  -779.13  309.32  31.5632  -750.12  297.72 31.522 0x00000011 ut091217c_templc/51/md05s024.g.ut091217c.1589724_51_g.templc.464927_51.diff.cut.dcmp
 2009-12-23T15:31:03.65 55188.646570      g      -     -  -      -      -      -      -      -    -      0x1613   -80.39  601.28  31.5632   -77.74  581.46 31.527 0x00000011 ut091223c_templc/51/md05s024.g.ut091223c.1589792_51_g.templc.464927_51.diff.cut.dcmp
 2009-12-26T13:19:57.79 55191.555530      g      -     -  -      -      -      -      -      -    -      0x1613   629.20  281.24  31.5632   651.67  291.22 31.601 0x00000011  ut091226c_templc/51/md05s024.g.ut091226c.463041_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-07T13:09:42.62 55203.548410      g      -     -  -      -      -      -      -      -    -      0x1613  -643.04  434.09  31.5632  -635.33  428.84 31.550 0x00000011 ut100107c_templc/51/md05s024.g.ut100107c.1589855_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-10T15:02:03.55 55206.626430      g      -     -  -      -      -      -      -      -    -      0x1613   286.16  458.58  31.5632   268.96  431.01 31.496 0x00000011 ut100110c_templc/51/md05s024.g.ut100110c.1589925_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-13T14:02:38.69 55209.585170      g      -     -  -      -      -      -      -      -    -      0x1613   276.40  818.68  31.5632   270.78  802.03 31.541 0x00000011 ut100113c_templc/51/md05s024.g.ut100113c.1589990_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-16T13:55:19.78 55212.580090      g      -     -  -      -      -      -      -      -    -      0x1613  -701.72  328.25  31.5632  -667.98  312.41 31.510 0x00000011 ut100116c_templc/51/md05s024.g.ut100116c.1590053_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -  -      -      -      -      -      -    -      0x1613    64.07  220.75  31.5632    61.91  213.29 31.526 0x00000011  ut100119c_templc/51/md05s024.g.ut100119c.463097_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -  -      -      -      -      -      -    -      0x1613   220.86  233.80  31.5632   214.35  226.90 31.531 0x00000011 ut100119c_templc/51/md05s024.g.ut100119c.1759115_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-19T11:44:53.66 55215.489510      g      -     -  -      -      -      -      -      -    -      0x1613   177.32  233.60  31.5632   172.60  227.37 31.534 0x00000011 ut100119c_templc/51/md05s024.g.ut100119c.1759175_51_g.templc.464927_51.diff.cut.dcmp
 2010-01-25T12:37:22.08 55221.525950      g      -     -  -      -      -      -      -      -    -      0x1613  -267.80  521.64  31.5632  -248.23  483.51 31.481 0x00000011 ut100125c_templc/51/md05s024.g.ut100125c.1590120_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-03T12:04:48.58 55230.503340      g      -     -  -      -      -      -      -      -    -      0x1613  1299.72 1148.75  31.5632  1314.41 1161.67 31.575 0x00000011 ut100203c_templc/51/md05s024.g.ut100203c.1590183_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-06T11:40:13.73 55233.486270      g      -     -  -      -      -      -      -      -    -      0x1613   336.97  642.84  31.5632   361.50  689.63 31.640 0x00000011 ut100206c_templc/51/md05s024.g.ut100206c.1590248_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-09T13:35:53.38 55236.566590      g      -     -  -      -      -      -      -      -    -      0x1613  -347.79  458.38  31.5632  -347.50  457.99 31.562 0x00000011 ut100209c_templc/51/md05s024.g.ut100209c.1590308_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-12T12:15:11.52 55239.510550      g      -     -  -      -      -      -      -      -    -      0x1613   -69.90  338.93  31.5632   -71.23  345.36 31.584 0x00000011 ut100212c_templc/51/md05s024.g.ut100212c.1590368_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-15T12:12:15.26 55242.508510      g      -     -  -      -      -      -      -      -    -      0x1613  -961.37  594.95  31.5632  -943.82  584.03 31.543 0x00000011  ut100215c_templc/51/md05s024.g.ut100215c.463157_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-15T12:12:15.26 55242.508510      g      -     -  -      -      -      -      -      -    -      0x1613  -629.09  467.91  31.5632  -618.63  460.10 31.545 0x00000011 ut100215c_templc/51/md05s024.g.ut100215c.1759235_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-21T11:53:30.34 55248.495490      g      -     -  -      -      -      -      -      -    -      0x1613   329.05  322.77  31.5632   324.86  318.65 31.549 0x00000011 ut100221c_templc/51/md05s024.g.ut100221c.1590428_51_g.templc.464927_51.diff.cut.dcmp
 2010-02-24T09:56:59.71 55251.414580      g      -     -  -      -      -      -      -      -    -      0x1613  -523.58  931.22  31.5632  -523.92  931.81 31.564 0x00000011 ut100224c_templc/51/md05s024.g.ut100224c.1590488_51_g.templc.464927_51.diff.cut.dcmp
 2010-03-11T12:11:50.21 55266.508220      g      -     -  -      -      -      -      -      -    -      0x1613    -6.44  703.82  31.5632    -6.44  703.76 31.563 0x00000011 ut100311c_templc/51/md05s024.g.ut100311c.1590547_51_g.templc.464927_51.diff.cut.dcmp
