#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-12-11T15:23:57.70 55176.641640      g      -     -  -      -     -      -      -      -    -      0x1613  -328.84  528.01  31.3739  -330.27  530.29 31.379 0x00000011  ut091211b_templb/42/md04s015.g.ut091211b.648854_42_g.templb.451687_42.diff.cut.dcmp
 2009-12-23T14:35:27.74 55188.607960      g      -     -  -      -     -      -      -      -    -      0x1613  -865.46  668.31  31.3739  -864.50  667.52 31.373 0x00000011  ut091223b_templb/42/md04s015.g.ut091223b.648923_42_g.templb.451687_42.diff.cut.dcmp
 2010-01-10T13:32:44.16 55206.564400      g      -     -  -      -     -      -      -      -    -      0x1613    41.97  228.08  31.3739    43.57  236.77 31.415 0x00000011  ut100110b_templb/42/md04s015.g.ut100110b.446854_42_g.templb.451687_42.diff.cut.dcmp
 2010-01-16T12:32:59.42 55212.522910      g      -     -  -      -     -      -      -      -    -      0x1613   100.02  264.91  31.3739    97.78  258.97 31.349 0x00000011  ut100116b_templb/42/md04s015.g.ut100116b.648993_42_g.templb.451687_42.diff.cut.dcmp
 2010-02-03T08:57:28.80 55230.373250      g      -     -  -      -     -      -      -      -    -      0x1613   943.06 2314.09  31.3739   887.28 2177.19 31.308 0x00000011  ut100203b_templb/42/md04s015.g.ut100203b.649180_42_g.templb.451687_42.diff.cut.dcmp
 2010-02-09T11:24:12.10 55236.475140      g      -     -  -      -     -      -      -      -    -      0x1613   327.82  515.06  31.3739   348.01  546.78 31.439 0x00000011  ut100209b_templb/42/md04s015.g.ut100209b.649304_42_g.templb.451687_42.diff.cut.dcmp
 2010-02-12T11:31:17.18 55239.480060      g      -     -  -      -     -      -      -      -    -      0x1613   565.90  480.32  31.3739   590.45  501.12 31.420 0x00000011  ut100212b_templb/42/md04s015.g.ut100212b.649364_42_g.templb.451687_42.diff.cut.dcmp
 2010-02-21T10:10:37.92 55248.424050      g      -     -  -      -     -      -      -      -    -      0x1613  -508.19  474.66  31.3739  -511.38  477.62 31.381 0x00000011  ut100221b_templb/42/md04s015.g.ut100221b.649424_42_g.templb.451687_42.diff.cut.dcmp
 2010-04-16T08:25:37.63 55302.351130      g      -     -  -      -     -      -      -      -    -      0x1613   -44.59 1682.33  31.3739   -46.20 1742.89 31.412 0x00000011  ut100416b_templb/42/md04s015.g.ut100416b.649597_42_g.templb.451687_42.diff.cut.dcmp
 2010-04-19T06:36:28.51 55305.275330      g      -     -  -      -     -      -      -      -    -      0x1613   606.63  925.78  31.3739   579.86  884.91 31.325 0x00000011  ut100419b_templb/42/md04s015.g.ut100419b.649657_42_g.templb.451687_42.diff.cut.dcmp
 2010-05-04T07:42:32.54 55320.321210      g      -     -  -      -     -      -      -      -    -      0x1613   661.95  513.63  31.3739   646.47  501.58 31.348 0x00000011  ut100504b_templb/42/md04s015.g.ut100504b.447030_42_g.templb.451687_42.diff.cut.dcmp
