#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2010-02-24T14:49:08.17 55251.617456      g      -     -  -      -     -      -      -      -    -      0x1613  -236.69  358.61  31.4713  -239.45  362.79 31.484 0x00000011 ut100224e_temple/71/md07s041.g.ut100224e.2215273_71_g.temple.524255_71.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -  -      -     -      -      -      -    -      0x1613   220.29  420.49  31.4713   226.52  432.38 31.502 0x00000011  ut100311e_temple/71/md07s041.g.ut100311e.523599_71_g.temple.524255_71.diff.cut.dcmp
 2010-03-14T15:16:53.35 55269.636729      g      -     -  -      -     -      -      -      -    -      0x1613   434.57  864.23  31.4713   431.78  858.67 31.464 0x00000011 ut100314e_temple/71/md07s041.g.ut100314e.2215336_71_g.temple.524255_71.diff.cut.dcmp
 2010-03-17T14:22:49.33 55272.599182      g      -     -  -      -     -      -      -      -    -      0x1613  -505.40  501.86  31.4713  -523.69  520.00 31.510 0x00000011 ut100317e_temple/71/md07s041.g.ut100317e.2215401_71_g.temple.524255_71.diff.cut.dcmp
 2010-03-20T13:02:43.84 55275.543563      g      -     -  -      -     -      -      -      -    -      0x1613   297.86  552.03  31.4713   306.71  568.43 31.503 0x00000011 ut100320e_temple/71/md07s041.g.ut100320e.2215465_71_g.temple.524255_71.diff.cut.dcmp
 2010-03-26T10:29:43.80 55281.437312      g      -     -  -      -     -      -      -      -    -      0x1613  -939.19  923.36  31.4713  -878.77  863.92 31.399 0x00000011 ut100326e_temple/71/md07s041.g.ut100326e.2215530_71_g.temple.524255_71.diff.cut.dcmp
 2010-04-04T14:10:48.58 55290.590840      g      -     -  -      -     -      -      -      -    -      0x1613  2873.52 1547.30  31.4713  2834.09 1525.84 31.456 0x00000011 ut100404e_temple/71/md07s041.g.ut100404e.2215595_71_g.temple.524255_71.diff.cut.dcmp
 2010-04-10T13:17:59.75 55296.554164      g      -     -  -      -     -      -      -      -    -      0x1613  -729.22 1955.80  31.4713  -731.31 1961.38 31.474 0x00000011 ut100410e_temple/71/md07s041.g.ut100410e.2215660_71_g.temple.524255_71.diff.cut.dcmp
 2010-04-19T10:43:29.11 55305.446865      g      -     -  -      -     -      -      -      -    -      0x1613   654.09  770.82  31.4713   648.21  763.87 31.462 0x00000011 ut100419e_temple/71/md07s041.g.ut100419e.2215724_71_g.temple.524255_71.diff.cut.dcmp
 2010-05-10T12:27:11.23 55326.518880      g      -     -  -      -     -      -      -      -    -      0x1613   287.43  457.64  31.4713   286.35  455.91 31.467 0x00000011  ut100510e_temple/71/md07s041.g.ut100510e.523660_71_g.temple.524255_71.diff.cut.dcmp
 2010-05-13T12:01:37.44 55329.501128      g      -     -  -      -     -      -      -      -    -      0x1613   690.28  633.45  31.4713   664.33  609.61 31.430 0x00000011 ut100513e_temple/71/md07s041.g.ut100513e.2215786_71_g.temple.524255_71.diff.cut.dcmp
 2010-05-16T08:09:48.20 55332.340141      g      -     -  -      -     -      -      -      -    -      0x1613   -77.44  287.10  31.4713   -71.86  266.41 31.390 0x00000011 ut100516e_temple/71/md07s041.g.ut100516e.2215846_71_g.temple.524255_71.diff.cut.dcmp
 2010-05-22T08:06:35.56 55338.337912      g      -     -  -      -     -      -      -      -    -      0x1613  1370.04 1288.91  31.4713  1246.62 1172.74 31.369 0x00000011 ut100522e_temple/71/md07s041.g.ut100522e.2215908_71_g.temple.524255_71.diff.cut.dcmp
 2010-05-31T09:42:02.02 55347.404190      g      -     -  -      -     -      -      -      -    -      0x1613   313.50  690.45  31.4713   311.86  686.83 31.466 0x00000011 ut100531e_temple/71/md07s041.g.ut100531e.2215968_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-03T07:45:41.96 55350.323402      g      -     -  -      -     -      -      -      -    -      0x1613  -441.33  246.49  31.4713  -416.83  232.78 31.409 0x00000011 ut100603e_temple/71/md07s041.g.ut100603e.2216032_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-06T09:26:43.58 55353.393560      g      -     -  -      -     -      -      -      -    -      0x1613    47.57  302.56  31.4713    47.31  300.89 31.465 0x00000011  ut100606e_temple/71/md07s041.g.ut100606e.523717_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-12T07:46:14.65 55359.323781      g      -     -  -      -     -      -      -      -    -      0x1613 -1909.42 1169.69  31.4713 -1885.83 1155.10 31.458 0x00000011 ut100612e_temple/71/md07s041.g.ut100612e.2216093_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-15T07:00:04.06 55362.291714      g      -     -  -      -     -      -      -      -    -      0x1613   172.89  276.99  31.4713   165.87  265.74 31.426 0x00000011 ut100615e_temple/71/md07s041.g.ut100615e.2216157_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-18T07:19:35.98 55365.305278      g      -     -  -      -     -      -      -      -    -      0x1613   182.15  336.17  31.4713   177.25  327.12 31.442 0x00000011 ut100618e_temple/71/md07s041.g.ut100618e.2216218_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-21T08:50:09.52 55368.368166      g      -     -  -      -     -      -      -      -    -      0x1613   228.43  606.66  31.4713   226.36  601.15 31.461 0x00000011 ut100621e_temple/71/md07s041.g.ut100621e.2216279_71_g.temple.524255_71.diff.cut.dcmp
 2010-06-30T08:43:56.01 55377.363843      g      -     -  -      -     -      -      -      -    -      0x1613   673.99  496.31  31.4713   660.59  486.41 31.450 0x00000011 ut100630e_temple/71/md07s041.g.ut100630e.2216340_71_g.temple.524255_71.diff.cut.dcmp
 2010-07-12T06:32:41.28 55389.272700      g      -     -  -      -     -      -      -      -    -      0x1613   288.21  343.24  31.4713   295.66  352.10 31.499 0x00000011  ut100712e_temple/71/md07s041.g.ut100712e.523776_71_g.temple.524255_71.diff.cut.dcmp
 2011-02-04T15:36:32.69 55596.650378      g      -     -  -      -     -      -      -      -    -      0x1613   199.21  282.34  31.4713   191.63  271.60 31.429 0x00000011 ut110204e_temple/71/md07s041.g.ut110204e.2216403_71_g.temple.524255_71.diff.cut.dcmp
 2011-02-10T14:07:54.91 55602.588830      g      -     -  -      -     -      -      -      -    -      0x1613   117.75  183.39  31.4713   115.91  180.52 31.454 0x00000011  ut110210e_temple/71/md07s041.g.ut110210e.523836_71_g.temple.524255_71.diff.cut.dcmp
 2011-02-13T15:30:35.78 55605.646248      g      -     -  -      -     -      -      -      -    -      0x1613   308.91  815.89  31.4713   295.33  780.03 31.422 0x00000011 ut110213e_temple/71/md07s041.g.ut110213e.2216467_71_g.temple.524255_71.diff.cut.dcmp
 2011-03-09T14:56:14.13 55629.622386      g      -     -  -      -     -      -      -      -    -      0x1613  -306.87  338.88  31.4713  -307.83  339.93 31.475 0x00000011 ut110309e_temple/71/md07s041.g.ut110309e.2216530_71_g.temple.524255_71.diff.cut.dcmp
 2011-03-15T14:03:10.32 55635.585536      g      -     -  -      -     -      -      -      -    -      0x1613  -322.13  700.72  31.4713  -307.46  668.81 31.421 0x00000011 ut110315e_temple/71/md07s041.g.ut110315e.2216591_71_g.temple.524255_71.diff.cut.dcmp
 2011-03-30T14:10:49.98 55650.590856      g      -     -  -      -     -      -      -      -    -      0x1613    78.26  504.81  31.4713    77.49  499.81 31.460 0x00000011 ut110330e_temple/71/md07s041.g.ut110330e.2216655_71_g.temple.524255_71.diff.cut.dcmp
 2011-04-02T13:04:31.58 55653.544810      g      -     -  -      -     -      -      -      -    -      0x1613  -292.15  415.03  31.4713  -297.94  423.24 31.493 0x00000011  ut110402e_temple/71/md07s041.g.ut110402e.523897_71_g.temple.524255_71.diff.cut.dcmp
 2011-04-11T10:55:21.93 55662.455115      g      -     -  -      -     -      -      -      -    -      0x1613   331.93  305.89  31.4713   329.80  303.91 31.464 0x00000011 ut110411e_temple/71/md07s041.g.ut110411e.2216717_71_g.temple.524255_71.diff.cut.dcmp
 2011-04-14T10:25:34.18 55665.434423      g      -     -  -      -     -      -      -      -    -      0x1613 -1232.66  660.81  31.4713 -1173.28  628.89 31.418 0x00000011 ut110414e_temple/71/md07s041.g.ut110414e.2216780_71_g.temple.524255_71.diff.cut.dcmp
 2011-04-23T10:12:38.71 55674.425448      g      -     -  -      -     -      -      -      -    -      0x1613  -149.74  319.90  31.4713  -144.68  309.09 31.434 0x00000011 ut110423e_temple/71/md07s041.g.ut110423e.2216845_71_g.temple.524255_71.diff.cut.dcmp
 2011-04-26T10:26:09.59 55677.434833      g      -     -  -      -     -      -      -      -    -      0x1613  -133.50  216.36  31.4713  -128.62  208.45 31.431 0x00000011 ut110426e_temple/71/md07s041.g.ut110426e.2216910_71_g.temple.524255_71.diff.cut.dcmp
 2011-05-29T08:04:35.79 55710.336525      g      -     -  -      -     -      -      -      -    -      0x1613  -333.88  247.00  31.4713  -321.60  237.89 31.431 0x00000011 ut110529e_temple/71/md07s041.g.ut110529e.2216975_71_g.temple.524255_71.diff.cut.dcmp
 2011-06-07T08:24:51.84 55719.350600      g      -     -  -      -     -      -      -      -    -      0x1613   281.23  274.31  31.4713   282.58  275.61 31.477 0x00000011  ut110607e_temple/71/md07s041.g.ut110607e.523959_71_g.temple.524255_71.diff.cut.dcmp
 2011-06-10T07:44:11.45 55722.322355      g      -     -  -      -     -      -      -      -    -      0x1613 -2197.48 1015.51  31.4713 -2117.41  978.31 31.431 0x00000011 ut110610e_temple/71/md07s041.g.ut110610e.2217040_71_g.temple.524255_71.diff.cut.dcmp
 2011-06-25T07:25:29.96 55737.309375      g      -     -  -      -     -      -      -      -    -      0x1613   581.06  602.83  31.4713   563.25  584.33 31.438 0x00000011 ut110625e_temple/71/md07s041.g.ut110625e.2217105_71_g.temple.524255_71.diff.cut.dcmp
