#               DATEOBS        MJDim filter      m    dm    gr gr_err    ri ri_err     iz iz_err cflg photcodehex   flux_c dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-28T11:40:02.50 54979.486140      g      -     -     -      -     -      -      -      -    -      0x1613 -1109.04  341.44  31.4649 -1119.61  344.54 31.475 0x00000011  ut090528h_templh/82/md08s063.g.ut090528h.862134_82_g.templh.874979_82.diff.cut.dcmp
 2009-05-31T10:19:28.42 54982.430190      g      -     -     -      -     -      -      -      -    -      0x1613  -516.28  233.50  31.4649  -523.70  236.81 31.480 0x00000011  ut090531h_templh/82/md08s063.g.ut090531h.862194_82_g.templh.874979_82.diff.cut.dcmp
 2009-06-11T10:32:25.15 54993.439180      g      -     -     -      -     -      -      -      -    -      0x1613 -1509.14  545.56  31.4649 -1561.60  564.34 31.502 0x00000011  ut090611h_templh/82/md08s063.g.ut090611h.862254_82_g.templh.874979_82.diff.cut.dcmp
 2009-06-14T10:42:46.37 54996.446370      g      -     -     -      -     -      -      -      -    -      0x1613 -1036.52  538.55  31.4649 -1163.53  604.44 31.590 0x00000011  ut090614h_templh/82/md08s063.g.ut090614h.862313_82_g.templh.874979_82.diff.cut.dcmp
 2009-06-17T10:34:42.53 54999.440770      g      -     -     -      -     -      -      -      -    -      0x1613  -101.88  611.42  31.4649  -114.24  685.58 31.589 0x00000011  ut090617h_templh/82/md08s063.g.ut090617h.862371_82_g.templh.874979_82.diff.cut.dcmp
 2009-06-20T10:05:07.87 55002.420230      g      -     -     -      -     -      -      -      -    -      0x1613  -986.67 3021.91  31.4649 -1041.58 3190.07 31.524 0x00000011  ut090620h_templh/82/md08s063.g.ut090620h.862428_82_g.templh.874979_82.diff.cut.dcmp
 2009-06-29T10:17:41.28 55011.428950      g      -     -     -      -     -      -      -      -    -      0x1613 -1378.53  698.13  31.4649 -1435.41  726.81 31.509 0x00000011  ut090629h_templh/82/md08s063.g.ut090629h.862483_82_g.templh.874979_82.diff.cut.dcmp
 2009-07-02T07:03:38.88 55014.294200      g      -     -     -      -     -      -      -      -    -      0x1613  1180.53  779.61  31.4649  1172.51  774.24 31.457 0x00000011  ut090702h_templh/82/md08s063.g.ut090702h.862535_82_g.templh.874979_82.diff.cut.dcmp
 2009-07-17T07:19:25.82 55029.305160      g      -     -     -      -     -      -      -      -    -      0x1613 -2614.04  997.27  31.4649 -2831.34 1079.85 31.552 0x00000011  ut090717h_templh/82/md08s063.g.ut090717h.862591_82_g.templh.874979_82.diff.cut.dcmp
 2009-09-15T05:56:25.73 55089.247520      g      -     -     -      -     -      -      -      -    -      0x1613 -1718.57  422.24  31.4649 -1795.42  440.81 31.512 0x00000011  ut090915h_templh/82/md08s063.g.ut090915h.862647_82_g.templh.874979_82.diff.cut.dcmp
 2010-04-10T14:38:55.97 55296.610370      g      -     -     -      -     -      -      -      -    -      0x1613  -406.33 2744.13  31.4649  -409.60 2766.20 31.474 0x00000011  ut100410h_templh/82/md08s063.g.ut100410h.862756_82_g.templh.874979_82.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -     -      -     -      -      -      -    -      0x1613   258.16  645.75  31.4649   287.45  719.02 31.582 0x00000011  ut100416h_templh/82/md08s063.g.ut100416h.862816_82_g.templh.874979_82.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -     -      -     -      -      -      -    -      0x1613  -320.25  732.92  31.4649  -339.29  776.48 31.528 0x00000011  ut100419h_templh/82/md08s063.g.ut100419h.862876_82_g.templh.874979_82.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g      -     -     -      -     -      -      -      -    -      0x1613   192.41  429.51  31.4649   186.34  415.96 31.430 0x00000011  ut100510h_templh/82/md08s063.g.ut100510h.862935_82_g.templh.874979_82.diff.cut.dcmp
 2010-05-13T12:44:34.08 55329.530950      g      -     -     -      -     -      -      -      -    -      0x1613  -447.85  451.13  31.4649  -461.46  464.82 31.497 0x00000011  ut100513h_templh/82/md08s063.g.ut100513h.862995_82_g.templh.874979_82.diff.cut.dcmp
 2010-05-16T10:13:02.21 55332.425720      g      -     -     -      -     -      -      -      -    -      0x1613 -1517.15  588.72  31.4649 -1610.31  624.69 31.530 0x00000011  ut100516h_templh/82/md08s063.g.ut100516h.863053_82_g.templh.874979_82.diff.cut.dcmp
 2010-05-19T10:22:17.76 55335.432150      g      -     -     -      -     -      -      -      -    -      0x1613  -903.84  894.15  31.4649  -914.81  904.96 31.478 0x00000011  ut100519h_templh/82/md08s063.g.ut100519h.863108_82_g.templh.874979_82.diff.cut.dcmp
 2010-05-31T10:42:04.90 55347.445890      g      -     -     -      -     -      -      -      -    -      0x1613  -877.30  665.18  31.4649  -849.55  644.09 31.430 0x00000011  ut100531h_templh/82/md08s063.g.ut100531h.863222_82_g.templh.874979_82.diff.cut.dcmp
 2010-06-03T12:18:35.42 55350.512910      g      -     -     -      -     -      -      -      -    -      0x1613   419.43  724.52  31.4649   415.81  718.26 31.456 0x00000011  ut100603h_templh/82/md08s063.g.ut100603h.863280_82_g.templh.874979_82.diff.cut.dcmp
 2010-06-06T10:09:43.49 55353.423420      g      -     -     -      -     -      -      -      -    -      0x1613  -367.44  280.22  31.4649  -377.21  287.65 31.493 0x00000011  ut100606h_templh/82/md08s063.g.ut100606h.863338_82_g.templh.874979_82.diff.cut.dcmp
 2010-06-15T08:49:16.32 55362.367550      g      -     -     -      -     -      -      -      -    -      0x1613   144.66  635.36  31.4649   148.80  653.52 31.495 0x00000011  ut100615h_templh/82/md08s063.g.ut100615h.863396_82_g.templh.874979_82.diff.cut.dcmp
 2010-06-18T07:58:31.58 55365.332310      g      -     -     -      -     -      -      -      -    -      0x1613   314.03  500.72  31.4649   338.35  539.50 31.546 0x00000011  ut100618h_templh/82/md08s063.g.ut100618h.863452_82_g.templh.874979_82.diff.cut.dcmp
 2010-06-21T09:31:07.10 55368.396610      g      -     -     -      -     -      -      -      -    -      0x1613  -577.94  482.90  31.4649  -578.95  483.72 31.467 0x00000011  ut100621h_templh/82/md08s063.g.ut100621h.863510_82_g.templh.874979_82.diff.cut.dcmp
 2010-06-30T10:32:06.14 55377.438960      g      -     -     -      -     -      -      -      -    -      0x1613  -301.19  731.78  31.4649  -300.80  730.83 31.463 0x00000011  ut100630h_templh/82/md08s063.g.ut100630h.863568_82_g.templh.874979_82.diff.cut.dcmp
 2010-07-12T07:30:36.29 55389.312920      g      -     -     -      -     -      -      -      -    -      0x1613   425.15  271.91  31.4649   427.90  273.64 31.472 0x00000011  ut100712h_templh/82/md08s063.g.ut100712h.863626_82_g.templh.874979_82.diff.cut.dcmp
 2010-07-30T08:08:20.83 55407.339130      g      -     -     -      -     -      -      -      -    -      0x1613  -156.39  572.76  31.4649  -152.73  559.36 31.439 0x00000011  ut100730h_templh/82/md08s063.g.ut100730h.863685_82_g.templh.874979_82.diff.cut.dcmp
 2010-08-05T07:48:28.51 55413.325330      g      -     -     -      -     -      -      -      -    -      0x1613   332.58  444.07  31.4649   338.51  451.98 31.484 0x00000011  ut100805h_templh/82/md08s063.g.ut100805h.863743_82_g.templh.874979_82.diff.cut.dcmp
 2010-08-08T07:14:14.78 55416.301560      g      -     -     -      -     -      -      -      -    -      0x1613   -87.22  439.32  31.4649   -89.27  449.64 31.490 0x00000011  ut100808h_templh/82/md08s063.g.ut100808h.863801_82_g.templh.874979_82.diff.cut.dcmp
 2010-08-17T06:13:55.49 55425.259670      g      -     -     -      -     -      -      -      -    -      0x1613  1590.98  829.64  31.4649  1616.24  842.68 31.482 0x00000011  ut100817h_templh/82/md08s063.g.ut100817h.863916_82_g.templh.874979_82.diff.cut.dcmp
 2010-08-20T06:23:20.54 55428.266210      g      -     -     -      -     -      -      -      -    -      0x1613  -405.12  749.74  31.4649  -394.04  729.23 31.435 0x00000011  ut100820h_templh/82/md08s063.g.ut100820h.863976_82_g.templh.874979_82.diff.cut.dcmp
 2010-08-29T06:14:46.46 55437.260260      g      -     -     -      -     -      -      -      -    -      0x1613  -125.79  511.16  31.4649  -124.01  503.91 31.449 0x00000011  ut100829h_templh/82/md08s063.g.ut100829h.864035_82_g.templh.874979_82.diff.cut.dcmp
 2010-09-01T06:51:00.29 55440.285420      g      -     -     -      -     -      -      -      -    -      0x1613  -723.50  481.44  31.4649  -703.52  468.10 31.434 0x00000011  ut100901h_templh/82/md08s063.g.ut100901h.864091_82_g.templh.874979_82.diff.cut.dcmp
 2010-09-04T06:09:05.18 55443.256310      g      -     -     -      -     -      -      -      -    -      0x1613  -876.16  524.56  31.4649  -864.86  517.73 31.451 0x00000011  ut100904h_templh/82/md08s063.g.ut100904h.864147_82_g.templh.874979_82.diff.cut.dcmp
 2010-09-07T06:35:39.26 55446.274760      g      -     -     -      -     -      -      -      -    -      0x1613   404.36  543.82  31.4649   420.46  565.46 31.507 0x00000011  ut100907h_templh/82/md08s063.g.ut100907h.864203_82_g.templh.874979_82.diff.cut.dcmp
 2010-09-10T05:29:41.28 55449.228950      g      -     -     -      -     -      -      -      -    -      0x1613  1115.86 1042.83  31.4649  1122.46 1048.94 31.471 0x00000011  ut100910h_templh/82/md08s063.g.ut100910h.864260_82_g.templh.874979_82.diff.cut.dcmp
 2010-09-13T06:05:51.65 55452.254070      g      -     -     -      -     -      -      -      -    -      0x1613   373.07  607.28  31.4649   367.41  598.06 31.448 0x00000011  ut100913h_templh/82/md08s063.g.ut100913h.864316_82_g.templh.874979_82.diff.cut.dcmp
 2011-02-10T14:46:26.98 55602.615590      g      -     -     -      -     -      -      -      -    -      0x1613  -256.76  342.32  31.4649  -253.56  338.05 31.451 0x00000011  ut110210h_templh/82/md08s063.g.ut110210h.864373_82_g.templh.874979_82.diff.cut.dcmp
 2011-04-23T12:12:55.87 55674.508980      g      -     -     -      -     -      -      -      -    -      0x1613   172.69  454.14  31.4649   179.15  471.14 31.505 0x00000011  ut110423h_templh/82/md08s063.g.ut110423h.864433_82_g.templh.874979_82.diff.cut.dcmp
 2011-04-26T13:58:50.59 55677.582530      g      -     -     -      -     -      -      -      -    -      0x1613   365.08  323.28  31.4649   361.00  319.65 31.453 0x00000011  ut110426h_templh/82/md08s063.g.ut110426h.864493_82_g.templh.874979_82.diff.cut.dcmp
 2011-05-20T13:35:24.00 55701.566250      g      -     -     -      -     -      -      -      -    -      0x1613   309.56 1149.35  31.4649   311.45 1156.35 31.471 0x00000011  ut110520h_templh/82/md08s063.g.ut110520h.864553_82_g.templh.874979_82.diff.cut.dcmp
 2011-05-29T11:11:02.40 55710.466000      g      -     -     -      -     -      -      -      -    -      0x1613    21.28  286.61  31.4649    21.52  289.82 31.477 0x00000011  ut110529h_templh/82/md08s063.g.ut110529h.864613_82_g.templh.874979_82.diff.cut.dcmp
 2011-06-10T09:01:13.44 55722.375850      g      -     -     -      -     -      -      -      -    -      0x1613  -520.98 1445.79  31.4649  -528.52 1466.71 31.480 0x00000011  ut110610h_templh/82/md08s063.g.ut110610h.864673_82_g.templh.874979_82.diff.cut.dcmp
 2011-06-25T09:29:18.24 55737.395350      g      -     -     -      -     -      -      -      -    -      0x1613   551.49  350.91  31.4649   570.14  362.74 31.501 0x00000011  ut110625h_templh/82/md08s063.g.ut110625h.864733_82_g.templh.874979_82.diff.cut.dcmp
 2011-06-28T09:10:32.45 55740.382320      g      -     -     -      -     -      -      -      -    -      0x1613  -443.59 1416.78  31.4649  -449.06 1434.24 31.478 0x00000011  ut110628h_templh/82/md08s063.g.ut110628h.864793_82_g.templh.874979_82.diff.cut.dcmp
 2011-07-01T07:45:40.90 55743.323390      g      -     -     -      -     -      -      -      -    -      0x1613    63.27  356.61  31.4649    64.98  366.26 31.494 0x00000011  ut110701h_templh/82/md08s063.g.ut110701h.864853_82_g.templh.874979_82.diff.cut.dcmp
 2011-07-04T07:59:35.52 55746.333050      g      -     -     -      -     -      -      -      -    -      0x1613   346.38  259.63  31.4649   360.34  270.07 31.508 0x00000011  ut110704h_templh/82/md08s063.g.ut110704h.864913_82_g.templh.874979_82.diff.cut.dcmp
 2011-07-10T07:27:46.94 55752.310960      g      -     -     -      -     -      -      -      -    -      0x1613    83.99 1201.86  31.4649    81.19 1161.81 31.428 0x00000011  ut110710h_templh/82/md08s063.g.ut110710h.864973_82_g.templh.874979_82.diff.cut.dcmp
