#               DATEOBS        MJDim filter      m    dm gr gr_err    ri ri_err iz iz_err cflg photcodehex   flux_c  dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-28T10:59:47.62 54979.458190      g      -     -  -      -     -      -  -      -    -      0x1613   -13.58   421.44  31.5986   -14.97  464.49 31.704 0x00000011  ut090528f_templf/71/md07s045.g.ut090528f.523473_71_g.templf.524259_71.diff.cut.dcmp
 2009-05-31T09:38:17.58 54982.401592      g      -     -  -      -     -      -  -      -    -      0x1613   -48.38   406.26  31.5986   -57.19  480.22 31.780 0x00000011 ut090531f_templf/71/md07s045.g.ut090531f.2214529_71_g.templf.524259_71.diff.cut.dcmp
 2009-06-11T09:01:01.41 54993.375711      g      -     -  -      -     -      -  -      -    -      0x1613    -7.10   483.54  31.5986    -6.91  470.80 31.570 0x00000011 ut090611f_templf/71/md07s045.g.ut090611f.2214594_71_g.templf.524259_71.diff.cut.dcmp
 2009-06-14T09:54:08.01 54996.412593      g      -     -  -      -     -      -  -      -    -      0x1613  -845.21   439.50  31.5986  -883.17  459.17 31.646 0x00000011 ut090614f_templf/71/md07s045.g.ut090614f.2214653_71_g.templf.524259_71.diff.cut.dcmp
 2009-06-17T09:13:24.63 54999.384313      g      -     -  -      -     -      -  -      -    -      0x1613  -430.76   304.54  31.5986  -441.77  312.30 31.626 0x00000011 ut090617f_templf/71/md07s045.g.ut090617f.2214712_71_g.templf.524259_71.diff.cut.dcmp
 2009-07-02T06:20:20.79 55014.264130      g      -     -  -      -     -      -  -      -    -      0x1613  -342.89   641.74  31.5986  -341.85  639.78 31.595 0x00000011 ut090702f_templf/71/md07s045.g.ut090702f.2214829_71_g.templf.524259_71.diff.cut.dcmp
 2009-07-17T06:34:49.59 55029.274185      g      -     -  -      -     -      -  -      -    -      0x1613  -429.05   905.17  31.5986  -440.99  930.35 31.628 0x00000011 ut090717f_templf/71/md07s045.g.ut090717f.2214889_71_g.templf.524259_71.diff.cut.dcmp
 2010-01-25T15:18:45.45 55221.638026      g      -     -  -      -     -      -  -      -    -      0x1613   110.80   290.38  31.5986   106.34  278.69 31.554 0x00000011 ut100125f_templf/71/md07s045.g.ut100125f.2214950_71_g.templf.524259_71.diff.cut.dcmp
 2010-02-03T15:39:03.17 55230.652120      g      -     -  -      -     -      -  -      -    -      0x1613  -597.28   972.76  31.5986  -615.49 1002.39 31.631 0x00000011  ut100203f_templf/71/md07s045.g.ut100203f.523533_71_g.templf.524259_71.diff.cut.dcmp
 2010-02-06T13:32:25.22 55233.564181      g      -     -  -      -     -      -  -      -    -      0x1613  -505.63   622.36  31.5986  -516.31  635.49 31.621 0x00000011 ut100206f_templf/71/md07s045.g.ut100206f.2215011_71_g.templf.524259_71.diff.cut.dcmp
 2010-02-09T15:02:07.41 55236.626475      g      -     -  -      -     -      -  -      -    -      0x1613   -41.11   326.37  31.5986   -42.82  339.96 31.643 0x00000011 ut100209f_templf/71/md07s045.g.ut100209f.2215076_71_g.templf.524259_71.diff.cut.dcmp
 2010-02-12T14:40:42.31 55239.611601      g      -     -  -      -     -      -  -      -    -      0x1613  -236.41   307.52  31.5986  -256.04  333.04 31.685 0x00000011 ut100212f_templf/71/md07s045.g.ut100212f.2215140_71_g.templf.524259_71.diff.cut.dcmp
 2010-02-15T15:13:01.26 55242.634042      g      -     -  -      -     -      -  -      -    -      0x1613  -102.14   411.80  31.5986   -97.75  394.10 31.551 0x00000011 ut100215f_templf/71/md07s045.g.ut100215f.2215205_71_g.templf.524259_71.diff.cut.dcmp
 2010-02-24T14:49:08.17 55251.617456      g      -     -  -      -     -      -  -      -    -      0x1613   314.37   398.90  31.5986   315.33  400.10 31.602 0x00000011 ut100224f_templf/71/md07s045.g.ut100224f.2215277_71_g.templf.524259_71.diff.cut.dcmp
 2010-03-11T13:40:14.30 55266.569610      g      -     -  -      -     -      -  -      -    -      0x1613   102.42   461.78  31.5986   105.31  474.80 31.629 0x00000011  ut100311f_templf/71/md07s045.g.ut100311f.523603_71_g.templf.524259_71.diff.cut.dcmp
 2010-03-14T15:16:53.35 55269.636729      g      -     -  -      -     -      -  -      -    -      0x1613  -863.55   860.63  31.5986  -885.54  882.51 31.626 0x00000011 ut100314f_templf/71/md07s045.g.ut100314f.2215340_71_g.templf.524259_71.diff.cut.dcmp
 2010-03-17T14:22:49.33 55272.599182      g      -     -  -      -     -      -  -      -    -      0x1613   170.74   433.41  31.5986   174.04  441.79 31.619 0x00000011 ut100317f_templf/71/md07s045.g.ut100317f.2215405_71_g.templf.524259_71.diff.cut.dcmp
 2010-03-20T13:02:43.84 55275.543563      g      -     -  -      -     -      -  -      -    -      0x1613   484.18   487.56  31.5986   499.21  502.68 31.632 0x00000011 ut100320f_templf/71/md07s045.g.ut100320f.2215469_71_g.templf.524259_71.diff.cut.dcmp
 2010-03-26T10:29:43.80 55281.437312      g      -     -  -      -     -      -  -      -    -      0x1613  -482.29  1109.05  31.5986  -453.64 1043.15 31.532 0x00000011 ut100326f_templf/71/md07s045.g.ut100326f.2215534_71_g.templf.524259_71.diff.cut.dcmp
