#               DATEOBS        MJDim filter      m    dm     gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-05-28T11:40:02.50 54979.486140      g      -     -      -      -      -      -      -      -    -      0x1613  -1833.06  314.75  31.3881  -1888.41  323.78 31.420 0x00000011  ut090528j_templj/82/md08s084.g.ut090528j.862150_82_g.templj.874995_82.diff.cut.dcmp
 2009-05-31T10:19:28.42 54982.430190      g      -     -      -      -      -      -      -      -    -      0x1613   -728.21  220.54  31.3881   -738.88  223.67 31.404 0x00000011  ut090531j_templj/82/md08s084.g.ut090531j.862210_82_g.templj.874995_82.diff.cut.dcmp
 2009-06-11T10:32:25.15 54993.439180      g      -     -      -      -      -      -      -      -    -      0x1613   -349.71  495.97  31.3881   -346.60  491.55 31.378 0x00000011  ut090611j_templj/82/md08s084.g.ut090611j.862269_82_g.templj.874995_82.diff.cut.dcmp
 2009-06-14T10:42:46.37 54996.446370      g      -     -      -      -      -      -      -      -    -      0x1613   -804.15  423.21  31.3881   -849.76  447.15 31.448 0x00000011  ut090614j_templj/82/md08s084.g.ut090614j.862328_82_g.templj.874995_82.diff.cut.dcmp
 2009-06-17T10:34:42.53 54999.440770      g      -     -      -      -      -      -      -      -    -      0x1613   -783.45  345.88  31.3881   -827.12  365.08 31.447 0x00000011  ut090617j_templj/82/md08s084.g.ut090617j.862386_82_g.templj.874995_82.diff.cut.dcmp
 2009-06-20T10:05:07.87 55002.420230      g      -     -      -      -      -      -      -      -    -      0x1613  -1880.70  429.68  31.3881  -1842.98  420.72 31.366 0x00000011  ut090620j_templj/82/md08s084.g.ut090620j.862442_82_g.templj.874995_82.diff.cut.dcmp
 2009-06-29T10:17:41.28 55011.428950      g      -     -      -      -      -      -      -      -    -      0x1613  -1217.15  540.39  31.3881  -1279.10  567.77 31.442 0x00000011  ut090629j_templj/82/md08s084.g.ut090629j.862496_82_g.templj.874995_82.diff.cut.dcmp
 2009-07-02T07:03:38.88 55014.294200      g      -     -      -      -      -      -      -      -    -      0x1613  -1153.67  598.69  31.3881  -1114.40  578.22 31.351 0x00000011  ut090702j_templj/82/md08s084.g.ut090702j.862549_82_g.templj.874995_82.diff.cut.dcmp
 2009-07-17T07:19:25.82 55029.305160      g      -     -      -      -      -      -      -      -    -      0x1613  -6363.08 1255.46  31.3881  -6615.27 1303.78 31.430 0x00000011  ut090717j_templj/82/md08s084.g.ut090717j.862606_82_g.templj.874995_82.diff.cut.dcmp
 2009-09-15T05:56:25.73 55089.247520      g      -     -      -      -      -      -      -      -    -      0x1613   -233.71  260.08  31.3881   -235.39  261.95 31.396 0x00000011  ut090915j_templj/82/md08s084.g.ut090915j.862661_82_g.templj.874995_82.diff.cut.dcmp
 2009-09-18T05:38:04.99 55092.234780      g      -     -      -      -      -      -      -      -    -      0x1613   -188.98  320.46  31.3881   -203.22  344.61 31.467 0x00000011  ut090918j_templj/82/md08s084.g.ut090918j.862713_82_g.templj.874995_82.diff.cut.dcmp
 2010-04-10T14:38:55.97 55296.610370      g      -     -      -      -      -      -      -      -    -      0x1613  -3597.71 2004.23  31.3881  -3832.01 2134.46 31.457 0x00000011  ut100410j_templj/82/md08s084.g.ut100410j.862772_82_g.templj.874995_82.diff.cut.dcmp
 2010-04-16T14:04:37.06 55302.586540      g      -     -      -      -      -      -      -      -    -      0x1613   -925.61  484.12  31.3881  -1116.11  583.67 31.591 0x00000011  ut100416j_templj/82/md08s084.g.ut100416j.862832_82_g.templj.874995_82.diff.cut.dcmp
 2010-04-19T13:58:51.46 55305.582540      g      -     -      -      -      -      -      -      -    -      0x1613   -903.24  508.93  31.3881   -968.46  545.61 31.464 0x00000011  ut100419j_templj/82/md08s084.g.ut100419j.862892_82_g.templj.874995_82.diff.cut.dcmp
 2010-05-10T13:07:33.02 55326.546910      g 23.696 0.322  0.479  0.323      -      -      -      -    2      0x1613   1193.98  354.11  31.3881   1209.25  358.46 31.402 0x00000011  ut100510j_templj/82/md08s084.g.ut100510j.862951_82_g.templj.874995_82.diff.cut.dcmp
 2010-05-13T12:44:34.08 55329.530950      g      -     -      -      -      -      -      -      -    -      0x1613    717.37  341.90  31.3881    738.01  351.67 31.419 0x00000011  ut100513j_templj/82/md08s084.g.ut100513j.863011_82_g.templj.874995_82.diff.cut.dcmp
 2010-05-16T10:13:02.21 55332.425720      g      -     -      -      -      -      -      -      -    -      0x1613   -825.62  274.29  31.3881   -848.91  281.92 31.418 0x00000011  ut100516j_templj/82/md08s084.g.ut100516j.863066_82_g.templj.874995_82.diff.cut.dcmp
 2010-05-19T10:22:17.76 55335.432150      g      -     -      -      -      -      -      -      -    -      0x1613  -1008.89  461.97  31.3881  -1001.39  458.44 31.380 0x00000011  ut100519j_templj/82/md08s084.g.ut100519j.863122_82_g.templj.874995_82.diff.cut.dcmp
 2010-05-22T10:19:49.15 55338.430430      g      -     -      -      -      -      -      -      -    -      0x1613    632.56  941.64  31.3881    620.10  923.07 31.366 0x00000011  ut100522j_templj/82/md08s084.g.ut100522j.863178_82_g.templj.874995_82.diff.cut.dcmp
 2010-05-31T10:42:04.90 55347.445890      g      -     -      -      -      -      -      -      -    -      0x1613  -1297.41  722.67  31.3881  -1324.46  737.63 31.410 0x00000011  ut100531j_templj/82/md08s084.g.ut100531j.863238_82_g.templj.874995_82.diff.cut.dcmp
 2010-06-03T12:18:35.42 55350.512910      g      -     -      -      -      -      -      -      -    -      0x1613   -762.88  437.51  31.3881   -785.70  450.54 31.420 0x00000011  ut100603j_templj/82/md08s084.g.ut100603j.863295_82_g.templj.874995_82.diff.cut.dcmp
 2010-06-06T10:09:43.49 55353.423420      g      -     -      -      -      -      -      -      -    -      0x1613   -619.57  244.76  31.3881   -650.80  257.03 31.442 0x00000011  ut100606j_templj/82/md08s084.g.ut100606j.863354_82_g.templj.874995_82.diff.cut.dcmp
 2010-06-15T08:49:16.32 55362.367550      g      -     -      -      -      -      -      -      -    -      0x1613  -1063.50  448.96  31.3881  -1096.83  462.92 31.422 0x00000011  ut100615j_templj/82/md08s084.g.ut100615j.863410_82_g.templj.874995_82.diff.cut.dcmp
 2010-06-18T07:58:31.58 55365.332310      g      -     -      -      -      -      -      -      -    -      0x1613   -384.50  395.25  31.3881   -388.84  399.70 31.400 0x00000011  ut100618j_templj/82/md08s084.g.ut100618j.863466_82_g.templj.874995_82.diff.cut.dcmp
 2010-06-21T09:31:07.10 55368.396610      g      -     -      -      -      -      -      -      -    -      0x1613   -999.18  572.50  31.3881  -1031.82  591.12 31.423 0x00000011  ut100621j_templj/82/md08s084.g.ut100621j.863526_82_g.templj.874995_82.diff.cut.dcmp
 2010-06-30T10:32:06.14 55377.438960      g      -     -      -      -      -      -      -      -    -      0x1613   -934.60  441.63  31.3881   -933.57  441.06 31.387 0x00000011  ut100630j_templj/82/md08s084.g.ut100630j.863583_82_g.templj.874995_82.diff.cut.dcmp
 2010-07-12T07:30:36.29 55389.312920      g      -     -      -      -      -      -      -      -    -      0x1613   -561.98  200.02  31.3881   -560.17  199.31 31.385 0x00000011  ut100712j_templj/82/md08s084.g.ut100712j.863642_82_g.templj.874995_82.diff.cut.dcmp
 2010-07-30T08:08:20.83 55407.339130      g      -     -      -      -      -      -      -      -    -      0x1613   -615.73  489.58  31.3881   -615.05  489.01 31.387 0x00000011  ut100730j_templj/82/md08s084.g.ut100730j.863701_82_g.templj.874995_82.diff.cut.dcmp
 2010-08-05T07:48:28.51 55413.325330      g      -     -      -      -      -      -      -      -    -      0x1613   -630.22  426.65  31.3881   -652.01  441.36 31.425 0x00000011  ut100805j_templj/82/md08s084.g.ut100805j.863759_82_g.templj.874995_82.diff.cut.dcmp
 2010-08-08T07:14:14.78 55416.301560      g      -     -      -      -      -      -      -      -    -      0x1613    671.93  401.58  31.3881    688.09  411.19 31.414 0x00000011  ut100808j_templj/82/md08s084.g.ut100808j.863817_82_g.templj.874995_82.diff.cut.dcmp
 2010-08-14T06:46:09.98 55422.282060      g 21.651 0.204 -1.298  0.206      -      -      -      -    2      0x1613   7847.57 1309.16  31.3881   7739.18 1289.09 31.373 0x00000011  ut100814j_templj/82/md08s084.g.ut100814j.863873_82_g.templj.874995_82.diff.cut.dcmp
 2010-08-17T06:13:55.49 55425.259670      g      -     -      -      -      -      -      -      -    -      0x1613   1029.07  716.86  31.3881   1064.16  741.24 31.424 0x00000011  ut100817j_templj/82/md08s084.g.ut100817j.863932_82_g.templj.874995_82.diff.cut.dcmp
 2010-08-20T06:23:20.54 55428.266210      g      -     -      -      -      -      -      -      -    -      0x1613   -505.48  857.46  31.3881   -513.31  870.74 31.405 0x00000011  ut100820j_templj/82/md08s084.g.ut100820j.863992_82_g.templj.874995_82.diff.cut.dcmp
